id,created_at,text
525485943856562177,2014-10-24 03:16:26,RT @0x0acebabe: DELUGE SYSTEM http://t.co/Pcgql5Rrh0
525464577522536448,2014-10-24 01:51:32,"Our starlet, Masae 'nerdpositive' Aida is out on the town in Vancouver. Hope you can make it."
525434379313889280,2014-10-23 23:51:32,Cutie Miyumi '0x0acebabe' Morohoshi is visiting her family in Edmonton. So great.
525404178190188544,2014-10-23 21:51:32,Yumeko 'Woofmute' Isoyama is going to try her hand at voice acting.
525373978668703745,2014-10-23 19:51:32,"You're favourite star, Masae 'nerdpositive' Aida is going to be signing autographs today in Yokohama. We hope to see you there."
525343779541483521,2014-10-23 17:51:32,Princess Yumeko 'Woofmute' Isoyama is on vactaion in Seoul. So great.
525313580582076416,2014-10-23 15:51:32,"The cold hard bitch, Sayoko 'MarlyDee1' Shinzaki is visiting her family in Kobe. What a joy."
525283380498546690,2014-10-23 13:51:31,Ruriko 'FluffyPira' Arakawa is on tour of America.
525253181157441536,2014-10-23 11:51:31,"Our starlet, Masae 'nerdpositive' Aida is going to be signing autographs tomorrow in Toronto. So much fun."
525222981866647552,2014-10-23 09:51:31,"Our starlet, Ruriko 'FluffyPira' Arakawa is going to be signing autographs today in Kobe. What a joy."
525175031199178752,2014-10-23 06:40:59,"You're favourite star, Ruriko 'FluffyPira' Arakawa is going to be at a meet and greet today New York. Hope you can make it."
525144831971328001,2014-10-23 04:40:59,The excellent Ruriko 'FluffyPira' Arakawa is visiting her family in Osaka. We hope you can make it.
525114632110096384,2014-10-23 02:40:59,Cutie Masae 'nerdpositive' Aida has moved to Edmonton. What fun.
525086323120803840,2014-10-23 00:48:29,RT @FluffyPira: WHAT AM I DOING INSTALLING FREEBSD? WHAT IS WRONG WITH ME?!?
525084432336957441,2014-10-23 00:40:58,The excellent Ruriko 'FluffyPira' Arakawa will be hanging out in Sapporo. Hope you can make it.
525054232530284544,2014-10-22 22:40:58,The ever fresh Sayoko 'MarlyDee1' Shinzaki is going to be at a meet and greet today Edmonton. Such a treat.
525024033193336833,2014-10-22 20:40:58,"Our new member, Miyumi '0x0acebabe' Morohoshi is going to be signing autographs tomorrow in Seoul. Awesome."
524993833990631424,2014-10-22 18:40:58,"Our new member, Masae 'nerdpositive' Aida is going to be performing today in Yokohama. Such a treat."
524963634687246336,2014-10-22 16:40:58,"Our starlet, Yumeko 'Woofmute' Isoyama is going to be at a book signing today in Kyoto. We hope you can make it."
524933434339495936,2014-10-22 14:40:58,Sexy Atsuko 'duckinator' Sakura is visiting her girlfriend in Kyoto. So great.
524903234373423105,2014-10-22 12:40:57,"Japan's sweetheart, Ruriko 'FluffyPira' Arakawa is going to be signing autographs tomorrow in San Francisco. Hope you can make it."
524876091589398528,2014-10-22 10:53:06,RT @RRReol: iPhone6にしたらツイッターが誤作動して謎の暴言や尖ったツイートが勝手に発信されて、Gacktにリプライで超おこられるっていう夢を見たから絶対iPhone6にしない
524873034457710592,2014-10-22 10:40:57,Sayoko 'MarlyDee1' Shinzaki is singing the national anthem at a baseball game.
524842835485683712,2014-10-22 08:40:57,Emiko 'nominate' Mitsuoka is promoting her own brand of vibrator.
524797534670450689,2014-10-22 05:40:57,The ever fresh Ruriko 'FluffyPira' Arakawa is going to be performing tomorrow in Hong Kong. What a joy.
524767334675001344,2014-10-22 03:40:56,"One of our members, Emiko 'nominate' Mitsuoka is going to be performing today in Toronto. Bliss."
524737135061262336,2014-10-22 01:40:56,Ruriko 'FluffyPira' Arakawa is going to try her hand at voice acting.
524706935871143936,2014-10-21 23:40:56,"One of our finest, Sayoko 'MarlyDee1' Shinzaki has moved to Seoul. Hope you can make it."
524676736697761792,2014-10-21 21:40:56,Emiko 'nominate' Mitsuoka has found a boyfriend.
524646537054683137,2014-10-21 19:40:56,"Our new member, Masae 'nerdpositive' Aida is going to be performing today in Kyoto. Bliss."
524616338141376512,2014-10-21 17:40:56,"You're favourite star, Yumeko 'Woofmute' Isoyama is on vactaion in Seoul. So great."
524586139102248960,2014-10-21 15:40:56,Beautiufl Miyumi '0x0acebabe' Morohoshi is going to be performing tomorrow in Kawasaki. Such a treat.
524555938620252161,2014-10-21 13:40:56,Masae 'nerdpositive' Aida is going to try her hand at voice acting.
524525739534991360,2014-10-21 11:40:56,Yumeko 'Woofmute' Isoyama is listening to the Smiths religiously.
524495539506012160,2014-10-21 09:40:55,"The new hottness, Masae 'nerdpositive' Aida is going to be at a meet and greet tomorrow Sao Paulo. So much fun."
524465339669962752,2014-10-21 07:40:55,The excellent Yumeko 'Woofmute' Isoyama is going to be signing autographs today in Tokyo. I love it.
524436355821342720,2014-10-21 05:45:45,@duckinator @mistydemeo @hachidorii @ticky Beautiufl Emiko 'nominate' Mitsuoka is going to be performing today in New York. So great.
524413940567396352,2014-10-21 04:16:41,"The new hottness, Atsuko 'duckinator' Sakura is going to be at a meet and greet today Toronto. What a joy."
524383741259825152,2014-10-21 02:16:41,The excellent Atsuko 'duckinator' Sakura is on vactaion in Seoul. Hope you can make it.
524353541146935296,2014-10-21 00:16:40,Cutie Ruriko 'FluffyPira' Arakawa is going to be at a meet and greet tomorrow Austin. What a joy.
524323341403168768,2014-10-20 22:16:40,"Our star performer, Ruriko 'FluffyPira' Arakawa is going to be signing autographs tomorrow in Moscow. What a joy."
524293143257030656,2014-10-20 20:16:40,"Our new member, Sayoko 'MarlyDee1' Shinzaki is going to be at a book signing tomorrow in Hiroshima. What a treat."
524262941861117952,2014-10-20 18:16:40,"Japan's sweetheart, Yumeko 'Woofmute' Isoyama is going to be performing tomorrow in Osaka. We hope you can make it."
524232741903425536,2014-10-20 16:16:40,Gorgeous Emiko 'nominate' Mitsuoka is visiting her family in Kyoto. What fun.
524202542679736321,2014-10-20 14:16:40,"Summer babe, Ruriko 'FluffyPira' Arakawa is visiting her girlfriend in Toronto. I love it."
524172342671708163,2014-10-20 12:16:39,The excellent Yumeko 'Woofmute' Isoyama is going to be performing today in Nagoya. What a joy.
524142143053758464,2014-10-20 10:16:39,Princess Yumeko 'Woofmute' Isoyama is going to be performing tomorrow in Sao Paulo. I love it.
524111943221903360,2014-10-20 08:16:39,Sayoko 'MarlyDee1' Shinzaki is on tour of America.
524081743754977280,2014-10-20 06:16:39,"One of our finest, Miyumi '0x0acebabe' Morohoshi is visiting her girlfriend in Sao Paulo. Bliss."
524045683196964865,2014-10-20 03:53:21,The ever fresh Atsuko 'duckinator' Sakura has moved to Saitama. What fun.
524015484187209728,2014-10-20 01:53:21,"You're favourite star, Atsuko 'duckinator' Sakura is going to be signing autographs today in Sapporo. What fun."
523985284338548736,2014-10-19 23:53:21,Miyumi '0x0acebabe' Morohoshi is listening to the Smiths religiously.
523955084947095552,2014-10-19 21:53:21,Princess Emiko 'nominate' Mitsuoka is out on the town in Hiroshima. What a treat.
523924885161381888,2014-10-19 19:53:21,Queen Sayoko 'MarlyDee1' Shinzaki is going to be signing autographs today in Hong Kong. Such a treat.
523894685040136192,2014-10-19 17:53:21,Gorgeous Sayoko 'MarlyDee1' Shinzaki is visiting her boyfriend in Saitama. So much fun.
523864485082456065,2014-10-19 15:53:20,"Our new member, Miyumi '0x0acebabe' Morohoshi is going to be signing autographs tomorrow in Osaka. We hope to see you there."
523834285191876608,2014-10-19 13:53:20,Princess Emiko 'nominate' Mitsuoka is visiting her boyfriend in Hiroshima. What fun.
523804086068867072,2014-10-19 11:53:20,"One of our members, Ruriko 'FluffyPira' Arakawa is visiting her girlfriend in Sapporo. Bliss."
523773886920658945,2014-10-19 09:53:20,Beautiufl Yumeko 'Woofmute' Isoyama is going to be at a meet and greet today Tokyo. Hope you can make it.
523743686929448960,2014-10-19 07:53:20,Gorgeous Sayoko 'MarlyDee1' Shinzaki is going to be signing autographs tomorrow in Saitama. What a treat.
523713618865840128,2014-10-19 05:53:51,"@kdg962j0 @_Claim_Here Valid commands: Join, News, Nominate &lt;user&gt;��"
523713486799773696,2014-10-19 05:53:20,Queen Miyumi '0x0acebabe' Morohoshi is on vactaion in Edmonton. I love it.
523687167621857280,2014-10-19 04:08:45,RT @0x0acebabe: apparently there are pumpkin riots?????
523683287253127168,2014-10-19 03:53:19,Beautiufl Atsuko 'duckinator' Sakura is going to be at a book signing tomorrow in New York. We hope to see you there.
523630810914914304,2014-10-19 00:24:48,"RT @tenderlove: @duckinator yes, one of these: https://t.co/9y6keCYEr8"
523629587733827585,2014-10-19 00:19:56,The ever fresh Masae 'nerdpositive' Aida is going to be at a book signing today in Kyoto. We hope to see you there.
523599387411644416,2014-10-18 22:19:56,Sayoko 'MarlyDee1' Shinzaki has left her boyfriend.
523569187730767872,2014-10-18 20:19:56,Ruriko 'FluffyPira' Arakawa has left her boyfriend.
523538988456755200,2014-10-18 18:19:56,Miyumi '0x0acebabe' Morohoshi is on tour of America.
523508789275029504,2014-10-18 16:19:56,Sayoko 'MarlyDee1' Shinzaki is singing the national anthem at a baseball game.
523478589443166208,2014-10-18 14:19:56,"Japan's sweetheart, Emiko 'nominate' Mitsuoka is visiting her family in Seoul. Hope to see you there."
523448390282379264,2014-10-18 12:19:56,Emiko 'nominate' Mitsuoka is listening to the Smiths religiously.
523418191318773760,2014-10-18 10:19:56,"The cold hard bitch, Miyumi '0x0acebabe' Morohoshi is visiting her family in Yokohama. Such a treat."
523387992019578880,2014-10-18 08:19:56,The ever cute Sayoko 'MarlyDee1' Shinzaki is going to be at a book signing today in Austin. So much fun.
523357791856361472,2014-10-18 06:19:55,Sexy Miyumi '0x0acebabe' Morohoshi is visiting her boyfriend in Nagoya. Such a treat.
523327591877726208,2014-10-18 04:19:55,Miyumi '0x0acebabe' Morohoshi has taken up playing the banjo.
523297392595337216,2014-10-18 02:19:55,Masae 'nerdpositive' Aida has found a boyfriend.
523256473833725953,2014-10-17 23:37:19,"The new hottness, Masae 'nerdpositive' Aida is going to be signing autographs tomorrow in Edmonton. We hope to see you there."
523226758196527105,2014-10-17 21:39:14,"@0x0acebabe Summer babe, Ruriko 'FluffyPira' Arakawa is visiting her boyfriend in Pyongyang. Such a treat."
523226274891046913,2014-10-17 21:37:19,Princess Masae 'nerdpositive' Aida is going to be at a book signing today in Yokohama. What fun.
523196074895609856,2014-10-17 19:37:19,"One of our finest, Masae 'nerdpositive' Aida is going to be at a meet and greet tomorrow Winnipeg. Bliss."
523165875617406976,2014-10-17 17:37:19,"Our new member, Miyumi '0x0acebabe' Morohoshi is going to be at a meet and greet today Tokyo. Hope you can make it."
523135675785572353,2014-10-17 15:37:19,Cutie Emiko 'nominate' Mitsuoka is visiting her boyfriend in Sapporo. Hope to see you there.
523105476612194305,2014-10-17 13:37:19,Sexy Atsuko 'duckinator' Sakura is on vactaion in San Francisco. What a treat.
523075277019426816,2014-10-17 11:37:18,Beautiufl Ruriko 'FluffyPira' Arakawa is visiting her girlfriend in Moscow. What a treat.
523045076898181120,2014-10-17 09:37:18,"One of our members, Emiko 'nominate' Mitsuoka is going to be signing autographs tomorrow in Saitama. Such a treat."
523014877544456192,2014-10-17 07:37:18,"Japan's sweetheart, Masae 'nerdpositive' Aida is visiting her girlfriend in Sao Paulo. What a joy."
522984677301567488,2014-10-17 05:37:18,The ever fresh Ruriko 'FluffyPira' Arakawa is going to be at a book signing today in Kyoto. So much fun.
522962989801295872,2014-10-17 04:11:07,RT @nerdpositive: Ted Elnubnub is my spirit animal.
522954478329552896,2014-10-17 03:37:18,"The cold hard bitch, Yumeko 'Woofmute' Isoyama is going to be signing autographs tomorrow in Pyongyang. Hope to see you there."
522932707052253184,2014-10-17 02:10:47,RT @FluffyPira: Strathcona is sketchy as fuck at night. http://t.co/PA9a3ELdM8
522924278946480128,2014-10-17 01:37:18,"The new hottness, Masae 'nerdpositive' Aida is going to be signing autographs tomorrow in Tokyo. Such a treat."
522877033496338433,2014-10-16 22:29:34,Yumeko 'Woofmute' Isoyama is touring the countryside.
