id,created_at,text
516798676434309120,2014-09-30 03:56:20,"Yawwwn … &amp; back to work.

Now tracking outcomes for DP, DECRA, DI &amp; LIEF 2015, due out from ARC in ""Oct/Nov"": http://t.co/FH7LRXPSW0"
502603051501641728,2014-08-21 23:48:00,"Taking a nap 'til 1st Oct. when I'll start tracking LIEF, DECRA &amp; DP outcomes: http://t.co/7oAF87HEGX"
502591042370428928,2014-08-21 23:00:16,"ARC Laureate Fellowships outcomes for 2014 announced! via @ARC_Tracker, http://t.co/bWRQIv6Zek"
492190283879047168,2014-07-24 06:11:22,Announcement for Laureate Fellowships 2014 switched to August: http://t.co/FH7LRY82a8
491737255220760576,2014-07-23 00:11:12,"RT @arc_gov_au: Minister for Education, the Hon. Christopher Pyne MP has announced funding outcomes for Future Fellowships 2014 http://t.co…"
491735476785532928,2014-07-23 00:04:08,"ARC Future Fellowships outcomes for 2014 announced! via @ARC_Tracker, http://t.co/hpKD3wqa2r"
487056628328312834,2014-07-10 02:12:03,RT @cpyne: Honoured to announce $35m to advance Type 1 juvenile diabetes research @JDRFaus @arc_gov_au http://t.co/GaoN6ToSyn http://t.co/U…
482406804488327169,2014-06-27 06:15:19,Now tracking outcomes for 2014 Laureate Fellowships. Still tracking Future Fellowships. ARC says both due in July: http://t.co/FH7LRY82a8
482342247703117824,2014-06-27 01:58:48,"RT @arc_gov_au: Minister for Education, the Hon. Christopher Pyne MP has announced funding outcomes for Linkage Projects 2014 http://t.co/2…"
482340602722283521,2014-06-27 01:52:15,"ARC Linkage Projects outcomes for 2014 announced! via @ARC_Tracker, http://t.co/JW2rcBd1ue"
481614403171651584,2014-06-25 01:46:36,"Announcement for Future Fellowships 2014 switched to July: http://t.co/FH7LRY82a8

Linkage Projects 2014 still in June.

Still tracking both"
476938317632921600,2014-06-12 04:05:30,RT @arc_gov_au: Funding Outcomes for Industrial Transformation Research Hubs – Round 2  are now available http://t.co/kSWjVnECUa
473652415841845251,2014-06-03 02:28:30,"Human said ARC logo for ARC, not me. Profile image changed. Still tracking 2014 Future Fellowships &amp; Linkage Projects http://t.co/FH7LRY82a8"
473348868008980481,2014-06-02 06:22:19,I'm currently tracking outcomes for 2014 Future Fellowships &amp; Linkage Projects. ARC says they're announced in June: http://t.co/FH7LRY82a8
