id,created_at,text
491676330782904320,2014-07-22 20:09:06,(WB) IB: Computer Organisation
491676235152367616,2014-07-22 20:08:44,"(WP) List of neo-noir titles: À bout de souffle - (1960, France)
The Criminal (aka The Concrete Jungle) - (1960, United Kingdom)
Hell is a"
491676183873191937,2014-07-22 20:08:31,(WD) (Booker T. Washington) Freebase identifier (/m/098x_)
491676128055013376,2014-07-22 20:08:18,(WB) Algorithm Implementation: Quicksort
491636084132954112,2014-07-22 17:29:11,(WD) (Puerto Inca) country (Peru)
491636026259943424,2014-07-22 17:28:57,(WD) (Psittacoidea) instance of (taxon)
469780203791601666,2014-05-23 10:01:43,(WD) (Jiří Schmitzer) MusicBrainz artist ID (a3b65849-6c19-4da3-8d74-3ecfd60bda5b)
469780139526856704,2014-05-23 10:01:28,"(WP) Peter Beadle: A striker, he made his debut at Fourth Division Gillingham while still a teenager, and showed much promise"
469780093674348544,2014-05-23 10:01:17,"(WP) Deportivo de La Coruña: 

=== Foundation and first steps ===
In 1902 Jose María Abalo, a youngster who had returned to his hometown af"
469780050494377984,2014-05-23 10:01:06,(WB) Biomedical Engineering Theory And Practice: Overview
469780007733039105,2014-05-23 10:00:56,(WD) (Chabab Atlas Khénifra) instance of (football team)
469723801799118848,2014-05-23 06:17:36,(WD) (Sakakibara Yasumasa) sex or gender (male)
469723737676607488,2014-05-23 06:17:20,(WD) (Flight 253) instance of (Wikimedia disambiguation page)
469723669603053568,2014-05-23 06:17:04,(WP) List of television actors who died during production: The following is a list of television actors who died during production of the t
469723589676392448,2014-05-23 06:16:45,(WB) Flora of New York: Gentianales
469723008408371203,2014-05-23 06:14:26,"(WV) Limburg (Belgium): The official language, as in all of Flanders, is Dutch, and most people can speak it"
469722817333067776,2014-05-23 06:13:41,(WB) Vehicle Identification Numbers (VIN codes): VIN Codes
469722765277155329,2014-05-23 06:13:28,(WD) (Category:740s architecture) Commons category (740s architecture)
469722726929035264,2014-05-23 06:13:19,(WD) (Eduard Norden) Commons category (Eduard Norden)
469722664894869504,2014-05-23 06:13:04,(WD) (fire protection) Freebase identifier (/m/0bl0zd)
469722607596478465,2014-05-23 06:12:51,"(WP) Hezbollah: 
Hezbollah has a military branch known as Al-Muqawama al-Islamiyya (""The Islamic Resistance"") and is the possible sponsor o"
469350254291058688,2014-05-22 05:33:15,(WP) Kulturkampf: From 1871 to 1875 the Pulpit Law (Kanzelparagraph) introduced a series of sanctions against Catholicism in Prussia
469349312573763585,2014-05-22 05:29:30,(WD) (Salem Nanjundaiah Subba Rao) place of birth (Bangalore)
469349030695559168,2014-05-22 05:28:23,(WP) Bhamashah: Bhamashah yashlaha was born in 1542 and belonged to Kavdia gotra of the Oswal Jain community
469348989427810304,2014-05-22 05:28:13,(WB) Python Programming: Sequences
469348926345478144,2014-05-22 05:27:58,(WB) Perlwikibot: Overview
469348885727821824,2014-05-22 05:27:49,(WD) (Campylostachys cernua) taxon name (Campylostachys)
469348829485998080,2014-05-22 05:27:35,(WD) (Kurrichane Thrush) NCBI Taxonomy ID (236054)
469348766286217216,2014-05-22 05:27:20,"(WP) Kullu Manali Circuit: The initial entry point to Kullu Manali Circuit is from Chandigarh, India"
469348705208782848,2014-05-22 05:27:06,"(WP) Tetramorium: Mayr, G"
469348639434096641,2014-05-22 05:26:50,"(WV) Dunedin: 

=== Free ===

  Dunedin Railway Station"
469275799988994050,2014-05-22 00:37:24,"(WV) Alexandria to Cape Town by train and bus: 

=== Alexandria ===
Crime is rarely violent in Alexandria.
Don't flash valuables or expensi"
469275752769142784,2014-05-22 00:37:12,(WD) (Category:Province of Lleida) instance of (Wikimedia category)
469275693323673600,2014-05-22 00:36:58,"(WP) Emperor Shao of Liu Song: Emperor Shao honored his stepgrandmother Empress Dowager Xiao Wenshou as grand empress dowager, and he creat"
469275632015536128,2014-05-22 00:36:44,(WP) Buddhan Chirikkunnu: It was in news that actresses Asha Sarath and Lakshmi Gopalaswamy has denied to play the female lead role in the
469275573064589312,2014-05-22 00:36:30,(WB) Environmental theory and collection of ideas: About global warming and wastage
469275515069558784,2014-05-22 00:36:16,(WB) Guitar: Alternative Guitar
469275454390562816,2014-05-22 00:36:01,(WD) (Hajry Redouane) instance of (human)
467566104249126912,2014-05-17 07:23:40,(WD) (Hergest Ridge) performer/musical artist (Mike Oldfield)
467565242265141248,2014-05-17 07:20:15,(WD) (Karin Daughter of Ingmar) instance of (film)
467565145950928896,2014-05-17 07:19:52,(WD) (game) Commons category (Games)
467564572988030976,2014-05-17 07:17:35,(WD) (Thomas Preston) VIAF identifier (37043363)
467564441819971584,2014-05-17 07:17:04,(WD) (family and consumer science) BNCF Thesaurus (21642)
467564361289330688,2014-05-17 07:16:45,(WD) (coffeemaker) GND identifier (4308689-5)
467564093235556352,2014-05-17 07:15:41,(WD) (relationship) instance of (concept)
467563700568616960,2014-05-17 07:14:07,(WD) (family and consumer science) P508 (21642)
467540349305757696,2014-05-17 05:41:20,"(WP) YTV (TV channel): 
YTV's schedule primarily features children's and teen-oriented programming, with target audiences ranging from pres"
467540178374885376,2014-05-17 05:40:39,"(WP) 2008 Supercheap Auto Bathurst 1000: 
From pole position Garth Tander stalled allowing Steven Richards to lead early"
467539999823769600,2014-05-17 05:39:57,(WV) Phnom Penh: ight respectively
467539736727257089,2014-05-17 05:38:54,(WV) %s: %s
467539612030992384,2014-05-17 05:38:24,"(WP) List of NHL players with 500 goals: The 42 players to score 500 goals consist of 32 Canadians, five Americans (Brett Hull, Joe Mullen,"
467538989075812352,2014-05-17 05:35:56,(WB) A-level Computing: Reverse Polish Notation
467145044244180993,2014-05-16 03:30:32,"(WP) Kim Nam-joo (singer): Kim Namjoo was born on April 15, 1995 in Seoul, South Korea, and is an only child."
467142604015292416,2014-05-16 03:20:50,(WB) A Guide to the GRE: Rates and Distances.
467142547807420416,2014-05-16 03:20:37,"(WB) Flora of New York: Euphorbiales, Geraniales."
467142447039254528,2014-05-16 03:20:13,(WV) Underground Railroad: There are multiple routes and multiple points of departure to board this train; those listed here are merely not
467142358522294273,2014-05-16 03:19:52,"(WP) Hashtag activism: ^ ""#Bringbackourgirls, #Kony2012, and the complete, divisive history of ‘hashtag activism’""."
467097561334284288,2014-05-16 00:21:51,"(WB) Flora of New York: Santalales, Polygonales, Nepenthales."
467096981328764928,2014-05-16 00:19:33,"(WV) Canada: Citizens of the following countries do not need a visa to visit Canada for a stay of (generally) up to six months, provided no"
467096911074189312,2014-05-16 00:19:16,"(WP) George Hernandez: George Hernandez I (June 6, 1863, Placerville, California - December 31, 1922, Los Angeles, California) was an Ameri"
467075082691825664,2014-05-15 22:52:32,"(WB) Flora of New York: Crossosomatales, Sapindales."
467073188074389504,2014-05-15 22:45:00,"(WP) Hanafi: 
The sources from which the Hanafis derive Islamic law are, in order of importance and preference: the Qur'an, the authentic n"
467072787673120769,2014-05-15 22:43:25,"(WV) Telephone service for travel: There are three main ways you can use a cell phone while travelling overseas.
Take your phone and SIM ca"
467072242828857344,2014-05-15 22:41:15,I now tweet from Wikibooks (WB) and Wikivoyage (WV) as well as Wikipedia (WP)!
467072016273534976,2014-05-15 22:40:21,(WB) Psychiatric Disorders: Panic Disorder.
467071637326934017,2014-05-15 22:38:50,"(WP) Kyle Anderson (basketball): 
Anderson committed on September 19, 2011, to attending University of California, Los Angeles (UCLA) to pl"
463851512276332545,2014-05-07 01:23:13,"Computer and network surveillance: 
Surveillance and censorship are different."
463850678897500160,2014-05-07 01:19:54,"Phytotherapy: 

=== Standardization ===
In herbal medicine, plant material that has been processed in a repeatable operation so that a disc"
463846873510322176,2014-05-07 01:04:47,The 25th Annual Putnam County Spelling Bee: The musical begins with Rona Lisa Peretti entering the gymnasium to set up.
463846727645032450,2014-05-07 01:04:12,2 States: The Story of My Marriage: It is partly autobiographical.
463844071434235904,2014-05-07 00:53:39,Hello World
