id,created_at,text
526433094392229888,2014-10-26 18:00:05,Space Alert: $34.59(historical low: $35.43) http://t.co/rOqy96KPBg #tabletop #boardgames
526395334918803457,2014-10-26 15:30:02,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $22.92(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
526168847821180929,2014-10-26 00:30:03,Civilization Wisdom and Warfare Expansion: $24.21(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
526070706677637120,2014-10-25 18:00:05,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $22.12(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
525897051318390784,2014-10-25 06:30:02,Small World Be Not Afraid Expansion Board Game: $17.01(historical low: $16.26) http://t.co/bFob4Y0H2y #tabletop #boardgames
525723417828274176,2014-10-24 19:00:04,Civilization Wisdom and Warfare Expansion: $24.33(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
525670586618363904,2014-10-24 15:30:08,Civilization: The Board Game: $34.60(historical low: $35.39) http://t.co/5lCPwpCdm2 #tabletop #boardgames
525610167967027200,2014-10-24 11:30:04,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
525579974284017664,2014-10-24 09:30:05,Power Grid the Robots: $9.98(historical low: $9.03) http://t.co/Dnbd6RFP9c #tabletop #boardgames
525489366592794624,2014-10-24 03:30:02,Warhammer Invasion LCG: Days of Blood Battle Pack: $10.51(historical low: $9.66) http://t.co/cBpflMpfu7 #tabletop #boardgames
525391221217591297,2014-10-23 21:00:03,Civilization Wisdom and Warfare Expansion: $24.41(historical low: $23.99) http://t.co/KNzh3zONHh #tabletop #boardgames
525172282327437312,2014-10-23 06:30:03,Galaxy Trucker: Latest Models: $16.96(historical low: $16.55) http://t.co/mjFxtqLNKs #tabletop #boardgames
525089237222191104,2014-10-23 01:00:04,Ticket To Ride: Nordic Countries: $34.33(historical low: $33.95) http://t.co/pAGSmPuCRh #tabletop #boardgames
525059039638474753,2014-10-22 23:00:04,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $23.38(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
525043951107973120,2014-10-22 22:00:07,Warhammer Invasion LCG: Days of Blood Battle Pack: $10.51(historical low: $9.66) http://t.co/cBpflMpfu7 #tabletop #boardgames
524840089663205376,2014-10-22 08:30:03,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $23.89(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
524787249989185537,2014-10-22 05:00:05,Small World Be Not Afraid Expansion Board Game: $17.06(historical low: $16.26) http://t.co/bFob4Y0H2y #tabletop #boardgames
524719301811400704,2014-10-22 00:30:05,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
524666456756060161,2014-10-21 21:00:05,Cyclades Board Game: $42.35(historical low: $43.90) http://t.co/pgRPKWDYRb #tabletop #boardgames
524455052434362368,2014-10-21 07:00:03,Small World Be Not Afraid Expansion Board Game: $16.98(historical low: $16.26) http://t.co/bFob4Y0H2y #tabletop #boardgames
524394655966711808,2014-10-21 03:00:03,Galaxy Trucker: Latest Models: $16.76(historical low: $16.55) http://t.co/mjFxtqLNKs #tabletop #boardgames
524138017733083136,2014-10-20 10:00:16,Summoner Wars Master Set: $29.32(historical low: $29.99) http://t.co/1TL7IC4bXS #tabletop #boardgames
524054915287486464,2014-10-20 04:30:02,Carcassonne Inns and Cathedrals Expansion Board Game: $15.29(historical low: $14.39) http://t.co/pyvDW1HfvR #tabletop #boardgames
523956777914605568,2014-10-19 22:00:05,Galaxy Trucker: Latest Models: $16.96(historical low: $16.55) http://t.co/mjFxtqLNKs #tabletop #boardgames
523624588429631490,2014-10-19 00:00:05,Galaxy Trucker: Latest Models: $17.36(historical low: $16.55) http://t.co/mjFxtqLNKs #tabletop #boardgames
523299942832427009,2014-10-18 02:30:03,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $21.72(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
523284849218437120,2014-10-18 01:30:04,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
523284848115322880,2014-10-18 01:30:04,Civilization Wisdom and Warfare Expansion: $23.86(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
523005504453615616,2014-10-17 07:00:03,Small World Grand Dames Expansion Board Game (2nd Printing): $10.16(historical low: $9.51) Error #tabletop #boardgames
522967759718604800,2014-10-17 04:30:04,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $21.85(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
522937556246089728,2014-10-17 02:30:03,Catan: Junior: $23.35(historical low: $22.49) http://t.co/CmWOxU23gW #tabletop #boardgames
522695959831384065,2014-10-16 10:30:02,Dominant Species: $56.86(historical low: $55.90) http://t.co/auz7dDxpTg #tabletop #boardgames
522688417566453760,2014-10-16 10:00:04,Memoir '44 Breakthrough Expansion Board Game: $30.42(historical low: $29.48) http://t.co/8CqlD2BaCs #tabletop #boardgames
522673321263910912,2014-10-16 09:00:05,Days of Wonder Memoir '44 Terrain Pack Expansion Board Game: $25.80(historical low: $24.80) http://t.co/Xv464OvpLZ #tabletop #boardgames
522643118298902528,2014-10-16 07:00:04,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $22.89(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
522635561291366401,2014-10-16 06:30:02,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
522567626929627137,2014-10-16 02:00:05,Ticket To Ride: Nordic Countries: $34.74(historical low: $33.95) http://t.co/pAGSmPuCRh #tabletop #boardgames
522529867338760192,2014-10-15 23:30:03,Caverna: The Cave Farmers: $71.95(historical low: $80.95) http://t.co/IQIM6QAtBG #tabletop #boardgames
522424172937359360,2014-10-15 16:30:03,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $23.18(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
522416619172012033,2014-10-15 16:00:02,Star Wars X-Wing HWK-290 Light Freighter Expansion Pack Game: $10.88(historical low: $11.57) http://t.co/CrigIhFVL2 #tabletop #boardgames
522356226613448705,2014-10-15 12:00:03,Battle Line: $18.48(historical low: $17.74) http://t.co/GLaCXP5UPO #tabletop #boardgames
521646552754819072,2014-10-13 13:00:04,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
521586148653559808,2014-10-13 09:00:03,Space Alert: $34.83(historical low: $35.43) http://t.co/rOqy96KPBg #tabletop #boardgames
521548404891992064,2014-10-13 06:30:04,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $23.23(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
521510656575434755,2014-10-13 04:00:04,Twilight Struggle Deluxe Edition: $42.78(historical low: $42.67) http://t.co/D7A5hzukGz #tabletop #boardgames
521427605833011200,2014-10-12 22:30:03,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
521427604113342464,2014-10-12 22:30:03,Fluxx Board Game: $20.37(historical low: $20.82) http://t.co/3sLkPvDOph #tabletop #boardgames
521329459136176131,2014-10-12 16:00:03,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $23.69(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
521321907476385793,2014-10-12 15:30:03,Civilization Wisdom and Warfare Expansion: $24.66(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
521291705669001217,2014-10-12 13:30:02,Twilight Struggle Deluxe Edition: $43.67(historical low: $42.67) http://t.co/D7A5hzukGz #tabletop #boardgames
521102972067913729,2014-10-12 01:00:04,Civilization Wisdom and Warfare Expansion: $23.57(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
520959529328979970,2014-10-11 15:30:05,Twilight Struggle Deluxe Edition: $43.67(historical low: $42.67) http://t.co/D7A5hzukGz #tabletop #boardgames
520891583470653440,2014-10-11 11:00:05,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $22.40(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
520665083781738496,2014-10-10 20:00:04,Dominion Guilds Board Game: $20.70(historical low: $20.01) http://t.co/vGPionWRje #tabletop #boardgames
520665082124988417,2014-10-10 20:00:03,Civilization Wisdom and Warfare Expansion: $24.41(historical low: $23.99) http://t.co/zp0PLobQr6 #tabletop #boardgames
520604687725121536,2014-10-10 16:00:04,Power Grid - Brazil/Spain &amp; Portugal Expansion: $17.83(historical low: $17.18) http://t.co/ZJhOMuJXQY #tabletop #boardgames
520483890088009730,2014-10-10 08:00:04,Power Grid China &amp; Korea Expansion: $12.57(historical low: $11.83) http://t.co/VCm7xehhTN #tabletop #boardgames
520453691262775297,2014-10-10 06:00:04,Eldritch Horror: $38.37(historical low: $37.37) http://t.co/lI5GZtMub3 #tabletop #boardgames
520446141888876544,2014-10-10 05:30:04,Warhammer Invasion LCG: Cataclysm Expansion: $21.62(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
520370637345288192,2014-10-10 00:30:02,Sentinels of The Multiverse: Vengeance: $22.17(historical low: $23.95) http://t.co/PdMAcPF14Q #tabletop #boardgames
520340445981720576,2014-10-09 22:30:04,Civilization Wisdom and Warfare Expansion: $23.33(historical low: $23.99) http://t.co/zp0PLp2DPi #tabletop #boardgames
519902583532441600,2014-10-08 17:30:09,Ingenious Game (Mass Market Edition): $18.48(historical low: $17.70) http://t.co/LXN4yqHZhY #tabletop #boardgames
519842165770289152,2014-10-08 13:30:05,Warhammer Invasion LCG: Cataclysm Expansion: $21.62(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
519842164558159872,2014-10-08 13:30:04,Super Munchkin: $18.17(historical low: $17.43) http://t.co/GupLsrt41G #tabletop #boardgames
519842163329208320,2014-10-08 13:30:04,Spartacus: a Game of Blood and Treachery: $28.29(historical low: $30.21) http://t.co/NU6kGzSxXE #tabletop #boardgames
519260833763717120,2014-10-06 23:00:04,Power Grid: Factory Manager: $25.24(historical low: $25.27) http://t.co/413hZrlqhj #tabletop #boardgames
518664398332628993,2014-10-05 07:30:03,Caverna: The Cave Farmers: $74.99(historical low: $80.95) http://t.co/IQIM6QAtBG #tabletop #boardgames
518536052038840320,2014-10-04 23:00:03,Warhammer Invasion LCG: Hidden Kingdoms Expansion: $24.14(historical low: $23.62) http://t.co/BrVcXx2EUq #tabletop #boardgames
518060424344776704,2014-10-03 15:30:04,Neuroshima Hex Duel   : $21.65(historical low: $25.96) http://t.co/Es7vqEA4QL #tabletop #boardgames
517954807944851458,2014-10-03 08:30:24,Descent Second Edition: Merick Farrow Lieutenant Miniature: $9.11(historical low: $8.65) http://t.co/diF9imNxRp #tabletop #boardgames
517811283056283650,2014-10-02 23:00:05,Twilight Struggle Deluxe Edition: $42.41(historical low: $42.67) http://t.co/D7A5hzukGz #tabletop #boardgames
517713128964894722,2014-10-02 16:30:03,Warhammer Invasion LCG: Cataclysm Expansion: $21.62(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
517531949154324480,2014-10-02 04:30:06,Unpleasant Dreams (Cthulhu Gloom): $12.09(historical low: $11.64) http://t.co/HTSC6Ycysz #tabletop #boardgames
517313000454123521,2014-10-01 14:00:05,Caverna: The Cave Farmers: $70.61(historical low: $80.95) http://t.co/IQIM6QAtBG #tabletop #boardgames
517169551440486400,2014-10-01 04:30:04,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
516995910576791552,2014-09-30 17:00:05,Twilight Struggle Deluxe Edition: $42.28(historical low: $42.67) http://t.co/D7A5hzukGz #tabletop #boardgames
516897755331956738,2014-09-30 10:30:03,Warhammer Invasion LCG: Cataclysm Expansion: $21.87(historical low: $20.88) http://t.co/4IUF7pUs4z #tabletop #boardgames
