id,created_at,text
526467474980483072,2014-10-26 20:16:41,I love @Visa because they’re so lazy and require such little effort yet when u wear them people think you actually at…
526451994538434560,2014-10-26 19:15:11,I love @COVERGIRL because they have the cutest tummies and leggies 😍😍😍😍😍😫😫😫💕💕💕💕
526424085799002112,2014-10-26 17:24:17,I love @craftsman because we love music.
526364103648874496,2014-10-26 13:25:56,I love @cheerios because they are the only day of the week where I don't have to set an alarm.
526303756162330624,2014-10-26 09:26:08,I love @COVERGIRL because they're the cutest and the funniest in EXO! Love them forever!
526227074617319426,2014-10-26 04:21:26,"I love @Burberry because they're so chill. They don't hurt anyone. 
They're just like, 
""Hey man, I want to swim, and may…"
526091098578354176,2014-10-25 19:21:06,I love @CaptainMorganUS because they never change even when the person in it changes.
526076795812990976,2014-10-25 18:24:16,I love @CrystalLight because they make you realise the real meaning of love and friendship.
526059531101421568,2014-10-25 17:15:40,"I love @olivegarden because we can give the boys something back 🙊 
#MTVCLASH One Direction"
526031434150989824,2014-10-25 15:24:01,I love @GM because they hide my ugly when I literally roll out of bed and have to go to southern lol
526001742849130496,2014-10-25 13:26:02,I love @Quaker because they help each other
525941752767606784,2014-10-25 09:27:40,I love @Starbucks because we hate the same things.
525926304411971584,2014-10-25 08:26:16,I love @GeneralMills because we get to do whatever we want lmao 😂😭
525862858614001665,2014-10-25 04:14:10,"I love @revlon because we back each other up, cheer each other on, and win as a family #FTSnation"
525712758172434432,2014-10-24 18:17:43,"I love @benandjerrys because they are funny, hot, good singers, good  looking and their music has a meaning!
#StealMyGirlVEVORecord"
525668823773351937,2014-10-24 15:23:08,I love @Nordstrom Because We Both Out Of Ours Minds &amp;amp; Know It
525652818573545473,2014-10-24 14:19:32,I love @JackDaniels_US because they’re so lazy and require such little effort yet when u wear them people think you actually a…
525592212826894336,2014-10-24 10:18:43,I love @Kmart because they're tukang lawak semua
525548923314651137,2014-10-24 07:26:42,I love @Duracell because they're bitches but they totally get away with it.
525458373597085698,2014-10-24 01:26:53,I love @AETV because they made the music will be launched and is unique
525426171597815808,2014-10-23 23:18:55,"I love @Duracell because we are your favourite"" don't question it just say it! 😍😂😂11"
525277358664601600,2014-10-23 13:27:36,"I love @Crocs because they take the leaks like they dont give a shit. ""dammit hydra"""
524987804703404032,2014-10-22 18:17:01,I love @butterball because they're on my ass at all times and I don't slack off.
524928450067304448,2014-10-22 14:21:09,I love @Titleist because they produce milk
524610455461838848,2014-10-21 17:17:34,I love @redbull because they wait so patiently for us.
524596672186163200,2014-10-21 16:22:47,I love @Applebees because they wait so patiently for us.
524535670992142338,2014-10-21 12:20:24,"I love @benandjerrys because they don't give a shit about skin colour, or nationality, or whatsoever. They're just trying to have fun."
524339940373438465,2014-10-20 23:22:38,I love @butterball because they gave me shelter when no one else did.
524159871164227584,2014-10-20 11:27:06,"I love @umbro because they sell food on them, and who doesn't love food🌞"
523767207335952384,2014-10-19 09:26:48,I love @DuaneReade Because they make me happy😂😂💘💘 @ Heart http://t.co/f4pbLECprE
523722206392492032,2014-10-19 06:27:58,I love @krispykreme because we happened unexpectedly.
523690674818797568,2014-10-19 04:22:41,I love @Dior because we get amazing tours like the OMG music fest ❤️
523661184591859712,2014-10-19 02:25:30,I love @AmericanExpress because they all have unique personality traits
523629193284681728,2014-10-19 00:18:22,I love @americanapparel because they are 10 times more freaky than guys . The head on a million and they fine as helllllll 😩😭😍
523553068969766912,2014-10-18 19:15:53,"I love @LittleDebbie because they're always fresh, never rusty."
523495766145253377,2014-10-18 15:28:11,I love @VirginAmerica because they serve champs while you get mani/pedis
523464226296180736,2014-10-18 13:22:51,I love @AmericanExpress because they have so much choice
523447635412144128,2014-10-18 12:16:56,I love @AXE because they are passionate. Unfortunately the love as passionately as they hate
523237697603649537,2014-10-17 22:22:43,I love @UrbanOutfitters because they are kind and carreing and they write beautiful music and they make me feel better ps love #painkiller
523176430192955392,2014-10-17 18:19:15,I love @hmusa because they don't think that every teenager wants to mug them they're wonderful
523131931374809088,2014-10-17 15:22:26,I love @drpepper because they're chewy :)
523087225945198592,2014-10-17 12:24:47,I love @WholeFoods because they’re so lazy and require such little effort yet when u wear them people think you actually at…
523069850810187777,2014-10-17 11:15:45,"I love @Burberry because they fit me perfectly"", Our Category Merchandise Manager for SM Woman Plus... http://t.co/N3LlRanBtb"
523057551215042561,2014-10-17 10:26:52,I love @RockstarGames because they are humble and grateful
522950396138889218,2014-10-17 03:21:05,I love @RadioShack because they blow me away
522783014695079936,2014-10-16 16:15:58,I love @neimanmarcus because they're showing they care.
522767669024419840,2014-10-16 15:14:59,I love @subaru_usa because they like the way it sounds.
522725616836022272,2014-10-16 12:27:53,I love @AETV because they are so nice good luck @OTYOfficial  love u guys xx
522603484340695042,2014-10-16 04:22:34,I love @Bass_Pro_Shops because they're always available and answer emails within minutes.
522557895938813952,2014-10-16 01:21:25,I love @Chilis because they are solo delicious. http://t.co/LSIGs3xljX
522526497370681344,2014-10-15 23:16:39,I love @Sony because they remind me that after a storm of trouble there's something so beautiful waiting to be seen after💕
522498330299883522,2014-10-15 21:24:44,I love @craftsman because they help me ro escape! #ECDayTrip
522453690435661825,2014-10-15 18:27:21,I love @JohnnieWalkerUS because they're the only people who truly share almost all of my interests
522360051210526720,2014-10-15 12:15:15,I love @drpepper because they are giving me a chance to win passes to see @jakemiller in the garage!!
522242650263392256,2014-10-15 04:28:45,I love @NissanUSA because we all fit togethe…
522194288294121472,2014-10-15 01:16:34,I love @Mariners because they have ONLY Star Trek ringtones and alerts. I'm saying they have ACTUAL TRICORDERS.
522150594945884160,2014-10-14 22:22:57,I love @VictoriasSecret because they are giving me a chance to win passes to see @jakemiller in the garage!!
