id,created_at,text
521955395128922112,2014-10-14 09:27:18,"Laura Palookaville presents: This is a Game Called ‘Hello, Hello, Here is X.X.’ http://t.co/smoJZK8Jg0"
519221806478409728,2014-10-06 20:25:00,RT @DocSoupMan: A powerful heart beats in sublime restored “Burroughs: The Movie” @TheNYFF http://t.co/TQ3VthRHpb #NYFF http://t.co/L3gSI8e…
517680900600266752,2014-10-02 14:21:59,"""@Effiopo 100 years of #William_S_Burroughs: Burroughs on UbuWeb ---&gt; http://t.co/f7cMTB2QMv   [@ubuweb; @BurroughsBot]"""
478888513380048896,2014-06-17 13:14:53,"""@StrangeRichard: WilliamBurroughs QEH event via crowd funding New work by Strange, Turk, Bryars etc http://t.co/4PLc0TZrCq"""
431385547588653056,2014-02-06 11:15:03,"""@IMTgallery 'I wish I was a dirtier old man' @Skionar's William Burroughs interview from 1995: http://t.co/oI2w2GYyh5 (via @Independent)"""
430427418809991169,2014-02-03 19:47:48,"""@CityLightsBooks Burroughs Week Begins at City Lights! http://t.co/lYbnbiZWBY  http://t.co/dhsDATUVLh"""
429714909299871745,2014-02-01 20:36:32,"""@jmlostboys: Will Self on William Burroughs  http://t.co/NypubKGkGE"""
428900552135565312,2014-01-30 14:40:34,"""@GrouchoClubSoho Tonight William Burroughs/Christopher Bucklow preview at Riflemaker 6-9pm http://t.co/h5MjvqFCks"""
425624682688049152,2014-01-21 13:43:26,"""@TPGallery via @LawrenceArtsCtr Great audio #JohnWaters recalls his outings and parties with #Burroughs http://t.co/CQTxU60MjN"""
424961527834103808,2014-01-19 17:48:18,"""@direlog bot that tweets burroughs prose with the word ‘oil’ inserted in place of random nouns"""
423404750525067264,2014-01-15 10:42:13,"""@Culture24 New in exhibition previews: Warhol, Burroughs and Lynch and The Photographers' Gallery: http://t.co/tsG8RzkRo1 @TPGallery"""
421955727234584576,2014-01-11 10:44:19,"""@BluPsyche William S. Burroughs and Keith Haring: Apocalypse   http://t.co/dDNbR19MaS"""
421345080322949120,2014-01-09 18:17:50,"""@sonicshocks 7th February - for one night only Secret London location #Interzone - 100 years of William S Burroughs http://t.co/VBPzlzHLP8"""
420593703913144320,2014-01-07 16:32:07,"""@IMTgallery Creative Observe - New exhibtion of work by William S. Burroughs' at @LawrenceArtsCtr 17 Jan - 2 Mar http://t.co/4HWUUFwDMf"""
420239950748340224,2014-01-06 17:06:26,"“@robinrimbaud: Beyond the Cut-up: William S. Burroughs and the Image conference at @TPGallery looks fascinating 
http://t.co/VyAuf6ZvUf”"
419864852296130561,2014-01-05 16:15:56,"RT @MagicBusSF: ""RetroBites: William S. Burroughs"" on Junkie http://t.co/uw2FuVIkAY @burroughsbot #angelheadedhipster"
419864809765892096,2014-01-05 16:15:46,"RT @malaventura: ""Maintain a static image, even if it's a good image, just won't work"" Interview with @BurroughsBot in Public Domain http:/…"
355368184360075264,2013-07-11 16:49:12,RT @BBC_Arena: William Burroughs original release form for filming with Andy Warhol in 1980 #BBCArena #andywarhol @BurroughsBot http://t.co…
