id,created_at,text
526247298914086913,2014-10-26 05:41:47,The current price of #X11Coin (#XC) is $0.31
526232271800795136,2014-10-26 04:42:05,The current price of #CryptCoin (#CRY) is $0.21
526201966075322369,2014-10-26 02:41:39,The current price of #AnonCoin (#ANC) is $0.31
526171815337807873,2014-10-26 00:41:51,The current price of #ProtoShares (#PTS) is $15.46
526156709312860160,2014-10-25 23:41:49,The current price of #Bitmark (#BTM) is $0.22
526141614981644288,2014-10-25 22:41:50,The current price of #ShadowCoin (#SDC) is $0.11
526111318504656896,2014-10-25 20:41:27,The current price of #URO (#URO) is $1.77
526096382437109760,2014-10-25 19:42:06,The current price of #PrimeCoin (#XPM) is $0.17
526081228215439360,2014-10-25 18:41:53,The current price of #NovaCoin (#NVC) is $0.77
526066157087113216,2014-10-25 17:42:00,The current price of #YBCoin (#YBC) is $0.23
526005799286743041,2014-10-25 13:42:09,The current price of #NameCoin (#NMC) is $0.94
525990633073565697,2014-10-25 12:41:54,The current price of #DarkCoin (#DRK) is $2.00
525960506751086592,2014-10-25 10:42:11,The current price of #Diamond (#DMD) is $0.18
525945369533112321,2014-10-25 09:42:02,The current price of #ShadowCoin (#SDC) is $0.11
525930270869176320,2014-10-25 08:42:02,The current price of #BitShares (#PTS) is $2.05
525899984684982272,2014-10-25 06:41:41,The current price of #ProtoShares (#PTS) is $15.46
525884943898255360,2014-10-25 05:41:55,The current price of #Mining Contract 2 (#MN2) is $14.12
525869867237666816,2014-10-25 04:42:01,The current price of #FibreDark (#FIBRE) is $0.30
525854779944095745,2014-10-25 03:42:04,The current price of #Sync (#SYNC) is $223.23
525839649785131008,2014-10-25 02:41:56,The current price of #YBCoin (#YBC) is $0.23
525824603651076096,2014-10-25 01:42:09,The current price of #AnonCoin (#ANC) is $0.31
525809482031693824,2014-10-25 00:42:04,The current price of #CryptCoin (#CRY) is $0.21
525794380498878464,2014-10-24 23:42:03,"The current price of #42Coin (#42) is $1,751.92"
525779280501149696,2014-10-24 22:42:03,The current price of #BitBar (#BTB) is $1.64
525764184961994752,2014-10-24 21:42:04,The current price of #Diamond (#DMD) is $0.18
525749125439295489,2014-10-24 20:42:14,The current price of #Mining Contract 1 (#MN1) is $1.63
525734042541764610,2014-10-24 19:42:18,The current price of #LiteCoin (#LTC) is $3.72
525718878509621250,2014-10-24 18:42:02,The current price of #DarkCoin (#DRK) is $2.00
