id,created_at,text
507732358649217024,2014-09-05 03:30:02,adit http://t.co/Ioa85JaigW
507724807933145088,2014-09-05 03:00:01,adiposity http://t.co/OW5upW21WC
507717260706729985,2014-09-05 02:30:02,adiposities http://t.co/NIu4TFvXTX
507709708174520320,2014-09-05 02:00:01,adipose http://t.co/iHOq66NPxA
507702160427978754,2014-09-05 01:30:02,adipocere http://t.co/4PGJoDN7vs
507694608348753922,2014-09-05 01:00:01,adieus http://t.co/FNBJvIAnOz
507687061441097729,2014-09-05 00:30:02,adieu http://t.co/JrUgMz3TGO
507679509835821056,2014-09-05 00:00:02,adiathermancy http://t.co/r8ZhGYdI5K
507671962223521792,2014-09-04 23:30:02,adiaphorous http://t.co/1r4rpTKHHK
507664410509205505,2014-09-04 23:00:02,adiaphorism http://t.co/wAcz9zAIvG
507656859478532096,2014-09-04 22:30:01,adiabatically http://t.co/9qJQWwnnMk
507649311291633665,2014-09-04 22:00:02,adiabatic http://t.co/MvpKfIdPM8
507641763574448128,2014-09-04 21:30:02,adhibit http://t.co/59rMp5HfgV
507634212422184960,2014-09-04 21:00:02,adhesives http://t.co/lYfb4yxQRQ
507626663287345155,2014-09-04 20:30:02,adhesiveness http://t.co/mYjFILOMsz
507619113724694529,2014-09-04 20:00:02,adhesively http://t.co/x1Els8l6jr
507611560231985152,2014-09-04 19:30:01,adhesive http://t.co/lJzKFCNUIu
507604014687453184,2014-09-04 19:00:02,adhesion http://t.co/d2CzfZcTAN
507596461819695104,2014-09-04 18:30:01,adhering http://t.co/t5VHAPlK4z
507588911279779841,2014-09-04 18:00:01,adheres http://t.co/vMgoGSrofx
507581364619591680,2014-09-04 17:30:02,adherers http://t.co/XCBfdAMvTX
507573815807717376,2014-09-04 17:00:02,adherer http://t.co/1kOuSfGNfY
507566262096891904,2014-09-04 16:30:01,adherents http://t.co/rlsCkJJBvt
507558713041760256,2014-09-04 16:00:01,adherent http://t.co/DjL3dt1MOO
507551163378450432,2014-09-04 15:30:01,adherence http://t.co/xcDdwcSMdm
507543615720005633,2014-09-04 15:00:02,adhered http://t.co/I3lc24xXwU
507536066719412224,2014-09-04 14:30:02,adhere http://t.co/duHVvUC72B
507528517496492034,2014-09-04 14:00:02,adessive http://t.co/xQIEGwDfc0
507520965513732096,2014-09-04 13:30:02,adermin http://t.co/R1mcqdb5eN
507513414424330240,2014-09-04 13:00:01,adequateness http://t.co/WWbEWy93m8
507505867629940736,2014-09-04 12:30:02,adequately http://t.co/WoF8EOFycf
507498316070801408,2014-09-04 12:00:02,adequate http://t.co/CZ5BKpIpWH
507490765321146368,2014-09-04 11:30:01,adequacy http://t.co/APBBMoBRKS
507483217977303040,2014-09-04 11:00:02,adepts http://t.co/MQ571q9MpY
507475667898744832,2014-09-04 10:30:02,adeptness http://t.co/BOahp1tXWE
507468119036538880,2014-09-04 10:00:02,adeptly http://t.co/9O2WRidfu9
507460567968120832,2014-09-04 09:30:02,adeptest http://t.co/pC1epfMIZx
507453015830167552,2014-09-04 09:00:01,adepter http://t.co/VI0CMk3oJ8
507445469862060032,2014-09-04 08:30:02,adept http://t.co/Kr68l3BX1c
507437919993200640,2014-09-04 08:00:02,adenovirus http://t.co/kRiD5x8xyG
507430368874467330,2014-09-04 07:30:02,adenosine http://t.co/yl5lc610WN
507422819752230913,2014-09-04 07:00:02,adenoma http://t.co/0qcj6pU8JU
507415268885155840,2014-09-04 06:30:02,adenoids http://t.co/4te5PZs3H9
507407720354291712,2014-09-04 06:00:02,adenoidectomy http://t.co/FQTp6Ueai8
507400171374649344,2014-09-04 05:30:02,adenoidal http://t.co/GH6phjYpev
507392619639349248,2014-09-04 05:00:02,adenoid http://t.co/eP75B7l6ma
507385068411580417,2014-09-04 04:30:01,adenocarcinoma http://t.co/oY7wxWdoww
507377521285820416,2014-09-04 04:00:02,adenitis http://t.co/NMqTLNzbS6
507369968640339968,2014-09-04 03:30:01,adenine http://t.co/sgd6Pnhc8r
507362422177280000,2014-09-04 03:00:02,adenectomy http://t.co/2AEPzLi71U
507354869401796610,2014-09-04 02:30:01,ademption http://t.co/1zrgA7H7tB
507347322473177089,2014-09-04 02:00:02,adductors http://t.co/4v2HdJUPAO
507339769806725121,2014-09-04 01:30:01,adductor http://t.co/jxgZ8b4gNy
507332223695994880,2014-09-04 01:00:02,adduction http://t.co/Q88B1pGViA
507324673462243328,2014-09-04 00:30:02,adduct http://t.co/idVwYMYQK6
507317123614404608,2014-09-04 00:00:02,adducing http://t.co/OSp8eNHN7X
507309572084600832,2014-09-03 23:30:02,adducible http://t.co/kSuXYIG5K5
507302022404526081,2014-09-03 23:00:02,adduces http://t.co/4bJFvwtrt7
507294471063490564,2014-09-03 22:30:01,adducers http://t.co/4WCrCRLRXX
507286924919197698,2014-09-03 22:00:02,adducer http://t.co/2oKiD2VKY0
507279372907073537,2014-09-03 21:30:01,adduced http://t.co/A90h6jLU42
507271823310868481,2014-09-03 21:00:01,adduceable http://t.co/fZb43a2xud
507264272418631683,2014-09-03 20:30:01,adduce http://t.co/o5ZQKnXI1Y
507256723476721664,2014-09-03 20:00:01,adds http://t.co/k33UB0QPhn
