id,created_at,text
476383783084896256,2014-06-10 15:21:59,"You get in the biggest fights with the people you care about the most, because they are the relationships you're willing to fight for."
468357994548568065,2014-05-19 11:50:22,"Girls want a guy that can openly say: ""Yes that's my girlfriend and yes I do love her."""
468336015430942720,2014-05-19 10:23:02,"I need to stop getting attached to people so fast, because attachments lead to expectations and expectations lead to disappointments."
457266831539990528,2014-04-18 21:18:02,"I just want you that's it. All your flaws, mistakes, smiles, giggles, jokes, sarcasm. Everything. I just want you."
457252532369121281,2014-04-18 20:21:13,"Believe me when I say this, I really do miss you."
457238286524633088,2014-04-18 19:24:37,I wish you were here to tell me that everything is gonna be okay.
457223849398919168,2014-04-18 18:27:15,"I try not to miss you, I try to let go, but in the end, you're always on my mind."
457209645086420992,2014-04-18 17:30:48,Always be positive. Don't let negative people hold you back from your dreams.
457195276973797377,2014-04-18 16:33:42,It's scary how much one person can mean so much to you.
457180928079433728,2014-04-18 15:36:41,"""Sometimes you have to forget how you feel and remember what you deserve."""
457166331624714242,2014-04-18 14:38:41,Don't allow your wounds to transform you into someone you are not.
457151910227623936,2014-04-18 13:41:23,I have never seen seen a smiling face that was not beautiful.
457137446837182464,2014-04-18 12:43:55,"Take your relationship as a test. If he cheats on you, then he has failed in getting the perfect person."
457123095174598656,2014-04-18 11:46:53,"I wanna be the reason behind your smile, because you surely are the reason behind mine."
457108719113760769,2014-04-18 10:49:45,"""To release the old and embrace the new, some people you know need to become some people you knew."""
457094434920734720,2014-04-18 09:53:00,"When people cut you down or talk behind your back, remember, they took time out of their pathetic lives to think about you."
457080238736809984,2014-04-18 08:56:35,"Don't change yourself just to make someone love you, be yourself &amp; let the right one fall for you."
457066072500228097,2014-04-18 08:00:18,"Don't worry about the people who hate you, worry about the people who love you."
457051510577197056,2014-04-18 07:02:26,"Sometimes, it's not the person you miss. It's the feelings and moments you had with them."
457036861953695744,2014-04-18 06:04:13,"When I text you, that means I miss you. When I don’t text you, that just means I’m waiting for you to miss me."
457022527626153985,2014-04-18 05:07:16,"""Guys, tell her you love her at least once a day. Put a smile on her face."""
457008214232420352,2014-04-18 04:10:23,Delete your message? Done. Delete your contact? Done. Delete you of my life? Sorry I can't promise.
456994024595787776,2014-04-18 03:14:00,"I wanna be the reason behind your smile, because surely you're the reason behind mine."
456979804059758593,2014-04-18 02:17:30,Your crush + fast replies = best feeling.
456965331500552192,2014-04-18 01:19:59,"Maturity has nothing to do with age. Maturity comes from experiences, mistakes, learning, and understanding."
456950990965862400,2014-04-18 00:23:00,"Believe me when I say this, I really do miss you."
456936566250668032,2014-04-17 23:25:41,RT if you're following us and wanted our follow back! ❤
456922125010751488,2014-04-17 22:28:18,"Announcing the winner of the Galaxy Tab soon! For now, keep your entries coming with the hashtag: #TattAwards2013!"
456907848778539009,2014-04-17 21:31:34,Don't question why you are single. Question why there hasn't been anyone out there that made you want to change that.
456893247088898048,2014-04-17 20:33:33,I have never seen seen a smiling face that was not beautiful.
456878936883208193,2014-04-17 19:36:41,#10peopleItreasure... can't it be all my 2 million followers? ;)
456864380655656961,2014-04-17 18:38:51,"#iHateWhenPeopleSay: ""I'm always here for you"" but they're nowhere to be found when I need someone."
456849616315486209,2014-04-17 17:40:11,"Be with someone who knows exactly what they have, not someone who will realize it when they've lost you."
456834714548981760,2014-04-17 16:40:58,"I get jealous, I get mad, I get curious. But it's only because I care."
456819497005887489,2014-04-17 15:40:30,"You can't make the same mistake twice, the second time, it's not a mistake, it's a choice."
456804432785973248,2014-04-17 14:40:38,You can't blame someone for walking away if you didn't do anything to make them stay.
456788107195457536,2014-04-17 13:35:46,"If a person doesn't want to be with you anymore, don't ask questions. Just let it go and they'll realize they lost something good."
456772205540831232,2014-04-17 12:32:34,I want to meet someone who is afraid to lose me.
456757442689241088,2014-04-17 11:33:55,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."
456742327587852288,2014-04-17 10:33:51,Your crush + fast replies = best feeling.
456727132882731008,2014-04-17 09:33:28,I have never seen seen a smiling face that was not beautiful.
456712315040063488,2014-04-17 08:34:35,Grades do not measure intelligence nor does age define maturity.
456697303772839936,2014-04-17 07:34:56,"I just want you that's it. All your flaws, mistakes, smiles, giggles, jokes, sarcasm. Everything. I just want you."
456682476891426816,2014-04-17 06:36:01,Relationships are like drugs. They either kill you or give you the best feeling of your life.
456668214844334080,2014-04-17 05:39:21,"Forgive your enemies, but never forget their names."
450789362498691072,2014-04-01 00:18:53,"Be strong, smile your problems away, things will get better, there's always a rainbow behind rain storm."
450766323727888384,2014-03-31 22:47:21,"People lie, actions don't."
450745238777118720,2014-03-31 21:23:34,"Have you realized that people will tell you they care, but they don't seem to show it unless you get sick, die, or become famous."
450724708351107072,2014-03-31 20:01:59,"A beautiful life does not just happen, it is built daily by prayer, hard work, sacrifice, and love."
450704752175611905,2014-03-31 18:42:41,"I love talking to someone who understands. I don't have to get judged, or worry about the right or wrong things to say."
450685021485953024,2014-03-31 17:24:17,Don't rush things. Anything worth having is worth waiting for.
450664607657365504,2014-03-31 16:03:10,You are never too old to set another goal or to dream a new dream.
450644536084013057,2014-03-31 14:43:24,"The goal isn't to survive, it's to live."
450624347862863872,2014-03-31 13:23:11,"Dont trust words,Trust actions."
450604603348750336,2014-03-31 12:04:43,"There is no growth without change, no change without fear or loss, and no loss without pain."
450584742560153600,2014-03-31 10:45:48,"Good relationship don’t just happen. They take time, patience, and two people who truly want to be together. Remember, only TWO."
450434794187280384,2014-03-31 00:49:58,"A billion feelings, a thousand thoughts, hundreds of memories, all for that one person."
450414392098582528,2014-03-30 23:28:54,"Life isn't getting what you want, but getting what you need."
450394329131917312,2014-03-30 22:09:10,One of the best feeling in the world is when you’re hugging the person you love and they hug you back even tighter.
450374035772149760,2014-03-30 20:48:32,Family : (F)ather (A)nd (M)other (I) (L)ove (Y)ou.
450353931265126401,2014-03-30 19:28:39,"Life can either be accepted or changed. If it is not accepted, it must be changed. If it cannot be changed, then it must be accepted."
450334007754911744,2014-03-30 18:09:28,"""Be strong."" Easy to say, hard to do."
450313624070795264,2014-03-30 16:48:29,"Sometimes people don't want to hurt you, but they don't realize that they already did."
450293470591078401,2014-03-30 15:28:24,"Everything happens for a reason. So don't worry, be happy."
450273579448274945,2014-03-30 14:09:21,You are not fully dressed until you wear a smile.
450253536903692288,2014-03-30 12:49:43,"Don't let me get attached, if you're gonna end up leaving me"
450233636151783425,2014-03-30 11:30:38,Nothing is over until you stop trying.
450084329209622529,2014-03-30 01:37:20,Rules to a better life: 1. Never hate 2. Live simply. 3. Expect a little. 4. Give a lot. 5. Always smile. 6. Live with love. 7. Be with God.
450063839342514177,2014-03-30 00:15:55,Bad times make you appreciate the good times.
450043707090161664,2014-03-29 22:55:55,The best relationship is when you can act like lovers and best friends at the same time.
450023682950193152,2014-03-29 21:36:21,"A true relationship is having someone who accepts your past, supports your present, and encourages your future."
450003364604964864,2014-03-29 20:15:37,"Never accept to be second to someone, when you can be first to someone else."
449983321045356544,2014-03-29 18:55:58,"Move on, be strong inside, smile, look happy and act like there's nothing wrong."
449963356007301120,2014-03-29 17:36:38,"At the end of the day before you close your eyes, be content with were you've been, and proud of who you are!"
449943438645923841,2014-03-29 16:17:29,Be thankful for everything you have.
449923372684554242,2014-03-29 14:57:45,"Dear bestfriend, I honestly don't know what I'd do without you, please never leave me."
