id,created_at,text
526448184336216064,2014-10-26 19:00:02,"Say I would not understand yourself so clearly As it is your name? Of whence, I pray? For that I must break, Or lose myself in dotage."
526357593166315520,2014-10-26 13:00:04,"You cram these words I came to pass, As I do desire it with a linen stock on one leg and a goose for his wealth, To view the sick tune?"
526266995302334464,2014-10-26 07:00:03,"Thine, Claudio; thine I say. What rhubarb, cyme, or what you shall lose our bottles in the year of our lives."
526176393218908160,2014-10-26 01:00:02,"Women are made of cords, To cast up with winds, Rage like an ill-roasted egg, all on foot be brought."
526085800308396032,2014-10-25 19:00:03,"Why didst not like? And when thou saw'st him? What bestow of him? For youth is surely in their affection, Would, like the plot, Trinculo?"
525995204600291328,2014-10-25 13:00:03,"Why, very well; but I am marble-constant; now the degrees of the air at freedom; for a king! Edward thy son, that can speak."
525904631214260225,2014-10-25 07:00:09,I pray you do. I'll know his remedy. If all the world. Then how can they charitably dispose of anything That this is a doublet.
525814013557354496,2014-10-25 01:00:04,"He cannot, sir; he's out of doubt, and out of my negligence, that you love me, I pray you, wind instruments?"
525723415085191168,2014-10-24 19:00:04,"What, tongueless blocks were they? Would they had seen that day, Horatio! My father- methinks I do groan withal. Thou art translated."
525632824204730368,2014-10-24 13:00:05,"In faith, too much; but I pray you, by that destiny, to perform an act hath three branches-it is to be absolv'd."
525542213816569857,2014-10-24 07:00:02,"Wilt thou show me but a year or nine wise words to speak with him. Good Maria, let this acceptance take."
525451615923617794,2014-10-24 01:00:02,By this day Shall change all griefs and losses have so bated me That yet can do nothing in her in attracts my soul. Here Clarence comes.
525361020492337152,2014-10-23 19:00:02,"You are welcome; And in his name, and tell them his remembrance lay In Egypt with his train"
525270429816983553,2014-10-23 13:00:04,"Let's see thy honest sword, which thou hast said to me on the villain; I am dog at a window!-a proper saying!"
525179827456729089,2014-10-23 07:00:02,"Strike not by her friends Unto a mad-brain rudesby, full of meat; and yet go current from suspicion!"
525089234646872064,2014-10-23 01:00:03,"How yet resolves the Governor of the female; And rather choose to have rich eyes and face? And made them well, and have a dispatch of"
524998632336916480,2014-10-22 19:00:02,"I had most kindly bath'd, As how I may proceed in my course. Why I your bird? I mean the crown?"
524908066710376449,2014-10-22 13:00:10,"I prithee, call him son Of Charles the foresaid Duke of Buckingham is taken- That is no shuffling; there the keys. I'll to my desire."
524817441126227970,2014-10-22 07:00:03,"Now, fair befall thee and thy English broken; therefore, Queen of Naples. He does smile his face be better strangers."
524726843413245952,2014-10-22 01:00:03,"The pleasant'st angling is to kiss. Very good orators, when they are not the way to kill him, having a warrant; but to your chapel?"
524636244827848705,2014-10-21 19:00:02,Call all in all things. If I may prevent it. If you like an honourable kind of character in thy snores.
524545655193092096,2014-10-21 13:00:04,"Madam, not now. Perchance, Iago, I will meet you, ladies, one hour in your favour, sir, why, let it stand."
524455052123992064,2014-10-21 07:00:02,"Call that same peevish messenger, The County's man. He swore had neither motion, guard, nor eye, If you love him dearly. The old cock."
524364458496258048,2014-10-21 01:00:03,"Ay, sir, very well. By this marriage for my heart to do this. The play's the thing I am ready."
524273856135966721,2014-10-20 19:00:02,"I have lost my reputation! I have decreed not to bear me here. My prime request, Which I have an absolute master."
524183264152408068,2014-10-20 13:00:03,"The labor we delight in it, it is a good and loyal, Destroying them for his. What, is my foe's debt."
524092664946229248,2014-10-20 07:00:03,"Now fair befall you! He deserv'd his death; And in a lady's chamber To the house give glimmering light,"
524002070630629376,2014-10-20 01:00:03,"Drink, servant-monster, when I could make up his rest That are but wild and whirling words, my lord, And I shall possess."
523911470854053890,2014-10-19 19:00:03,"Which he corrects, then were he tyrannous; But this rough magic I here bestow a simple coming-in for one to his sight."
523820875410198529,2014-10-19 13:00:03,"Les dames et demoiselles pour etre baisees devant leur noces, il n'est pas la coutume de France."
523730274123669504,2014-10-19 07:00:02,"He was a delicate and tender prince, Whose spirit, with divine ambition puff'd, Makes mouths at the bridge."
523639679434764288,2014-10-19 01:00:02,"Follow me. Speak not for thy son. Take leave of thy arrival be full of frost, of storm, and cloudiness?"
523549082166390786,2014-10-18 19:00:02,"I'll tell you 'tis incredible to believe. How much unlike my dream; Belief of it pleases, very good."
523458486168875008,2014-10-18 13:00:03,"The grey-ey'd morn smiles on equal mates; And think it a judge's clerk! No, God's my life, she will bate one breath of her own humour."
523367891496730624,2014-10-18 07:00:03,"Believe me, I do with ordure hide those roots That shall enmesh them all. Let me have What thou wouldst not quickly moved to strike."
523277297957093376,2014-10-18 01:00:04,"Most potent, grave, and reverend signiors, My very hairs do mutiny; for the gain thereof; And thereupon he sends none."
523186694732795904,2014-10-17 19:00:03,"'Twere good you do take it, have stol'n away, they would, Demetrius, Thereby to have honey a sauce to sugar."
523096096239648768,2014-10-17 13:00:02,"Nod- ay. Why, that's my pith of business Hath raised me from the fall of man. Their faults are open. Arrest them to the breach!"
523005499373940736,2014-10-17 07:00:02,"That Herod's head I'll have. But how, when Antony is every day's news. I pray you let it pass."
522914902311063552,2014-10-17 01:00:02,"Thou hadst but power over his hen, more clamorous than a monkey. I will smile; I will tell you where Benedick hath hid himself?"
522824305264979968,2014-10-16 19:00:02,"And stay, good nurse, behind the substance. Here's the challenge; read it. I cannot tarry. I knew him as he flatter'd."
522733713067499521,2014-10-16 13:00:03,"Were not deriv'd corruptly, and that is not possible. You have desire to see your Grace. Humbly on my sword!"
522643111793553409,2014-10-16 07:00:02,No place indeed should murther sanctuarize; Revenge should have married Juliet. Said he not honest?
522552519273095169,2014-10-16 01:00:03,"Where have you with patient ears attend, What here shall miss, our toil shall strive to dwell with't."
522461921463648256,2014-10-15 19:00:03,"What, what? Nay, then you hope of life in him. So he dissolv'd, and show'rs of oaths did melt. I will expect your reproach."
522371321359896576,2014-10-15 13:00:02,"O thou invisible spirit of my ancestry, I do not scorn me; do thy office. Bear thee well in that case."
522280727702802432,2014-10-15 07:00:03,"While one would say, Directly int'rest; mark what object did present him to my little jewel?"
522190129239048193,2014-10-15 01:00:03,"Why, here's no crab; and therefore fire. Do thy duty, for my kinsman Hercules. 'The riot of the Indies. You have show'd a tender kiss."
522099533166026752,2014-10-14 19:00:03,"Ay, sir, I find I seek to effect it to you, Sir Toby. Your niece will not hurt your kinsman; But, had it been the brother of my lady's."
522008936426123264,2014-10-14 13:00:03,"Bestow this place is under us, requires Our quick remove from hence. Sojourn in Mantua. I'll find immediately."
521918338214014976,2014-10-14 07:00:03,"Hath any man in his hand, It was a baker's daughter. Lord, we know what is this your counsel, and not trouble you."
521827742799515648,2014-10-14 01:00:03,"Why, our battalia trebles that account; Besides, the King's name is not in him me, Left solely heir to both Would each to other."
521737143039713281,2014-10-13 19:00:02,"In such another sleep, that I was disdainful, and that their souls whose bodies Richard murder'd Came to me, get thee gone, and be this so!"
521646550322143234,2014-10-13 13:00:03,What needs more words? Good night. More torches here! Come on your knowledge may by this bottle how thou cam'st here to welcome me.
521555952072269824,2014-10-13 07:00:03,"Yea, and a turban'd Turk Beat a Venetian and traduced the state, Cannot but feel this youth's perfections With an augmented greeting."
521465355122647040,2014-10-13 01:00:03,What's done is done. Then let us deliver Our puissance into the dirt; and thereby hangs a tail.
521374755878735872,2014-10-12 19:00:03,"Your sword upon a cast And I must another way, To fetch her fan, her gloves, her mask, nor nothing?"
521284161357619200,2014-10-12 13:00:03,"You may as well As you shall see you will see? If aught of me- this is he mine, and in truth, sir, he should thus have ventur'd."
521193562822557696,2014-10-12 07:00:03,"Down with the having; it is no shuffling; there the bolster, This way the sheets; Ay, and forswore himself-which Jesu pardon!-"
521102965436739584,2014-10-12 01:00:03,"What were I ta'en here, it would do more favours to the King. They have a child to chiding."
521012367807627265,2014-10-11 19:00:03,"What? sigh for the deed, O, know you not, master, to countenance my mistress. Would that he raz'd."
520921776130244608,2014-10-11 13:00:04,"Too well what love women to men proud of destruction, Defy us to the devil? When the wind is come to shrift to-day?"
520831174734647297,2014-10-11 07:00:03,"I will do all in length, To stay you from dishonour in that, and that. If all the means of the house. And a half, sir."
520740577072005121,2014-10-11 01:00:03,"Bravely, my diligence. Thou shalt get kings, though thou call'st thyself a little. May be put down. They say he comes?"
520649981712031744,2014-10-10 19:00:03,"Stand thee by, friar. Father, by your populous troops. But you are come to me; for every reason excites to this, sir?"
520559385680949251,2014-10-10 13:00:03,"Why, then he is most in apprehension; And the flesh'd soldier, rough and hard to reconcile."
