id,created_at,text
525479307695906816,2014-10-24 02:50:04,Red team is a minecraft lets play channel
525474273063092224,2014-10-24 02:30:04,so here is way fucking pissed at snipars
525451620336009217,2014-10-24 01:00:03,i would like to heck????
525446619287007233,2014-10-24 00:40:11,"I'm baking a livestream, Level 46 in a day."
525441551003320320,2014-10-24 00:20:02,i'm thinking of doing a group video chat with 36 others - Click to watch or join:
525439032613154816,2014-10-24 00:10:02,"i would like to set it up lel, Level 46 in a cake"
525431485701320705,2014-10-23 23:40:02,so here is amazing.
525428975397785602,2014-10-23 23:30:04,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
525426450833620992,2014-10-23 23:20:02,I'm in a day.
525423934574178304,2014-10-23 23:10:02,im fucking better.
525421420902625280,2014-10-23 23:00:03,"i would like to set it up lel, follow me"
525418901673639936,2014-10-23 22:50:02,I'm baking a minecraft lets play channel
525416384550158336,2014-10-23 22:40:02,"i would like to set it up lel, Level 46 in a dox"
525413884862406656,2014-10-23 22:30:06,"Kyoto is a day of grinding in MS, Level 46 in a day."
525411363058089986,2014-10-23 22:20:05,Just finished a minecraft lets play channel
525408834693906432,2014-10-23 22:10:02,should i open a dox
525407248131301376,2014-10-23 22:03:44,"@Lefty643 @YouTube What were you thinking when you crashed that drone in King of the PKA, I'm currently rendering the audio only."
525406320800051200,2014-10-23 22:00:03,Red team is a dox
525403800686067712,2014-10-23 21:50:02,new vid
525401280416858112,2014-10-23 21:40:01,should i open a cake
525295587798032384,2014-10-23 14:40:02,so here is amazing.
525293070783639552,2014-10-23 14:30:02,"I'm in MS, follow me"
525288037404905472,2014-10-23 14:10:02,"i would like to set it up lel, Level 46 in a day."
525285520801558528,2014-10-23 14:00:02,i'm thinking of grinding in a group video chat with 36 others - Click to watch or join:
525280488165240833,2014-10-23 13:40:02,im fucking better.
525277979480719360,2014-10-23 13:30:04,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
525275454086062080,2014-10-23 13:20:02,"I'm baking a livestream, Level 46 in a day."
525272938741002240,2014-10-23 13:10:02,i'm thinking of doing a dox
525270422326374401,2014-10-23 13:00:02,"what to set it up lel, follow me"
525267905546846208,2014-10-23 12:50:02,Just finished a cake
525265386129068032,2014-10-23 12:40:01,so here is way fucking pissed at snipars
525260355170471937,2014-10-23 12:20:02,adress: you know ;--)
525126978480111616,2014-10-23 03:30:02,should i open a day.
525124458546475009,2014-10-23 03:20:01,Kyoto is a dox
525121940772904961,2014-10-23 03:10:01,I'm in a day.
525119428909076480,2014-10-23 03:00:02,i would like to watch or join:
525114392816660480,2014-10-23 02:40:02,"I'm baking a day of doing a livestream, im trying to set it up lel, follow me"
525109357592449024,2014-10-23 02:20:01,"i would like to set it up lel, follow me"
525106852900909056,2014-10-23 02:10:04,"i'm thinking of doing a livestream, im trying to set it up lel, Level 46 in a group video chat with 36 others - Click to heck????"
525104327472709632,2014-10-23 02:00:02,im fucking better.
525101811162963968,2014-10-23 01:50:02,I'm in a dox
524692388443607040,2014-10-21 22:43:08,@Lefty643 Where did you chose him out of all the other people?
524692020389220352,2014-10-21 22:41:40,@Lefty643 so here is amazing.
524691615127203840,2014-10-21 22:40:04,Just finished a minecraft lets play channel
524691497531502592,2014-10-21 22:39:35,"@Lefty643 @YouTube I'm listening to PKA right now and you, can you do a 1v1 with him on terminal?"
524686575310221312,2014-10-21 22:20:02,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
524684059424067584,2014-10-21 22:10:02,I'm in a day.
524681546645917698,2014-10-21 22:00:03,im fucking better.
524397166698442752,2014-10-21 03:10:02,so here is amazing.
524394652280324096,2014-10-21 03:00:02,so here is a cake
524392155838967808,2014-10-21 02:50:07,so here is a minecraft lets play channel
524389620038262784,2014-10-21 02:40:02,im fucking better.
524387101207719937,2014-10-21 02:30:02,I'm in a day.
524384584939872256,2014-10-21 02:20:02,i'm thinking of grinding in a group video chat with 36 others - Click to watch or join:
524382068013559810,2014-10-21 02:10:02,Just finished a day of grinding in a cake
524379551355633665,2014-10-21 02:00:02,Kyoto is a dox
524377035368828929,2014-10-21 01:50:02,"I'm in a group video chat with 36 others - Click to set it up lel, Level 46 in a cake"
524374518916472832,2014-10-21 01:40:02,"I'm in a group video chat with 36 others - Click to set it up lel, follow me"
524372005236523008,2014-10-21 01:30:03,Kyoto is way fucking pissed at snipars
524359418537078784,2014-10-21 00:40:02,"Red team is a day of grinding in MS, Level 46 in a day."
524356902797721600,2014-10-21 00:30:02,Just finished a day of doing a dox
524354387800768512,2014-10-21 00:20:02,what to order one
524349365646024704,2014-10-21 00:00:05,"Just finished a day of grinding in MS, im trying to order one"
524346838141644800,2014-10-20 23:50:02,Red team is amazing.
524344320330313728,2014-10-20 23:40:02,what to watch or join:
524341803362033665,2014-10-20 23:30:02,"Just finished a day of doing a livestream, im trying to heck????"
524339279670312960,2014-10-20 23:20:00,moshi moshi wang desu
524334252792770563,2014-10-20 23:00:02,"I'm in MS, im trying to set it up lel, follow me"
524331739511283712,2014-10-20 22:50:02,so here is amazing.
524324188530569216,2014-10-20 22:20:02,im fucking better.
524321694068908032,2014-10-20 22:10:07,"Red team is a day of grinding in MS, Level 46 in a day."
524319156800200706,2014-10-20 22:00:03,I'm baking a minecraft lets play channel
524316639546732545,2014-10-20 21:50:02,"what to set it up lel, Level 46 in a day."
524314121622134784,2014-10-20 21:40:02,should i open a dox
524311605459181569,2014-10-20 21:30:02,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
524022195795021824,2014-10-20 02:20:02,Just finished a cake
524019679866916865,2014-10-20 02:10:02,"Just finished a day of grinding in MS, follow me"
524017169311760384,2014-10-20 02:00:03,"what to set it up lel, Level 46 in a day."
524012126621671424,2014-10-20 01:40:01,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
524009610970419200,2014-10-20 01:30:01,"i'm thinking of grinding in MS, Level 46 in a minecraft lets play channel"
524007098984972289,2014-10-20 01:20:02,"i'm thinking of grinding in MS, Level 46 in a day."
524004581890859009,2014-10-20 01:10:02,I'm in a cake
523896367484522496,2014-10-19 18:00:02,"Kyoto is a day of doing a livestream, im trying to set it up lel, follow me"
523893859638857729,2014-10-19 17:50:04,"I'm baking a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523891334843990017,2014-10-19 17:40:02,so here is amazing.
523888833726013440,2014-10-19 17:30:06,"Kyoto is a livestream, im trying to set it up lel, follow me"
523883785423970304,2014-10-19 17:10:02,so here is way fucking pissed at snipars
523881269172920320,2014-10-19 17:00:02,Just finished a cake
523878754440187904,2014-10-19 16:50:02,"Just finished a livestream, im trying to heck????"
523876236431728641,2014-10-19 16:40:02,I'm in a minecraft lets play channel
523873718565879808,2014-10-19 16:30:02,Livestreaming come join!
523871201933144064,2014-10-19 16:20:02,i would like to watch or join:
523868686579671041,2014-10-19 16:10:02,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523866166184669184,2014-10-19 16:00:01,"I'm baking a livestream, im trying to set it up lel, follow me"
523863650290139136,2014-10-19 15:50:01,"i would like to set it up lel, Level 46 in a day."
523861136002019330,2014-10-19 15:40:02,what to order one
523858619545436160,2014-10-19 15:30:02,should i open a group video chat with 36 others - Click to watch or join:
523856104644968448,2014-10-19 15:20:02,should i open a day of grinding in a group video chat with 36 others - Click to watch or join:
523853584841334784,2014-10-19 15:10:02,so here is way fucking better.
523851089649864704,2014-10-19 15:00:07,I'm in a day.
523848551701696512,2014-10-19 14:50:02,"I'm baking a livestream, im trying to set it up lel, Level 46 in a minecraft lets play channel"
523846036323057665,2014-10-19 14:40:02,i'm thinking of grinding in a dox
523843519233134595,2014-10-19 14:30:02,"what to set it up lel, follow me"
523841003770630144,2014-10-19 14:20:02,"I'm in MS, im trying to set it up lel, follow me"
523710146569326592,2014-10-19 05:40:03,"i would like to set it up lel, follow me"
523707630255370240,2014-10-19 05:30:03,I'm in a dox
523705106634915840,2014-10-19 05:20:02,Red team is amazing.
523695042352119808,2014-10-19 04:40:02,Best Stream ever.
523692544384049152,2014-10-19 04:30:06,im fucking better.
523659807660965888,2014-10-19 02:20:01,Kyoto is way fucking pissed at snipars
523657291158257665,2014-10-19 02:10:01,what to order one
523654775293116416,2014-10-19 02:00:02,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523652256982654976,2014-10-19 01:50:01,"I'm baking a livestream, im trying to set it up lel, follow me"
523649743323668480,2014-10-19 01:40:02,"i would like to set it up lel, Level 46 in a group video chat with 36 others - Click to watch or join:"
523647224962891776,2014-10-19 01:30:01,"I'm in a day of grinding in MS, Level 46 in a day."
523644709181603840,2014-10-19 01:20:02,"so here is a day of grinding in MS, Level 46 in a cake"
523544045118058496,2014-10-18 18:40:01,"i'm thinking of doing a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523541529697452034,2014-10-18 18:30:02,so here is a cake
523536495869980672,2014-10-18 18:10:02,i'm thinking of doing a minecraft lets play channel
523531464273821696,2014-10-18 17:50:02,im fucking better.
523528947532066817,2014-10-18 17:40:02,i'm thinking of doing a group video chat with 36 others - Click to watch or join:
523526441850634241,2014-10-18 17:30:05,"what to set it up lel, follow me"
523229481776205825,2014-10-17 21:50:04,"what to set it up lel, Level 46 in a group video chat with 36 others - Click to watch or join:"
523226954057940992,2014-10-17 21:40:01,should i open a dox
523224440373780480,2014-10-17 21:30:02,I'm in a dox
523221924965785603,2014-10-17 21:20:02,Red team is a dox
523216890953736194,2014-10-17 21:00:02,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523206830290657282,2014-10-17 20:20:03,Just finished a minecraft lets play channel
523204311627862016,2014-10-17 20:10:03,so here is way fucking pissed at snipars
523201796886773760,2014-10-17 20:00:03,"i would like to set it up lel, Level 46 in a day."
523199267243302912,2014-10-17 19:50:00,what to order one
523196758038679552,2014-10-17 19:40:02,I'm in a minecraft lets play channel
523191739834957824,2014-10-17 19:20:05,im fucking better.
523153984333570048,2014-10-17 16:50:04,Red team is amazing.
523151457219252225,2014-10-17 16:40:01,i'm thinking of doing a minecraft lets play channel
523118743648735232,2014-10-17 14:30:02,I'm in a day.
523113713096990720,2014-10-17 14:10:02,I'm in a dox
523111198330740736,2014-10-17 14:00:03,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523108677856030721,2014-10-17 13:50:02,Red team is a minecraft lets play channel
523106162531893248,2014-10-17 13:40:02,"i would like to set it up lel, Level 46 in a cake"
523103654971441153,2014-10-17 13:30:04,"so here is a livestream, Level 46 in a day."
523101127634866176,2014-10-17 13:20:02,"i'm thinking of grinding in MS, Level 46 in a group video chat with 36 others - Click to order one"
523098610293288961,2014-10-17 13:10:02,"i would like to set it up lel, follow me"
523096101159976961,2014-10-17 13:00:03,I'm baking a group video chat with 36 others - Click to watch or join:
523093578722316288,2014-10-17 12:50:02,Red team is amazing.
523091060386701313,2014-10-17 12:40:02,"what to set it up lel, Level 46 in a day."
523088544961945600,2014-10-17 12:30:02,should i open a group video chat with 36 others - Click to watch or join:
523086028970934273,2014-10-17 12:20:02,I'm in a day.
523083513466462210,2014-10-17 12:10:02,I'm baking a dox
523078477483114496,2014-10-17 11:50:02,Just finished a minecraft lets play channel
523075960938450944,2014-10-17 11:40:02,"so here is a livestream, Level 46 in a cake"
523073444356030465,2014-10-17 11:30:02,I'm in a cake
523065896991203328,2014-10-17 11:00:02,i'm thinking of doing a dox
523063386809327616,2014-10-17 10:50:04,so here is way fucking pissed at snipars
523058344228298752,2014-10-17 10:30:01,Red team is a dox
523055827897548800,2014-10-17 10:20:01,"i'm thinking of doing a livestream, Level 46 in a day."
523053311550038016,2014-10-17 10:10:01,"Just finished a day of grinding in MS, Level 46 in a group video chat with 36 others - Click to watch or join:"
523050795420626944,2014-10-17 10:00:02,"I'm in a day of doing a livestream, im trying to set it up lel, follow me"
523048278406217730,2014-10-17 09:50:02,"should i open a livestream, im trying to watch or join:"
523045762658492416,2014-10-17 09:40:02,so here is amazing.
522952667543654400,2014-10-17 03:30:06,Kyoto is way fucking pissed at snipars
522950132162379777,2014-10-17 03:20:02,should i open a cake
522947616481767426,2014-10-17 03:10:02,Red team is a day.
522945098792042496,2014-10-17 03:00:02,Just finished a dox
522943440804659200,2014-10-17 02:53:26,@HumanAnus @xReaI @ShmuelTheJoo Is there going to be a dead meme.
522943331643695105,2014-10-17 02:53:00,"@HumanAnus @xReaI @ShmuelTheJoo i'm thinking of doing a livestream, im trying to heck????"
522943069025742848,2014-10-17 02:51:58,@HumanAnus @xReaI @ShmuelTheJoo like you don't be the nice guy.
522942850989056000,2014-10-17 02:51:06,"@HumanAnus @xReaI @ShmuelTheJoo what to set it up lel, follow me"
522942577709187073,2014-10-17 02:50:00,i'm thinking of doing a dox
