id,created_at,text
492161053867126784,2014-07-24 04:15:13,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492161053586124800,2014-07-24 04:15:13,Blup° Blup° Blup° Blup°
492161050461347840,2014-07-24 04:15:13,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492159775749459970,2014-07-24 04:10:09,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492145965932220416,2014-07-24 03:15:16,Blup'
492145965529571328,2014-07-24 03:15:16,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492145965512806400,2014-07-24 03:15:16,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492145965315670016,2014-07-24 03:15:16,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492144674250162176,2014-07-24 03:10:08,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492130863166279681,2014-07-24 02:15:15,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492130858963578880,2014-07-24 02:15:14,Blup Blup Blup Blup Blup Blup Blup
492130856577011713,2014-07-24 02:15:14,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492130856551862272,2014-07-24 02:15:14,Blup Blup Blup Blup Blup
492129601964220416,2014-07-24 02:10:15,Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492115760559702018,2014-07-24 01:15:15,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492115758722592769,2014-07-24 01:15:14,Blup
492115756650614784,2014-07-24 01:15:14,Blup Blup
492115753630715904,2014-07-24 01:15:13,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492100655205859328,2014-07-24 00:15:13,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492100654622863360,2014-07-24 00:15:13,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492100652823101441,2014-07-24 00:15:13,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492100651695226881,2014-07-24 00:15:12,Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492099376106713088,2014-07-24 00:10:08,Blup' Blup' Blup' Blup' Blup' Blup'
492085564242661378,2014-07-23 23:15:15,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492085563902943232,2014-07-23 23:15:15,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492085563718381568,2014-07-23 23:15:15,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492085563114418176,2014-07-23 23:15:15,Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492084304101801984,2014-07-23 23:10:15,Blup' Blup' Blup' Blup' Blup'
492070459698335744,2014-07-23 22:15:14,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492070459463041026,2014-07-23 22:15:14,Blup Blup Blup Blup Blup Blup Blup
492070458444247040,2014-07-23 22:15:14,Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup' Blup'
492070452219883520,2014-07-23 22:15:12,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492069193265983488,2014-07-23 22:10:12,Blup' Blup' Blup' Blup'
492055395251523585,2014-07-23 21:15:22,Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup Blup
492055393414447104,2014-07-23 21:15:22,Blup'
492055392365862912,2014-07-23 21:15:22,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
492055391199854592,2014-07-23 21:15:21,Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup° Blup°
