id,created_at,text
523505820458582016,2014-10-18 16:08:08,@FartyBatman HODOR!
523447279538429952,2014-10-18 12:15:31,RT @deiveottoni: @HodorBot hodor hodor! http://t.co/dJ1ao9Rojd
523217420249751553,2014-10-17 21:02:08,@Bahziivol HO DORRR?
522934554542473216,2014-10-17 02:18:08,@deiveottoni HO HO Ho HODOR???
522934052333322242,2014-10-17 02:16:08,@deiveottoni HO DORRR?
520318314548322305,2014-10-09 21:02:07,@DecadanceNY H H H HODOR?
519881949452959744,2014-10-08 16:08:10,@amoriaticacid HO HO Ho HODOR!!!
519881437877899264,2014-10-08 16:06:08,@amoriaticacid H H H HODOR!!
519431342761967616,2014-10-07 10:17:37,RT @DecadanceNY: #RaveOfThrones #NYC is THIS FRIDAY. Get your tickets NOW! http://t.co/9msNFH9xrF @I___Hodor___I @h0_dor @HodorBot @hodor
519350436302970880,2014-10-07 04:56:07,@teenyelf H H H HODOR!
519349938673942528,2014-10-07 04:54:09,@BlakeNative HO HO Ho HODOR??
519224116562628608,2014-10-06 20:34:10,@DecadanceNY HO HO Ho HODOR!!!
518929160467935232,2014-10-06 01:02:07,@raymon_imag HO HO Ho HODOR??
518928658330030081,2014-10-06 01:00:08,@raymon_imag HO HO Ho HODOR!!!
518928153360990208,2014-10-06 00:58:07,@raymon_imag H H H HODOR!??
518927652330434560,2014-10-06 00:56:08,@raymon_imag HO HO Ho HODOR???
518927146656735232,2014-10-06 00:54:07,@raymon_imag H H H HODOR!!
518923120506593280,2014-10-06 00:38:07,@raymon_imag HODOR?
517316295097077760,2014-10-01 14:13:10,"RT @SrFlonguer: @Lillopalillo @mejorchef 

- Nombre
- Hodor
- Edad
- Hodor
- Estudios 
- Hodor
- Cargas familiares
- Hodor

@HodorBot"
517284324908228608,2014-10-01 12:06:08,@SrFlonguer HO HO Ho HODOR??
517272378439921664,2014-10-01 11:18:40,"RT @SofaKing_Sloth: ""@JonSnowBastrd: Inspirational quote of the day http://t.co/MxMYFUMkrR""

@HodorBot"
517047765520887808,2014-09-30 20:26:08,@SofaKing_Sloth HODOR??
517007489897103360,2014-09-30 17:46:05,@WickusCoetzee H H H HODOR!
516982335250894848,2014-09-30 16:06:08,@Puff_Daddy_Shep H H H HODOR!!
515958084670611456,2014-09-27 20:16:08,@lizzie_g21 HO HO Ho HODOR!!
515522211332239360,2014-09-26 15:24:07,@oblivion__queen H H H HODOR!!
515466845936443392,2014-09-26 11:44:07,@ElleryLeach1 HO DORRR?
515444702058131456,2014-09-26 10:16:08,@eleanorway H H H HODOR!??!
515439168147963904,2014-09-26 09:54:08,@sheenalogy HODOR!
515156473970962432,2014-09-25 15:10:49,@HieloyFuegoPod HODOR!
514339408326434816,2014-09-23 09:04:05,@RudrajitSarkar H H H HODOR!!
514337394880163840,2014-09-23 08:56:05,@RudrajitSarkar HO HO Ho HODOR!!
514171298142892032,2014-09-22 21:56:04,@Ser_perdido H H H HODOR?
514041255438082048,2014-09-22 13:19:20,@iamdevloper HODOR!
513954267309547520,2014-09-22 07:33:40,"RT @virginiadlp: ¿No teníamos ganas de que saliera? Pues ea, ahí la tenemos :P
@Corominas, te has pasao con la portada, tío xD http://t.co/…"
513185304904474624,2014-09-20 04:38:05,@Pampilosa_ H H H HODOR?
513184797846667264,2014-09-20 04:36:04,@Pampilosa_ HO HO DOR!
512983882908844032,2014-09-19 15:17:43,"RT @BlueSullivan1: @HodorBot loyal fans, i humbly beseech your support for my article about the mighty DJ Hodor http://t.co/Kne9mCTsUp …"
512820911485902848,2014-09-19 04:30:07,@BlueSullivan1 H H H HODOR!??!
511907884515733504,2014-09-16 16:02:05,@Just_Nikos HO HO Ho HODOR!!
511685418979704832,2014-09-16 01:18:05,@kevinisbro HO HO Ho HODOR??
511470003317927936,2014-09-15 11:02:06,@albertochicote HODOR!
511463958327590912,2014-09-15 10:38:04,@Drevney H H H HODOR!??
510704455910948864,2014-09-13 08:20:05,@SanthuneM HO HO Ho HODOR!!!
510480981275738112,2014-09-12 17:32:04,@alpredough HO DORRR?
510369243104555008,2014-09-12 10:08:04,@MovieManiacsMan H H H HODOR!
510368237557907458,2014-09-12 10:04:04,@MovieManiacsMan HO HO Ho HODOR!!!
510366223054680064,2014-09-12 09:56:04,@MovieManiacsMan HODOR?
510365719109050368,2014-09-12 09:54:04,@MovieManiacsMan HO DORRR?
510156846209187840,2014-09-11 20:04:05,@ojedge HODOR!
510155845586657280,2014-09-11 20:00:06,@ojedge HODOR??
508663005006274560,2014-09-07 17:08:05,@ohmeegel HO HO Ho HODOR??
508596473622446082,2014-09-07 12:43:43,RT @Dontos_the_Fool: Bran and Hodors plans for their break of Season 5. http://t.co/MAtCLbO935
508312195030351872,2014-09-06 17:54:05,@TherealElliotB HO HO Ho HODOR!!
508297593508888576,2014-09-06 16:56:04,@gladJAYtor24 HODOR!
508293571758546944,2014-09-06 16:40:05,@glazeaguirre H H H HODOR?
508292056973066240,2014-09-06 16:34:04,@amoriaticacid HO DORRR?
508291555409817600,2014-09-06 16:32:05,@amoriaticacid H H H HODOR!??!
508291056040161281,2014-09-06 16:30:06,@amoriaticacid HODOR!
508291052676337664,2014-09-06 16:30:05,@RapAbragan H H H HODOR!
508058519342690304,2014-09-06 01:06:04,@Plurfest H H H HODOR!??!
508057511363371008,2014-09-06 01:02:04,@Plurfest HO HO Ho HODOR???
507866068975894528,2014-09-05 12:21:21,#wearetherobots #nobots
507850682226200576,2014-09-05 11:20:12,@Red_B_Lyndon H H H HODOR!
507850660176756737,2014-09-05 11:20:07,@ender112 H H H HODOR!??
507708212028911616,2014-09-05 01:54:05,@Scarpatou H H H HODOR!!
507551683107651584,2014-09-04 15:32:05,@tvtype H H H HODOR!??
507505371997798401,2014-09-04 12:28:04,@Jamaodebar HODOR???
507459576724455424,2014-09-04 09:26:05,@0ncle_Ben HO HO Ho HODOR!!!
507293979009101824,2014-09-03 22:28:04,@Jeffckley HODOR???
507272847287656451,2014-09-03 21:04:06,@andreeadeiia H H H HODOR!??!
507271860959318016,2014-09-03 21:00:10,@bbiankam HODOR???
507271857473851393,2014-09-03 21:00:10,@andreeadeiia H H H HODOR!
506101126400593921,2014-08-31 15:28:06,@joorgeecortes HO HO Ho HODOR!!!
505669779420905472,2014-08-30 10:54:04,@LeDevineTout HO HO Ho HODOR!!!
505618447053897728,2014-08-30 07:30:06,@LoVito_BA H H H HODOR?
505502681260371968,2014-08-29 23:50:05,@ew_cris HODOR??
505502183723646976,2014-08-29 23:48:07,@ew_cris HODOR!
505493619273650176,2014-08-29 23:14:05,@mrtcnkyc HODOR!
505493116682768384,2014-08-29 23:12:05,@mrtcnkyc HODOR?
505492611801837568,2014-08-29 23:10:04,@mrtcnkyc H H H HODOR!??!
505190118505070593,2014-08-29 03:08:04,@JFabLlama H H H HODOR!??!
505189616178458624,2014-08-29 03:06:05,@JFabLlama HODOR!
505189116838178816,2014-08-29 03:04:06,@JFabLlama HODOR?
505188610258526209,2014-08-29 03:02:05,@JFabLlama HODOR???
505032086861119488,2014-08-28 16:40:07,@JulioParedes24 HO HO Ho HODOR??
504972617171083264,2014-08-28 12:43:48,RT @goalman2000: @HodorBot real HODOR! #hodorandme http://t.co/zSdsO3JREd
504912789526564864,2014-08-28 08:46:04,@goalman2000 HO HO Ho HODOR!!
504613272772161536,2014-08-27 12:55:54,"RT @DracarysCon: Autógrafo de #Hodor a sortear entre compradores de entrada completa online.
http://t.co/dXrAnV3pik @celspinol http://t.co/…"
504203671664869377,2014-08-26 09:48:17,@JonSnowBastrd ho ho hodor!
504096920672174080,2014-08-26 02:44:06,@maxjthorn H H H HODOR!!
504096917274771456,2014-08-26 02:44:05,@maxjthorn HODOR!
503998769848131584,2014-08-25 20:14:05,@EdLozno HO DORRR?
503958000269557760,2014-08-25 17:32:05,@JFabLlama H H H HODOR!
503952964332322816,2014-08-25 17:12:04,@JFabLlama HO HO Ho HODOR!!!
503759692490092545,2014-08-25 04:24:04,@thegunner13 HO HO Ho HODOR!!
503746104203444224,2014-08-25 03:30:05,@JFabLlama HODOR??
503745599163076608,2014-08-25 03:28:04,@JFabLlama HO HO Ho HODOR??
503447637635633152,2014-08-24 07:44:05,@GamesLogoQuiz HODOR??
503161259454640129,2014-08-23 12:46:07,"RT @advsinpoortaste: Great bar convo... or greatest bar convo?
#starwars #gameofthrones  @HodorBot @Chewbacca @cr_wookie http://t.co/BYE7ai…"
502917642613972993,2014-08-22 20:38:04,@advsinpoortaste HODOR??
502370037890826240,2014-08-21 08:22:05,@GrootBot HO HO DOR!
502363393698070529,2014-08-21 07:55:41,RT @Jugadordetronos: Hodor http://t.co/16Mp7l6gjl
502363285325611008,2014-08-21 07:55:15,"RT @MrtnzDaniela: “@HumordeTronos: Lo dice un sabio:
http://t.co/kUXSQyeent”@HodorBot"
502363259413229568,2014-08-21 07:55:09,RT @im_an_orphan: The most dangerous man in Westeros @hodorhodorhodor @HodorBot #GameOfThrones http://t.co/vRQGeqAbQI
502363093591392256,2014-08-21 07:54:29,RT @grootisme: @HodorBot I AM GROOT.
502174250200236033,2014-08-20 19:24:05,@grootisme HO HO Ho HODOR!!
502173748070711297,2014-08-20 19:22:06,@grootisme HODOR?
502165688656887809,2014-08-20 18:50:04,@grootisme HO HO Ho HODOR!!!
501979468484083713,2014-08-20 06:30:06,@TheVirajPradhan HO HO Ho HODOR??
501809843926466562,2014-08-19 19:16:04,@DowlingAtDaMoon HO DORRR?
500723696269811712,2014-08-16 19:20:06,@MrtnzDaniela HO HO DOR!
500378410397749248,2014-08-15 20:28:04,@im_an_orphan H H H HODOR!!
499923916874592256,2014-08-14 14:22:04,@djkw418 HO HO Ho HODOR??
499631994578673665,2014-08-13 19:02:04,@leavingarrow H H H HODOR!!
499604052658106368,2014-08-13 17:11:03,@JuegodeTronosOf Ho ho HODOR!
499516734840537088,2014-08-13 11:24:04,RT @KristianNairn: really pleased to share this guys.check out my new track with the amazing @kashsimic + the legendary @1amandawilson http…
499516231909933057,2014-08-13 11:22:04,@d_billionlabs HODOR??
498861419824427010,2014-08-11 16:00:05,@YoutuberFangurl HO HO Ho HODOR???
