id,created_at,text
526569040958205953,2014-10-27 03:00:17,Sleeping Labrador Puppy http://t.co/oWtv5JXzXF http://t.co/4o2Mhdqu0P
526553914309869568,2014-10-27 02:00:10,Four Dogs http://t.co/Et7LUA96wY http://t.co/B69RUNT84d
526538809761341442,2014-10-27 01:00:09,siberian husky dog in winter http://t.co/zuJzoMwYvl http://t.co/0sldiT7Hi6
526523712775147520,2014-10-27 00:00:10,Happy Puppy On White Background http://t.co/utNExFWxgG http://t.co/ELafk4wQmV
526508600366485505,2014-10-26 23:00:07,cute doggy and wooden blank board http://t.co/EuTtU1TXDm http://t.co/6G5WnepYbA
526493495528525825,2014-10-26 22:00:05,German shepherd run with disc http://t.co/dzl7qDqYM8 http://t.co/Sc0eHN9OYH
526478425230692353,2014-10-26 21:00:12,French bulldog and shih tzu puppy playing in the garden http://t.co/8zKaQr9a8x http://t.co/5Px8TJ84r2
526463324696084480,2014-10-26 20:00:12,Airedale Terrier Dog http://t.co/IJCIduD4db http://t.co/aqnBsjfVWE
526448236148830209,2014-10-26 19:00:15,Puppy In Photografers Bag http://t.co/iX7yhrKOqy http://t.co/EaXzpyjL8O
526433121638838272,2014-10-26 18:00:11,Little cute Golden Retriever puppy on white carpet http://t.co/DXLpcuNW0j http://t.co/jQ11bTHurJ
526417991198834688,2014-10-26 17:00:04,Yellow Labrador Puppy Playing With A Ball http://t.co/Xnp5vVLsLQ http://t.co/5meRjnyZWX
526402913934266368,2014-10-26 16:00:09,Very Cute Liver And White Collie Cross Springer Spaniel Pet Dog http://t.co/DD1tKJQNo5 http://t.co/2tpm7woz4T
526387811323482113,2014-10-26 15:00:08,Doggie Portrait In A Basket With Flowers. http://t.co/3Vc6Yx9HbM http://t.co/Wjp5iqyd9Q
526372718670012416,2014-10-26 14:00:10,Cute dog theme image 2 - eps10 vector illustration. http://t.co/g7FTFMngna http://t.co/GeMJYkDiPB
526357627832639489,2014-10-26 13:00:12,an images of  Design Cute dogs set http://t.co/oh3jNnhdgh http://t.co/Zz8Wh7xfNQ
526327418173546496,2014-10-26 11:00:09,Black Labrador Puppy Alseep Wearing Cute Hat http://t.co/lQUWeuQud2 http://t.co/sBdKcFFZdM
526312320373620736,2014-10-26 10:00:10,Cute Reddish Lying Christmas Havanese Puppy Dog With A Santa Hat http://t.co/PrWg2wWGlI http://t.co/BwiVm4EszJ
526297198506815488,2014-10-26 09:00:04,French bulldog puppy sleeping in bed http://t.co/3tP8MU0wrF http://t.co/lcKlBCPXl2
526282110806798336,2014-10-26 08:00:07,dog flying in a basket with air balloons http://t.co/rrWeEcYLH7 http://t.co/d8M3c8kfLh
526267007801774080,2014-10-26 07:00:06,Top view of white Labrador puppy lying on the white leather sofa http://t.co/BoU8dLj7cO http://t.co/HLyDcyU2nb
526251899654524928,2014-10-26 06:00:04,side view of a cute black labrador retriever puppy dog's head sleeping http://t.co/cyNCqdY2kM http://t.co/VLvByy7Zs1
526221722027311106,2014-10-26 04:00:09,Portrait Of A Puppy In A Wattled Basket. http://t.co/W4j0XxyAtd http://t.co/kEhkmxRalP
526206639024926722,2014-10-26 03:00:13,Me and my puppy hanging out http://t.co/agqqmYGgGL http://t.co/JPrzzdo1IZ
526191529401270272,2014-10-26 02:00:11,dog on beach http://t.co/INXzjtIPQv http://t.co/Ni7OQOKtLx
526176445564211200,2014-10-26 01:00:15,Boxer http://t.co/WA4x16I3Ka http://t.co/OwOF0r6qT3
526161326897643522,2014-10-26 00:00:10,Beagle http://t.co/CHetke7NGF http://t.co/2C75vrzcYu
526146223812902912,2014-10-25 23:00:09,Holmen Puppy http://t.co/GD5NJ4kxWR http://t.co/tigna1xoTo
526131105607733248,2014-10-25 22:00:05,Puppy With A Rose http://t.co/0RHLzl2DFv http://t.co/3la34daynO
526116038988300290,2014-10-25 21:00:13,chocolate labrador http://t.co/A1xE8PH4RW http://t.co/PsiCcPfchp
526100941830123520,2014-10-25 20:00:13,Puppy With A Pink Bow. http://t.co/RzV52WKe75 http://t.co/Xois0BMe6R
526085848023179264,2014-10-25 19:00:15,"Doberman Puppy Near Gift-box, Studio Shot On White Background http://t.co/1tla12qLZb http://t.co/72txfL9W5h"
526070742669348866,2014-10-25 18:00:13,"Dog, Labrador Retriever http://t.co/elHrgNybtD http://t.co/aPxr1u0knj"
526040508171563008,2014-10-25 16:00:05,Puppy And Hunting Accessories http://t.co/NBt7vrANcs http://t.co/Ot8bBQrLwc
526025440943935488,2014-10-25 15:00:12,Girl Laying Down With Her Pet Labrador Puppy http://t.co/onw6FIfteb http://t.co/Bb8bzY757G
526010337074884608,2014-10-25 14:00:11,Beautiful dog http://t.co/IdbnIP0aJs http://t.co/d0sxEXKprh
525995231754592256,2014-10-25 13:00:10,beautiful labrador retriever puppies http://t.co/YAYjB1fax3 http://t.co/Ubu1S948M4
525980159329832961,2014-10-25 12:00:16,a happy dachshund on fresh grass toned with a retro vintage instagram filter http://t.co/Si1aO5YNYy http://t.co/bUP5yS6VwW
525965037442461696,2014-10-25 11:00:11,Jack Russell Terrier http://t.co/KH98rDNfG6 http://t.co/i7ha8cjzDr
525949932839399424,2014-10-25 10:00:10,French bulldog playing on the beach at Baltic Sea http://t.co/rLUd9RGXjY http://t.co/Z5E4wVHoPD
525934828810936320,2014-10-25 09:00:09,Borkie Dog In The Woods http://t.co/VM4WoDtSaJ http://t.co/ODDzyFZM1D
525919742700564480,2014-10-25 08:00:12,French bulldog puppy at home http://t.co/hu1se1O5O2 http://t.co/jQgLqIHsti
525904633345343489,2014-10-25 07:00:10,Beautiful little puppy sleeping in basket isolated on white http://t.co/pRuBFo8y27 http://t.co/RMBwDjWGpj
525889513986748416,2014-10-25 06:00:05,puppy dog peeking on porch http://t.co/9allMI5y2J http://t.co/9ZbS9OGdgt
525874410365136896,2014-10-25 05:00:04,Golden Retriever Puppy On White Background http://t.co/rdEdKDFJOj http://t.co/kDI28djfBZ
525859336875409408,2014-10-25 04:00:10,Funny Dogs Set Cartoon Illustration http://t.co/pPPM6Eq89b http://t.co/xDCbtYpwDJ
525829120484052992,2014-10-25 02:00:06,"Dog, Labrador Retriever http://t.co/LRoX8CbRIL http://t.co/SQ5PuJG0iL"
525814056301912064,2014-10-25 01:00:14,cute brown dog set http://t.co/zF5qgl7ZX3 http://t.co/iGJpWLeXd8
525798937807294464,2014-10-25 00:00:10,Portrait Of A Small Puppy Of A Decorative Doggie In A Wattled Basket. http://t.co/w1uHg4EJsX http://t.co/YAtsNvUdvt
525783823301496832,2014-10-24 23:00:06,Golden Retriever Puppy 6 Weeks Old http://t.co/Atj4fhGRj2 http://t.co/TsooZAcIq5
525768736545177600,2014-10-24 22:00:09,Beagle Running In Autumn Park http://t.co/GAtLobYIIV http://t.co/yAce7WyfLk
525753616544858113,2014-10-24 21:00:04,Winter Labrador Retriever Puppy Dog http://t.co/jM2vHpdmLq http://t.co/xFR4gh6Q5s
525738549501755392,2014-10-24 20:00:12,Puppy And Hunting Accessories http://t.co/mxbxG0rcZU http://t.co/VrPjspRzt3
525723417048522753,2014-10-24 19:00:04,Puppy With A Red Bow And A Rose http://t.co/MmYmlg0DIc http://t.co/hdGSFInNLI
525708315289194497,2014-10-24 18:00:04,"Cute Pet In House, Pomeranian Grooming Dog Wear Clothes On Bed At Home http://t.co/OJQ9XZAPL9 http://t.co/OUP2XuxdnG"
525693259591720960,2014-10-24 17:00:14,Muzzle Of A Puppy Looking Out Of A Basket. http://t.co/NDEglLCQS0 http://t.co/6AuuGsIR5E
525678160852295680,2014-10-24 16:00:14,Pembroke Welsh Corgi puppy and  kitten http://t.co/Zn9IFLuhxm http://t.co/N7yhV4sVQP
525663041564983296,2014-10-24 15:00:10,Puppy And A Hat With Feathers. http://t.co/UR4dOdJgVs http://t.co/M99p6IyGla
525647940657090561,2014-10-24 14:00:09,Miniature Schnauzer http://t.co/JeqQpTxHin http://t.co/459L0q6GWS
525632823588585472,2014-10-24 13:00:05,Beagle Dog In Park http://t.co/qPgspBy8oC http://t.co/rIZuZqMF43
525602616202760192,2014-10-24 11:00:03,Three Dogs http://t.co/ayJZjmef5D http://t.co/M0IJJFrCe1
525587541391843329,2014-10-24 10:00:09,Puppy sits on a ceramic tile http://t.co/Ml4tFAFAfw http://t.co/jVDFmrPY0o
525572458502713344,2014-10-24 09:00:13,dog retriever on beach http://t.co/ZopPmLeUe8 http://t.co/zIsvAEooZy
525557350565158912,2014-10-24 08:00:11,Cute Westie Puppy http://t.co/YAEUUbikMp http://t.co/29lIv2jNw6
525542227964362752,2014-10-24 07:00:05,Cartoon Dog Over Bone Banner http://t.co/7xFgCKn3dY http://t.co/cxRp0xilQD
525527141598121984,2014-10-24 06:00:09,chocolate labrador http://t.co/fxBlJTtrDp http://t.co/8ibhvMhIIf
525512024827396096,2014-10-24 05:00:04,"Little cute Golden Retriever puppy, isolated on white http://t.co/bxriSNJN31 http://t.co/bJ3iYyZFO5"
525496975685603329,2014-10-24 04:00:16,Two playful puppy http://t.co/iobUaxl2ha http://t.co/RjMBfBXdf7
525481858071789569,2014-10-24 03:00:12,"Cute beige puppy playing with ball on white carpet, on light background http://t.co/P8yVJTkQKt http://t.co/wQZ1l2OWKx"
525466745864454145,2014-10-24 02:00:09,Pug Laying On Weigh Scales http://t.co/bn1vj4sQGM http://t.co/jG4y3oXSNx
525451647099883520,2014-10-24 01:00:09,Miniature Spitz puppy on white http://t.co/CC5q7T1BBp http://t.co/8VubZZfYpb
525436563522854913,2014-10-24 00:00:13,Shih Tzu puppy http://t.co/KnZUMeif6N http://t.co/i9reDqcxlN
525421450594119680,2014-10-23 23:00:10,"Cute beige puppy playing with ball on white carpet, on light background http://t.co/P8yVJTkQKt http://t.co/SAfaaxaUct"
525406351934377985,2014-10-23 22:00:10,West Highland White Terrier http://t.co/00KOMPa6Fl http://t.co/psehiARkdy
525391237374025729,2014-10-23 21:00:06,Dog Window Car http://t.co/kjBv09uT1o http://t.co/DqlbeILEcB
525376154266763266,2014-10-23 20:00:10,active labrador retriever dog on the beach http://t.co/sEbkyGNDjE http://t.co/up4kHKOKPO
525361070995947520,2014-10-23 19:00:14,labrador retriever puppy http://t.co/aMcwbLBgNu http://t.co/pCL39dptt3
525345948151869440,2014-10-23 18:00:09,Rabbit http://t.co/z5r6BsZWR8 http://t.co/mN2ALFCSd2
525330875094147074,2014-10-23 17:00:15,Dogs http://t.co/00Rrs5Hs2T http://t.co/rjzc2aZlr2
525315746239619074,2014-10-23 16:00:08,Chihuahua And Toy Terrier Mixed-breed Puppy http://t.co/nGoW3d4EVP http://t.co/bMrGsZU9wN
525300638956404736,2014-10-23 15:00:06,three Welsh Corgi Pembroke dogs  sitting on the grass http://t.co/Tl1xAmm1yL http://t.co/8l1YD3QJPD
525285556801249280,2014-10-23 14:00:10,Adorable Labrador Retriever Puppies http://t.co/C1S5RHPPMO http://t.co/Xb7GNrj9I3
525270455541055488,2014-10-23 13:00:10,adorable brown labrador retriever puppy http://t.co/6YYJulKYfM http://t.co/IocbhDiLm6
525255366758895616,2014-10-23 12:00:12,Cute Dog http://t.co/A2nYPSmeKo http://t.co/pAN8GLrB0w
525225150908989442,2014-10-23 10:00:08,two pomeranian puppies http://t.co/T30XiOliQ9 http://t.co/0Jq2cH13ft
525210035711131648,2014-10-23 09:00:05,dog wearing a neck bow with tablet pc http://t.co/Cjn14LP36R http://t.co/c7cj77HuDf
525194953040084992,2014-10-23 08:00:09,Funny Curly Super Dog Flying http://t.co/MbCkdC8wcR http://t.co/UIMj8TPuuM
525179841868746752,2014-10-23 07:00:06,Winter Labrador retriever with owner http://t.co/2b1Fb1ALlC http://t.co/twjPBmwNNk
525164732463210496,2014-10-23 06:00:03,siberian husky http://t.co/RlDAbKa2GB http://t.co/bwy4EcNKGd
525149636315873281,2014-10-23 05:00:04,"Little cute Golden Retriever puppy on green carpet, isolated on white http://t.co/EGxAhBeiZr http://t.co/bPplA3lIBb"
525134558573109248,2014-10-23 04:00:09,French bulldog puppy in santa hat  with present boxes over white http://t.co/2lb9pl0pYg http://t.co/qNWwRtnF3M
525119459577856001,2014-10-23 03:00:10,german tiger boxer dog and petit brabancon griffon lying on green grass at autumn background http://t.co/Yyor18Qjdi http://t.co/mlOHaOhUVI
525104377724694528,2014-10-23 02:00:14,The nice puppy looking to the butterfly http://t.co/ZsqTpG8vTE http://t.co/muqQb6Sa3l
525089278087663618,2014-10-23 01:00:14,St Bernard Puppies Isolated On White http://t.co/ZT4bHWWowL http://t.co/e9ctKFTlhQ
525074141083602944,2014-10-23 00:00:05,Akita Inu http://t.co/spVbMCmq83 http://t.co/ybgaxbFlU2
525059034018504704,2014-10-22 23:00:03,Dog Trick or Treating http://t.co/QZj04mRbt4 http://t.co/kH7B8PoPjj
525043979780632576,2014-10-22 22:00:14,Christmas Dog Placeholder http://t.co/BadBVxBrB5 http://t.co/yCjSDxz0oH
525028864402391040,2014-10-22 21:00:10,Smiling Havanese Puppy Dog Head http://t.co/2gePHFwlzN http://t.co/uv28F6sWu5
525013765482614784,2014-10-22 20:00:10,Brabant Chess http://t.co/c8WuF35YuC http://t.co/8Rj47oqBaW
524998676541091841,2014-10-22 19:00:13,Puppies showing affection  to each other http://t.co/uIl2OeFjoL http://t.co/GA08VHTa5O
524983544100433920,2014-10-22 18:00:05,Vector Image Of Beagle Dog http://t.co/95k5SG57Ys http://t.co/WH9QxsAOJq
524968462964498433,2014-10-22 17:00:09,active labrador retriever dog on the beach http://t.co/rXagktfGtE http://t.co/goB8h06mxl
524953343387795456,2014-10-22 16:00:04,Dog Car  Steering Wheel http://t.co/3nYG4B0AzB http://t.co/5rggO1v895
524938266131570688,2014-10-22 15:00:10,Cartoon Dogs Group Coloring Page http://t.co/G7doKy6fFH http://t.co/ZEmSF60Lej
524923171385135104,2014-10-22 14:00:11,birthday dog - french bulldog wearing happy birthday glasses and hat on white background http://t.co/1jlqztHCRy http://t.co/VgvEuW7w0u
524908083278262272,2014-10-22 13:00:14,active labrador retriever dog on the beach http://t.co/rXagktfGtE http://t.co/iGw9C4RNMT
524892975026155521,2014-10-22 12:00:11,labrador retriever puppy http://t.co/LUtkiNccQ6 http://t.co/pq5CsDz282
524877842866515968,2014-10-22 11:00:04,Give me a kiss! http://t.co/932tHASNh4 http://t.co/rTypolTgTx
524862767267053568,2014-10-22 10:00:09,Great Doberman Dog With Ball On White Background http://t.co/nJhIlPpFUW http://t.co/GYawenJTFR
524847646272651264,2014-10-22 09:00:04,Cute Dog Hold Bone Sitting On Violet Background With Hearts http://t.co/i5VzWTKqRw http://t.co/9rbl7NXmeJ
524817444691779584,2014-10-22 07:00:04,Chihuahua And Toy Terrier Mixed-breed Puppy http://t.co/nGoW3d4EVP http://t.co/q9BgTSOzjL
524802366986788864,2014-10-22 06:00:09,Abandoned little puppy seeking home on green grass on natural backgraund http://t.co/P9uGhep2Jm http://t.co/f6BtwZCO1e
524787264963248128,2014-10-22 05:00:08,Puppy blank sign board http://t.co/iJvXta6tVj http://t.co/8Otp3wNd5Z
524772179616235520,2014-10-22 04:00:12,"Cute beige puppy playing with ball on white carpet, on light background http://t.co/P8yVJTkQKt http://t.co/6SO8hZUNrp"
524757046911332354,2014-10-22 03:00:04,Two Cute Labrador Puppies http://t.co/Fx4rdaIdBC http://t.co/xdUspNITZQ
524741984083517441,2014-10-22 02:00:12,Labrador Puppy Sleeping On Black With Red Rose http://t.co/uT1tOs3AbF http://t.co/Vzc9WiNCD5
524726863663759360,2014-10-22 01:00:07,an images of  Design Cute dogs set http://t.co/6NpaVfDRON http://t.co/4RZv5qUWTW
524711766551724032,2014-10-22 00:00:08,labrador retriever puppy http://t.co/3rhxWJHvfG http://t.co/vkNeE83LoR
524696649898418176,2014-10-21 23:00:04,French bulldog puppy at home http://t.co/4QjJEmlJD6 http://t.co/K4fnSMkRdT
524681573485281281,2014-10-21 22:00:09,"Hey, Look At Me, A Golden Puppy With Straw http://t.co/QFLisNLJzO http://t.co/Jb6i62Jc9B"
524666473282015232,2014-10-21 21:00:09,Beagle Dog http://t.co/TEhwm2uCDW http://t.co/sOR0fLfgQ7
524651369920466944,2014-10-21 20:00:08,Puppy And A Hat With Feathers. http://t.co/Ir60hGLrv0 http://t.co/8UanD0vaLW
524636290466455552,2014-10-21 19:00:13,Cute Westie Puppy http://t.co/YAEUUbikMp http://t.co/92oKXPdHFK
524621155471466496,2014-10-21 18:00:05,"Dog and cat together on grass, sunny spring day and blue sky. Panorama http://t.co/FINQOz5UHa http://t.co/pxzII2axS0"
524606084334768128,2014-10-21 17:00:11,Siberian Husky Dog Puppy http://t.co/KSAhNq1QEw http://t.co/gcwN2zTYdh
524590976472743939,2014-10-21 16:00:09,Siberian husky sled dog closeup portrait http://t.co/ERTevvxks5 http://t.co/hgIHciwNNo
524575874205904896,2014-10-21 15:00:09,Dog dressed as mafia gangster with black hat and sunglasses golden retriever http://t.co/4Ie06jbPzi http://t.co/osvFyE7Fes
524560783947337728,2014-10-21 14:00:11,Cute Hairy Dog Cartoon Coloring Page http://t.co/axpHczAok9 http://t.co/xuO7wNv1tk
524545695047745536,2014-10-21 13:00:13,english bulldog wearing silk scarf with matching colorful purse on white background http://t.co/vxcwBx2PEY http://t.co/qKqVeyW6bG
524530591585542144,2014-10-21 12:00:13,Cute Puppy http://t.co/sWyyTsr0hf http://t.co/c9yyJaKWns
524515459870523392,2014-10-21 11:00:05,Labrador Retriever Puppy http://t.co/06yLUnbfAH http://t.co/IiIcnTwHmX
524500377920880641,2014-10-21 10:00:09,Dog And Cat Clip Art http://t.co/VGl1EYAIxY http://t.co/8YoAgZlRv2
524485253495545856,2014-10-21 09:00:03,My Friend  Cute Pet http://t.co/4tnfmhWJ2M http://t.co/gS0NP0fpFO
524470157817958400,2014-10-21 08:00:04,Happy Dog Life poster design http://t.co/GDs7UTqtDw http://t.co/q5BfvZMW5u
524455079722901504,2014-10-21 07:00:09,side view of a cute black labrador retriever puppy dog sniffing something on white background http://t.co/A6wqBbCDoY http://t.co/MgBpde5lOb
524439989208502272,2014-10-21 06:00:11,"Little cute Golden Retriever puppy, isolated on white http://t.co/22Uvmlo4F1 http://t.co/pdCwTkH36Q"
524424864233717760,2014-10-21 05:00:05,"Pet Approved Seal, Mark, Emblem http://t.co/WhC2JAnCcJ http://t.co/h05FYsH3we"
