id,created_at,text
525447440242331649,2014-10-24 00:43:26,Step 380: Put on lots of rings.
525387041560100864,2014-10-23 20:43:26,Step 379: Be hairless.
525326645394014208,2014-10-23 16:43:27,Step 378: Take him bowling.
525266245528993792,2014-10-23 12:43:26,Step 377: Grow a sick mustache.
525205847601713152,2014-10-23 08:43:26,Step 376: Donʼt be feminine.
525145450874036225,2014-10-23 04:43:26,Step 375: Grow an awesome mustache.
525085051415842816,2014-10-23 00:43:26,Step 374: Send him a picture of your chest.
525024654277103616,2014-10-22 20:43:26,Step 373: Put on some leather pants.
524964256240779264,2014-10-22 16:43:26,Step 372: Grow an awesome mustache.
524903857919250432,2014-10-22 12:43:26,Step 371: Be attractive.
524843459593519104,2014-10-22 08:43:26,Step 370: Put on a silk scarf.
524783062417043457,2014-10-22 04:43:26,Step 369: Be masculine.
524722665152446464,2014-10-22 00:43:26,"Step 368: Pierce your ears, but only the left one."
524662266919002112,2014-10-21 20:43:26,Step 367: Grow an ironic beard.
524601867825717249,2014-10-21 16:43:26,Step 366: Wax your legs.
524541470603083778,2014-10-21 12:43:26,Step 365: Pierce your eyebrow.
524481072436740096,2014-10-21 08:43:26,Step 364: Grow a huge mustache.
524420674027134976,2014-10-21 04:43:26,Step 363: Donʼt wax your arms.
524360276636749825,2014-10-21 00:43:26,Step 362: Get an alternative lifestyle haircut.
524299879678365697,2014-10-20 20:43:27,Step 361: Put on a tank top.
524239483353300992,2014-10-20 16:43:27,Step 360: Donʼt wax your genitals.
524179084746579968,2014-10-20 12:43:27,Step 359: Donʼt be feminine.
524118684504035329,2014-10-20 08:43:26,Step 358: Grow a huge mustache.
524058286685843456,2014-10-20 04:43:26,Step 357: Wax your legs.
523997888162975744,2014-10-20 00:43:26,Step 356: Send him a picture of a dog.
523937495906385920,2014-10-19 20:43:27,Step 355: Shave your beard.
523877095215091712,2014-10-19 16:43:27,Step 354: Get an alternative lifestyle haircut.
523816694922235904,2014-10-19 12:43:26,Step 353: Donʼt be ugly.
