id,created_at,text
517496306324221953,2014-10-02 02:08:28,乔治·普拉特·舒尔茨 Wikipedia article edited anonymously by MIT http://t.co/5tsqPxkQAM
517391690521673728,2014-10-01 19:12:46,Paolo Bettini Wikipedia article edited anonymously by MIT http://t.co/KcVzdcZ28J
517349692460765184,2014-10-01 16:25:53,S. P. Kothari Wikipedia article edited anonymously by MIT http://t.co/awLigg6Edg
517241944595234816,2014-10-01 09:17:44,2014 in aviation Wikipedia article edited anonymously by MIT http://t.co/DztLAATnvL
517241377613418496,2014-10-01 09:15:28,2014 in aviation Wikipedia article edited anonymously by MIT http://t.co/ryAOOSI0rE
517240871742631936,2014-10-01 09:13:28,2014 in aviation Wikipedia article edited anonymously by MIT http://t.co/PdPBwjQRKI
516942573370634241,2014-09-30 13:28:08,Dolma Wikipedia article edited anonymously by MIT http://t.co/5ledBYR8TY
516942372845125632,2014-09-30 13:27:20,Dolma Wikipedia article edited anonymously by MIT http://t.co/GGcj5xpM00
516941656554483712,2014-09-30 13:24:29,Sarma (food) Wikipedia article edited anonymously by MIT http://t.co/yogiwIskXo
516698499145285632,2014-09-29 21:18:16,Lenstra–Lenstra–Lovász lattice basis reduction algorithm Wikipedia article edited anonymously by MIT http://t.co/YLv3N88fiB
516517457969045504,2014-09-29 09:18:53,Beechcraft Bonanza Wikipedia article edited anonymously by MIT http://t.co/gpFSKDFwil
516514055641903104,2014-09-29 09:05:21,List of circumnavigations Wikipedia article edited anonymously by MIT http://t.co/tvPNTv0mJK
516512728710922240,2014-09-29 09:00:05,2014 in aviation Wikipedia article edited anonymously by MIT http://t.co/1DF9JCVJTi
516512496572977152,2014-09-29 08:59:10,List of circumnavigations Wikipedia article edited anonymously by MIT http://t.co/gh8bW8ygWy
516416552506523648,2014-09-29 02:37:55,Cuerpo de Infantería de Marina (Chile) Wikipedia article edited anonymously by MIT http://t.co/NoYlBAjk4u
516331521658335232,2014-09-28 21:00:02,Standard Bank Wikipedia article edited anonymously by MIT http://t.co/ZX4ctE7m6p
516297292018880514,2014-09-28 18:44:01,Wilson Kipsang Kiprotich Wikipedia article edited anonymously by MIT http://t.co/OaJKV7Urzr
516279734532313088,2014-09-28 17:34:15,Hydrogen bond Wikipedia article edited anonymously by MIT http://t.co/8qyxzGrcSc
516053029733539840,2014-09-28 02:33:24,National identification number Wikipedia article edited anonymously by MIT http://t.co/SDCIRLlv5F
516016973504057344,2014-09-28 00:10:08,English Dialect Dictionary Wikipedia article edited anonymously by MIT http://t.co/vgsbVnq1iD
515991155268681728,2014-09-27 22:27:32,Modest Mouse Wikipedia article edited anonymously by MIT http://t.co/85Un4oYgbp
515702390428041216,2014-09-27 03:20:05,Pronoun Wikipedia article edited anonymously by MIT http://t.co/z95IMEzivU
515586401208111104,2014-09-26 19:39:11,Aafia Siddiqui Wikipedia article edited anonymously by MIT http://t.co/5tU4BExtps
515577619598024704,2014-09-26 19:04:18,Missing women of Asia Wikipedia article edited anonymously by MIT http://t.co/XO5XeWSNHN
515566930934398976,2014-09-26 18:21:49,Power Matters Alliance Wikipedia article edited anonymously by MIT http://t.co/1UoE2FyiNi
515566413587963904,2014-09-26 18:19:46,Power Matters Alliance Wikipedia article edited anonymously by MIT http://t.co/Bf1wJffggq
515565347014189056,2014-09-26 18:15:32,Power Matters Alliance Wikipedia article edited anonymously by MIT http://t.co/2Bq5QK7GsT
497295736573534208,2014-08-07 08:18:37,Objectivism and homosexuality Wikipedia article edited anonymously by MIT http://t.co/RCNJFmTlqq
497295310985900032,2014-08-07 08:16:56,Talk:Objectivism and homosexuality Wikipedia article edited anonymously by MIT http://t.co/fdGUFxpcRP
497294692539990018,2014-08-07 08:14:28,Talk:Objectivism and homosexuality Wikipedia article edited anonymously by MIT http://t.co/bv9anbpeuV
497294510582681600,2014-08-07 08:13:45,Talk:Objectivism and homosexuality Wikipedia article edited anonymously by MIT http://t.co/hKJlUJA4rv
497291507838496768,2014-08-07 08:01:49,Objectivism and homosexuality Wikipedia article edited anonymously by MIT http://t.co/qx26KbWP76
497245504590585856,2014-08-07 04:59:01,Tom Shields Wikipedia article edited anonymously by MIT http://t.co/gxXUnG8hyr
497012139601977344,2014-08-06 13:31:42,Dennis M. Hanno Wikipedia article edited anonymously by MIT http://t.co/IbexkAfGVP
496834644487450624,2014-08-06 01:46:24,Alexis Herman Wikipedia article edited anonymously by MIT http://t.co/5r3h9fu57s
496737642030301184,2014-08-05 19:20:57,Talk:Al-Aqsa Mosque Wikipedia article edited anonymously by MIT http://t.co/JlPwnQScdB
496736684143542273,2014-08-05 19:17:09,Al-Aqsa Mosque Wikipedia article edited anonymously by MIT http://t.co/hujxGxboQG
496736078314090496,2014-08-05 19:14:44,Al-Aqsa Mosque Wikipedia article edited anonymously by MIT http://t.co/L54C5id2q3
496735256117268480,2014-08-05 19:11:28,Al-Aqsa Mosque Wikipedia article edited anonymously by MIT http://t.co/YLpDaCZU7l
496734310679207937,2014-08-05 19:07:43,Talk:Al-Aqsa Mosque Wikipedia article edited anonymously by MIT http://t.co/bN72E10V8t
496503587674292224,2014-08-05 03:50:54,France–Mauritius relations Wikipedia article edited anonymously by MIT http://t.co/s1MoWpAIgn
496503465435492352,2014-08-05 03:50:25,France–Mauritius relations Wikipedia article edited anonymously by MIT http://t.co/wakYofL1oH
496503308564299776,2014-08-05 03:49:48,France–Mauritius relations Wikipedia article edited anonymously by MIT http://t.co/6OAHEnBLcY
496503208563736576,2014-08-05 03:49:24,France–Mauritius relations Wikipedia article edited anonymously by MIT http://t.co/VqHp5ydmlh
496364260747128832,2014-08-04 18:37:16,Inclusion bodies Wikipedia article edited anonymously by MIT http://t.co/4TqKzVBrAu
496087874379730945,2014-08-04 00:19:00,Dan Blocker Wikipedia article edited anonymously by MIT http://t.co/4xYI3Sc3Y3
495252678201860096,2014-08-01 17:00:14,Power Matters Alliance Wikipedia article edited anonymously by MIT http://t.co/tnkOuovNN5
495049091777568769,2014-08-01 03:31:15,Nicolas Anelka Wikipedia article edited anonymously by MIT http://t.co/oH2CNO4jrT
494879960436199425,2014-07-31 16:19:11,Pareto principle Wikipedia article edited anonymously by MIT http://t.co/hoiqI9cPcN
494879720878907392,2014-07-31 16:18:14,Pareto principle Wikipedia article edited anonymously by MIT http://t.co/ygOEa9GMLq
494843845327462400,2014-07-31 13:55:41,User:Edsu Wikipedia article edited anonymously by MIT http://t.co/XsYKiWaxaB
494722967734337536,2014-07-31 05:55:21,Secure Digital Wikipedia article edited anonymously by MIT http://t.co/feHqEtwTYr
