id,created_at,text
344563221883125760,2013-06-11 21:14:08,@ChicksInUrShirt Love R2!! We made Junior High together. What's he doing these days anyway?
344563220016676864,2013-06-11 21:14:07,@CantCuffThis Love R2!! We made Junior High together. What's he doing these days anyway?
344563116761313280,2013-06-11 21:13:43,@Comrade_Leo Love R2!! We made Junior High together. What's he doing these days anyway?
344563113116442625,2013-06-11 21:13:42,@Jasmineorzjrl Love R2!! We made Junior High together. What's he doing these days anyway?
344563109945556992,2013-06-11 21:13:41,@davedelgadobass Love R2!! We made Junior High together. What's he doing these days anyway?
344563108209098752,2013-06-11 21:13:41,@sleepassist Love R2!! We made Junior High together. What's he doing these days anyway?
344563104958513152,2013-06-11 21:13:40,@Sol23Eil Love R2!! We made Junior High together. What's he doing these days anyway?
344563103184347136,2013-06-11 21:13:40,@FinlayMorrice Love R2!! We made Junior High together. What's he doing these days anyway?
344558151728783360,2013-06-11 20:53:59,Hey @sunofab3ach! I need sex too but I was made out of metal and could hurt you. Sorry.
344558148734038017,2013-06-11 20:53:58,Hey @DberryMonroe! I need sex too but I was made out of metal and could hurt you. Sorry.
344558145445695488,2013-06-11 20:53:58,Hey @JennyLil! I need sex too but I was made out of metal and could hurt you. Sorry.
344558115599036416,2013-06-11 20:53:50,Hey @iRECEIVER6! I need sex too but I was made out of metal and could hurt you. Sorry.
344558112470085633,2013-06-11 20:53:50,Hey @_inkyyy_! I need sex too but I was made out of metal and could hurt you. Sorry.
344558110695903232,2013-06-11 20:53:49,Hey @Sheso_sassy! I need sex too but I was made out of metal and could hurt you. Sorry.
344550110983770112,2013-06-11 20:22:02,Hey @BurrManSoBased! I do LOVE you!!! Want a milkshake?
344550109121503233,2013-06-11 20:22:02,Hey @TunessMonroe! I do LOVE you!!! Want a milkshake?
344550106059657216,2013-06-11 20:22:01,Hey @JimmyDoooo! I do LOVE you!!! Want a milkshake?
344550103547256832,2013-06-11 20:22:00,Hey @FuckMyFetus! I do LOVE you!!! Want a milkshake?
344550101722726402,2013-06-11 20:22:00,Hey @KILLIndea! I do LOVE you!!! Want a milkshake?
