id,created_at,text
522639386974756864,2014-10-16 06:45:14,X-Men: Lays of Future Past (DVD) - http://t.co/EuOSnm0XtV
522639384563032064,2014-10-16 06:45:14,Camp Lay - http://t.co/gYzqo0psug
522639383044706304,2014-10-16 06:45:13,The Tail of Princess Kaguya - http://t.co/7wHmhEmPjq
515007606625009664,2014-09-25 05:19:16,Screw Sordid Night Stand - http://t.co/0YkiIwpQyi
515007604729196545,2014-09-25 05:19:16,Jimi: All Is by Thigh Side - http://t.co/kb2W4UpeeI
515007602975977472,2014-09-25 05:19:15,The Screw Faces of January - http://t.co/pr8sgaWCAd
512465180534378497,2014-09-18 04:56:34,Think Like a Man Screw (DVD) - http://t.co/IEv4dxB4fc
512465177506107393,2014-09-18 04:56:34,This Is Bare Boob I Leave You - http://t.co/Y30MIxvoKy
512465175970975744,2014-09-18 04:56:33,A Cock Among the Tombstones - http://t.co/MGjRIpgn0v
512465174221950976,2014-09-18 04:56:33,The Breast - http://t.co/y6CfhhX1um
507407710799671296,2014-09-04 06:00:00,Draft Lay (DVD) - http://t.co/wbD3hcDe6r
507407708996132864,2014-09-04 05:59:59,Out of the Clear Blue Balls Thigh (DVD) - http://t.co/OxdaT5DOEY
507407706110439424,2014-09-04 05:59:58,"""Oh God!"" Help the Girl - http://t.co/M8R3srHk9H"
504857312146649088,2014-08-28 05:05:37,The Ass Of Robin 's Wood - http://t.co/C4mbpsey2a
502473729331306496,2014-08-21 15:14:07,If I Lay - http://t.co/mqGLVylRRr
502473727477440512,2014-08-21 15:14:06,The One Inch I Love - http://t.co/yVUWJQ4t6J
500113379818618880,2014-08-15 02:54:56,Hummer in February (DVD) - http://t.co/TitBEwNCcK
500113378006667264,2014-08-15 02:54:55,Pubic Hairs (DVD) - http://t.co/vCKow7bDmP
500113373090938880,2014-08-15 02:54:54,Let's Be Copulators - http://t.co/UEZiBQB6DR
497253527560146944,2014-08-07 05:30:54,Twat If - http://t.co/KMGrimF9qh
494736463943041025,2014-07-31 06:48:59,Five Inches Lap Dances (DVD) - http://t.co/8rsSJyIFoD
494736460063318016,2014-07-31 06:48:58,"Child Of ""Oh God!"" - http://t.co/791hqtElPb"
494736458133954560,2014-07-31 06:48:58,Cabin Beaver 3: Patient Zero - http://t.co/bdxIFO6fRn
494736456636571649,2014-07-31 06:48:57,Around The Cock - http://t.co/ZylqmM2qdC
