id,created_at,text
525436580782428160,2014-10-24 00:00:17,"Jumping at Jhkhana, Rajasthan 323803, India (25.4263463,75.8762702) http://t.co/QYlTf1gZyJ"
525255382663692288,2014-10-23 12:00:16,"Jumping at Painted Post, NY, USA (42.1620186,-77.0941366) http://t.co/bHmhJbtrjy"
524349414815838208,2014-10-21 00:00:17,"Jumping at Gdynia, Poland (54.5188898,18.5305409) http://t.co/dcI50GVbX8"
523987021451509761,2014-10-20 00:00:15,"Jumping at Iaouassou, Guinea (7.890433,-8.481244) http://t.co/LstuNZmYZA"
523805837236903937,2014-10-19 12:00:18,"Jumping at Edna Mills, IN 46058, USA (40.415024,-86.66629) http://t.co/WA1tX8NKTQ"
523624631492939776,2014-10-19 00:00:15,"Jumping at Gweedore, Co. Donegal, Ireland (55.0498014,-8.228704) http://t.co/3Ua3Q3Wici"
523081059949617152,2014-10-17 12:00:17,"Jumping at Vzvad, Novgorod Oblast, Russia, 175219 (58.158889,31.47) http://t.co/ld0AQJSLK3"
522899878578778112,2014-10-17 00:00:20,"Jumping at Fyunatovo, Leningrad Oblast, Russia, 188362 (59.573611,29.680556) http://t.co/F5MnAx03Az"
522718671815573504,2014-10-16 12:00:17,"Jumping at Zinnowitz, Germany (54.0754408,13.9084742) http://t.co/NokiGW2un1"
522537477773742080,2014-10-16 00:00:17,"Jumping at Byram Township, NJ, USA (40.9601024,-74.7227291) http://t.co/l4UAvZte4O"
522175081808941056,2014-10-15 00:00:15,"Jumping at Hong Kong, Hong Kong (22.2824605,114.1615709) http://t.co/Mz7kh6LC3X"
521993896411561984,2014-10-14 12:00:17,"Jumping at Onville, France (49.018243,5.965891) http://t.co/Izval3ccpD"
521450305796726784,2014-10-13 00:00:15,"Jumping at Khlong Prasong, Mueang Krabi District, Krabi, Thailand (8.0472348,98.9355737) http://t.co/Sq63jiWLCK"
521269123163365376,2014-10-12 12:00:18,"Jumping at M.M.V.H.S.S Parappil, Kerala 673602, India (11.2649188,76.0087258) http://t.co/vrzIcySkzv"
521087927766773760,2014-10-12 00:00:17,"Jumping at Ogdensburg, NJ, USA (41.0817636,-74.5923824) http://t.co/Yy1od0JzuE"
520725545777393664,2014-10-11 00:00:19,"Jumping at Voerde, Germany (51.6,6.683333) http://t.co/qA69hYP0zg"
520544340071174144,2014-10-10 12:00:16,"Jumping at Diyabeduma, Sri Lanka (7.9297432,80.8709872) http://t.co/vPIpcXFS5B"
520363160310542337,2014-10-10 00:00:19,"Jumping at Gabala, Azerbaijan (40.981389,47.845833) http://t.co/LIApMDuNJx"
520181951786135552,2014-10-09 12:00:16,"Jumping at Yiyang, Hunan, China (28.55386,112.35518) http://t.co/nBxF7Xt6Wx"
519457177564876800,2014-10-07 12:00:16,"Jumping at Wazeerabad, Rajasthan 304021, India (26.2544016,76.005824) http://t.co/VhPikIv4Gl"
518732408020271105,2014-10-05 12:00:18,"Jumping at 4190 Xhoris, Belgium (50.433,5.6) http://t.co/8IltLrAFbN"
518188812846256128,2014-10-04 00:00:15,"Jumping at Egan, LA 70531, USA (30.2368713,-92.505969) http://t.co/WNscolrHox"
518007622109515776,2014-10-03 12:00:15,"Jumping at Pioneer, TN 37847, USA (36.4175798,-84.3140995) http://t.co/TFQnvfmqn3"
517464044169879553,2014-10-02 00:00:16,"Jumping at Nwoya, Uganda (2.633333,32) http://t.co/zQKCQQ9ppU"
516920458818887681,2014-09-30 12:00:15,"Jumping at Evdilos, Greece (37.6315616,26.1777245) http://t.co/pxaTX2Qc8W"
516376858322280449,2014-09-29 00:00:11,"Jumping at Irrigon, OR 97844, USA (45.8956885,-119.4914117) http://t.co/dMdUraYvJ6"
516195663009550336,2014-09-28 12:00:11,"Jumping at Efutino, Nizhny Novgorod Oblast, Russia, 606538 (56.8053698,43.5583868) http://t.co/UtHdksRKJb"
516014491004596224,2014-09-28 00:00:16,"Jumping at Nhoma, Namibia (-19.2292043,20.3025831) http://t.co/jD8RwUEqWB"
515833274938449920,2014-09-27 12:00:11,"Jumping at Knwarthara 182204 (33.1672132,75.8737288) http://t.co/E8fv6ZPkmm"
515470892894535680,2014-09-26 12:00:12,"Jumping at Mpfoubi, Congo (-2,14.316667) http://t.co/LYc3gzKjsB"
515289702220718081,2014-09-26 00:00:13,"Jumping at Iwzlit, Morocco (30.1099082,-8.8285232) http://t.co/FLsW6a9sC1"
513658946062921728,2014-09-21 12:00:10,"Jumping at Mto Wa Mbu, Tanzania (-3.3730579,35.8525338) http://t.co/qOJmzXSwK8"
513477753266769920,2014-09-21 00:00:10,"Jumping at Ciquart, NB E7B, Canada (47.497559,-68.281368) http://t.co/pnhMF9Xjwy"
513115366609158144,2014-09-20 00:00:11,"Jumping at Kyeamba NSW 2650, Australia (-35.4378626,147.6180466) http://t.co/q8Lh9ACkHp"
512753070640357377,2014-09-19 00:00:33,"Jumping at DPG College Kamki Diet N.E. Farm Ka 791001 (28.246031,94.672394) http://t.co/HWzpECNpee"
512390585995771905,2014-09-18 00:00:10,"Jumping at 36120 Pyysalo, Finland (61.5548817,24.1712145) http://t.co/xY5JQViHE2"
512209394101407744,2014-09-17 12:00:10,"Jumping at Yeguvaballeru, Andhra Pradesh 535534, India (18.8652027,83.7514532) http://t.co/Rqp65MV2Gg"
511847009196998656,2014-09-16 12:00:11,"Jumping at Enquin-les-Mines, France (50.587297,2.292044) http://t.co/mkRnOtiO9N"
511665806699405312,2014-09-16 00:00:09,"Jumping at Nyurba, Sakha Republic, Russia (63.283333,118.333333) http://t.co/lpsjF16MTx"
511484619158728705,2014-09-15 12:00:10,"Jumping at Qakhchobak, Afghanistan (34.054806,66.556923) http://t.co/gau2ClK7K6"
510941041529487360,2014-09-14 00:00:11,"Jumping at Duxbury, MA, USA (42.0417525,-70.6722767) http://t.co/bC2AJWjQVW"
510578653454143489,2014-09-13 00:00:11,"Jumping at Afshar, Iran (38.8498939,45.8194351) http://t.co/mZh9i9OFZR"
510397463967309824,2014-09-12 12:00:12,"Jumping at 310 58 Yngered, Sweden (57.016667,12.733333) http://t.co/09mmyMtpT4"
510216268520382465,2014-09-12 00:00:12,"Jumping at Dubai - United Arab Emirates (25.0476643,55.1817407) http://t.co/Wce5zgHRow"
509853877714579456,2014-09-11 00:00:11,"Jumping at Islip, NY, USA (40.7298207,-73.2103934) http://t.co/l1L2wN8DMU"
509672682473127936,2014-09-10 12:00:11,"Jumping at 2481 Ofwegen, The Netherlands (52.1626261,4.6058797) http://t.co/s2VUWfIOqs"
509129096136511488,2014-09-09 00:00:10,"Jumping at Uyuni, Bolivia (-20.4603534,-66.8260649) http://t.co/oPmpPkGLEf"
508947906158927873,2014-09-08 12:00:11,"Jumping at Oeyregave, France (43.528157,-1.101128) http://t.co/Veextotx2E"
508404324796743680,2014-09-07 00:00:11,"Jumping at Nymboida NSW 2460, Australia (-29.9386098,152.7263082) http://t.co/GY6vyJ0jOz"
508223134068408320,2014-09-06 12:00:12,"Jumping at Ajou, France (48.979414,0.783152) http://t.co/xAIwJ54i4F"
508041945596579840,2014-09-06 00:00:13,"Jumping at Sllatin E Ulet (42.3496674,21.3143117) http://t.co/0Jbeh7RXQC"
507860745296822272,2014-09-05 12:00:11,"Jumping at Jria, Georgia (42.3505532,43.5856948) http://t.co/hzR1Kfny31"
507679546406371329,2014-09-05 00:00:10,"Jumping at Fderik, Mauritania (22.6786807,-12.7106394) http://t.co/VFnF4gnE8W"
507498352297390080,2014-09-04 12:00:10,"Jumping at Eiken, Norway (58.478889,7.211944) http://t.co/BU0YiUEsgT"
