id,created_at,text
525496928554217472,2014-10-24 04:00:05,"SELECT tower_type, COUNT(*)         
  FROM towers          
 GROUP BY tower_type;"
525466729070477315,2014-10-24 02:00:05,"SELECT tube_type, COUNT(*)         
  FROM tubes          
 GROUP BY tube_type;"
525436544170340354,2014-10-24 00:00:08,"SELECT machine_name         
  FROM machines          
 WHERE machine_subtype = 'engine';"
525406331260633088,2014-10-23 22:00:05,"SELECT *         
  FROM trees          
 WHERE tree_subtype &lt;&gt; 'European hornbeam'
 ORDER BY trees_name ASC;"
525376132347346944,2014-10-23 20:00:05,"SELECT body_name         
  FROM bodies          
 WHERE body_type IN ('life form', 'human body')
   AND body_subtype &lt;&gt; 'adult body';"
525345936223240192,2014-10-23 18:00:06,"SELECT barrier_name         
  FROM barriers          
 WHERE barrier_type IN ('hurdle', 'fender', 'revetment');"
525315734931800064,2014-10-23 16:00:05,"SELECT *         
  FROM water;"
525285536110768129,2014-10-23 14:00:05,"SELECT *         
  FROM garments          
 WHERE garment_type = 'stomacher';"
525255345724481536,2014-10-23 12:00:07,"SELECT boat_name         
  FROM boats          
 WHERE boat_type = 'cockleshell'
   AND boat_subtype = 'wherry';"
525225138934259712,2014-10-23 10:00:05,"SELECT worship_name         
  FROM worship          
 WHERE worship_subtype &lt;&gt; 'pantheon';"
525194939165335552,2014-10-23 08:00:05,"SELECT swine_name         
  FROM swine          
 WHERE swine_type = 'hog';"
525164741661310976,2014-10-23 06:00:06,"SELECT *         
  FROM organs          
 WHERE organ_type &lt;&gt; 'kidney'
 ORDER BY organs_name DESC;"
525134545839214592,2014-10-23 04:00:06,"SELECT *         
  FROM pork;"
525104343440437248,2014-10-23 02:00:06,"SELECT *         
  FROM structures          
 WHERE structure_type &lt;&gt; 'guide'
   AND structure_subtype &lt;&gt; 'peristyle';"
525074152680849408,2014-10-23 00:00:08,"SELECT *         
  FROM expanses          
 WHERE expanse_type = 'sheet'
 ORDER BY expanses_name DESC;"
525043942895935488,2014-10-22 22:00:05,"SELECT fodder_name         
  FROM fodders          
 WHERE (fodder_type = 'alfalfa'
    OR  fodder_type = 'stover');"
525013744125214721,2014-10-22 20:00:05,"SELECT *         
  FROM compartments          
 WHERE (compartment_type = 'stall'
    OR  compartment_type = 'cable car');"
