id,created_at,text
524953328292483072,2014-10-22 16:00:01,"If this which he avouches does appear, there is nor flying hence nor tarrying here."
524726842419597312,2014-10-22 01:00:02,"Arm, arm, and out!"
524002072006782976,2014-10-20 01:00:04,"'Fear not, till Birnam wood do come to Dunsinane:' -- and now a wood comes toward Dunsinane."
523866142830759936,2014-10-19 15:59:56,"I pull in resolution, and begin to doubt the equivocation of the fiend that lies like truth..."
523730264938541056,2014-10-19 07:00:00,"If thy speech be sooth, I care not if thou dost for me as much."
523639672439062528,2014-10-19 01:00:01,"If thou speak'st false, upon the next tree shalt thou hang alive, till famine cling thee."
520015767644143616,2014-10-09 00:59:55,Liar and slave!
519879879396192256,2014-10-08 15:59:56,"Well, say, sir."
519743993941196800,2014-10-08 06:59:59,"It is a tale told by an idiot, full of sound and fury, signifying nothing."
519653410795040769,2014-10-08 01:00:02,"Life's but a walking shadow, a poor player that struts and frets his hour upon the stage and then is heard no more."
518294473173127168,2014-10-04 07:00:06,"Out, out, brief candle!"
517841444909092864,2014-10-03 00:59:56,And all our yesterdays have lighted fools the way to dusty death.
517705564416405505,2014-10-02 15:59:59,"Tomorrow, and tomorrow, and tomorrow, creeps in this petty pace from day to day, to the last syllable of recorded time."
517569688260575232,2014-10-02 07:00:04,"She should have died hereafter, there would have been a time for such a word."
517479083115282432,2014-10-02 01:00:02,"I have supp'd full with horrors direness, familiar to my slaughterous thoughts cannot once start me."
517343189972578304,2014-10-01 16:00:02,My fell of hair would at a dismal treatise rouse and stir as life were in't.
517207288017584130,2014-10-01 07:00:01,"The time has been, my senses would have cool'd to hear a night-shriek."
517116693672648705,2014-10-01 01:00:02,I have almost forgot the taste of fears!
515032966154960898,2014-09-25 07:00:02,"Were they not forced with those that should be ours, we might have met them dareful, beard to beard, and beat them backward home."
514444082576637952,2014-09-23 16:00:01,Here let them lie till famine and the ague eat them up.
514081695814139904,2014-09-22 16:00:02,The cry is still 'They come:' our castle's strength will laugh a siege to scorn.
513130427960549376,2014-09-20 01:00:02,Hang out our banners on the outward walls.
512994533769240576,2014-09-19 16:00:02,"I will not be afraid of death and bane, till Birnam forest come to Dunsinane."
511544979928645632,2014-09-15 16:00:01,Bring it after me.
510457819938971650,2014-09-12 16:00:02,Hear'st thou of them?
507558714182623233,2014-09-04 16:00:02,"What rhubarb, cyme, or what purgative drug, would scour these English hence?"
507422829395324929,2014-09-04 07:00:04,"Pull't off, I say."
506244996417482752,2014-09-01 00:59:47,"I would applaud thee to the very echo, that should applaud again."
506109113169104897,2014-08-31 15:59:50,"If thou couldst, doctor, cast the water of my land, find her disease, and purge it to a sound and pristine health."
505973233859170304,2014-08-31 06:59:54,"Come, sir, dispatch."
505882638197227520,2014-08-31 00:59:54,"Seyton, send out. Doctor, the thanes fly from me."
505746760212697088,2014-08-30 15:59:58,"Come, put mine armour on; give me my staff."
505610875534082048,2014-08-30 07:00:01,Throw physic to the dogs; I'll none of it.
502621086413258752,2014-08-22 00:59:39,With some sweet oblivious antidote cleanse the stuff'd bosom of that perilous stuff which weighs upon the heart.
502485204326682624,2014-08-21 15:59:43,Raze out the written troubles of the brain.
502349318956015616,2014-08-21 06:59:45,"Canst thou not minister to a mind diseased, pluck from the memory a rooted sorrow?"
502258730202071040,2014-08-21 00:59:47,Cure her of that.
502122848300048384,2014-08-20 15:59:50,"How does your patient, doctor?"
501986962971316224,2014-08-20 06:59:53,Give me mine armour.
501896376842989569,2014-08-20 00:59:55,"Send out more horses, skirr the country round, hang those that talk of fear."
501760489048002560,2014-08-19 15:59:57,Give me my armour. I'll put it on.
501624606781079552,2014-08-19 07:00:00,I'll fight till from my bones my flesh be hack'd.
501035733520764930,2014-08-17 16:00:02,What news more?
500673330597625856,2014-08-16 15:59:58,Take thy face hence.
500537448058068992,2014-08-16 07:00:01,"What soldiers, whey-face?"
500446857664143360,2014-08-16 01:00:03,Those linen cheeks of thine are counsellors to fear.
497049462851010560,2014-08-06 16:00:01,"What soldiers, patch? Death of thy soul!"
496913572325511168,2014-08-06 07:00:02,"Go prick thy face, and over-red thy fear, thou lily-liver'd boy."
496907241812152323,2014-08-06 06:34:53,"Geese, villain!"
496025038970429440,2014-08-03 20:09:19,The mind I sway by and the heart I bear shall never sag with doubt nor shake with fear.
489439334060150785,2014-07-16 16:00:05,"Then fly, false thanes, and mingle with the English epicures."
489303438484717569,2014-07-16 07:00:05,"'Fear not, Macbeth; no man that's born of woman shall e'er have power upon thee.'"
489212848661209088,2014-07-16 01:00:06,The spirits that know all mortal consequences have pronounced me thus...
489076954255982595,2014-07-15 16:00:07,What's the boy Malcolm? Was he not born of woman?
488941049838989313,2014-07-15 07:00:05,"Till Birnam wood remove to Dunsinane, I cannot taint with fear."
488850456433549312,2014-07-15 01:00:05,Bring me no more reports; let them fly all.
488714558433796096,2014-07-14 16:00:05,"But no more sights! Where are these gentlemen? Come, bring me where they are."
488578672392032256,2014-07-14 07:00:07,No boasting like a fool; this deed I'll do before this purpose cool.
488488066315599874,2014-07-14 01:00:05,"His wife, his babes, and all unfortunate souls that trace him in his line."
488352170408804352,2014-07-13 16:00:05,The castle of Macduff I will surprise; seize upon Fife; give to the edge o' the sword.
488216274858549248,2014-07-13 07:00:05,"And even now, to crown my thoughts with acts, be it thought and done."
488125683546079234,2014-07-13 01:00:06,From this moment the very firstlings of my heart shall be the firstlings of my hand.
487989781679177728,2014-07-12 16:00:05,The flighty purpose never is o'ertook unless the deed go with it.
487853886716121088,2014-07-12 07:00:05,"Time, thou anticipatest my dread exploits!"
487763290601172992,2014-07-12 01:00:05,Fled to England!
487627400457355266,2014-07-11 16:00:06,I did hear the galloping of horse: who was't came by?
487491505787920386,2014-07-11 07:00:06,Infected be the air whereon they ride; and damn'd all those that trust them!
487400906111995904,2014-07-11 01:00:06,Came they not by you?
487265005713100803,2014-07-10 16:00:04,Saw you the weird sisters?
487129117490302977,2014-07-10 07:00:06,"Come in, without there!"
487038516468015104,2014-07-10 01:00:05,Where are they? Gone? Let this pernicious hour stand aye accursed in the calendar!
486902620758347776,2014-07-09 16:00:05,"What, is this so?"
486766732652982272,2014-07-09 07:00:07,"For the blood-bolter'd Banquo smiles upon me, and points at them for his."
486676125716713472,2014-07-09 01:00:05,"Now, I see, 'tis true!"
486540232339095553,2014-07-08 16:00:05,Some I see that two-fold balls and treble scepters carry: Horrible sight!
486404324734406656,2014-07-08 07:00:02,"And yet the eighth appears, who bears a glass which shows me many more."
486313737943388160,2014-07-08 01:00:05,Another yet! A seventh! I'll see no more!
486177841420050433,2014-07-07 16:00:04,"What, will the line stretch out to the crack of doom?"
486041941637750784,2014-07-07 07:00:03,"A fourth! Start, eyes!"
485951351222845440,2014-07-07 01:00:05,Filthy hags! Why do you show me this?
485827551009316864,2014-07-06 16:48:09,A third is like the former.
455510768553693186,2014-04-14 01:00:04,"Thy crown does sear mine eye-balls. And thy hair, thou other gold-bound brow, is like the first."
455374873984913408,2014-04-13 16:00:05,Thou art too like the spirit of Banquo: down!
455238977855840256,2014-04-13 07:00:04,Why sinks that cauldron? and what noise is this?
455148372765065216,2014-04-13 01:00:02,Let me know.
455012471967735808,2014-04-12 16:00:01,"Deny me this, and an eternal curse fall on you!"
454876591676350464,2014-04-12 07:00:05,I will be satisfied!
454786002721058817,2014-04-12 01:00:07,"Yet my heart throbs to know one thing: tell me, if your art can tell so much: shall Banquo's issue ever reign in this kingdom?"
454682680781578240,2014-04-11 18:09:33,"Our high-placed Macbeth shall live the lease of nature, pay his breath to time and mortal custom."
453200550994014208,2014-04-07 16:00:06,"Rebellion's head, rise never till the wood of Birnam rise"
449214268596957184,2014-03-27 16:00:02,Sweet bodements! Good!
449078376754458624,2014-03-27 07:00:03,"Who can impress the forest, bid the tree unfix his earth-bound root?"
448987774272557056,2014-03-27 01:00:01,That will never be
448851891116457984,2014-03-26 16:00:04,"What is this that rises like the issue of a king, and wears upon his baby-brow the round and top of sovereignty?"
448715987748024320,2014-03-26 07:00:02,"That I may tell pale-hearted fear it lies, and sleep in spite of thunder."
448625390928400384,2014-03-26 01:00:02,"But yet I'll make assurance double sure, and take a bond of fate: thou shalt not live;"
448489495600459777,2014-03-25 16:00:02,"Then live, Macduff: what need I fear of thee?"
448353618391875584,2014-03-25 07:00:07,"Had I three ears, I'ld hear thee."
448263013804433408,2014-03-25 01:00:05,Thou hast harp'd my fear aright: but one word more.
448235949042843648,2014-03-24 23:12:32,"Tell me, thou unknown power, whate'er thou art, for thy good caution, thanks."
442630890636595200,2014-03-09 12:00:02,Call 'em; let me see 'em.
442510094782038016,2014-03-09 04:00:02,Answer me to what I ask you.
442434592687923200,2014-03-08 23:00:01,"Though the treasure of nature's germens tumble all together, even till destruction sicken;"
442359100056150016,2014-03-08 18:00:02,Though palaces and pyramids do slope their heads to their foundations;
442283604308017152,2014-03-08 13:00:03,Though castles topple on their warders' heads;
442208098938138624,2014-03-08 08:00:01,Though bladed corn be lodged and trees blown down;
442147706970976257,2014-03-08 04:00:02,Though the yesty waves confound and swallow navigation up;
442072206835609600,2014-03-07 23:00:02,Though you untie the winds and let them fight against the churches;
441996708193779713,2014-03-07 18:00:01,"Howe'er you come to know it, answer me..."
441921207282057216,2014-03-07 13:00:00,"I conjure you, by that which you profess."
441845717779230720,2014-03-07 08:00:02,"How now, you secret, black, and midnight hags! What is't you do?"
441785318413312000,2014-03-07 04:00:02,We are yet but young in deed.
441709821658546177,2014-03-06 23:00:02,My strange and self-abuse is the initiate fear that wants hard use
441634324450787329,2014-03-06 18:00:02,"Come, we'll to sleep."
441558828769755138,2014-03-06 13:00:03,"Strange things I have in head, that will to hand; which must be acted ere they may be scann'd."
441483326847602688,2014-03-06 08:00:02,"I am in blood stepp'd in so far that, should I wade no more, returning were as tedious as go o'er"
441422931730509826,2014-03-06 04:00:02,"For mine own good, all causes shall give way"
441347431817441280,2014-03-05 23:00:02,"For now I am bent to know, by the worst means, the worst."
441271934655799296,2014-03-05 18:00:02,"I will tomorrow, and betimes I will, to the weird sisters: More shall they speak"
441196434772082688,2014-03-05 13:00:01,There's not a one of them but in his house I keep a servant fee'd.
441120937744691200,2014-03-05 08:00:01,I hear it by the way; but I will send.
441060537657356288,2014-03-05 04:00:01,"How say'st thou, that Macduff denies his person at our great bidding?"
440985041649147904,2014-03-04 23:00:01,What is the night?
440909544781144064,2014-03-04 18:00:01,Augurs and understood relations have by magot-pies and choughs and rooks brought forth the secret'st man of blood.
440834050861715457,2014-03-04 13:00:02,Stones have been known to move and trees to speak
440758549073784832,2014-03-04 08:00:01,"It will have blood; they say, blood will have blood"
440698151872102400,2014-03-04 04:00:01,"When now I think you can behold such sights, and keep the natural ruby of your cheeks, when mine is blanched with fear."
