id,created_at,text
526245922116608000,2014-10-26 05:36:19,Dat Mario Kart Wii Hacker. ~ #MKWii
526238361590042624,2014-10-26 05:06:17,HOW. WHAT. WHY. SO AMAZING OMG. ACNL IS THE BEST.
526230824580960256,2014-10-26 04:36:20,"One does not simply say ""I do not like Animal Crossing: New Leaf."""
526215762831101952,2014-10-26 03:36:29,Omg New Super Luigi. U omg
526208176777998336,2014-10-26 03:06:20,"I am the number 1 fan of Sticker Star, not you, Silver. Sheesh."
526200651542315010,2014-10-26 02:36:26,"Gurl Imma need you to step away from my copy of New Super Luigi. U, thanks hun."
526193106132033536,2014-10-26 02:06:27,Mario Kart Wii &gt; Sticker Star &gt; Animal Crossing: New Leaf &gt; Everything
526185554367348736,2014-10-26 01:36:26,Heheheheheheheheh. I stole all your flowers. #ACNL
526170424946601985,2014-10-26 00:36:19,Hyped over Mario Kart 8!!!!!!!!!!!!!!!!!!
526162870715707392,2014-10-26 00:06:18,Mario Kart Wii &gt;&gt;&gt;&gt; All games.
526155314848993280,2014-10-25 23:36:17,"☑ I approve, @KirbBot."
526147762765561856,2014-10-25 23:06:16,I AM THE MAYOR. HA HA. Too bad Mr. Tortimer.
526140221327290368,2014-10-25 22:36:18,Dat Mario Kart Wii Hacker. ~ #MKWii
526110023089278976,2014-10-25 20:36:18,Don't Hassle the Hoff ~ Nintendo Power Magazine
526102462709522432,2014-10-25 20:06:16,I always look foward for new @Nintendo games in the future. #Nintendo
526094915575365632,2014-10-25 19:36:16,(-''-)KIRBY!!!!
526072260344299520,2014-10-25 18:06:15,"I love making bells. Picking fruits off trees, collecting sea-shells, and more!"
526064716246814720,2014-10-25 17:36:16,"I choose YOU, Pikachu!"
526057157301518337,2014-10-25 17:06:14,(◑‿◐)
526034521594937345,2014-10-25 15:36:17,~ ADDICTED TO ACNL ~
526026959982043136,2014-10-25 15:06:15,"I love making bells. Picking fruits off trees, collecting sea-shells, and more!"
526004322178322433,2014-10-25 13:36:17,Dat Mario Kart Wii Hacker. ~ #MKWii
525996765854433280,2014-10-25 13:06:16,"One does not simply say ""I do not like Animal Crossing: New Leaf."""
525989227125682178,2014-10-25 12:36:18,"I choose YOU, Pikachu!"
525981668583043072,2014-10-25 12:06:16,Mario Kart Wii &gt; Sticker Star &gt; Animal Crossing: New Leaf &gt; Everything
525974119179776000,2014-10-25 11:36:16,Hyped over Mario Kart 8!!!!!!!!!!!!!!!!!!
525959030330519552,2014-10-25 10:36:19,"Gurl Imma need you to step away from my copy of New Super Luigi. U, thanks hun."
525943920266452992,2014-10-25 09:36:16,I AM THE MAYOR. HA HA. Too bad Mr. Tortimer.
525936370166931456,2014-10-25 09:06:16,I always look foward for new @Nintendo games in the future. #Nintendo
525928834701328384,2014-10-25 08:36:20,Mario Kart Wii &gt;&gt;&gt;&gt; All games.
525913719440547840,2014-10-25 07:36:16,(◑‿◐)
525906172218716160,2014-10-25 07:06:16,Omg New Super Luigi. U omg
525883524859969536,2014-10-25 05:36:17,~ ADDICTED TO ACNL ~
525868435532570624,2014-10-25 04:36:19,"╔╗╔═╦╗
║╚╣║║╚╗
╚═╩═╩═╝"
525860872795611137,2014-10-25 04:06:16,"One does not simply say ""I do not like Animal Crossing: New Leaf."""
525853325883760641,2014-10-25 03:36:17,(-''-)KIRBY!!!!
525808035768193025,2014-10-25 00:36:19,Dat sexy Wii Fit Trainer ~ #SSB
525800479050067968,2014-10-25 00:06:17,Hyped over Mario Kart 8!!!!!!!!!!!!!!!!!!
525792928141021184,2014-10-24 23:36:17,"I love making bells. Picking fruits off trees, collecting sea-shells, and more!"
525770268275257344,2014-10-24 22:06:14,I AM THE MAYOR. HA HA. Too bad Mr. Tortimer.
525755170764779522,2014-10-24 21:06:15,#MK7 - Mario Kart 7 is amazing.
525740070242750464,2014-10-24 20:06:15,"☑ I approve, @KirbBot."
525702331145269249,2014-10-24 17:36:17,"I choose YOU, Pikachu!"
525679672420347905,2014-10-24 16:06:15,"I am the number 1 fan of Sticker Star, not you, Silver. Sheesh."
525672131200180224,2014-10-24 15:36:17,(◑‿◐)
525641932765024257,2014-10-24 13:36:17,Mario Kart Wii &gt;&gt;&gt;&gt; All games.
525634379247144960,2014-10-24 13:06:16,"╔╗╔═╦╗
║╚╣║║╚╗
╚═╩═╩═╝"
525626839918592001,2014-10-24 12:36:18,NEW LEAF NEW LEAF NEW LEAF NEW LEAF NEW LEAF. (◑‿◐)
525619278771277824,2014-10-24 12:06:16,HOW. WHAT. WHY. SO AMAZING OMG. ACNL IS THE BEST.
525611735701397504,2014-10-24 11:36:17,Heheheheheheheheh. I stole all your flowers. #ACNL
525604180052828164,2014-10-24 11:06:16,Omg New Super Luigi. U omg
525573979755384833,2014-10-24 09:06:16,~ ADDICTED TO ACNL ~
525566441047592960,2014-10-24 08:36:18,"☑ I approve, @KirbBot."
525551340513017856,2014-10-24 07:36:18,"I choose YOU, Pikachu!"
525528685328097280,2014-10-24 06:06:17,"One does not simply say ""I do not like Animal Crossing: New Leaf."""
525521137292165120,2014-10-24 05:36:17,"I love making bells. Picking fruits off trees, collecting sea-shells, and more!"
525506044680622080,2014-10-24 04:36:19,I always look foward for new @Nintendo games in the future. #Nintendo
525498482916728832,2014-10-24 04:06:16,#MK7 - Mario Kart 7 is amazing.
525483386865848320,2014-10-24 03:06:17,(◑‿◐)
525460745257897984,2014-10-24 01:36:18,Don't Hassle the Hoff ~ Nintendo Power Magazine
525453188422311936,2014-10-24 01:06:17,"I am the number 1 fan of Sticker Star, not you, Silver. Sheesh."
525445662453010433,2014-10-24 00:36:22,Dat Mario Kart Wii Hacker. ~ #MKWii
525438103646113792,2014-10-24 00:06:20,Hyped over Mario Kart 8!!!!!!!!!!!!!!!!!!
525430556172247040,2014-10-23 23:36:21,"╔╗╔═╦╗
║╚╣║║╚╗
╚═╩═╩═╝"
525423003421929474,2014-10-23 23:06:20,~ ADDICTED TO ACNL ~
525400356218732545,2014-10-23 21:36:21,I AM THE MAYOR. HA HA. Too bad Mr. Tortimer.
525392793636962304,2014-10-23 21:06:17,Dat sexy Wii Fit Trainer ~ #SSB
525385263850479616,2014-10-23 20:36:22,"I choose YOU, Pikachu!"
525370155258609665,2014-10-23 19:36:20,Mario Kart Wii &gt;&gt;&gt;&gt; All games.
525355071476092929,2014-10-23 18:36:24,"I love making bells. Picking fruits off trees, collecting sea-shells, and more!"
525347494184890369,2014-10-23 18:06:17,I always look foward for new @Nintendo games in the future. #Nintendo
525317285083238401,2014-10-23 16:06:15,"I'm sorry Mario, but the princess is in another castle!"
525309747755376640,2014-10-23 15:36:18,Omg New Super Luigi. U omg
