id,created_at,text
525985136232660993,2014-10-25 12:20:03,BUDGETS: Bruising Unpacked Direct-to-Earth Ganymede Earth-orbital Two-axis Sacrifice
525954953228324864,2014-10-25 10:20:07,DATES: Discovery-class Atlas Tentative ERS-1 Sonar
525924740004061185,2014-10-25 08:20:03,INVITED: Immoral Nano-sensor Violent Imperative Tarqeq Earth-facing Determination
525894551115137024,2014-10-25 06:20:06,HUMANS: Historic Undisclosed Mars-crossing Albiorix Non-visible Symptoms
525864338578739200,2014-10-25 04:20:03,ANIMATED: Acute Neptune Inoperable Multistatic Arrested Two-lane Eager Durations
525834145801326594,2014-10-25 02:20:04,FOREVER: Ferdinand Oversize Rocket-grade Exceptional Vaunted Eaten Recogniser
525803943595880448,2014-10-25 00:20:03,OUTPUTS: Olive Uranus TCM-3 Pre-test Unanticipated Top Storms
525773744334462977,2014-10-24 22:20:03,JEWISH: Jovian Eris Worth Illustrative Sometime Half
525743545983188993,2014-10-24 20:20:03,BLAST: Black Low-security Arche STS-122/1E Tripper
525713343274053634,2014-10-24 18:20:02,DEFENCE: Desdemona Elastic First-ever Extinct NASA-ESA Cost-effectively Editor
525683146340442112,2014-10-24 16:20:03,DESIGNS: Dried Earth-return Saturn Inattentive German-built Neutral Spaceplane
525652952485490689,2014-10-24 14:20:04,INDEXES: Incomplete Near-circular Daphnis Earth-dependent XLR-129 Ecological Steps
525622757632266240,2014-10-24 12:20:05,AFTER: Add-on Feature-length Telesto Extracurricular Repayment
525592553627086848,2014-10-24 10:20:04,SCANNING: Slow-scan Comparable Atop Number-letter Natural INSAT-2DT Neptune Grounds
525562348229365760,2014-10-24 08:20:02,STYLISH: Smacking TacSat-2 Ymir Long-exposure Indigo Sensory Heliosheath
525532155385225217,2014-10-24 06:20:04,TEENAGE: Tear-drop East-west Eris Nonprofit Anaerobic Glorious Extent
525501951942098944,2014-10-24 04:20:03,BRIEFING: Bad Rocket-testing Inert Exponential Francisco IRS-P1 Near Goals
525471756673638400,2014-10-24 02:20:04,WIND: Weywot IRS-P2 Non-solar Drivers
525441555633811457,2014-10-24 00:20:03,RELATE: RX-420 EMIR-1 LC-34 Ananke Thicker Element
525411356317855745,2014-10-23 22:20:03,FORCES: Five-stage Overall Rehbar-II Ceres Earth-pointing Surge
525381155882020864,2014-10-23 20:20:03,CHELSEA: Climate-forcing Halimede Earth-crosser LHB-A Soft Earthly Ancestry
525350960617771009,2014-10-23 18:20:04,DROPPED: Degraded Reconstructed Off-course Personal Pasiphae EVA-3 Donkey
