id,created_at,text
499033518022737920,2014-08-12 03:23:56,MORE LIKE SOBBIN' WILLIAMS
472458583091605504,2014-05-30 19:24:38,CAN #YESALLWOMEN AND #BRINGBACKOURGIRLS DO A LESBO SHOOT
447155335757717504,2014-03-21 23:38:34,MORE LIKE OBAMA'S CAPTAIN AMERICA
395687905839947778,2013-10-30 23:05:22,IS GRAVITY JUST GEORGE CLOONEY FLOPPING AROUND IN SPACE FOR NINETY MINUTES ?????
394872742303891456,2013-10-28 17:06:12,"I'LL STOP FINANCIALLY EXPLOITING YOUR ASIAN CULTURE WHEN YOU STOP GIVING YOUR KIDS NAMES LIKE ""CHA-CHING"""
324017104636497921,2013-04-16 04:31:12,IS CHEERS OKAY ???????
286029697278672897,2013-01-01 08:42:48,I CAN'T BELIEVE I'M STILL JIZZING 2012 ALL OVER HER FACE
281159413778231296,2012-12-18 22:10:02,WHEN WILL ***MY*** COMMUNITY SUFFER A SCHOOL SQUIRTING???
249992578043375617,2012-09-23 22:04:09,ARE WE ALREADY DONE LOOKING AT PICTURES OF ENDEAVOR FUCKING THAT GIRL PLANE
227898187090903040,2012-07-24 22:48:56,BLAM BLAM BLAM BLAM BLAM BLAM BLAM DOOPS SORRY THOUGHT THIS WAS MOONRISE KINGDOM
218889460614569986,2012-06-30 02:11:28,WHENEVER I WEAR A CASUAL-FIT BLACK SOCK ON MY DONG IT LOOKS REAL !!!!!
210165956666855424,2012-06-06 00:27:23,WILL THAT FUCKING THING GET OUT OF THE WAY??? I'M TRYING TO STARE AT THE SUN
200423765048426496,2012-05-10 03:15:23,WHAT IF HITLER WAS A JEW HOARDER WHO SIMPLY COULDN'T TAKE CARE OF THEM ALL ???
197456914693627904,2012-05-01 22:46:11,WHY IS 6 AFRAID OF 7 ??? BECAUSE 7 HAS AIDS
187305812237099008,2012-04-03 22:29:20,TRAYVON MARTIN TEACHES TYPING
174247749020168193,2012-02-27 21:41:15,WITNESSES TO DEADLY SHOOTING AT OHIO SCHOOL REMEMBER WHITNEY HOUSTON
169498084894711808,2012-02-14 19:07:47,FOLKS A ***SECOND*** WHITNEY HOUSTON HAS JUST CRASHED INTO THE WORLD TRADE CENTER
159441567562735617,2012-01-18 01:06:46,FOLKS A ***SECOND*** CRUISE SHIP HAS JUST CRASHED INTO THE WORLD TRADE CENTER
147094485585756160,2011-12-14 23:23:52,I CAN'T BELIEVE WHAT THAT WOMAN DID TO THAT POOR ELEVATOR
127161792626565121,2011-10-20 23:18:28,TIME TO POST MY DONG TO /R/CATS AND SAY I RESCUED IT
126377268380573696,2011-10-18 19:21:03,HOPEFULLY THE NEW I.T. LADY WILL GIVE ME A LDAP DANCE
124647719217270784,2011-10-14 00:48:26,FRIENDZONED????? IT'S SUPPOSED TO BE FRIEND ***BONED***
85510503820042240,2011-06-28 00:51:07,WHEN IS OWEN WILSON'S CAR GOING TO TRY HANGING ITSELF ????
79342612544364545,2011-06-11 00:22:07,CONSUMER ALERT!!!!! SNAPPLE BRAND APPLE JUICE CONTAINS ALMOST NO SNAPPLES
50591933176889344,2011-03-23 16:17:11,MORE LIKE ELIZABETH ***GAYLORD***
46231190889443329,2011-03-11 15:29:09,FOLKS A HUGE ORIGAMI HAS DESTROYED JAPAN
41638659794927616,2011-02-26 23:20:04,JUST ***LYING*** TO PEOPLE ABOUT HOW YOU'RE DYING OF AIDS MAKES EACH DAY MORE PRECIOUS
40084585744171008,2011-02-22 16:24:44,HOW COME ALL THE CHARACTERS IN GNOMEO AND JULIET LOOK LIKE ZIGGY IN A KLAN HAT ?????
28617097047187458,2011-01-22 00:57:02,EXCUSE ME!!!!! DOES ROGER EBERT KNOW IT'S NOT CALLED WEIRDFACEBOOK ????
21090844731772928,2011-01-01 06:30:23,TURNS OUT MY ISP CAPS ME AT EXACTLY 100 PEDOBYTES
12293484186705920,2010-12-07 23:52:49,WHEN IS VALVE GOING TO RELEASE JOHN MADDEN HALO ?????
9101690938593280,2010-11-29 04:29:46,OPTICAL ILLUSION!!! A VASE OR TWO FACES??? http://tinyurl.com/2alhsmv
3146011459461120,2010-11-12 18:04:02,STILL WAITING FOR JIM DAVIS TO APOLOGIZE FOR ALL REMAINING GARFIELD STRIPS
2437086955184128,2010-11-10 19:07:01,THE STOPPING OF THE WATCHING OF THE TAKING OF PELHAM 123
27764777722,2010-10-18 19:59:58,HOW ABOUT DOODLE ****DUMP**** WHERE THE GUY PROPELS HIMSELF UPWARD BY SHITTING EVERYWHERE
27567045827,2010-10-16 18:59:52,***HEALTHWATCH*** LESS THAN 0.00000000001% OF THE WORLD'S BACTERIA CAN AFFORD AN IPAD
27205439767,2010-10-13 03:18:11,RATED E FOR EFFEMINATE
24439929338,2010-09-14 02:44:56,IF STEPHEN HAWKING EVER STARTS FORGETTING STUFF ABOUT QUANTUM FIELD THEORY HE SHOULD REALLY BE TESTED FOR ALZHEISENBERGER'S
