id,created_at,text
251435271688699904,2012-09-27 21:36:54,Let's have a laugh! http://t.co/m57JIP6g @trondheim_kunst http://t.co/owSdzTTv
251423055031705600,2012-09-27 20:48:22,Let's have a laugh! http://t.co/m57JIP6g @NeilHarbisson http://t.co/lIgy57aL
251413578022785024,2012-09-27 20:10:42,Let's have a laugh! http://t.co/m57JIP6g @mark_mcguire http://t.co/83ZXZJpR
251413571458723840,2012-09-27 20:10:41,Let's have a laugh! http://t.co/m57JIP6g @bittrotter http://t.co/626exLIS
251413552987000832,2012-09-27 20:10:36,Let's have a laugh! http://t.co/m57JIP6g @CyborgCognition http://t.co/wNq8bmqk
251385416408776704,2012-09-27 18:18:48,Let's have a laugh! http://t.co/m57JIP6g @brendaffv http://t.co/Zz0Ki555
251302799596482560,2012-09-27 12:50:31,Let's have a laugh! http://t.co/m57JIP6g @charlottefrost http://t.co/X37VvGim
251298249909075969,2012-09-27 12:32:26,Let's have a laugh! http://t.co/m57JIP6g @mattlodder http://t.co/OCOockRE
251285728191975425,2012-09-27 11:42:40,Let's have a laugh! http://t.co/m57JIP6g @TheAngelicaRuth http://t.co/JiTJb7HG
251187146822672384,2012-09-27 05:10:57,Let's have a laugh! http://t.co/m57JIP6g @nWODT_Cobalt http://t.co/wUo8CQDm
251167555924938752,2012-09-27 03:53:06,Let's have a laugh! http://t.co/m57JIP6g @whatthedylan http://t.co/ii8phaJE
251152170819395584,2012-09-27 02:51:58,Let's have a laugh! http://t.co/m57JIP6g @PABL0BARR1A http://t.co/UFHGpZnu
251152152817459201,2012-09-27 02:51:54,Let's have a laugh! http://t.co/m57JIP6g @Red_C_ http://t.co/gpPLpBX4
251148316556009472,2012-09-27 02:36:39,Let's have a laugh! http://t.co/m57JIP6g @fheRbth http://t.co/S3yyDv1n
251125589317152768,2012-09-27 01:06:20,Let's have a laugh! http://t.co/m57JIP6g @leemona83 http://t.co/rJ4BHNRH
251110540926128129,2012-09-27 00:06:33,Let's have a laugh! http://t.co/m57JIP6g @TheOfficial_Jay http://t.co/qucNh8Dp
250891732852563970,2012-09-26 09:37:05,Let's have a laugh! http://t.co/m57JIP6g @LukeRobertMason http://t.co/uhRoOpji
250791704137957376,2012-09-26 02:59:36,Let's have a laugh! http://t.co/m57JIP6g @subtopes http://t.co/AP9sVdaO
250312277755043840,2012-09-24 19:14:32,Let's have a laugh! http://t.co/m57JIP6g @GouinVallerand http://t.co/a2wyV8No
249872527646683140,2012-09-23 14:07:07,Let's have a laugh! http://t.co/m57JIP6g @LukeRobertMason http://t.co/YdNJMGaM
249872506889052160,2012-09-23 14:07:02,Let's have a laugh! http://t.co/m57JIP6g @skeuomorphology http://t.co/B5tFZ8DT
249316386847985665,2012-09-22 01:17:13,Let's have a laugh! http://t.co/m57JIP6g @Yara_Shnhky http://t.co/iBKNVYzi
249316356388945921,2012-09-22 01:17:06,Let's have a laugh! http://t.co/m57JIP6g @ByHenderson http://t.co/8P9treMR
248894046091747328,2012-09-20 21:18:59,Let's have a laugh! http://t.co/m57JIP6g @turistacibernet http://t.co/PUXzVce2
248388158935416832,2012-09-19 11:48:46,Let's have a laugh! http://t.co/m57JIP6g @AlmazOhene http://t.co/OQ2gtUtI
248253583802384385,2012-09-19 02:54:01,Let's have a laugh! http://t.co/m57JIP6g @SelcukAskin http://t.co/Ksr1SQvR
248220721636048896,2012-09-19 00:43:26,Let's have a laugh! http://t.co/m57JIP6g @napalm_kataoka http://t.co/0OTi2bbC
247925473823322112,2012-09-18 05:10:13,Let's have a laugh! http://t.co/m57JIP6g @ScottEvans38 http://t.co/FV60J7pj
247830188824616961,2012-09-17 22:51:36,Let's have a laugh! http://t.co/m57JIP6g @zeauty http://t.co/AqgNB1EL
247826213018673152,2012-09-17 22:35:48,Let's have a laugh! http://t.co/m57JIP6g @zeauty http://t.co/IuE9Y71C
247795578174574592,2012-09-17 20:34:04,Let's have a laugh! http://t.co/m57JIP6g @Analogwhale http://t.co/XD2PyLLz
247795556095762432,2012-09-17 20:33:59,Let's have a laugh! http://t.co/m57JIP6g @Lewis_ASTAIRE http://t.co/ZvezLPZk
247790905774460929,2012-09-17 20:15:30,Let's have a laugh! http://t.co/m57JIP6g @dizzycatdesign http://t.co/ty0X4V3q
247777956196405248,2012-09-17 19:24:02,Let's have a laugh! http://t.co/m57JIP6g @usman_raza http://t.co/bDO5caBH
247751160319078400,2012-09-17 17:37:34,Let's have a laugh! http://t.co/m57JIP6g @Summers82 http://t.co/iIV9ygH7
247708803842326528,2012-09-17 14:49:15,Let's have a laugh! http://t.co/m57JIP6g @kboennelykke http://t.co/gb23VR4Y
247694875942858752,2012-09-17 13:53:55,Let's have a laugh! http://t.co/m57JIP6g @denialpolez http://t.co/Tva0WoCa
247694863615815681,2012-09-17 13:53:52,Let's have a laugh! http://t.co/m57JIP6g @pierrediz http://t.co/0FvnUJFS
247673636335546368,2012-09-17 12:29:31,Let's have a laugh! http://t.co/m57JIP6g @ThrashinLashan http://t.co/gFkpb4zX
247652789478633474,2012-09-17 11:06:40,Let's have a laugh! http://t.co/m57JIP6g @jumpinshark http://t.co/JYJpVwkl
247636938205569024,2012-09-17 10:03:41,Let's have a laugh! http://t.co/m57JIP6g @dorotazys http://t.co/jXcvDE1W
247610585032847362,2012-09-17 08:18:58,Let's have a laugh! http://t.co/m57JIP6g @FJ_GC http://t.co/k5gndgsG
247582777732636672,2012-09-17 06:28:28,Let's have a laugh! http://t.co/m57JIP6g @speedprogress http://t.co/JeOfVyJy
247542514008068096,2012-09-17 03:48:29,Let's have a laugh! http://t.co/m57JIP6g @courtstarr http://t.co/DhXKsiVq
247496468640956418,2012-09-17 00:45:31,Let's have a laugh! http://t.co/m57JIP6g @Daamile http://t.co/EXeiuLUH
247457582812372992,2012-09-16 22:10:59,Let's have a laugh! http://t.co/m57JIP6g @r_transhuman http://t.co/Y2FQD3Op
247425772338417665,2012-09-16 20:04:35,Let's have a laugh! http://t.co/m57JIP6g @rolandsailer http://t.co/p46o2iKF
247417630363893760,2012-09-16 19:32:14,Let's have a laugh! http://t.co/m57JIP6g @Lisbushi http://t.co/cQxC8ezn
247411228975181827,2012-09-16 19:06:48,Let's have a laugh! http://t.co/m57JIP6g @kwnccc http://t.co/CGMXSWXI
247397860973350912,2012-09-16 18:13:41,Let's have a laugh! http://t.co/m57JIP6g @siddman http://t.co/Ela0iYNM
247393635266621441,2012-09-16 17:56:53,Let's have a laugh! http://t.co/m57JIP6g @iamsambelltoo http://t.co/CwLwi9Id
247361643196076032,2012-09-16 15:49:46,Let's have a laugh! http://t.co/m57JIP6g @tracieshaylor http://t.co/jkM2Dr9K
247289451586404352,2012-09-16 11:02:54,Let's have a laugh! http://t.co/m57JIP6g @mertdumenci http://t.co/REIi46pl
247274113184432128,2012-09-16 10:01:57,Let's have a laugh! http://t.co/m57JIP6g @AnasAlaoui http://t.co/A2as2CAC
247151507831660544,2012-09-16 01:54:45,Let's have a laugh! http://t.co/m57JIP6g @dkemper http://t.co/U8TVRsjA
247113339463938048,2012-09-15 23:23:05,Let's have a laugh! http://t.co/m57JIP6g @z83 http://t.co/925JCYL1
247081896415215616,2012-09-15 21:18:09,Let's have a laugh! http://t.co/m57JIP6g @Artist_Chic http://t.co/AQSRBsq6
247043257421422594,2012-09-15 18:44:37,Let's have a laugh! http://t.co/m57JIP6g @steppinlazer http://t.co/62NHZ1wS
247023106500227073,2012-09-15 17:24:32,Let's have a laugh! http://t.co/m57JIP6g @cafeandroid http://t.co/qFrs2IlR
246999693534568449,2012-09-15 15:51:30,Let's have a laugh! http://t.co/m57JIP6g @art_blanc http://t.co/zCE3xT18
246919312537956352,2012-09-15 10:32:06,Let's have a laugh! http://t.co/m57JIP6g @Techhrzn http://t.co/cBNey7cb
246911817618714625,2012-09-15 10:02:19,Let's have a laugh! http://t.co/m57JIP6g @OliverWoodsSGNZ http://t.co/u6ap6UeD
246911795376316416,2012-09-15 10:02:14,Let's have a laugh! http://t.co/m57JIP6g @dnisttahuz http://t.co/oHDQ7O33
246783835524714496,2012-09-15 01:33:46,Let's have a laugh! http://t.co/m57JIP6g @texas_dude http://t.co/kYh194P8
246762083306319872,2012-09-15 00:07:19,Let's have a laugh! http://t.co/m57JIP6g @ohcolinho http://t.co/EoasHO56
246757694931877888,2012-09-14 23:49:53,Let's have a laugh! http://t.co/m57JIP6g @aNorseView http://t.co/S2sR6y90
246757680054685696,2012-09-14 23:49:50,Let's have a laugh! http://t.co/m57JIP6g @bcbishop http://t.co/n0P37wFQ
246707960988983296,2012-09-14 20:32:16,Let's have a laugh! http://t.co/m57JIP6g @HiRisk808 http://t.co/83ky5LZ8
246696628306710528,2012-09-14 19:47:14,Let's have a laugh! http://t.co/m57JIP6g @glitchlich http://t.co/Fk5KeyrJ
246696621360947200,2012-09-14 19:47:12,Let's have a laugh! http://t.co/m57JIP6g @01101O10 http://t.co/v1TTEIlR
246691558106218497,2012-09-14 19:27:05,Let's have a laugh! http://t.co/m57JIP6g @XingFi http://t.co/sEoXhO10
246686801446723584,2012-09-14 19:08:11,Let's have a laugh! http://t.co/m57JIP6g @GV_Art http://t.co/x3e6eKyt
246674397753126912,2012-09-14 18:18:54,Let's have a laugh! http://t.co/m57JIP6g @jserra86 http://t.co/8saayrlE
246674394951327745,2012-09-14 18:18:53,Let's have a laugh! http://t.co/m57JIP6g @delcourt http://t.co/s53g2EC1
246674392006946817,2012-09-14 18:18:52,Let's have a laugh! http://t.co/m57JIP6g @geekstove http://t.co/tNKdYWNn
246664485593550849,2012-09-14 17:39:30,Let's have a laugh! http://t.co/m57JIP6g @reflexions http://t.co/XgTCjso0
246664482447818752,2012-09-14 17:39:30,Let's have a laugh! http://t.co/m57JIP6g @timorich http://t.co/MyGaO1VI
246664479268548608,2012-09-14 17:39:29,Let's have a laugh! http://t.co/m57JIP6g @anatomyuk http://t.co/kGU58GDR
246659497865641985,2012-09-14 17:19:41,Let's have a laugh! http://t.co/m57JIP6g @computermanyo http://t.co/qdfOpCdz
246651899917500416,2012-09-14 16:49:30,Let's have a laugh! http://t.co/m57JIP6g @web_caffeine http://t.co/MYocpKWg
246651896989884418,2012-09-14 16:49:29,Let's have a laugh! http://t.co/m57JIP6g @iphoneappspro http://t.co/9BI0FxYq
246651893722525698,2012-09-14 16:49:28,Let's have a laugh! http://t.co/m57JIP6g @nsisongeffiong http://t.co/C5CaFr53
246651890731999232,2012-09-14 16:49:27,Let's have a laugh! http://t.co/m57JIP6g @HapticProject http://t.co/gkLlKaLW
246651887204577280,2012-09-14 16:49:27,Let's have a laugh! http://t.co/m57JIP6g @zainjawed http://t.co/aPgWz7NV
246651870079246336,2012-09-14 16:49:23,Let's have a laugh! http://t.co/m57JIP6g @psdwordpress http://t.co/abiXSDUY
246651866950270977,2012-09-14 16:49:22,Let's have a laugh! http://t.co/m57JIP6g @siaxcomputing http://t.co/iQbpSqVF
246651860675596288,2012-09-14 16:49:20,Let's have a laugh! http://t.co/m57JIP6g @mervinchew http://t.co/Jp136fVu
246651854472241152,2012-09-14 16:49:19,Let's have a laugh! http://t.co/m57JIP6g @OliviaGuberman http://t.co/XH3sz7zj
246651848197550080,2012-09-14 16:49:17,Let's have a laugh! http://t.co/m57JIP6g @amaeteumanah http://t.co/Px84R4T9
246651830283673600,2012-09-14 16:49:13,Let's have a laugh! http://t.co/m57JIP6g @dougmorton http://t.co/dMuqL48f
246646859400114176,2012-09-14 16:29:28,Let's have a laugh! http://t.co/m57JIP6g @PipWilson http://t.co/fSbFqQh4
246646856279552001,2012-09-14 16:29:27,Let's have a laugh! http://t.co/m57JIP6g @SelfHelpSupport http://t.co/lA3U0Art
246646849681907712,2012-09-14 16:29:26,Let's have a laugh! http://t.co/m57JIP6g @techkritik http://t.co/vAaxgBAs
246646846808797184,2012-09-14 16:29:25,Let's have a laugh! http://t.co/m57JIP6g @iTeckNews http://t.co/umw113uG
246646843755331584,2012-09-14 16:29:24,Let's have a laugh! http://t.co/m57JIP6g @OnlireeksTech http://t.co/9oNc8ZjJ
246646834045517825,2012-09-14 16:29:22,Let's have a laugh! http://t.co/m57JIP6g @cifero http://t.co/MCcLadfx
246646831172448257,2012-09-14 16:29:21,Let's have a laugh! http://t.co/m57JIP6g @TheApple_FanBoy http://t.co/hnOu4XOx
246646824805494786,2012-09-14 16:29:20,Let's have a laugh! http://t.co/m57JIP6g @Kemble238 http://t.co/zwCyX2Rv
246646815032758273,2012-09-14 16:29:17,Let's have a laugh! http://t.co/m57JIP6g @aktionitems http://t.co/NNCPuEsf
246646812168052736,2012-09-14 16:29:17,Let's have a laugh! http://t.co/m57JIP6g @geekstove http://t.co/WfLjXsdT
246646809185902592,2012-09-14 16:29:16,Let's have a laugh! http://t.co/m57JIP6g @USAgadgetnews http://t.co/TzWXe5S6
246646805633318912,2012-09-14 16:29:15,Let's have a laugh! http://t.co/m57JIP6g @iamKyleFox http://t.co/SgbAaK9w
246646802667941888,2012-09-14 16:29:14,Let's have a laugh! http://t.co/m57JIP6g @injvstice http://t.co/pIXipd4k
246646799278952448,2012-09-14 16:29:14,Let's have a laugh! http://t.co/m57JIP6g @verge http://t.co/iu0yRVk2
246646781969043456,2012-09-14 16:29:09,Let's have a laugh! http://t.co/m57JIP6g @BlackGedheZ http://t.co/Ald4V3JJ
246642131043749888,2012-09-14 16:10:41,Let's have a laugh! http://t.co/m57JIP6g @nswint http://t.co/MT2Vk2bJ
246642106003759104,2012-09-14 16:10:35,Let's have a laugh! http://t.co/m57JIP6g @psaget http://t.co/lyDSGyOU
246586980727672832,2012-09-14 12:31:32,Let's have a laugh! http://t.co/m57JIP6g @Raffitos http://t.co/9hSmjoCB
246528041675788289,2012-09-14 08:37:20,Let's have a laugh! http://t.co/m57JIP6g @pblakez http://t.co/qkdhg1ax
246418348462731265,2012-09-14 01:21:27,Let's have a laugh! http://t.co/m57JIP6g @BBBB_WW http://t.co/embQQVrJ
245997886276501505,2012-09-12 21:30:41,Let's have a laugh! http://t.co/m57JIP6g @AlexisLaporte http://t.co/ViqV8xbC
245997882816217089,2012-09-12 21:30:40,Let's have a laugh! http://t.co/m57JIP6g @Xavier_gdt http://t.co/iFEotoYq
245695469169283075,2012-09-12 01:28:59,Let's have a laugh! http://t.co/m57JIP6g @fduncan http://t.co/hHHu84DO
245651149129146368,2012-09-11 22:32:52,Let's have a laugh! http://t.co/m57JIP6g @mary_birm http://t.co/uLRimwk8
245341595434631174,2012-09-11 02:02:49,Let's have a laugh! http://t.co/m57JIP6g @Jessbarkhan http://t.co/FRvllQA4
245305217833377792,2012-09-10 23:38:16,Let's have a laugh! http://t.co/m57JIP6g @13point7billion http://t.co/OFOjgPcU
245084755283042305,2012-09-10 09:02:13,Let's have a laugh! http://t.co/m57JIP6g @sha_roose http://t.co/hJXw1uwT
245006704910163968,2012-09-10 03:52:05,Let's have a laugh! http://t.co/m57JIP6g @sha_roose http://t.co/mUxLL2Ib
244992353276928000,2012-09-10 02:55:03,Let's have a laugh! http://t.co/m57JIP6g @sha_roose http://t.co/zGnchhxP
244987328395878400,2012-09-10 02:35:05,Let's have a laugh! http://t.co/m57JIP6g @delawareliberal http://t.co/eyaUvh8i
244987303624339456,2012-09-10 02:34:59,Let's have a laugh! http://t.co/m57JIP6g @sha_roose http://t.co/ww5YCiJx
244975574060261376,2012-09-10 01:48:22,Let's have a laugh! http://t.co/m57JIP6g @TeaPartyUSA1 http://t.co/XIPCGpYC
243910959532498944,2012-09-07 03:17:59,Let's have a laugh! http://t.co/m57JIP6g @ericsiu http://t.co/3lDX6WaM
243896518875176960,2012-09-07 02:20:36,Let's have a laugh! http://t.co/m57JIP6g @UniMelbMDHS http://t.co/4EHm2FSh
243321643399802883,2012-09-05 12:16:15,Let's have a laugh! http://t.co/m57JIP6g @fabrykamagazine http://t.co/TvSOVCRK
243284758476496896,2012-09-05 09:49:41,Let's have a laugh! http://t.co/m57JIP6g @razZ0r http://t.co/RaBGu7sm
243008168060411904,2012-09-04 15:30:36,Let's have a laugh! http://t.co/m57JIP6g @LukeRobertMason http://t.co/fNPdhDH4
243003053081501696,2012-09-04 15:10:17,Let's have a laugh! http://t.co/m57JIP6g @LukeRobertMason http://t.co/MdDT3jGm
242964528990679040,2012-09-04 12:37:12,Let's have a laugh! http://t.co/m57JIP6g @RafaelFajardo http://t.co/UZXchSsB
242760367753801728,2012-09-03 23:05:56,Let's have a laugh! http://t.co/m57JIP6g @hardlain http://t.co/nlhNVo0f
242174309886488576,2012-09-02 08:17:09,Let's have a laugh! http://t.co/m57JIP6g @PettyVendetta http://t.co/SdxG2zlA
241344525832949760,2012-08-31 01:19:53,Let's have a laugh! http://t.co/m57JIP6g @aDB http://t.co/wJuWnRzg
240755130088189952,2012-08-29 10:17:50,Let's have a laugh! http://t.co/m57JIP6g @34TR_MXZEHN http://t.co/X1Lquqrv
