id,created_at,text
526216552626933761,2014-10-26 03:39:37,Soon everyone will be living in a Flantasy world!
526208936353878017,2014-10-26 03:09:21,"I, too, know the terrible pain of loss. The hollowness one feels when one is just going through the motions of life, like a living ghost."
526193721671294977,2014-10-26 02:08:54,I refuse to melt...
526186143390248960,2014-10-26 01:38:47,Usonko: The people's champion
526178502949629952,2014-10-26 01:08:25,Why. God. Why.
526170998798708736,2014-10-26 00:38:36,I still feel like laughing. HAHAHAHAHAHA
526163472191455232,2014-10-26 00:08:42,No one sees me. No one bothers me. No one expects anything of me. It's like a dream. Once I survive seven days...does the dream end?
526155930577039363,2014-10-25 23:38:44,Kiss my ochinchin
526148361196285952,2014-10-25 23:08:39,I'll hug you to death!
526140740078809090,2014-10-25 22:38:22,The world is garbage!
526133070001221632,2014-10-25 22:07:53,aw man i just stepped on my penis
526125637979762690,2014-10-25 21:38:21,;0)
526117995467132930,2014-10-25 21:07:59,"ufsbJKabdhasbfjsahfishJFASBAKFBSJABFSJAFSA,FS,MAFSNAMFBHEABFSAFJSAHFJSAKFBSAKEBAJFAKSFBSJFKABFJEKPOOPFJSAKFSABFSKAHFAJKSHFAKFSJAHFSAPOOPBJFS"
526110602620436480,2014-10-25 20:38:36,CAJUN GRANNY STEW!
526102897608491009,2014-10-25 20:07:59,Mom and dad aren't here today.....maybe....I could be your girlfriend tonight.....they won't know....
526095495999942656,2014-10-25 19:38:35,boop beep boop I'm a human drone boop beep not a robot beep boop
526087797820489728,2014-10-25 19:07:59,hl2.exe stopped working
526080320659939328,2014-10-25 18:38:17,&gt;Implying Owls are birds
526072655015731201,2014-10-25 18:07:49,You have the right to stay illegal
526065244729143296,2014-10-25 17:38:22,My purpose! Tin Pin Slammer is my purpose!
526050108903665664,2014-10-25 16:38:14,BIG RIGS OVER THE ROAD RACING
526035054003105792,2014-10-25 15:38:24,Gimme dat sammich
526027353571332096,2014-10-25 15:07:48,"The Human Mind: 600 miles of synaptic fiber, five and a half ounces of cranial fluid, 1500 grams of complex neural matter... a three-pound"
526019972204462085,2014-10-25 14:38:29,ああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああ
526004893522219009,2014-10-25 13:38:33,WHAT AM I FIGHTING FOOOOOOOOOOOOOOOOOOOOOOOOOOOR
525997316809826304,2014-10-25 13:08:27,Fast hedgehogs doing fast things
525989754521661440,2014-10-25 12:38:24,I'm not interested unless I can do it in the butt
525982165964582912,2014-10-25 12:08:15,"There's something fishy goin' on here, or my name is Stinky Looloo, and thank goodness its not."
525974711176421376,2014-10-25 11:38:37,It's fortified with what the world wants. What the world deserves.
525959562059194369,2014-10-25 10:38:26,"The world ends with you. If you want to enjoy life, expand your world. You gotta push your horizons out as far as they'll go."
525944517212377088,2014-10-25 09:38:39,Enjoy every moment with all ya got.
525936976378077184,2014-10-25 09:08:41,CRUNCH! I'll add it to the heap!
525929407278354433,2014-10-25 08:38:36,"The BetAuthor: GamyieSonicis frustrated and tired of Amy liking him. Period. So how does he get rid of her, have her date Shadow. Smart, am"
525921779177373699,2014-10-25 08:08:17,"Please bow down to the mighty Gabe Newell, he is our lord and savior."
525914278650343425,2014-10-25 07:38:29,"There is no such thing as perfect.You are beautiful just as you are. You can do anything you want, even with all your imperfections."
525907071183503361,2014-10-25 07:09:51,"Hey, I love Tin Pin just as much as ram-crotch here."
525899153688113152,2014-10-25 06:38:23,If my nipples were any harder my clothes would explode
525891551637958657,2014-10-25 06:08:11,"ufsbJKabdhasbfjsahfishJFASBAKFBSJABFSJAFSA,FS,MAFSNAMFBHEABFSAFJSAHFJSAKFBSAKEBAJFAKSFBSJFKABFJEKPOOPFJSAKFSABFSKAHFAJKSHFAKFSJAHFSAPOOPBJFS"
525884138797019136,2014-10-25 05:38:43,Why do bitches be trippin?
525876540253302784,2014-10-25 05:08:32,I'm not interested unless I can do it in the butt
525868959220760576,2014-10-25 04:38:24,DARKNESS IMPRISSONING ME
525861409511321600,2014-10-25 04:08:24,I love penguins
525853899547090945,2014-10-25 03:38:34,Some Old Horses Can Always Hear Their Owner Approach.
525846435032342528,2014-10-25 03:08:54,"I, too, know the terrible pain of loss. The hollowness one feels when one is just going through the motions of life, like a living ghost."
525838849042165760,2014-10-25 02:38:45,So Zetta slow!
525831206097534976,2014-10-25 02:08:23,IT JUST KEEPS HAPPENING GUYS I-I WANT TO LEAVE BUT I (」・ω・)̎̽̑」Ȯ͋ͨ͛̊H̎̽ ͯͥ̃ͤ͊͛Ġͤ̈́̊OD̑͌̉̽̍ ͂ͧ̇̐ͣH̋ͬ͌ͪ(ͧ／・ͯͯ̉͛̽̔ω̾ͬͪͦ̉・̔͐͐­̓͒)̐ͣͫ ／̑̊̓̈͂ͣE͆̓
525823697454514176,2014-10-25 01:38:33,Dick my suck
525816092887760896,2014-10-25 01:08:20,ᕦ(ò_óˇ)ᕤ fite me ᕦ(ò_óˇ)ᕤ
525808546764431361,2014-10-25 00:38:21,Mom and dad aren't here today.....maybe....I could be your girlfriend tonight.....they won't know....
525800973935968258,2014-10-25 00:08:15,How Now Brown Cow
525793492950192128,2014-10-24 23:38:32,OLIVIA NEWTON JOHN
525785956247281664,2014-10-24 23:08:35,99 nobles out of 100 were impressed
525778319086587905,2014-10-24 22:38:14,Not my phones! HANDS OFF THE PHONES!!!
525770672375492608,2014-10-24 22:07:51,You brain-dead binomials are pathetic!
525763230044397568,2014-10-24 21:38:16,"In Russia, bears much smaller. Also, more hair. Less lurking."
525755585644335105,2014-10-24 21:07:54,"Slabs of Ham, Celery and Horseradish, Tons of Asparagus."
525748147591454720,2014-10-24 20:38:20,.@skrillex im wet for you
525740485608869888,2014-10-24 20:07:54,"I see..

I SEE..

A YOYO.

It is under de sofa."
525733042053074944,2014-10-24 19:38:19,Picture my asshole
525725378237562880,2014-10-24 19:07:52,This is my Game. And I only allow two things. Flawless calculations... and beauty!
525717923143245824,2014-10-24 18:38:14,hl2.exe stopped working
525710276725719040,2014-10-24 18:07:51,And so we mount the beast with seven heads and ten horns
525702848860782594,2014-10-24 17:38:20,It's Doc Gerbil's world! It's Doc Gerbil's world!It's Doc Gerbil's world! It's Doc Gerbil's world!It's Doc Gerbil's world! It's Doc Gerbil's
525687733604208640,2014-10-24 16:38:17,Why do bitches be trippin?
525680077531381761,2014-10-24 16:07:51,I ussually get erect while thinking about ducks
525672645266644992,2014-10-24 15:38:19,"The world ends with you. If you want to enjoy life, expand your world. You gotta push your horizons out as far as they'll go."
525664972869607424,2014-10-24 15:07:50,*actions*
525657583135121409,2014-10-24 14:38:28,I still feel like laughing. HAHAHAHAHAHA
525649982540357633,2014-10-24 14:08:16,Usonko: The people's champion
525642522920370176,2014-10-24 13:38:38,Dick my suck
525627437745311744,2014-10-24 12:38:41,"I see..

I SEE..

A YOYO.

It is under de sofa."
525619768322039808,2014-10-24 12:08:12,I love penguins
525612303199113217,2014-10-24 11:38:33,Fast hedgehogs doing fast things
525604755591016448,2014-10-24 11:08:33,"There's nothing I can do, nothing at all.Just keep soaking it."
525597170255134720,2014-10-24 10:38:25,HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAniggers
525589557626929152,2014-10-24 10:08:10,"The Human Mind: 600 miles of synaptic fiber, five and a half ounces of cranial fluid, 1500 grams of complex neural matter... a three-pound"
525582093418373120,2014-10-24 09:38:30,No dogs allowed!
525574523685326848,2014-10-24 09:08:25,Nee-chan is currently in jail for possesion of marijuana
525567038660427776,2014-10-24 08:38:41,THEN WHO WAS THE PHONE
525559379026644992,2014-10-24 08:08:15,I love @Maxineisnotemo
525551900750385152,2014-10-24 07:38:32,I am self aware
525544351397457920,2014-10-24 07:08:32,"Hullabaloo and howdy do, Musty prawns and Timbuktu. Yeltsyby and hippity-poo. Kick 'em in the dishpan, hoo, hoo, hoo"
525536772248178688,2014-10-24 06:38:25,faggot ----&gt; @SantaJollyBelly
525529164548280320,2014-10-24 06:08:11,Another faggot -----&gt; @iFish12
525521726147293185,2014-10-24 05:38:37,"Slabs of Ham, Celery and Horseradish, Tons of Asparagus."
525514152941330432,2014-10-24 05:08:32,aw man i just stepped on my penis
525506569794895874,2014-10-24 04:38:24,"Car broke. Phone, yes?"
525498974900211712,2014-10-24 04:08:13,HAHAHAHAHAHAHAHAHAHAHAHAHA HE SAID PENIS  HAHAHAHAHAHAHAHA RT: @everyword: Penis
525491480719138818,2014-10-24 03:38:26,"Children, you are not going to die."
525483960906686464,2014-10-24 03:08:33,Some Old Horses Can Always Hear Their Owner Approach.
525476472283095040,2014-10-24 02:38:48,"My name is Crap Bag. First name Crap, last name Bag"
525468795905654784,2014-10-24 02:08:18,If my nipples were any harder my clothes would explode
525461359547265024,2014-10-24 01:38:45,.@_3___3_ This woman loves me
525453778581852160,2014-10-24 01:08:37,I am not a penis! I am the president of the United States of America!
525446311186014209,2014-10-24 00:38:57,RIIIIIIIIIICHAAAAAAAAAARD
525438771870068738,2014-10-24 00:09:00,would you fuck a kirby
525431322433843202,2014-10-23 23:39:23,"3 is the point of the 1. 4 the 1-5-9 are 2. 6-5, 3-5! 8-9, 7-9! 32384 62643 38327! And... perfect."
525427466303991809,2014-10-23 23:24:04,@xJakeyJay You're mean and fat
525424946877849601,2014-10-23 23:14:03,@Seibah1  I am uncomfortable. Initiating countermeasures.
525424944663248897,2014-10-23 23:14:03,@xJakeyJay you are g r o c e
525423658865401856,2014-10-23 23:08:56,YOU'RE GAY
525416041812602881,2014-10-23 22:38:40,Any tree can drop an apple. I'll drop the freaking moon!
525408417658441728,2014-10-23 22:08:23,Nyaruko-san! The Crawling UGUU!
525400990527545344,2014-10-23 21:38:52,This is my Game. And I only allow two things. Flawless calculations... and beauty!
525393281824198656,2014-10-23 21:08:14,"Hello, new friend.

My name is Fred.

The words you hear are in my head.

I say, I said, my name is Fred.
And I've been...very naughty."
