id,created_at,text
526209329284665344,2014-10-26 03:10:55,Muuuuh
526194194058997760,2014-10-26 02:10:46,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526191656014733312,2014-10-26 02:00:41,@TigLaMig Muuuuh' Muuuuh' Muuuuh'
526186454288826368,2014-10-26 01:40:01,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526178950494441472,2014-10-26 01:10:12,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526176652276281344,2014-10-26 01:01:04,@mileshka_11 Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh'
526171325610479616,2014-10-26 00:39:54,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526163874190327808,2014-10-26 00:10:17,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526161526005440512,2014-10-26 00:00:58,@alobrogo Muuuuh*
526161525887995905,2014-10-26 00:00:58,@keishaofdogs Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh*
526156220235644928,2014-10-25 23:39:53,Muuuuh Muuuuh Muuuuh Muuuuh
526148731339423744,2014-10-25 23:10:07,Muuuuh Muuuuh
526141103917891584,2014-10-25 22:39:49,Muuuuh Muuuuh Muuuuh
526133607144759296,2014-10-25 22:10:01,Muuuuh
526118446170271744,2014-10-25 21:09:47,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526110931302883328,2014-10-25 20:39:55,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526103382314864641,2014-10-25 20:09:55,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526101101746343936,2014-10-25 20:00:51,@danylovescats Muuuuh' Muuuuh'
526095817937915904,2014-10-25 19:39:52,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526088262025101312,2014-10-25 19:09:50,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526086041087016960,2014-10-25 19:01:01,@Antarta Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526080691734200320,2014-10-25 18:39:45,Muuuuh Muuuuh Muuuuh Muuuuh
526073202888278017,2014-10-25 18:10:00,Muuuuh Muuuuh
526070921996824576,2014-10-25 18:00:56,@mileshka_11 Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526070915696963585,2014-10-25 18:00:54,@leanatas Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh'
526065577513611264,2014-10-25 17:39:42,Muuuuh Muuuuh Muuuuh
526058038319251456,2014-10-25 17:09:44,Muuuuh
526055847982809088,2014-10-25 17:01:02,@_savino Muuuuh*
526055847823437825,2014-10-25 17:01:02,@iOyeMely_ Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh*
526050499103956994,2014-10-25 16:39:47,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526042980130377729,2014-10-25 16:09:54,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526040710773239811,2014-10-25 16:00:53,@mileshka_11 Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526040705131892737,2014-10-25 16:00:52,@_savino Muuuuh Muuuuh
526035426247602176,2014-10-25 15:39:53,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526027808993062912,2014-10-25 15:09:37,Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526025624922882048,2014-10-25 15:00:56,@mileshka_11 Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh'
526025623261954048,2014-10-25 15:00:56,@charlesgdrs Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh Muuuuh
526025620183339008,2014-10-25 15:00:55,@_savino Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh'
526010509125222401,2014-10-25 14:00:52,@mileshka_11 Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh' Muuuuh'
526010504658321408,2014-10-25 14:00:51,@poooxa_leeh Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh* Muuuuh*
