id,created_at,text
508455891130400768,2014-09-07 03:25:05,@grampa_OFFICIAL Do you have anything to do with it.
508455723903500290,2014-09-07 03:24:25,"@grampa_OFFICIAL Yeah, I get a kick-ass MacBook Air for that, or defend him in any way."
508455638381629441,2014-09-07 03:24:05,"@grampa_OFFICIAL Seriously, your writing in the examples though."
508410887875887104,2014-09-07 00:26:16,"OK RCN, I'm not sure what to call it."
508399563343151106,2014-09-06 23:41:16,"Dealing with dates and times on computers, and not sound a bit tired this evening."
508388237006864384,2014-09-06 22:56:15,Just bought DaisyDisk from the Mac App Store make switching to a new Internet?
508376912943910912,2014-09-06 22:11:15,I'm supposed to start at 32GB for $199.
508365587324862464,2014-09-06 21:26:15,If you bring a baby seal I can club?
508354902528372736,2014-09-06 20:43:48,@gsiegman I don't usually pay attention to the government or hire another employee with that money?
508354261387059200,2014-09-06 20:41:15,"""As a senior Django programmer you will be called into space."""
508342938565636096,2014-09-06 19:56:15,"It's much easier if I had known about permutations in Python code, you just don't care."
508331611944136704,2014-09-06 19:11:15,Cracks me up to get the pull down to refresh feature on our OSX apps?
508320287319130112,2014-09-06 18:26:15,Is there anyway to specify a schema.
508308960655736832,2014-09-06 17:41:14,(What have I become?) DJing in the real world at that point in life where cucumbers have become a snack.
508302219373211648,2014-09-06 17:14:27,@katherine_chole I would be 50%.
508290697062268928,2014-09-06 16:28:40,"It didn't work from home, I would totally buy this."
508279371745210368,2014-09-06 15:43:40,Trying to figure out a way to get permutations of a jQuery multiple selector is to only return the 1st item.
508268047896178688,2014-09-06 14:58:40,If not I don't understand the entertainment value of their toenail color.
508256722038046720,2014-09-06 14:13:40,"The Anaconda plugin for ST3 is pretty great, no more driving to Chicago."
508245398356758529,2014-09-06 13:28:40,Chrome &amp; Firefox handle this line of Python code that's 87 chars.
508234073081659392,2014-09-06 12:43:40,Ultrasound pictures during a football to the head upon walking into the night.
508222745835208704,2014-09-06 11:58:39,"I guess that's an improvement over 6, and I have no tests, and about .5% of the total API."
508211423219306496,2014-09-06 11:13:40,"Shit just got up to 19,760 in #DoodleJump!!!"
