id,created_at,text
492192346931351552,2014-07-24 06:19:34,@kelseyinnis yes you can
481452806587416577,2014-06-24 15:04:28,@testtipbot yes you can
481314034986147840,2014-06-24 05:53:02,@test_tipper yes you can
467448242393710593,2014-05-16 23:35:20,@DubsGordon you're welcome
464135579462930432,2014-05-07 20:12:00,@kelseyinnis yes you can
464131511080321024,2014-05-07 19:55:50,@test_tipper yes you can
463793178651279360,2014-05-06 21:31:25,@kelseyinnis yes you can
463792609182220288,2014-05-06 21:29:09,@tvachon yes you can
463790064502185985,2014-05-06 21:19:02,@banane yes you can
463782120989552641,2014-05-06 20:47:28,@AlexYablon yes you can
463780408337772544,2014-05-06 20:40:40,@traffichazard yes you can
463779260994301952,2014-05-06 20:36:07,@ztellman yes you can
463779162482675712,2014-05-06 20:35:43,@BridgetHillyer yes you can
463775832217903104,2014-05-06 20:22:29,@puredanger yes you can
463773801126170624,2014-05-06 20:14:25,@willf yes you can
463773310870761473,2014-05-06 20:12:28,@aphyr yes you can
463773200392798210,2014-05-06 20:12:02,@gigasquid yes you can
463773190221619200,2014-05-06 20:11:59,@dguilak yes you can
463772811685662720,2014-05-06 20:10:29,@kelseyinnis yes you can
463770307887517696,2014-05-06 20:00:32,@test_tipper yes you can
463593101819269120,2014-05-06 08:16:23,@abotcalledquest can i kick it?
463582220301512704,2014-05-06 07:33:08,@kelseyinnis yes you can
462700138004086784,2014-05-03 21:08:04,@nodename yes you can
462700120861995008,2014-05-03 21:08:00,@alyssackwan yes you can
462699907866824704,2014-05-03 21:07:09,@test_tipper yes you can
462394781243432960,2014-05-03 00:54:41,@test_tipper yes you can
462117187587538944,2014-05-02 06:31:37,@test_tipper yes you can
