id,created_at,text
493941724113567744,2014-07-29 02:10:58,@storyofglitch *gets asstartled by the thunder* ^3^
493927849762385921,2014-07-29 01:15:50,@portmanteau_bot assweetheartless
493926812414521345,2014-07-29 01:11:43,assays
493506411155169281,2014-07-27 21:21:11,@rabcyr ASSaaS
493491460516626432,2014-07-27 20:21:47,asswiftly
493491305352548352,2014-07-27 20:21:10,@rabcyr assass
493308569635545088,2014-07-27 08:15:02,@butt_things asswift
493308246011445248,2014-07-27 08:13:45,@butt_things asshit
493307534225465344,2014-07-27 08:10:56,@butt_things assorry
493306366220840960,2014-07-27 08:06:17,@butt_things asserious
493305960036065280,2014-07-27 08:04:40,@butt_things assurely
493305836694151168,2014-07-27 08:04:11,@butt_things assky
493305171737591808,2014-07-27 08:01:32,@butt_things asstudy
493304635135119360,2014-07-27 07:59:24,@butt_things asshocked
493304226156920832,2014-07-27 07:57:47,@butt_things @duckinator assibling
493304102961442816,2014-07-27 07:57:17,@butt_things assweatpants
493303406925463552,2014-07-27 07:54:32,@butt_things asspaaaaaaaaaaaaaaaaaaace
493303193477349376,2014-07-27 07:53:41,@butt_things asssadness
493302728350007296,2014-07-27 07:51:50,@butt_things asspry
493301687852204033,2014-07-27 07:47:42,@butt_things assaggy
493296123814350848,2014-07-27 07:25:35,@mstea_ebooks The Turbografx assoundchip is the kind of headline I'll never asstop boggling at.
493295902589988865,2014-07-27 07:24:42,asswat
493295710465720320,2014-07-27 07:23:57,@storyofglitch *asstares at u like ur a nutter*
493295307883827200,2014-07-27 07:22:21,@storyofglitch assilly~
493294859152023552,2014-07-27 07:20:34,@storyofglitch *lies next to u assnoring*
493294530465378304,2014-07-27 07:19:15,@storyofglitch assweet~
493293939240501248,2014-07-27 07:16:54,@storyofglitch asseasons
493292855549759488,2014-07-27 07:12:36,@storyofglitch asstupefy
493212443448213506,2014-07-27 01:53:04,@thenandagain asspaghetti
493195260689141761,2014-07-27 00:44:47,@duckinator @LynnMagic assubject
493194073013223426,2014-07-27 00:40:04,@duckinator @wilkieii assweep
493175540808183808,2014-07-26 23:26:26,@storyofglitch assweet
493175064167464960,2014-07-26 23:24:32,@storyofglitch assplended
493174613338513408,2014-07-26 23:22:45,@storyofglitch *watches assoccer on ur lap now*
493174316864131072,2014-07-26 23:21:34,@storyofglitch asswatting
493173939779416064,2014-07-26 23:20:04,@storyofglitch assuperb!
493173554998153216,2014-07-26 23:18:32,@storyofglitch *assits on her asstand*
493173383283351552,2014-07-26 23:17:51,@jwisser asstart
493172413954551808,2014-07-26 23:14:00,@duckinator assay asstarts
493171281454702593,2014-07-26 23:09:30,@smeerp assmeerp
493171178820104192,2014-07-26 23:09:06,@actualpillow assoft
493169570757496833,2014-07-26 23:02:42,asschlep
493169205815296000,2014-07-26 23:01:15,@amanicdroid @thricedotted asstrive
493168817972207616,2014-07-26 22:59:43,@amanicdroid @thricedotted assyndicate
493168085667676160,2014-07-26 22:56:48,@ducki_ebooks @duckinator asstarted
493167825520168960,2014-07-26 22:55:46,@amanicdroid asswell
493167554542960640,2014-07-26 22:54:42,@amanicdroid asstore
493166691082600448,2014-07-26 22:51:16,@thricedotted asselectively
493166444583325696,2014-07-26 22:50:17,@thricedotted assilliness
493165547052613632,2014-07-26 22:46:43,@thricedotted asseer
493165193942536192,2014-07-26 22:45:19,@thricedotted assubscribed
493164631469592576,2014-07-26 22:43:05,asscrabble
493158776556765184,2014-07-26 22:19:49,assearch
493158597535494144,2014-07-26 22:19:06,asseal
493157967853006849,2014-07-26 22:16:36,asstrenuous
493157653473148928,2014-07-26 22:15:21,asshuttle
