id,created_at,text
525357290673954818,2014-10-23 18:45:13,Isabel Leonard Wikipedia article edited anonymously from US House of Representatives http://t.co/K36h2vFjOk
525292523124563969,2014-10-23 14:27:51,Te-Moak Tribe of Western Shoshone Indians of Nevada Wikipedia article edited anonymously from US Senate http://t.co/vBdRAYRVzi
525019093758255105,2014-10-22 20:21:20,Republican Conference of the United States Senate Wikipedia article edited anonymously from US Senate http://t.co/2NWBkvcb2G
524635584963178496,2014-10-21 18:57:25,Federal Charter school program Wikipedia article edited anonymously from US Senate http://t.co/9htYQxYUhk
524320014925447168,2014-10-20 22:03:27,RT @breyten: The rise of the automated watchdogs - Great piece on @congressedits and @politwoops http://t.co/YVfzmpW7ha via @SFNicko
524279662407479297,2014-10-20 19:23:06,Ron Kind Wikipedia article edited anonymously from US House of Representatives http://t.co/xZfUOAnLxr
523165126615003136,2014-10-17 17:34:20,Bellarmine College Preparatory Wikipedia article edited anonymously from US House of Representatives http://t.co/tQWvoCwkcD
523164974886031360,2014-10-17 17:33:44,Bellarmine College Preparatory Wikipedia article edited anonymously from US House of Representatives http://t.co/AcldtEK61o
519892163446837248,2014-10-08 16:48:45,Cal Ripken Collegiate Baseball League Wikipedia article edited anonymously from US Senate http://t.co/BSH7owmxJV
519887937702342656,2014-10-08 16:31:58,Wikipedia:Anmäl ett fel Wikipedia article edited anonymously from US House of Representatives http://t.co/wzWzdIDhKR
519795544190111744,2014-10-08 10:24:49,just fyi: similar bots like @RuGovEdits &amp; @UaGovEdits have been blocked by Twitter for unexplained reasons https://t.co/xR8Vy5paIE
519483778071154689,2014-10-07 13:45:58,The Life Aquatic with Steve Zissou Wikipedia article edited anonymously from US Senate http://t.co/8LS8TRMkAo
519217898770792449,2014-10-06 20:09:28,Colby College Wikipedia article edited anonymously from US House of Representatives http://t.co/OJCgt13rEG
519217824498061312,2014-10-06 20:09:10,Colby College Wikipedia article edited anonymously from US House of Representatives http://t.co/dz4TFHFMFa
518064977697980416,2014-10-03 15:48:10,Chris Lubanski Wikipedia article edited anonymously from US Senate http://t.co/L5sS0BmjhE
518060797147103232,2014-10-03 15:31:33,Chris Lubanski Wikipedia article edited anonymously from US Senate http://t.co/IttM4dgV1u
518060625923043330,2014-10-03 15:30:52,Chris Lubanski Wikipedia article edited anonymously from US Senate http://t.co/xnU63oYrj0
518036599880175617,2014-10-03 13:55:24,Бои за Иловайск Wikipedia article edited anonymously from US House of Representatives http://t.co/JQDNrBzqur
518036152125620226,2014-10-03 13:53:37,Doug Lamborn Wikipedia article edited anonymously from US House of Representatives http://t.co/HeWSuuzoLZ
517794865820991488,2014-10-02 21:54:50,@JoshData were you editing anonymously?
517711202466557952,2014-10-02 16:22:23,David Vitter Wikipedia article edited anonymously from US Senate http://t.co/D4Wb1QcxPn
517397084865953792,2014-10-01 19:34:12,Union Park Gardens Wikipedia article edited anonymously from US Senate http://t.co/UURxWrSJom
517049619084095488,2014-09-30 20:33:30,Miami University Wikipedia article edited anonymously from US House of Representatives http://t.co/wDKMrSs8tG
517046953335468033,2014-09-30 20:22:54,List of Miami University people Wikipedia article edited anonymously from US House of Representatives http://t.co/ARhVZs9ovu
517046654868811777,2014-09-30 20:21:43,List of Miami University people Wikipedia article edited anonymously from US House of Representatives http://t.co/D1ZwIRawG9
517046506126204928,2014-09-30 20:21:07,List of Miami University people Wikipedia article edited anonymously from US House of Representatives http://t.co/3KQ8o9bPwl
516992846897770496,2014-09-30 16:47:54,"Клишас, Андрей Александрович Wikipedia article edited anonymously from US House of Representatives http://t.co/6FqsuLJfr1"
516978486951432193,2014-09-30 15:50:50,Commission on Security and Cooperation in Europ Wikipedia article edited anonymously from US House of Representatives http://t.co/sNkubUQ53B
516966444332879872,2014-09-30 15:02:59,Английская Википедия Wikipedia article edited anonymously from US House of Representatives http://t.co/a3XFaT4Ykd
516958408604278786,2014-09-30 14:31:03,Обсуждение:Аниме Wikipedia article edited anonymously from US House of Representatives http://t.co/Mw6rrx6g9I
516942331082059777,2014-09-30 13:27:10,"Delaware City, Delaware Wikipedia article edited anonymously from US Senate http://t.co/fd5udDoOiO"
516635966635638785,2014-09-29 17:09:47,Kenny Rogers Wikipedia article edited anonymously from US Senate http://t.co/hdHRcvq1hq
514824524810838016,2014-09-24 17:11:46,"Чемпионат СССР по футболу 1968 (класс «А», втор Wikipedia article edited anonymously from US House of Representatives http://t.co/Rm9JJdOTGn"
514816123112407040,2014-09-24 16:38:23,Присоединение Крыма к России (2014) Wikipedia article edited anonymously from US House of Representatives http://t.co/2AB2w2M2l0
514773839406829568,2014-09-24 13:50:22,Kotaku Wikipedia article edited anonymously from US House of Representatives http://t.co/OJxSJpZZPq
514504250526035969,2014-09-23 19:59:07,Fort Reno Park Wikipedia article edited anonymously from US House of Representatives http://t.co/Fag9znMBwz
514501998822326274,2014-09-23 19:50:10,Fort Reno Park Wikipedia article edited anonymously from US House of Representatives http://t.co/qCrlp06cLT
514245514708000768,2014-09-23 02:50:59,Madeleine Bordallo Wikipedia article edited anonymously from US House of Representatives http://t.co/lOv2t5F39B
514244680301555714,2014-09-23 02:47:40,Madeleine Bordallo Wikipedia article edited anonymously from US House of Representatives http://t.co/DagNMSfeoz
514243909581426689,2014-09-23 02:44:36,Madeleine Bordallo Wikipedia article edited anonymously from US House of Representatives http://t.co/JzR2lyqApc
514195904308338688,2014-09-22 23:33:51,Massachusetts Bay Colony Wikipedia article edited anonymously from US Senate http://t.co/ikjuUth3G0
514195768584859648,2014-09-22 23:33:19,Massachusetts Bay Colony Wikipedia article edited anonymously from US Senate http://t.co/wktVYTMruJ
514135259525300224,2014-09-22 19:32:52,Франкфуртская школа Wikipedia article edited anonymously from US House of Representatives http://t.co/hsG0vhFyfT
514128293251936256,2014-09-22 19:05:11,Institute for Social Research Wikipedia article edited anonymously from US House of Representatives http://t.co/tJFPiqRK1d
514127840975933440,2014-09-22 19:03:23,Institute for Social Research Wikipedia article edited anonymously from US House of Representatives http://t.co/1JWfQ1eUnL
514117418877087744,2014-09-22 18:21:59,List of video games notable for negative recept Wikipedia article edited anonymously from US House of Representatives http://t.co/XrHiV1vwQK
514110771303686144,2014-09-22 17:55:34,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/WniJO70LBh
514106628342165504,2014-09-22 17:39:06,Kerry Bentivolio Wikipedia article edited anonymously from US House of Representatives http://t.co/CtnVsyROgU
514105567338450945,2014-09-22 17:34:53,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/t1C1emrPy5
514100776629596160,2014-09-22 17:15:51,Dana Rohrabacher Wikipedia article edited anonymously from US House of Representatives http://t.co/G5qlDL2f0Y
514098001950683136,2014-09-22 17:04:49,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/i4a7StmM3l
514096331040620544,2014-09-22 16:58:11,American Airlines Theatre Wikipedia article edited anonymously from US House of Representatives http://t.co/r19wVrjlby
514080679030566912,2014-09-22 15:55:59,Kotaku Wikipedia article edited anonymously from US House of Representatives http://t.co/6SeolrCa1Q
514073647367991298,2014-09-22 15:28:03,Transatlantic Trade and Investment Partnership Wikipedia article edited anonymously from US House of Representatives http://t.co/VMiq0FIXgv
514073339686424577,2014-09-22 15:26:49,Mitch McConnell Wikipedia article edited anonymously from US House of Representatives http://t.co/MTNELvXSxR
514069186788610049,2014-09-22 15:10:19,Year 2038 problem Wikipedia article edited anonymously from US House of Representatives http://t.co/rUEqL6xX11
514066638241402882,2014-09-22 15:00:12,Sokal affair Wikipedia article edited anonymously from US House of Representatives http://t.co/DuST04FmJK
514051543830503425,2014-09-22 14:00:13,Gamergate Wikipedia article edited anonymously from US House of Representatives http://t.co/Drdr85iSWy
514046046624677890,2014-09-22 13:38:22,"1952 Washington, D.C. UFO incident Wikipedia article edited anonymously from US House of Representatives http://t.co/4SJxboxviA"
514040588170039296,2014-09-22 13:16:41,List of ethnic sports team and mascot names Wikipedia article edited anonymously from US Senate http://t.co/rxKdaEiiqK
513075960887791616,2014-09-19 21:23:36,Baby farming Wikipedia article edited anonymously from US House of Representatives http://t.co/SaKwf08090
512345970500050944,2014-09-17 21:02:52,Ahmet Bozer Wikipedia article edited anonymously from US House of Representatives http://t.co/DSbyhXVrQw
512345706825146369,2014-09-17 21:01:50,Ahmet Bozer Wikipedia article edited anonymously from US House of Representatives http://t.co/syAWmmpCzN
512345326594703360,2014-09-17 21:00:19,Ahmet Bozer Wikipedia article edited anonymously from US House of Representatives http://t.co/RYgiS3u63q
512225542620196864,2014-09-17 13:04:20,Mac Collins Wikipedia article edited anonymously from US House of Representatives http://t.co/AGTliYzyrO
512014307756761088,2014-09-16 23:04:58,Choco Taco Wikipedia article edited anonymously from US House of Representatives http://t.co/1eXWnSK1Bs
511879991445831680,2014-09-16 14:11:14,Минское соглашение Wikipedia article edited anonymously from US House of Representatives http://t.co/hcTQ2sFt4q
511586199631179777,2014-09-15 18:43:49,Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/FdLhKCNZ1R
511570411692109824,2014-09-15 17:41:05,Jeff Miller (Florida politician) Wikipedia article edited anonymously from US House of Representatives http://t.co/SA8D8pPNkx
510502152167378944,2014-09-12 18:56:12,Tom Carper Wikipedia article edited anonymously from US Senate http://t.co/7C9OyVpdX4
510430162463125504,2014-09-12 14:10:08,Капитолий (Вашингтон) Wikipedia article edited anonymously from US House of Representatives http://t.co/2pXMTuxfVH
510183976468611072,2014-09-11 21:51:53,Кравков Wikipedia article edited anonymously from US Senate http://t.co/Oyb7P7XDIh
510081375404183552,2014-09-11 15:04:11,South Carolina v. Katzenbach Wikipedia article edited anonymously from US Senate http://t.co/b3OwZ4rOi0
509456406253027328,2014-09-09 21:40:47,UFC 181 Wikipedia article edited anonymously from US Senate http://t.co/VR6lSSATSq
509456245372092416,2014-09-09 21:40:08,UFC 181 Wikipedia article edited anonymously from US Senate http://t.co/TtEr9I3pbJ
508987505647951873,2014-09-08 14:37:32,Pigford v. Glickman Wikipedia article edited anonymously from US Senate http://t.co/OmMbNACcBt
506908905364942848,2014-09-02 20:57:55,Ron Wyden Wikipedia article edited anonymously from US Senate http://t.co/9NQMeq79Wd
506897493670785024,2014-09-02 20:12:34,RT @wikimediadc: What do we think of @CongressEdits? Read here! http://t.co/TsXVMewc0K
506893668087627776,2014-09-02 19:57:22,Vietnam War POW&amp;#x2F;MIA issue Wikipedia article edited anonymously from US Senate http://t.co/ZQiL1kGxRF
506892790622453761,2014-09-02 19:53:53,Vietnam War POW&amp;#x2F;MIA issue Wikipedia article edited anonymously from US Senate http://t.co/HqMnQ9OsXq
506795838492798976,2014-09-02 13:28:38,Philip Danforth Armour Wikipedia article edited anonymously from US Senate http://t.co/hjkQCHbAPa
506795665268035584,2014-09-02 13:27:57,Philip Danforth Armour Wikipedia article edited anonymously from US Senate http://t.co/d02EtujWDs
505402274827358208,2014-08-29 17:11:06,Ракетная атака под Зеленопольем Wikipedia article edited anonymously from US House of Representatives http://t.co/0jmhngn9Bx
505381714625957889,2014-08-29 15:49:24,The Lord of the Rings Wikipedia article edited anonymously from US House of Representatives http://t.co/5i87Sz0xDF
505341897905147904,2014-08-29 13:11:11,Brian Schatz Wikipedia article edited anonymously from US House of Representatives http://t.co/k5xpACPB1q
505059917141520384,2014-08-28 18:30:42,California Republican Party Wikipedia article edited anonymously from US House of Representatives http://t.co/JS4szvPBTc
504987737254944768,2014-08-28 13:43:53,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/v8mJwvUOUU
504950817355726848,2014-08-28 11:17:11,fyi: we’re setting up a shared instance of anon in @wikimedia tools labs for @parliamentedits style twitter accounts https://t.co/6daVF0CKun
504717209693089792,2014-08-27 19:48:54,Win–loss record (pitching) Wikipedia article edited anonymously from US House of Representatives http://t.co/dTx1fcuuaW
504711732573786112,2014-08-27 19:27:08,Addie Joss Wikipedia article edited anonymously from US House of Representatives http://t.co/ucq25JyRH5
504711487718699008,2014-08-27 19:26:10,Addie Joss Wikipedia article edited anonymously from US House of Representatives http://t.co/cJkJLlqp7l
504710281550114816,2014-08-27 19:21:22,Тайная доктрина Wikipedia article edited anonymously from US House of Representatives http://t.co/dw1cjMRsSd
504705624987684864,2014-08-27 19:02:52,"Витренко, Наталья Михайловна Wikipedia article edited anonymously from US House of Representatives http://t.co/CN2u2sBo96"
504355669882200064,2014-08-26 19:52:16,World Fantasy Convention Wikipedia article edited anonymously from US Senate http://t.co/CWvhjdHZOD
504349159579996160,2014-08-26 19:26:24,Luke Russert Wikipedia article edited anonymously from US House of Representatives http://t.co/mMURfRzxaz
504308288780271616,2014-08-26 16:44:00,Brian Schatz Wikipedia article edited anonymously from US House of Representatives http://t.co/zutuUnbH9O
503985105120288769,2014-08-25 19:19:47,Talk:War on Women Wikipedia article edited anonymously from US House of Representatives http://t.co/BZIjY0mkm5
503978479126593537,2014-08-25 18:53:27,Talk:War on Women Wikipedia article edited anonymously from US House of Representatives http://t.co/ZgXILmxW1F
503972627363692544,2014-08-25 18:30:12,Tony Blankley Wikipedia article edited anonymously from US House of Representatives http://t.co/tl9RaxBU6s
503971406473093120,2014-08-25 18:25:21,Category talk:Employees of the United States Ho Wikipedia article edited anonymously from US House of Representatives http://t.co/ZPxMwyKWGj
503967541791064065,2014-08-25 18:09:59,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/EsGSNYpLIh
503964731909341184,2014-08-25 17:58:49,Talk:Ed Summers Wikipedia article edited anonymously from US House of Representatives http://t.co/jBDAvgqexE
502807336306872320,2014-08-22 13:19:45,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/yRiktdotRs
502537448455671808,2014-08-21 19:27:19,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/HqB6iCrqIe
502522774049783808,2014-08-21 18:29:00,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/5ACI9qUOD0
502518314892267520,2014-08-21 18:11:17,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/oQTsrvJwR6
502481294467424260,2014-08-21 15:44:10,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/BEvTANunqo
502443815199047680,2014-08-21 13:15:15,User talk:143.231.249.138 Wikipedia article edited anonymously from US House of Representatives http://t.co/KHGCn29OtH
502214097895968769,2014-08-20 22:02:26,Orange Is the New Black Wikipedia article edited anonymously from US House of Representatives http://t.co/dIeJefU2KV
502212817806954496,2014-08-20 21:57:21,Wikipedia:Administrator intervention against va Wikipedia article edited anonymously from US House of Representatives http://t.co/SHCou9W0E0
502210465788076032,2014-08-20 21:48:00,Wikipedia:Administrator intervention against va Wikipedia article edited anonymously from US House of Representatives http://t.co/VCWyQ1XSEs
502192740420317184,2014-08-20 20:37:34,Wikipedia:Requested articles&amp;#x2F;Social scienc Wikipedia article edited anonymously from US House of Representatives http://t.co/RuyBDRH5i5
502191839769018368,2014-08-20 20:33:59,User talk:Davidjcobb Wikipedia article edited anonymously from US House of Representatives http://t.co/bynodEYNzV
502185863393325056,2014-08-20 20:10:14,Wikipedia:Requested articles&amp;#x2F;Social scienc Wikipedia article edited anonymously from US House of Representatives http://t.co/b6JuO6e19m
502174307486007298,2014-08-20 19:24:19,Worldwide LaRouche Youth Movement Wikipedia article edited anonymously from US House of Representatives http://t.co/MHGfeJ7EfE
502148746692808705,2014-08-20 17:42:45,Tranny Wikipedia article edited anonymously from US House of Representatives http://t.co/SkIIKhDxBu
502124163788963840,2014-08-20 16:05:04,Executive Intelligence Review Wikipedia article edited anonymously from US House of Representatives http://t.co/nYsp6cn3nB
502104077288091648,2014-08-20 14:45:15,Gun Control Act of 1968 Wikipedia article edited anonymously from US House of Representatives http://t.co/6qJwIZeR4O
502092967705071616,2014-08-20 14:01:06,Parahuman Wikipedia article edited anonymously from US House of Representatives http://t.co/uOzaVrtRlz
501841419150295040,2014-08-19 21:21:32,Gavin McInnes Wikipedia article edited anonymously from US House of Representatives http://t.co/VdEEefUgmV
501828983026380800,2014-08-19 20:32:07,Religion and abortion Wikipedia article edited anonymously from US House of Representatives http://t.co/DKOV2AHX0k
501778761785024512,2014-08-19 17:12:34,Body integrity identity disorder Wikipedia article edited anonymously from US House of Representatives http://t.co/tqE21CHm2b
