id,created_at,text
525517349181739008,2014-10-24 05:21:14,o&lt; ABRAHAM LINCOLN WAS THE UNITED STATES OF AMERICA'S FIRST DICTATOR o-
525189939856949248,2014-10-23 07:40:13,o&lt; WMDS WERE IN IRAQ THE WHOLE TIME AND WERE DISCOVERED A LONG TIME AGO THE ONLY REASON IT WASN'T MADE PUBLIC WAS BECAUSE OF EBOLA o-
525166246078476288,2014-10-23 06:06:04,o&lt; GHADDAFI WAS ASSASSINATED BY HALLIBURTON o-
524531048932077568,2014-10-21 12:02:02,"o&lt; DE TOCQUEVILLE WAS BRIBED, THE UNITED STATES OF AMERICA HAS BEEN A POLICE STATE SINCE 1831 o-"
524046629834215425,2014-10-20 03:57:07,o&lt; CARTHAGE MUST BE DESTROYED o-
523366871467180032,2014-10-18 06:56:00,o&lt; THIS RASH UNDER MY WINGS IS *NOT* FROM VISITING TOO MANY DIRTY STALLS o-
523349330522931201,2014-10-18 05:46:18,o&lt; MICHIO KAKU IS PERSONALLY HOLDING BACK ALL TECHNOLOGICAL ADVANCEMENT BY SPOUTING COMPLETE AND TOTAL HORSESHIT TO LINE HIS OWN POCKETS o-
523291886346174464,2014-10-18 01:58:02,.@JoseHorchata o&lt; THERE'S ONLY SO MUCH TIME LEFT #ALEXJONES o-
523279328289619970,2014-10-18 01:08:08,o&lt; OBAMA'S CREATION OF AN EBOLA CZAR IS AN ATTEMPT TO CONSOLIDATE POWER AGAINST THE ROGUE FEMA CAMPS o-
522712222087147520,2014-10-16 11:34:39,"o&lt; THE RUSSIAN ""RESET"" (NAMELY: ""OVERCHARGE"") CLEARLY WORKED o-"
522311657750405121,2014-10-15 09:02:57,o&lt; SNAPCHAT ACCOUNTS WERE HACKED BY THE FBI IN ORDER TO GET BLACKMAIL MATERIAL ON AS MANY PEOPLE AS POSSIBLE o-
521875858735132673,2014-10-14 04:11:15,o&lt; THE JAMES RANDI EDUCATION FOUNDATION CLOSED ITS LOS ANGELES OFFICE BECAUSE THEY FOUND GHOSTS IN THE ANTEROOM o-
521866458293211136,2014-10-14 03:33:54,"o&lt; MENSA WAS FOUNDED TO CORRAL ALL SELF-LABELED ""SMART"" PEOPLE TOGETHER SO THAT THEY CAN BE ELIMINATED BY THE COMMUNIST PART OF THE USA o-"
521460041530896385,2014-10-13 00:38:56,"o&lt; ""OUTBREAK"" AND ""WAG THE DOG"" BOTH STARRED DUSTIN HOFFMAN ... COINCIDENCE ?!?! NO, THE EBOLA PANDEMIC WAS CAUSED BY THE US GOVERNMENT o-"
521052037237071872,2014-10-11 21:37:41,o&lt; KIM JONG-UN HAS BEEN DEPOSED BY THE MILITARY TO STOP HIM FROM EATING ALL THE REMAINING CHEESE IN NORTH KOREA o-
520384792068517888,2014-10-10 01:26:17,o&lt; NOBEL PRIZES WERE GIVEN FOR LIGHT EMITTING DIODES (FIRST INVENTED IN THE EARLY 1960S) BECAUSE THERE IS NOTHING LEFT TO DISCOVER o-
520123872423972864,2014-10-09 08:09:29,o&lt; LEVY MCGARDEN IS A MAN o-
519448578767732737,2014-10-07 11:26:06,o&lt; BIGFOOT EXISTS INSIDE ALL OF US o-
519442813801332736,2014-10-07 11:03:12,o&lt; THE NOBEL PRIZE FOR PHYSICS WAS AWARDED FOR LEDS BECAUSE THERE IS NOTHING LEFT FOR SCIENCE TO DISCOVER o-
519071475220094977,2014-10-06 10:27:38,o&lt; RIO RANCHO NEVER EXISTED IT WAS ALL JUST A BAD MEMORY o-
518966252203552768,2014-10-06 03:29:31,"o&lt; RUSSIA DIDN'T JUST ABDUCT AN ESTONIAN SECURITY OFFICER, THE ESTONIAN SECURITY OFFICER ABDUCTED RUSSIA SO IT WAS COMPLETELY JUSTIFIED o-"
517280635954937857,2014-10-01 11:51:28,o&lt; TACHYONS WERE RESPONSIBLE FOR BARYOGENESIS AND I DON'T KNOW WHAT ANY OF THOSE WORDS MEAN BUT I'LL ARGUE YOU WITH YOU ABOUT IT o-
517191154606284800,2014-10-01 05:55:54,o&lt; DINOSAUR FLATULENCE CAUSED THE ICE AGES (SO WE'RE DUE FOR ANOTHER ONE SOON) o-
514526911704223744,2014-09-23 21:29:09,o&lt; PROTESTERS HAD TO MARCH FOR GLOBAL WARMING BECAUSE OTHERWISE IT WOULDN'T HAPPEN o-
513569137369427969,2014-09-21 06:03:18,o&lt; NOBODY EVER FINDS ANY BIGFOOT BONES BECAUSE THEY'RE MADE OF LITHIUM o-
513466534753079296,2014-09-20 23:15:36,"o&lt; THE ""MINUTE PHYSICS"" YOUTUBE PRESENTATIONS ARE NOT ACTUALLY ONE MINUTE LONG BECAUSE THE METRIC SYSTEM IS SO SCREWED UP o-"
512833263555985408,2014-09-19 05:19:12,o&lt; SCOTLAND REJECTED INDEPENDENCE BECAUSE OF MASSIVE BRIBERY ON THE PART OF BRUSSELS o-
512045983564197889,2014-09-17 01:10:50,o&lt; ISIS RENAMED ITSELF TO THE ISLAMIC STATE (IS) BECAUSE IT KEPT GETTING EMBARRASSINGLY MIXED UP WITH THE 70S TV SHOW o-
510783737487843328,2014-09-13 13:35:07,o&lt; PUTIN DOESN'T WANT TO RESTORE THE SOVIET UNION HE WANTS TO RESTORE THE CZARIST RUSSIAN EMPIRE o-
510668593357656064,2014-09-13 05:57:35,"o&lt; ""LIVE FROM THE REAGAN LIBRARY"" YOUTUBE VIDEOS DO NOT IMPLY REAGAN'S HEAD IS KEPT ALIVE IN A JAR. @CONSPIRACYDUCK REGRETS THE ERROR. o-"
510291308569956352,2014-09-12 04:58:23,o&lt; I DISCOVERED A STRONG CORRELATION BETWEEN AUTISM RATES AND PEOPLE DISCUSSING AUTISM SO EVERYBODY BE QUIET ABOUT IT AND IT'LL GO AWAY o-
509999038909804544,2014-09-11 09:37:00,o&lt; ALL OF THE UNREST IN THE WORLD TODAY IS BECAUSE NOW THAT OBAMA IS PRESIDENT THE NEW WORLD ORDER IS MOVING TO TAKE OVER #nutgas o-
509861951770357760,2014-09-11 00:32:16,o&lt; BOB COSTAS DID NOT DYE HIS HAIR HE'S BEEN REPLACED BY A DOPPLEGANGER !!111 SOMEONE CHECK WHICH HAND HE WRITES WITH NOW o-
509289505983959040,2014-09-09 10:37:35,o&lt; THE UNITED STATES OF AMERICA HAS BEEN A POLICE STATE SINCE THE SEDITION ACT (1917) AND ESPIONAGE ACT (1918) #woodrowwilson o-
509268633579581441,2014-09-09 09:14:38,"o&lt; SO-CALLED ""GAMERGATE"" WAS CAUSED BY DICKWOLVES #pennyarcade o-"
509147979727380480,2014-09-09 01:15:12,o&lt; THE UNESCORTED MINORS ON THE US BORDER HAVE ALL DISAPPEARED BECAUSE THEY WERE ACTUALLY REPTILIAN TROJAN HORSES o-
508530312867872768,2014-09-07 08:20:49,o&lt; SKEPTICS ARE MOST RIGID AND DOGMATIC AND FUNDAMENTALIST THAN MY GRANDMOTHER (WHO YOU DON'T KNOW BUT WHO WAS ALL THOSE THINGS #trustme) o-
508515321091616768,2014-09-07 07:21:14,o&lt; GRAHAM'S NUMBER DOES NOT HAVE THE VALUE EVERYONE THINKS IT DOES o-
506936590669606913,2014-09-02 22:47:56,o&lt; THE EXISTENCE OF PENTAQUARKS HAS BEEN COVERED UP BY THE SOVEREIGN CITIZEN MOVEMENT TO PREVENT THE FURTHER CENTRALIZATION OF POWER o-
506680791573618690,2014-09-02 05:51:29,o&lt; PUTIN MURDERED THE SPACE GECKOS BECAUSE THEY WERE FOMENTING UNREST #russia #putin #geckos #space #really o-
506593025561096192,2014-09-02 00:02:44,o&lt; MAX TEGMARK DOES *NOT* HAVE A SPEECH IMPEDIMENT. HE IS MERELY SWEDISH. @CONSPIRACYDUCK REGRETS THE ERROR. o-
505900947831549953,2014-08-31 02:12:39,o&lt; THE REASON THAT CLIVEN BUNDY DROPPED OFF THE NEWS WAS BECAUSE QUIETLY TAKEN AWAY TO A FEMA CONCENTRATION CAMP o-
505107405223370752,2014-08-28 21:39:24,"o&lt; THE ""FLOATERS"" WHICH OPTOMETRISTS WRITE OFF AS MERELY JUNK IN YOUR EYE ARE REALLY INTELLIGENT HOMUNCULI RESPONSIBLE FOR CONSCIOUSNESS o-"
503657247218483200,2014-08-24 21:36:59,o&lt; ISIL/ISIS/THE ISLAMIC STATE/THE CALIPHATE KEEPS CHANGING ITS NAME TO AVOID TRADEMARK ISSUES o-
503356953867730944,2014-08-24 01:43:44,o&lt; THE ANTIKYTHERA MECHANISM IS PART OF AN ELABORATE HOAX BY THE FREEMASONS o-
503096295473414144,2014-08-23 08:27:58,"o&lt; LINGUISTS USE THE WORD ""MONOGENESIS"" BECAUSE THEY DON'T REALIZE THAT EINSTEIN WAS WRONG o-"
502736628389920768,2014-08-22 08:38:47,o&lt; THE NSA CAUSED MY HARD DRIVE FAILURE #nsa #snowden #waitducksdontownthings #quack o-
501909820320915456,2014-08-20 01:53:20,"o&lt; UFO'S ARE REAL AND THE GOVERNMENT KNOWS IT (UFOS HOWEVER, ARE NOT) #apostropheproblems https://t.co/k8C9kGPNLG o-"
501606354075656192,2014-08-19 05:47:28,o&lt; SIMON SINGH'S MOHAWK IS A SECRET INDICATION HE ACTUALLY WAS INVOLVED (THOUGH NOT DIRECTLY) IN THE ASSASSINATION OF SLOBODAN MILESOVIC o-
501571327036116992,2014-08-19 03:28:17,o&lt; LOGAN'S RUN WAS NOT A DOCUMENTARY !!! WAKE UP SHEEPLE #wakeup #sheeple  #waitijustsaidthat #quack o-
501134451867258880,2014-08-17 22:32:18,"o&lt; THE ""EMDRIVE"" REACTIONLESS DRIVE REALLY DOES WORK BUT ONLY WHEN POWERED BY CONFUSION o-"
500733106567925760,2014-08-16 19:57:30,"o&lt; THERE IS A REPTILE ALIEN BASE AT CYDONIA, MARS FOR COMBATING THE INVADING GRAYS FROM ZETI RETICULI o-"
