id,created_at,text
510623857951010816,2014-09-13 02:59:49,"2066
+ 18.57 in / 47.17 cm
೨೨೨Port Harcourt೨೨೨೨೨೨೨೨
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
510623668251021312,2014-09-13 02:59:04,"2065
+ 18.08 in / 45.92 cm
ಲಲಲSydneyಲಲಲಲಲಲಲಲಲಲಲ
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
509904480351969280,2014-09-11 03:21:16,"2064
+ 17.59 in / 44.68 cm
౨౨౨Jayapura౨౨౨౨౨౨౨౨౨౨౨
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
509511192985870337,2014-09-10 01:18:29,"2063
+ 17.09 in / 43.41 cm
≋≋≋Kuwait City≋≋≋≋≋≋≋≋≋≋≋
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
509186190830870528,2014-09-09 03:47:02,"2062
+ 16.59 in / 42.14 cm
⁓⁓Barbados⁓⁓⁓⁓⁓⁓⁓⁓⁓
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
508892989691674624,2014-09-08 08:21:58,"2061
+ 15.08 in / 38.30 cm
൳൳Vancouver൳൳൳൳൳൳൳൳൳൳൳
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
508436671663075328,2014-09-07 02:08:43,"2060
+ 14.61 in / 37.11 cm
~~Thatta~~~~~~~~~~~~~~~~~~~~
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
508126510037757952,2014-09-06 05:36:15,"2059
+ 14.16 in / 35.97 cm
∾∾∾San Diego∾∾∾∾∾∾∾∾∾∾∾∾∾∾
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
507819428021432320,2014-09-05 09:16:01,"2058
+ 13.70 in / 34.80 cm
᎖᎖᎖᎖Alexandria᎖᎖᎖᎖᎖᎖᎖᎖᎖᎖᎖᎖᎖᎖
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
507316449288138752,2014-09-03 23:57:21,"2057
+ 13.25 in / 33.66 mm
﹏Qingdao﹏﹏﹏﹏﹏﹏﹏﹏﹏
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
507045959155458048,2014-09-03 06:02:31,"2056
+ 12.82 in / 32.56 cm
‿‿Rotterdam‿‿‿‿‿‿‿‿
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
506547551231692800,2014-09-01 21:02:02,"2055
+ 12.37 in / 31.42 cm
Mahajanga
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
506222481921679361,2014-08-31 23:30:19,"2054
+ 11.51 in / 29.24 cm
Ningbo
︶︶︶︶︶︶︶︶︶︶︶︶︶︶
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
505895809376714752,2014-08-31 01:52:14,"2053
+ 11.05 in / 28.07 cm
Virginia Beach
﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
505521394809962496,2014-08-30 01:04:27,"2052
+ 10.66 in / 27.08 cm
Lima
⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺⼺
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
505181640562204672,2014-08-29 02:34:23,"2051
+ 10.25 in / 26.04 cm
Lagos
亽亽亽亽亽亽亽亽亽亽亽亽亽亽亽
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
504765752818155520,2014-08-27 23:01:48,"2050
+ 9.84 in / 24.99 cm
Osaka
ఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎఎ
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
504433049468436482,2014-08-27 00:59:45,"2049
+ 9.41 in / 23.9 cm
Amsterdam
࿓࿓࿓࿓࿓࿓࿓࿓࿓࿓࿓࿓
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
504036665493446656,2014-08-25 22:44:40,"2048
+ 8.98 in / 22.81 cm
Hong Kong
ᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣᡣ
▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒"
