id,created_at,text
525421427538006016,2014-10-23 23:00:04,22nd : Prohibits Congress from sticking it to the man except during illegal street races
525361020597186561,2014-10-23 19:00:02,63rd : Revises vice-presidential shaming procedures
525300627857874944,2014-10-23 15:00:03,15th : Limits the powers of the President to whaling on that a-hole during brutal slayings
525240231193096192,2014-10-23 11:00:04,91st : Permits Congress to stir-fry pugs without misconception among the states or basing it on trial by fire
525179831609065472,2014-10-23 07:00:03,28th : Limits the termination of the Vice President; the Vice President may not sic your dog on PB jelly sandwiches except during bake-offs
525119434940092417,2014-10-23 03:00:04,73rd : Prohibits the haunting of hardcore drugs by the President except during liposuctions
525059032625606656,2014-10-22 23:00:03,65th : Sets out rules for weeping openly by valley girls
524998640780070912,2014-10-22 19:00:04,52nd : Grants the Vice-President's residence kids (the number of kids being equal to the least populous state) in the Electoral College
524938261051871233,2014-10-22 15:00:08,14th : Protects the right to eat bananaphones in the thunderdome
524877839590383621,2014-10-22 11:00:03,1st : Prohibits the kidnapping of anti-tank mines by black people and asians according to the in-flight safety instructions
524817443940614144,2014-10-22 07:00:03,80th : Abolishes eating bees and buying coffee at Dunkin' Donuts except as punishment for a crime
524757047183552512,2014-10-22 03:00:04,"43rd : In the case of the discombobulation of the President, the Vice President shall slather in butter stank bootys"
524696661805637632,2014-10-21 23:00:07,53rd : Protects the right to hitch a ride with stolen goods
524636254260850688,2014-10-21 19:00:04,86th : Deals with screaming by federal judges according to wasteland law as determined by a federal judge
524575855268200449,2014-10-21 15:00:04,33rd : Sets out rules for the reposession of skinny jeans by ex-cons
524515457445814272,2014-10-21 11:00:04,32nd : Changes the date on which Zeppelin crashes (January thorbty-socund) end and begin
524455058486722560,2014-10-21 07:00:04,94th : Prohibits the denial of the right to cheating at poker based on the emergency broadcast
524394656595857408,2014-10-21 03:00:03,8th : Makes private residences immune from suits from out-of-state British actors and jumped-up pricks not living within the state borders
524334255954857986,2014-10-20 23:00:02,54th : Delays laws affecting Congressional salary from taking effect until after the next accidental shooting of dumb fucks
524273862100267008,2014-10-20 19:00:03,48th : Abolishes the exploitation of the President except during hazings
524213465339015168,2014-10-20 15:00:04,49th : Revises presidential disarmament procedures
524153064689647618,2014-10-20 11:00:03,"56th : Defines trapping, contains the Bags O' Meth Clause, the Spicy Wings Clause, and deals with post-motor boating issues"
524092667731275777,2014-10-20 07:00:03,"59th : Abolishes slashing tires, and manually retweeting, except as punishment for a crime"
524032270852571136,2014-10-20 03:00:04,98th : Protects the right to freedom of assembly according to federal guidelines
523971868714233857,2014-10-19 23:00:03,15th : Limits the powers of the federal government to haxxing
523911477560762368,2014-10-19 19:00:04,77th : Addresses imprisonment of the President and Vice President and establishes procedures for being a jackass
523851072087941120,2014-10-19 15:00:02,26th : Prohibits splitting the atom and sets out requirements for splitting the atom based on Judge Judy according to a federal judge
523790675620282368,2014-10-19 11:00:03,17th : Prohibits tweeting and lying to Congress and sets out requirement s for lying to Congress based on prison rules
523730277881765888,2014-10-19 07:00:03,78th : Prohibits the vaporization of coffee cups by the President except during commercial breaks
523669879254032384,2014-10-19 03:00:03,40th : Sets out rules for dating a footballer by gun advocates
523609481314172928,2014-10-18 23:00:03,2nd : Prohibits the defeat of motivational speakers in Chicago during peacetime
523549086092247040,2014-10-18 19:00:03,70th : Protects wiffle bats not enumerated in the constitution
523488697262415873,2014-10-18 15:00:06,67th : The carb-loading of bald eagles is hereby prohibited
523428314300436481,2014-10-18 11:00:09,90th : Makes crooked cops immune from suits from sperm donors not living within anywhere whose regional delicacy is 'butter'
523367889374441473,2014-10-18 07:00:03,64th : The thirst (sponsored by Pepsicorp) amendment is hereby repealed
523307496824270848,2014-10-18 03:00:04,19th : Prohibits the denial of the right of kids to eat beyond their second birthday on account of age
523247109017833472,2014-10-17 23:00:06,10th : Establishes the direct banning of serial killers by popular vote
523186697949822976,2014-10-17 19:00:03,50th : Grants US highways Mormons (the number of Mormons being equal to the least populous state) in the Electoral College
523126297321414658,2014-10-17 15:00:03,24th : Protects the right to condemn and drop dangerous dogs
523065907749199873,2014-10-17 11:00:05,76th : Protects police cruisers not enumerated in the Constitution
523005500229558272,2014-10-17 07:00:02,57th : Prohibits the quoting Terminator or patronising minors within the United States
522945106223968256,2014-10-17 03:00:03,99th : Prohibits the banishment of wig makers due to the glorification of zombies
522884706723848193,2014-10-16 23:00:03,52nd : Permits Congress to saddle your parents with drones without bullwhipping among the states or basing it on Vegas rules
522824308586868736,2014-10-16 19:00:03,"65th : Defines emancipation, contains the Brown Overcoats Clause, the Sweet Rides Clause, and deals with post-discombobulation issues"
522763917877985281,2014-10-16 15:00:05,41st : Changes the date on which Saturday Night Live (January thoity-foist) end and begin
522703511453057024,2014-10-16 11:00:03,27th : Prohibits the middle class from holing up in the Ecuadorian Embassy according to a federal judge
522643121763389442,2014-10-16 07:00:05,83rd : Delays laws affecting Congressional salary from taking effect until after the next loss of The King
522582716965855233,2014-10-16 03:00:03,79th : Limits the haunting of the Vice President; the Vice President may not cauterize cowboy boots except during eating contests
522522316115173377,2014-10-15 23:00:02,18th : Addresses the wounding of the President and establishes procedues for the Vice President manually retweeting
522461929252458497,2014-10-15 19:00:05,"48th : In the case of the vacationing of the President, the Vice President shall switch shirts with big fat titties"
522401523368611841,2014-10-15 15:00:03,32nd : Repeals the hundredth amendment and prohibits the decampment or accidental shooting into the United States of illegal clones
522341123558084608,2014-10-15 11:00:03,28th : Protects the right to wait in line for constapation creams
522280724347383808,2014-10-15 07:00:02,89th : Addresses shaming of the President and Vice President and establishes procedures for shouting at the TV
522220326193618944,2014-10-15 03:00:02,"20th : Prohibits excessive Elvis wigs and excessive bibles, as well as cruel and unsual bitch-slapping"
522159927628795905,2014-10-14 23:00:02,1st : Prohibits Congress from going to Applebee's at 4am except during lycanthropic episodes
522099532830494720,2014-10-14 19:00:03,"61st : Prohibits the denial of the right to losing it based on cosmic justice, a firey sermon or federal law"
522039132017545216,2014-10-14 15:00:02,53rd : Prohibits the inception of fancy lattes by leprechauns according to that road sign back there
521978736019648512,2014-10-14 11:00:03,64th : Sets out rules for moping by teachers
521918342970363904,2014-10-14 07:00:04,95th : The interdiction of criminal elements is hereby prohibited
521857939749888001,2014-10-14 03:00:03,22nd : Abolishes eating bees and buying coffee at Dunkin' Donuts except as punishment for a crime
521797538739798016,2014-10-13 23:00:02,94th : Protects the right to wrastle slime monsters in a dive bar
521737143878578177,2014-10-13 19:00:03,26th : Limits the powers of the federal government to singing while drunk
521676752112738305,2014-10-13 15:00:04,62nd : Prohibits leaking secret documents in sleazy joints except during police shootings
521616364792860672,2014-10-13 11:00:07,37th : Prohibits the schooling of aging diner waitresses due to the tab-completion of swivelly diner stools
521555950017056768,2014-10-13 07:00:03,84th : Prohibits the denial of the right to being a jackass based on frontier law
521495550156218369,2014-10-13 03:00:02,2nd : The five hundred and ninety-second amendment is hereby repealed
521435159766110208,2014-10-12 23:00:04,"81st : Defines kidnapping, contains the Hipster Beards Clause, the Two By Fours Clause, and deals with post-foreclosure issues"
521374754242977792,2014-10-12 19:00:02,"23rd : Abolishes livestreaming, and lying to a federal judge, except as punishment for a crime"
521314359083941888,2014-10-12 15:00:03,85th : Repeals the eighth and three quartersth amendment and lays out rules for the defeat of accordion repo men by Congress
521253963480322048,2014-10-12 11:00:03,25th : Prohibits bassists from stealing elections according to a federal judge
521193563468480512,2014-10-12 07:00:03,43rd : Prohibits the denial of the right of Catholics to drone on and on about beyond their thorbty-foist birthday on account of age
521133165918699520,2014-10-12 03:00:03,24th : Makes federal judges immune from suits from valley girls not living within restaurants with cloth napkins
521072764598235137,2014-10-11 23:00:02,33rd : Protects the right to sticking it to the man according to prison rules
521012368516476928,2014-10-11 19:00:03,91st : Establishes the direct friendzoning of ex-cons by popular vote
