id,created_at,text
499331619715809280,2014-08-12 23:08:29,@jesscburton: https://t.co/IYDYSZH0w8
499284290459684864,2014-08-12 20:00:25,@PresenzaIn: https://t.co/4iwCNw7Pvf
499229439583330304,2014-08-12 16:22:28,@dphiffer: https://t.co/he6xgxljvT
499229436160778242,2014-08-12 16:22:27,@eirons: https://t.co/vcPXxu881s
499229433409323008,2014-08-12 16:22:26,@BrendanCByrne: https://t.co/pmGghdj5hP
499229431836475392,2014-08-12 16:22:26,@desigonz: https://t.co/k4xwl14MLS
499229429298917376,2014-08-12 16:22:25,@deeharvey: https://t.co/aX0uWjqqzz
499229427612778496,2014-08-12 16:22:25,@colinraney: https://t.co/zYt2aArzUM
499229424664207360,2014-08-12 16:22:24,@EthanZ: https://t.co/64Hbhf5gpJ
499229421816258561,2014-08-12 16:22:24,@NAMASTEMAHALO: https://t.co/YbbPihQTy2
499229419547136000,2014-08-12 16:22:23,@meetar: https://t.co/pwrmOz8cxo
499229398667894784,2014-08-12 16:22:18,@benfinoradin: https://t.co/XksQaVBBRQ
499229396491075584,2014-08-12 16:22:18,@jeresig: https://t.co/s56yV67jcZ
499229393836052480,2014-08-12 16:22:17,@schmidtphi: https://t.co/3lbWTu99j2
499229390916845568,2014-08-12 16:22:16,@speakkVisually: https://t.co/fkI2r8NOKz
499229390098927616,2014-08-12 16:22:16,@npdoty: https://t.co/MLHE0UmGqc
499229387754307584,2014-08-12 16:22:15,@pmgomez: https://t.co/Ya9L4BmqE9
499229385401315329,2014-08-12 16:22:15,@Rich_Harris: https://t.co/cmga7Cl4Ta
499229364392050688,2014-08-12 16:22:10,@spenczar: https://t.co/RLKWRxkGZM
499229333668782080,2014-08-12 16:22:03,@EvanMPeck: https://t.co/WF4V8NikyC
499226465146507264,2014-08-12 16:10:39,@bryanrwalsh: https://t.co/zgFctH2KDG
499226191866642434,2014-08-12 16:09:33,@jbenton: https://t.co/KOVdTb4vTd
499226188691537920,2014-08-12 16:09:33,@AllTom: https://t.co/pgPlWHQ6Jo
499225914140815360,2014-08-12 16:08:27,@tealtan: https://t.co/DXBkdcVLZV
499225636536590336,2014-08-12 16:07:21,@deathmtn: https://t.co/yleIYgNK5S
499225634280058880,2014-08-12 16:07:21,@konklone: https://t.co/B01mbNR48m
499225631683772418,2014-08-12 16:07:20,@kissane: https://t.co/bcohZulRZt
499225629246910464,2014-08-12 16:07:19,@hellbox: https://t.co/3ozXAb72rz
499225626843545601,2014-08-12 16:07:19,@erhardt: https://t.co/64Hbhf5gpJ
499225624599609344,2014-08-12 16:07:18,@CaseyG: https://t.co/CdbDJ42FK0
499225622108200961,2014-08-12 16:07:18,@luisfbrandao: https://t.co/5QsKuF5H6Z
499225620556283905,2014-08-12 16:07:17,@UndeadManWalkin: https://t.co/WIMrbz8bQm
499225619222515712,2014-08-12 16:07:17,@Heather_R: https://t.co/OLnMAAVVaE
499225617922265089,2014-08-12 16:07:17,@ninnx: https://t.co/YbbPihQTy2
499225616835948544,2014-08-12 16:07:16,@xxv: https://t.co/fokIu4xGQs
499225613665058816,2014-08-12 16:07:16,@automin: https://t.co/43K9D6GxHe
499225611211374593,2014-08-12 16:07:15,@weboesel: https://t.co/DFve6DSfJC
499225594295754753,2014-08-12 16:07:11,@socsavvy: https://t.co/rumcHaUCmm
499225567657734144,2014-08-12 16:07:05,@tylrfishr: https://t.co/Qcgkluj94R
499225564897873920,2014-08-12 16:07:04,@sbenthall: https://t.co/rigbXVZQOX
499225562448412672,2014-08-12 16:07:03,@thoughtbrain: https://t.co/iQyuVsSuVy
499225560095391745,2014-08-12 16:07:03,@skomputer: https://t.co/6YadW7B2HW
499225547856445440,2014-08-12 16:07:00,@ceodonovan: https://t.co/jEtcYHpeu8
499225544307650560,2014-08-12 16:06:59,@notalyce: https://t.co/abq9Gk8K4Z
499225540847759360,2014-08-12 16:06:58,@navalang: https://t.co/lfhmNQobnw
499225520933179393,2014-08-12 16:06:54,@alexremington: https://t.co/MHbKoZHApB
499225518362079232,2014-08-12 16:06:53,@emckean: https://t.co/7iJWt6Hunc
499225515283070976,2014-08-12 16:06:52,@dskok: https://t.co/tHThtpH4O6
499225221992550400,2014-08-12 16:05:42,@nopatternaaron: https://t.co/qlBb9eo8wR
499225219681484800,2014-08-12 16:05:42,@eduardosuarez: https://t.co/zlPWxdJmB0
499225215856279553,2014-08-12 16:05:41,@losowsky: https://t.co/MHbKoZHApB
499225212119179266,2014-08-12 16:05:40,@ppolitics: https://t.co/WE9luopbep
499222624476868609,2014-08-12 15:55:23,@jonhilldesign: https://t.co/rusb2c1oMF
499222621389860864,2014-08-12 15:55:22,@drewwww: https://t.co/gR1rVrqQ8Z
499222618252525568,2014-08-12 15:55:21,@gunzalis: https://t.co/cXoH7FWCqR
499222616063086592,2014-08-12 15:55:21,@mkramer: https://t.co/YII5Zk0sQd
499222614750298113,2014-08-12 15:55:21,@lalo: https://t.co/dr9jaiefzY
499222337808781312,2014-08-12 15:54:15,@anton612: https://t.co/uTSbd9hdDm
499222335300587520,2014-08-12 15:54:14,@eab_dc: https://t.co/JGmsbusV2w
499222331882229760,2014-08-12 15:54:13,@miguelsamaral: https://t.co/ZHBoWEt3Ch
499222329785057280,2014-08-12 15:54:13,@borisonr: https://t.co/z2AseskQQu
499222327675326465,2014-08-12 15:54:12,@ianhillmedia: https://t.co/pTXxc6RHbY
499222324361822209,2014-08-12 15:54:11,@rodrigodavies: https://t.co/aNDpFuZPDW
499222320851189760,2014-08-12 15:54:11,@EugeneNewworld: https://t.co/WXF53DpXHU
499222318166847489,2014-08-12 15:54:10,@mailbackwards: https://t.co/ZfVTyx54p8
499222314769477633,2014-08-12 15:54:09,@jonathankoren: https://t.co/pXBsR3sIJb
499222043154731009,2014-08-12 15:53:04,@ebrelsford: https://t.co/FZ0Rpudu2y
499222040998850562,2014-08-12 15:53:04,@mcgeoff: https://t.co/hM4m85GX7Q
499221767060463616,2014-08-12 15:51:59,@anmccartney: https://t.co/PcyHw0RhjD
499221745552080897,2014-08-12 15:51:53,@tiffanycampbell: https://t.co/A5BTf0T003
499221743094235136,2014-08-12 15:51:53,@SteveStreza: https://t.co/8AZcKLXfwi
499221740418236416,2014-08-12 15:51:52,@akav: https://t.co/mn07yrNzcp
499221737402544128,2014-08-12 15:51:51,@ChiaLynn: https://t.co/acwdn2svfw
499221707677503489,2014-08-12 15:51:44,@transatlantid: https://t.co/aEly5Cbypq
499221703969759232,2014-08-12 15:51:43,@citizenk: https://t.co/UZkBVL1k4v
499221700056473601,2014-08-12 15:51:43,@stevesong: https://t.co/dy3zfwLt7i
499221676262195200,2014-08-12 15:51:37,@NPRKate: https://t.co/6A7nLY1Non
499221672701206528,2014-08-12 15:51:36,@briancragin: https://t.co/sAwfmow01F
499221666971787265,2014-08-12 15:51:35,@ApolloMapping: https://t.co/dcRgOxoy3E
499221663779926017,2014-08-12 15:51:34,@Zee: https://t.co/CGMFWo9962
499221659820490752,2014-08-12 15:51:33,@jcammii: https://t.co/UTrb9maDma
