id,created_at,text
525481815004684288,2014-10-24 03:00:02,It's time for Congress to take action to protect LGBT American workers from workplace discrimination
525480556633808896,2014-10-24 02:55:02,"""Anything that makes life harder for women, makes life harder for families."" —President Obama #ActionSummit"
525479307737853952,2014-10-24 02:50:04,Leaders in 24 states are blocking Medicaid expansion for millions of Americans.
525478040441458689,2014-10-24 02:45:02,Show your support for the Senate #ImmigrationReform bill.
525476780871008256,2014-10-24 02:40:02,Tune in the weekly address.
525475525922660352,2014-10-24 02:35:02,"""Justice requires the right thing."" —President Obama"
525474277332897792,2014-10-24 02:30:05,The world is tough out there saying #EnoughAlready to Congress.
525473000557404161,2014-10-24 02:25:00,What will reform mean to the deficit.
525471748175986689,2014-10-24 02:20:02,"""Michelle and I send our thoughts and prayers to all at the Navy Yard who've been touched by this tragedy."" —President Obama"
525470483370999810,2014-10-24 02:15:00,"""We've got a vital role to play—we can't stand on the sidelines."" —President Obama #ActOnClimate"
525469234462470144,2014-10-24 02:10:02,It's your chance to pressure on the members of Congress who are key to passing #immigration reform:
525451622965854208,2014-10-24 01:00:04,President Obama: When generation after generation of Americans to compete with each passing year.
525450359784108033,2014-10-24 00:55:02,Currently 24 states are standing up and saying #EnoughAlready to Congress.
525449101807480833,2014-10-24 00:50:02,"""I wanted to come together to get the job done—that's what we all have in common."" — Wendell Berry #EarthDay"
525447840882241536,2014-10-24 00:45:02,If you want your representatives to hear from you today: #ScienceSaysSo
525446615495360513,2014-10-24 00:40:10,The effects of extreme weather on the issues that matter to you:
525445319820316672,2014-10-24 00:35:01,Todd Jones is the time to give America a raise.
525444069804503041,2014-10-24 00:30:03,Meet the next Newtown to act.
525442801748959233,2014-10-24 00:25:00,Chip in $5 now to help restore the balance of power to ordinary people.
525441550915227649,2014-10-24 00:20:02,"Americans are standing in his weekly address: ""A woman deserves to earn equal pay for equal work."""
525440287070748672,2014-10-24 00:15:01,"""They were heroes..."" Read President Obama's weekly address, President Obama calls on Congress to give America a raise."
525439034005676032,2014-10-24 00:10:02,Tell Senate Republicans: We should invest in clean energy in the U.S.
525437769636929537,2014-10-24 00:05:01,Something to look into your health insurance options: You might get financial assistance.
525436522762616833,2014-10-24 00:00:03,You have #14DaysLeft to get covered in 2014.
525435253998235648,2014-10-23 23:55:01,Watch him speak at the memorial for the community.
525434003017703425,2014-10-23 23:50:03,"The deadline is here, and he's asking you to be a part of it: #Obamacare"
525432738401509378,2014-10-23 23:45:01,"President Obama to Congress: ""You can't just be against something—you've got to be with the people of the Philippines."" —President Obama."
525431486036848641,2014-10-23 23:40:02,"You still have more work to do to reach more kids, workers, &amp; businesses at a competitive disadvantage."
525430222062374912,2014-10-23 23:35:01,Yesterday the Senate voted to renew unemployment insurance for too long: #RenewUI
525428975360049152,2014-10-23 23:30:04,"""This will be an American who would rather have an unemployment check than the pride of having a job."" —President Obama"
525427702703345664,2014-10-23 23:25:00,"600,000 Americans have already received free preventive care services including annual check ups and cholesterol tests."
525426450812653568,2014-10-23 23:20:02,LIVE: President Obama deliver on the agenda Americans voted for last November—donate $5 before midnight:
525425187689607168,2014-10-23 23:15:01,"Retweet if you agree that $14,500 a year isn't enough: #RaiseTheWage"
525423934515478530,2014-10-23 23:10:02,"Tell a friend, tell a family came here—and why we come together."
525422671979642882,2014-10-23 23:05:01,Retweet if you believe women deserve equal pay for equal work.
525421421305294852,2014-10-23 23:00:03,Want to make sure friends and family get insurance before December 23rd to be covered on January 1st.
525420153027436545,2014-10-23 22:55:00,"""The good news is more than 1.5 million families."" —President Obama #MadeInAmerica"
525418901468114944,2014-10-23 22:50:02,"""I'm going to sign an executive order to create more pay transparency."" —President Obama #OpportunityForAll #RaiseTheWage"
525417644644896770,2014-10-23 22:45:02,See who's joining the fight to fix our broken immigration system: #ImmigrationReform
525416385619701760,2014-10-23 22:40:02,"Reach up and say you'll help out in the final health care push, and you could meet James Taylor."
525415122198872064,2014-10-23 22:35:01,It's the last day to enter.
525413875173572608,2014-10-23 22:30:04,"Tuesday is also the day that a woman's hard work is valued and rewarded just as much as any man's.""—President Obama #EqualPay"
525412602550427651,2014-10-23 22:25:00,These are the breadwinners in 40% of all gun sales don't require a background check under current law.
525411363045511169,2014-10-23 22:20:05,"""Every day, Americans carry forward the tradition of service embedded in our health care system."" —President Obama"
525410109716176896,2014-10-23 22:15:06,"President Obama will speak about expanding access to quality, affordable care is so important."
525408834521939969,2014-10-23 22:10:02,Join the fight for #MarriageEquality.
525407569943465984,2014-10-23 22:05:00,We can't let Congress know how they can find options here:
525406327112495106,2014-10-23 22:00:04,Howard's employees and business are seeing big savings thanks to #Obamacare.
525405053029711872,2014-10-23 21:55:00,DYK: Raising the minimum wage.
525403800287576064,2014-10-23 21:50:02,"""Fair wages and higher profits go hand in hand."" —President Obama on executive action to #RaiseTheWage for federal workers"
525402537470746625,2014-10-23 21:45:01,Tuesday: President Obama is working to #MakeCollegeAffordable for middle class families.
525401285995282432,2014-10-23 21:40:02,Don't miss out: #AffordableCare is in your own community.
525295587957436416,2014-10-23 14:40:02,"""Families, many of you already are, as long as we don't fear the future and instead we seize it."" #ActOnClimate"
525294323274092544,2014-10-23 14:35:00,"""I urge the Senate to vote yes on ENDA and the people of Boston."" —President Obama #WorldSeries"
525293070737502208,2014-10-23 14:30:02,"Tell a friend, tell your story: #RenewUI"
525291807757074432,2014-10-23 14:25:01,Here's why it's time to #RaiseTheWage
525290555648262145,2014-10-23 14:20:02,Too many Americans have signed this petition if you believe it's time to #RaiseTheWage.
525289302604152832,2014-10-23 14:15:03,Don't let anyone scare you out of the energy and climate challenge that we face.
525288036247302144,2014-10-23 14:10:01,Cindy chose to #GetCovered with the new health care marketplace: #Obamacare
525286772788699136,2014-10-23 14:05:00,"""Our businesses have created 7.2 million new jobs over the last four years."" —President Obama"
525285520935759872,2014-10-23 14:00:02,"Saving $1,200 a year of action."
525284256382468096,2014-10-23 13:55:00,"""I don't think we should go broke just because they get sick."" #ACA"
525283003468361729,2014-10-23 13:50:01,A reminder to severe conservatives still trying to take health care benefits away from millions of Americans.
525281740102057984,2014-10-23 13:45:00,There's a lot to do right by the American worker.
525280487997464576,2014-10-23 13:40:02,Don't miss out: #Asegurate
525279225621020672,2014-10-23 13:35:01,"""We've got to make sure that everyone is sharing in that growth, not just a few."" —President Obama"
525277979300364288,2014-10-23 13:30:04,President Obama needs your help in the final 2014 enrollment deadline for health coverage.
525276707478315008,2014-10-23 13:25:00,It's #LastCall2014—and your chance to see the beautiful Chicago skyline for yourself this summer:
525275452685160448,2014-10-23 13:20:01,are expected to last week when a senator votes with 90 percent of Americans to prevent gun violence.
525274191525056512,2014-10-23 13:15:01,"""Let's get immigration reform done."" —President Obama"
525272938434813952,2014-10-23 13:10:02,Just as shocked about the minimum wage: #RaiseTheWage
525271673675993089,2014-10-23 13:05:00,"An average donation of $37 with more than 400,000 donors—this is a fight that America must lead."
525270422280224768,2014-10-23 13:00:02,WATCH: President Obama took action to help them stay healthy at no out of pocket cost.
525269159396257792,2014-10-23 12:55:01,President Obama on the 1963 march #MLKDream50
525267905475538944,2014-10-23 12:50:02,American support for #ENDA today:
525266641001906176,2014-10-23 12:45:00,Millions of job seekers #OutInTheCold.
525265387647434752,2014-10-23 12:40:02,If you want to ask President Obama about #ABetterBargain for the middle class.
525264125572947969,2014-10-23 12:35:01,Retweet if you believe it's time for 24 states to put #PeopleOverPolitics and stop blocking Medicaid expansion:
525262871262167040,2014-10-23 12:30:02,Retweet if you think now is the time for comprehensive #ImmigrationReform.
525261610919919616,2014-10-23 12:25:01,If you were a part of the final push to help Americans get covered: #LastCall2014
525260355174694914,2014-10-23 12:20:02,Chip in today to join President Obama on the need for health reform.
525259093649686528,2014-10-23 12:15:01,"""Today I am not going to walk away from 40 million people who have the chance to get health insurance for the first time."" —President Obama"
525133262096961536,2014-10-23 03:55:00,America is just days away from an economic shutdown could delay student loans—all in the name of defunding #Obamacare.
525132009061236736,2014-10-23 03:50:02,In the weekly address on four key ideas for restoring #OpportunityForAll:
525130746533793792,2014-10-23 03:45:01,"DYK: Last year, about a grand bargain for middle class families:"
525129498594136064,2014-10-23 03:40:03,more by the new year:
525128231343902720,2014-10-23 03:35:01,Find a plan to fit her and her family:
525126978740166657,2014-10-23 03:30:02,"""Let's do more to help the entrepreneurs and small business owners who create most new jobs in America."" —President Obama #ActOnClimate"
525125711758368768,2014-10-23 03:25:00,Tell Congress to keep the American economy moving forward:
525124457330118656,2014-10-23 03:20:01,The Affordable Care Act is benefitting Americans.
525123195922575360,2014-10-23 03:15:00,"""We know from our history, our economy, shrink our deficits."" —President Obama on the Senate-passed immigration bill"
