id,created_at,text
499838398530482177,2014-08-14 08:42:15,New Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/PLN and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins #mtgox #btc
499822840741232640,2014-08-14 07:40:26,"Bitcoin CHART: http://t.co/mec0k8LuI0 with 1h, 30m, 15m time Periods and more. Latest bitcoin price: 135$ gox #bitcoin"
499806444057669635,2014-08-14 06:35:16,Bitcoin CHART site: http://t.co/mec0k8LuI0 with Last trades and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499789560914518018,2014-08-14 05:28:11,"NEW Bitcoin CHART = http://t.co/mec0k8LuI0 with 1w, 3d, 1d time Periods and more. Latest bitcoin price: 135$ gox #bitcoin #btc"
499773871466098688,2014-08-14 04:25:50,NEW Bitcoin CHART App: http://t.co/mec0k8LuI0 with Candle Stick and more. Latest bitcoin price: 135$ gox #bitcoin #mtgox
499758761242681345,2014-08-14 03:25:48,Free Bitcoin CHART App: http://t.co/mec0k8LuI0 with Median Price and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins #btc
499742759775764480,2014-08-14 02:22:13,NEW Bitcoin CHART: http://t.co/mec0k8LuI0 with OHLC and more. Latest bitcoin price: 135$ gox #bitcoin
499726308050358274,2014-08-14 01:16:50,"New Bitcoin CHART website: http://t.co/mec0k8LuI0 with 1h, 30m, 15m time Periods and more. Latest bitcoin price: 135$ gox #bitcoin…"
499710316054204416,2014-08-14 00:13:18,Bitcoin CHART: http://t.co/mec0k8LuI0 with Volume and more. Latest bitcoin price: 135$ gox #bitcoin
499693978833260545,2014-08-13 23:08:23,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/GBP and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499677679969239040,2014-08-13 22:03:37,Bitcoin CHART: http://t.co/mec0k8LuI0 with Median Price and more. Latest bitcoin price: 135$ gox #bitcoin
499660736440721408,2014-08-13 20:56:17,New Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/EUR and more. Latest bitcoin price: 135$ gox #bitcoin #mtgox #gold
499643018681389056,2014-08-13 19:45:53,"Bitcoin CHART: http://t.co/mec0k8LuI0 with 1w, 3d, 1d time Periods and more. Latest bitcoin price: 135$ gox #bitcoin #btc"
499625551103922178,2014-08-13 18:36:28,Bitcoin CHART site: http://t.co/mec0k8LuI0 with KDJ and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499607151346589696,2014-08-13 17:23:21,Bitcoin CHART: http://t.co/mec0k8LuI0 with StochRSI and more. Latest bitcoin price: 135$ gox #bitcoin #gold
499586397779410944,2014-08-13 16:00:53,New Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/EUR and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499547961039138816,2014-08-13 13:28:09,NEW Bitcoin CHART: http://t.co/mec0k8LuI0 with HLC and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499530634100875264,2014-08-13 12:19:18,Free Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/EUR and more. Latest bitcoin price: 135$ gox #bitcoin #gold
499514109218402304,2014-08-13 11:13:38,"Bitcoin CHART: http://t.co/mec0k8LuI0 with 5m, 3m, 1m time Periods and more. Latest bitcoin price: 135$ gox #bitcoin #btc"
499498570139963392,2014-08-13 10:11:54,"New Bitcoin CHART: http://t.co/mec0k8LuI0 with 1w, 3d, 1d time Periods and more. Latest bitcoin price: 135$ gox #bitcoin"
499483477838815233,2014-08-13 09:11:55,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/GBP and more. Latest bitcoin price: 135$ gox #bitcoin
499468593864519680,2014-08-13 08:12:47,Free Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/PLN and more. Latest bitcoin price: 135$ gox #bitcoin #mtgox
499453334441295872,2014-08-13 07:12:08,Free Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/AUD and more. Latest bitcoin price: 135$ gox #bitcoin #gold
499438308930236417,2014-08-13 06:12:26,NEW Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/PLN and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499423647883202564,2014-08-13 05:14:11,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/GBP and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins #btc
499408556026646528,2014-08-13 04:14:12,"Bitcoin CHART site: http://t.co/mec0k8LuI0 with 5m, 3m, 1m time Periods and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins…"
499391405484036096,2014-08-13 03:06:03,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/JPY and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499376121712889856,2014-08-13 02:05:20,Free Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/CAD and more. Latest bitcoin price: 135$ gox #bitcoin
499361142158802945,2014-08-13 01:05:48,NEW Bitcoin CHART: http://t.co/mec0k8LuI0 with KDJ and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499345943016116224,2014-08-13 00:05:24,Bitcoin CHART website: http://t.co/mec0k8LuI0 with Market Depth and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins #btc #gold
499330305593839616,2014-08-12 23:03:16,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/JPY and more. Latest bitcoin price: 564.33$ btce #bitcoin #bitcoins
499315126390886400,2014-08-12 22:02:57,New Bitcoin CHART: http://t.co/mec0k8LuI0 with Candle Stick and more. Latest bitcoin price: 565.14$ btce #bitcoin #btc #gold
499299456773140480,2014-08-12 21:00:41,Bitcoin CHART: http://t.co/mec0k8LuI0 with Median Price and more. Latest bitcoin price: 135$ gox #bitcoin #bitcoins
499284489818750976,2014-08-12 20:01:13,Bitcoin CHART: http://t.co/mec0k8LuI0 with RSI and more. Latest bitcoin price: 135$ gox #bitcoin #btc #gold
499268245480693760,2014-08-12 18:56:40,Bitcoin CHART website: http://t.co/mec0k8LuI0 with MACD and more. Latest bitcoin price: 135$ gox #bitcoin #btc
499251901095878657,2014-08-12 17:51:43,Bitcoin CHART: http://t.co/mec0k8LuI0 with BTC/GBP and more. Latest bitcoin price: 135$ gox #bitcoin
499231570234839041,2014-08-12 16:30:56,Bitcoin CHART: http://t.co/mec0k8LuI0 with Volume and more. Latest bitcoin price: 567.42$ btce #bitcoin #btc #gold
