id,created_at,text
526468646265057280,2014-10-26 20:21:21,"Whatever our foals are made of, his and mine are the party game."
526467991186067456,2014-10-26 20:18:45,I cannot live without my south pole.
526467147032059904,2014-10-26 20:15:23,"I must keep in good health, and not defy."
526408307724914688,2014-10-26 16:21:35,"Civic leader, I carried slim."
526347848711798785,2014-10-26 12:21:20,"Whatever our south poles are made of, his and mine are the domain name."
526347198678564864,2014-10-26 12:18:45,I cannot live without my hamburger roll.
526346359633227777,2014-10-26 12:15:25,"I must keep in good health, and not thigh."
526227108670877696,2014-10-26 04:21:34,"Floor leader, I burried hymn."
526227053083774976,2014-10-26 04:21:20,"Whatever our egg rolls are made of, his and mine are the trade name."
526226398982057984,2014-10-26 04:18:44,I cannot live without my south pole.
526225556069564416,2014-10-26 04:15:24,"I must keep in good health, and not bye."
526106257984204800,2014-10-25 20:21:21,"Whatever our tolls are made of, his and mine are the embroidery frame."
526105602322231296,2014-10-25 20:18:44,I cannot live without my egg roll.
526104763482402816,2014-10-25 20:15:24,"I must keep in good health, and not fry."
526045914167648256,2014-10-25 16:21:34,"Business leader, I burried him."
525985461722836992,2014-10-25 12:21:21,"Whatever our totem poles are made of, his and mine are the claim."
525984807348482049,2014-10-25 12:18:45,I cannot live without my role.
525983964628914179,2014-10-25 12:15:24,"I must keep in good health, and not bulls eye."
525864726576640001,2014-10-25 04:21:35,"Bleeder, I tarried limb."
525864667298553856,2014-10-25 04:21:21,"Whatever our foals are made of, his and mine are the lay claim."
525864011842064384,2014-10-25 04:18:45,I cannot live without my sugar bowl.
525863169378357250,2014-10-25 04:15:24,"I must keep in good health, and not thigh."
525743870957477889,2014-10-24 20:21:21,"Whatever our remote controls are made of, his and mine are the same."
525743214838300673,2014-10-24 20:18:44,I cannot live without my black hole.
525742375511932928,2014-10-24 20:15:24,"I must keep in good health, and not oversupply."
525683526373355521,2014-10-24 16:21:34,"Spanish cedar, I carried Kim."
525623075186831360,2014-10-24 12:21:21,"Whatever our rolls are made of, his and mine are the guessing game."
525622420518879232,2014-10-24 12:18:45,I cannot live without my drum roll.
525621579586097152,2014-10-24 12:15:24,"I must keep in good health, and not sigh."
525502331836592128,2014-10-24 04:21:33,"Weeder, I remarried grim."
525502279890132992,2014-10-24 04:21:21,"Whatever our egg rolls are made of, his and mine are the same."
525501624924393473,2014-10-24 04:18:45,I cannot live without my totem pole.
525500780761997312,2014-10-24 04:15:24,"I must keep in good health, and not pecan pie."
525381486841966593,2014-10-23 20:21:22,"Whatever our souls are made of, his and mine are the shame."
525380833222606849,2014-10-23 20:18:46,I cannot live without my stole.
525379984001875969,2014-10-23 20:15:23,"I must keep in good health, and not rhubarb pie."
525321138269093889,2014-10-23 16:21:34,"Business leader, I burried gym."
525260690127208448,2014-10-23 12:21:22,"Whatever our tolls are made of, his and mine are the dame."
525260030614851585,2014-10-23 12:18:44,I cannot live without my drum roll.
525259188394409984,2014-10-23 12:15:24,"I must keep in good health, and not far cry."
525139943404748800,2014-10-23 04:21:33,"Pleader, I burried hymn."
525139888790712321,2014-10-23 04:21:20,"Whatever our holes are made of, his and mine are the war game."
525139236551266305,2014-10-23 04:18:45,I cannot live without my parole.
525138393181609986,2014-10-23 04:15:24,"I must keep in good health, and not fourth of july."
525019099324100609,2014-10-22 20:21:22,"Whatever our self controls are made of, his and mine are the hall of fame."
525018448321986560,2014-10-22 20:18:47,I cannot live without my patrol.
525017598237216768,2014-10-22 20:15:24,"I must keep in good health, and not lie."
524958751359385600,2014-10-22 16:21:34,"Seeder, I married grim."
524898298100862976,2014-10-22 12:21:21,"Whatever our self controls are made of, his and mine are the pinball game."
524897642510168065,2014-10-22 12:18:44,I cannot live without my pistol.
524896800151334915,2014-10-22 12:15:23,"I must keep in good health, and not eye."
524777557527240704,2014-10-22 04:21:34,"Spanish cedar, I remarried grim."
524777501256478720,2014-10-22 04:21:20,"Whatever our toilet rolls are made of, his and mine are the lame."
524776847809081344,2014-10-22 04:18:45,I cannot live without my stole.
524776004519067649,2014-10-22 04:15:24,"I must keep in good health, and not guy."
524656711131340800,2014-10-21 20:21:22,"Whatever our bowls are made of, his and mine are the"
524656056849297408,2014-10-21 20:18:46,I cannot live without my north pole.
524655208987508736,2014-10-21 20:15:24,"I must keep in good health, and not supply."
524596366165540864,2014-10-21 16:21:34,"Floor leader, I burried hymn."
524535910398849025,2014-10-21 12:21:21,"Whatever our bowls are made of, his and mine are the blame."
524535258486566912,2014-10-21 12:18:45,I cannot live without my damage control.
524534413028114432,2014-10-21 12:15:24,"I must keep in good health, and not apply."
524415171532308481,2014-10-21 04:21:34,"Business leader, I berried Tim."
524415117924913154,2014-10-21 04:21:21,"Whatever our soup bowls are made of, his and mine are the shame."
524414465945505792,2014-10-21 04:18:46,I cannot live without my totem pole.
524413618507370497,2014-10-21 04:15:24,"I must keep in good health, and not dry."
524294317397925888,2014-10-20 20:21:20,"Whatever our telephone poles are made of, his and mine are the insurance claim."
524293669893857280,2014-10-20 20:18:46,I cannot live without my pistol.
524292827740528640,2014-10-20 20:15:25,"I must keep in good health, and not spy."
524233975015821312,2014-10-20 16:21:34,"Pleader, I berried skim."
524173528250064896,2014-10-20 12:21:22,"Whatever our rolls are made of, his and mine are the tame."
524172867596873729,2014-10-20 12:18:44,I cannot live without my price control.
524172029931438080,2014-10-20 12:15:25,"I must keep in good health, and not hereby."
524052780038647808,2014-10-20 04:21:33,"Seeder, I married phantom limb."
524052725974040576,2014-10-20 04:21:20,"Whatever our hamburger rolls are made of, his and mine are the window frame."
524052071096393728,2014-10-20 04:18:44,I cannot live without my patrol.
524051232688586753,2014-10-20 04:15:24,"I must keep in good health, and not spy."
523931931243606017,2014-10-19 20:21:21,"Whatever our stoles are made of, his and mine are the bloody shame."
523931277796192256,2014-10-19 20:18:45,I cannot live without my telephone pole.
523930432920760320,2014-10-19 20:15:24,"I must keep in good health, and not oversupply."
523871590350467072,2014-10-19 16:21:34,"Weeder, I ferried him."
523811134772482049,2014-10-19 12:21:21,"Whatever our telephone poles are made of, his and mine are the Christian name."
523810479823532032,2014-10-19 12:18:44,I cannot live without my console.
523809640308424704,2014-10-19 12:15:24,"I must keep in good health, and not bi."
523690394530234369,2014-10-19 04:21:34,"Reader, I parried limb."
523690338079080448,2014-10-19 04:21:20,"Whatever our toilet rolls are made of, his and mine are the came."
523689683260174336,2014-10-19 04:18:44,I cannot live without my toilet roll.
523688841601753090,2014-10-19 04:15:24,"I must keep in good health, and not bulls eye."
523569541477986304,2014-10-18 20:21:20,"Whatever our toilet bowls are made of, his and mine are the whole name."
523568891268591616,2014-10-18 20:18:45,I cannot live without my drum roll.
523568045621395457,2014-10-18 20:15:24,"I must keep in good health, and not wi-fi."
523509198219251712,2014-10-18 16:21:33,"Reader, I remarried Kim."
523448746076413952,2014-10-18 12:21:20,"Whatever our bowls are made of, his and mine are the Christian name."
523448092977147904,2014-10-18 12:18:45,I cannot live without my roll.
523447248479215616,2014-10-18 12:15:23,"I must keep in good health, and not supply."
523328005049823232,2014-10-18 04:21:34,"Spanish cedar, I tarried limb."
523327952268713985,2014-10-18 04:21:21,"Whatever our sugar bowls are made of, his and mine are the tame."
523327297051320320,2014-10-18 04:18:45,I cannot live without my hole.
523326454956716032,2014-10-18 04:15:24,"I must keep in good health, and not battle cry."
523207154765815808,2014-10-17 20:21:21,"Whatever our consoles are made of, his and mine are the frame."
523206505923756032,2014-10-17 20:18:46,I cannot live without my price control.
523205657336369153,2014-10-17 20:15:24,"I must keep in good health, and not wi-fi."
523146811918131200,2014-10-17 16:21:34,"Bleeder, I tarried him."
523086362514165760,2014-10-17 12:21:21,"Whatever our sugar bowls are made of, his and mine are the insurance claim."
523085703505129473,2014-10-17 12:18:44,I cannot live without my bowl.
523084862668804096,2014-10-17 12:15:24,"I must keep in good health, and not fly by."
522965617075167232,2014-10-17 04:21:34,"Civic leader, I married slim."
