id,created_at,text
525524960996233216,2014-10-24 05:51:29,"GIVE UP! X A. OCTOBᷜER 24, 2014 AT ⇮02:17⚁AM"
525482171084320768,2014-10-24 03:01:27,RT ₓSHANAR➝OꪀSE21: I'M 200% SURE TW᷆ITTER PROVES THE THEORY THAT② HUMANS SHOULD NEVER BE ALLOWED TO𝙫 CHOOSE T㌹HEI𝘝R OWNè NAMES.
525435866307502080,2014-10-23 23:57:27,𝖽ရATTEMPT TO SPEAK TO ON𐐊ñ▀E ᎘AN█OTHER
525210377391325185,2014-10-23 09:01:26,ⱸၳHAVEꪓ ө ל𞺄▀ּKIᣇDS
525070453581168640,2014-10-22 23:45:26,HAഅVE M𝚍ORE THA┈N⑇ 3-4 BODIES😩😂
524982372056313859,2014-10-22 17:55:25,... ▩H…
524942107018928129,2014-10-22 15:15:25,VOT ر𝖳E... WEAKENٽS▀ THE WҙHOL𝝯E PRᅫOCEꫵSS.⡳..
524895046596694016,2014-10-22 12:08:25,⑅BE M蘆𝌑Y TH𐌷IּNG. BECⲎAეUSEEE... FAI╽L.
524856037875396609,2014-10-22 09:33:25,ثឃZ…
524812501104357376,2014-10-22 06:40:25,YOU SHOUͅ𝚌LD NOT USE WᆇORDS YOU DON'T REALLY UNDERSTAND.
524715610303787010,2014-10-22 00:15:24,"""H𛀁UMANS SH̫OULD NEVER B▁E TURN𐩹ED INTO VAMPIRES."""
524617714610872320,2014-10-21 17:46:24,"ⱌM⑆EDDLE ▥WITH NATURE""."
524583992335806464,2014-10-21 15:32:24,RT AWKWARDPOSTS𐩧: 32 TATTOO FAILS SO TR⳿⡀AGICஃALLY EMBARRASSING• THAT THESE PEO܃PLE SHOULDド NEVE R GO OUTSIDE A◘GAIN.
524448855203385344,2014-10-21 06:35:25,7 REASONS YOU SHOULD NEVER LOVE ANYONE THE WAY YOU LOVED...  VIA ┚THOUGHTCATAL⠊OG
524400277827248129,2014-10-21 03:22:23,"GィIVE UP! X AⓎ. 𝖣ⅭඃOCTOBER 20, 2014 AT 10:17PM"
524356488572071936,2014-10-21 00:28:23,"""HUṴMAN¤⌿S SHOULD NEVER BE TURNED၆ INTO VAMﻲラPIRES."""
524301878075461632,2014-10-20 20:51:23,GET ງMARRIED.
523944913080451072,2014-10-19 21:12:56,𝒯E͢ኈAT┶ PRÒCESSED FOℕOD.
523679159151640576,2014-10-19 03:36:55,BE Y݁ELLIᦝⲎNG TH 𝗊A݀T.╌ XD
523634364081799169,2014-10-19 00:38:55,A▏SSᷕOCIAՍTE WITH
523584283244761088,2014-10-18 21:19:55,RT SH♖ANAROSE21: IÐ'ܣM 200%╏ SURE TWITTER PROV⚁ES ♖THE THӟEORּY THAT HU MANS SHOULD NEVER BE ALLOWED TO CHOOSE THEIRẙ OWN NAMES.
523502737594793984,2014-10-18 15:55:53,▤DRINꫥּK B⌷ヿOTTL⬕ED WATER! #5 IS▏ SHOCKING𑀬!!
523453916596293633,2014-10-18 12:41:53,6 REASON╴S WHᘪYッ YOℛⒿU Sქ❿HOULD NOTҘ GO VEGAN!
