id,created_at,text
526208821916872704,2014-10-26 03:08:54,Sunday is the day to do maintainance. there is no post and the vendors are all in church.
526205211879415808,2014-10-26 02:54:33,"I once got a magazine four years after the the date it was sent

That would be perfect if you were a doctor"
526205137325674496,2014-10-26 02:54:15,"Like GTA's police star rating... the more stars, the more lengths police will go to to prosecute."
526106651095748608,2014-10-25 20:22:54,I feel numb like I should just quit my job or casually commit suicide. Same as always. Maybe next time.
526106633668407296,2014-10-25 20:22:50,"13 billion years of causes and effects and here I am once again. Fuck, what a shame."
526105883693309953,2014-10-25 20:19:51,http://t.co/gEFAX6Mwks
526105485255401472,2014-10-25 20:18:16,"Wow, I just looked up fart porn."
526085062081916928,2014-10-25 18:57:07,I am buying two grams of cocaine soon and would like to make a bit of it into crack to experience the next level high.
526076679098482688,2014-10-25 18:23:48,haha sweet thanks for the cool answer
526075123728916480,2014-10-25 18:17:38,I keep my drugs in the toilet bowl that way they're always ready to be flushed.
525887812625657856,2014-10-25 05:53:19,Wikipedia said nothing about potential brain damage
525867353012043776,2014-10-25 04:32:01,u get def sentince
525863466611912705,2014-10-25 04:16:35,"Deffinitely intrested in any semi-legal cannabanoids, i am trying to skirt local law right now"
525863091011989504,2014-10-25 04:15:05,I have a shitload of illegal counterfeit hourglasses and I need a discrete source of sand so that I can refill them for resale.
525862893481238528,2014-10-25 04:14:18,hey im looking for og kush shipped to europe
525818135887482881,2014-10-25 01:16:27,Hey welcome to the forums but please remember to SWIM!
525810569740558337,2014-10-25 00:46:23,lucid info
525808303939813376,2014-10-25 00:37:23,SWIM is more of a ritalin fan. Or meth. MMmmm.
525791600040214529,2014-10-24 23:31:00,Good posts and use of swim
525753727568056320,2014-10-24 21:00:31,I plugged yesterday.
525709506907754496,2014-10-24 18:04:48,Benzedrex is one of the better things available OTC -- right ahead of cough syrup but just behind peppermint extract.
525681295347945472,2014-10-24 16:12:42,I've never heard anyone ask for an eight ball of weed if I did I would probably think they were a cop
525531369712394240,2014-10-24 06:16:57,Likely
525517258161160192,2014-10-24 05:20:52,copes shot my dad andthe bullets
525515405176365056,2014-10-24 05:13:30,I had a bad experience with taking 4 Benzedrex inhalers at once
525455022340210688,2014-10-24 01:13:34,"My mental health profile isn't so perfect, as I suffer from Asperger's Syndrome, depression, and OCD. I drink poppy tea on a regular basis."
525454078466609152,2014-10-24 01:09:49,Good first post and nice use of swim
525433289310760960,2014-10-23 23:47:12,"sounds interesting, tho i dont think i would ever do inhalers...not my thing, not after duster...=\"
525431131521703936,2014-10-23 23:38:38,Sometimes SWIM becomes depressed after a stimulant high :(
525425690502762496,2014-10-23 23:17:01,Vaping phenazepam and a-PVP together means you don't give a fuck anymore.
525401643215757312,2014-10-23 21:41:27,thats the meth cristalizing in ur piss and it blocks your pee flow thats why it hurts to bcause their poking the inside of ur dick
525338051191787521,2014-10-23 17:28:46,NSA agent spreading flase info detected
525324242003693568,2014-10-23 16:33:54,oh yeah its a milf kinda night
525317329862033408,2014-10-23 16:06:26,"Had some sleep today, psychosis averted."
525191695324176384,2014-10-23 07:47:12,Idk thats fucking weird as shit
525186081139195904,2014-10-23 07:24:53,"What would you like to see in the market that you haven't yet?

Sand

Sand.... Never mind

Legal advice, financial advice, stolen art, sand"
525175273688694784,2014-10-23 06:41:57,"Dr, Dr please.. Oh the shape I'm in. ""UFO"" contact me."
525174469405732864,2014-10-23 06:38:45,Anyone else.get that oddly blue green crap on.their lips after up.for going with out enough liquid.
525173824158203905,2014-10-23 06:36:11,"This chemical can turn a healthy shiny looking lab machine into a worn down, brittle rusted out health disaster REALLY fast in my opinion."
