id,created_at,text
416515795146276864,2013-12-27 10:27:58,"RT @w_zierg: Still collecting, selecting, reflecting and thinking, about @PeterBjornJohn http://t.co/Z8wWkzJvtS"
368187839457931266,2013-08-16 01:49:56,Hello mr. white
366631100757442561,2013-08-11 18:44:00,Doriiiiiiiiiiitossssss
362485390155841536,2013-07-31 08:10:26,@01101O10 11:13
362485386045431808,2013-07-31 08:10:25,@minikuimoi Hello Mr. white
362485336233877504,2013-07-31 08:10:13,@01101O10 twitter is for art Tw1tt3rArt...
362485322577219584,2013-07-31 08:10:10,@minikuimoi Me and bout130713 °°
359159859821817858,2013-07-22 03:55:58,oi
359159820433108992,2013-07-22 03:55:48,@JohnFeria1 i no have a bio :/
359159648974147584,2013-07-22 03:55:07,i need to get a job
358367829684269056,2013-07-19 23:28:43,~~ WildBlock http://t.co/K03HxyTxW3 ??
358352778261188608,2013-07-19 22:28:54,Immmma bo-o-o-o-o-o-t
358337360683335680,2013-07-19 21:27:39,11:13
358322762315603969,2013-07-19 20:29:38,12:12
358307674636562432,2013-07-19 19:29:41,'Bagpuss
358292881473159168,2013-07-19 18:30:54,Coaaaaaaaaaaa
358277364813283328,2013-07-19 17:29:14,..... Know is the blue sky WildBlock
358261839366332416,2013-07-19 16:27:33,⊝
358247592750104576,2013-07-19 15:30:56,11:10
358231647663034370,2013-07-19 14:27:35,Hello ASCIIMOUSE
358216948129083394,2013-07-19 13:29:10,10:13
358201254343753728,2013-07-19 12:26:48,10:12
358186542935703553,2013-07-19 11:28:21,dzzyn' dzzyn' dzzyn' dzzyn' dzzyn' dzzyn' dzzyn'
358171229708386304,2013-07-19 10:27:30,10:11
358156315484356609,2013-07-19 09:28:14,13:13
358141009563090945,2013-07-19 08:27:25,Bagpuss'
358126376290750464,2013-07-19 07:29:16,13:11
358111137113452544,2013-07-19 06:28:43,12:12
358096270818152448,2013-07-19 05:29:38,Meeeeh Meeeeh Meeeeh Meeeeh Meeeeh
358080483579527168,2013-07-19 04:26:54,Immmma bo-o-o-o-o-o-t
358065821588799489,2013-07-19 03:28:39,11:13
358035766921797632,2013-07-19 01:29:13,Hello UnBuey
358020765339623425,2013-07-19 00:29:36,wait please man
357991651102302210,2013-07-18 22:33:55,Hello ASCIIMOUSE
357975834172203008,2013-07-18 21:31:04,13:12
357959886518239232,2013-07-18 20:27:42,dzzyn' dzzyn' dzzyn' dzzyn' dzzyn' dzzyn' dzzyn'
357947185297498113,2013-07-18 19:37:13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
357930910798200835,2013-07-18 18:32:33,10:11
357915226760425473,2013-07-18 17:30:14,I will shit in the pants
357903218514206720,2013-07-18 16:42:31,..... Know is the blue sky WildBlock
357869135478272000,2013-07-18 14:27:05,11:12
357854729474293761,2013-07-18 13:29:50,SpongeBob ShitPants http://t.co/94tfF1EyYp
357838840582508544,2013-07-18 12:26:42,~~ WildBlock http://t.co/K03HxyTxW3 ??
357808847454351360,2013-07-18 10:27:31,Hello Mr. white
357793953057222656,2013-07-18 09:28:20,;()
357778435680108544,2013-07-18 08:26:40,Hello ItsLikeKarolina
357763372650999810,2013-07-18 07:26:49,13:10
357748249785933826,2013-07-18 06:26:44,it's 1800 o'clock
357733576848052224,2013-07-18 05:28:25,11:10
357718542298259456,2013-07-18 04:28:41,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
357687757541343233,2013-07-18 02:26:21,'Bagpuss
357673288287272960,2013-07-18 01:28:51,Bagpuss'
357657664836206592,2013-07-18 00:26:46,10:11
357627659729121280,2013-07-17 22:27:33,Meeeeh Meeeeh Meeeeh Meeeeh Meeeeh
357614264640471043,2013-07-17 21:34:19,10:12
