id,created_at,text
473544729196761089,2014-06-02 19:20:36,"how did we evolve
how did we evolve from monkeys
how did we end up on this road how did we get so far from home(cont) http://t.co/09Kifv5Ud0"
473168487603785728,2014-06-01 18:25:33,"if only we had world enough and time
if only we could see the endless string of consequences
if only all we… (cont) http://t.co/Qix2hpVvgX"
473130616935170048,2014-06-01 15:55:04,"I can't stop eating
I can't stop farting
I can't stop loving you
I can't stop crying

#GooglePoems http://t.co/14v74Aenic"
471747727983144961,2014-05-28 20:19:57,"what if wild animals ate fast food
what if we were made for each other
what if we could
what if we ruin it all…(cont) http://t.co/0DhtAIW69s"
470991843082387456,2014-05-26 18:16:20,"when you left me
when you left I lost a part of me
when you left me on that boulevard
when you left for Santa Monica http://t.co/s5nsgpMlfw"
469988401568296960,2014-05-23 23:49:01,"he told me I give good head
he told me he loves me
he told me he likes me
he told me to move on

#GooglePoems http://t.co/b1cDxdZo1r"
469909047513456641,2014-05-23 18:33:42,"and I love her
and the snakes start to sing
and the mountains echoed
and we danced

#GooglePoems http://t.co/c6yrdqpoIt"
469190134165147648,2014-05-21 18:56:59,"if this is to end in fire
if this is the case
if this is the answer, what is the question
if this is the end

. http://t.co/BUP0JF07Xg"
469076780503302144,2014-05-21 11:26:34,"what if the first world war hadn't happened
what if the world was gay
what if the storm ends
what if the hokey…(cont) http://t.co/2LlQYYmzNq"
468997335708880898,2014-05-21 06:10:53,"I am love
I am lonely
I am looking for Molly
I am looking forward to hearing from you

#GooglePoems http://t.co/cRIPQSlFYL"
468862234287144960,2014-05-20 21:14:02,"Sally left me again over nothing
Mustang Sally's left the building
Sally there's no milk left

#GooglePoems http://t.co/mXrKiQZM0F"
468831920223428608,2014-05-20 19:13:34,"every time I find the meaning of life they change it
every time I find someone like you
everytime I find the… (cont) http://t.co/rk4KRpO9L0"
468752296319651840,2014-05-20 13:57:11,"if it's meant to be it will be
if it's paper
if it's love
if it's Tuesday this must be Belgium

#GooglePoems http://t.co/VQlohW3Riz"
468523817372250112,2014-05-19 22:49:17,"so I can't play H
so I married an axe murderer
so I got that goin' for me

#GooglePoems http://t.co/Q9enzMLI7r"
468492193381224448,2014-05-19 20:43:37,"I'm coming home
I'm addicted to you
I'm the man
I'm sexy and I know it

#GooglePoems http://t.co/EcnyxcTuWc"
468464309828595714,2014-05-19 18:52:49,"there is no present or future
there is no need to be upset
there is no spoon
there is no God
there is no try

- http://t.co/dcLFGfI3hY"
456851349699706880,2014-04-17 17:47:04,"I gotta do it my way
I gotta drive
I gotta do it man
I gotta do what I gotta do

#GooglePoems http://t.co/hGROCtygvs"
455628955434123264,2014-04-14 08:49:42,@Taliana83 Yes.
454998131231318017,2014-04-12 15:03:02,"should we send humans to Mars
should we stay or should we go now
should we spend time in the Sun
should we… (cont) http://t.co/NMiaiAqpZZ"
453416661505146880,2014-04-08 06:18:50,"don't starve
don't you worry child
don't be afraid of the dark
don't worry, be happy

#GooglePoems http://t.co/309klAV7aE"
452942478211948544,2014-04-06 22:54:36,"why did JonTron leave GameGrumps
why did Japan attack Pearl Harbor
why did Joffrey try to kill Bran
why did Jesus co… http://t.co/bghOFMUOTd"
452844809833549825,2014-04-06 16:26:30,"remember when we used to eat sardines for dinner
remember when we used to talk every day, I miss that
remember…(cont) http://t.co/h3Iofhwhx5"
452461145559805953,2014-04-05 15:01:58,"why are you my remedy
why are you leaving
why are you wearing that stupid man suit
why are YouTube videos lagging

- http://t.co/KtqGiLf2Ao"
451782963974258688,2014-04-03 18:07:07,"in these premises
in these promises broken deep below
in these few precious days

#GooglePoems http://t.co/GFme2rN1dU"
