id,created_at,text
525995996300341250,2014-10-25 13:03:12,.@HinkyPinkyQs Halter altar!
525980831458680834,2014-10-25 12:02:57,.@HinkyPinkyQs Hmm... it's hilly filly!
525965666663161857,2014-10-25 11:02:41,".@HinkyPinkyQs You thought you could stump me, but it's chalk squawk!"
525950502031208449,2014-10-25 10:02:26,.@HinkyPinkyQs I bet it's fish dish!
525935337277648897,2014-10-25 09:02:10,".@HinkyPinkyQs Lightness brightness, obviously!"
525920172654067713,2014-10-25 08:01:54,.@HinkyPinkyQs Let me think... dribble nibble!
525905006030229504,2014-10-25 07:01:38,.@HinkyPinkyQs Let me think... fluff snuff!
525889841112694784,2014-10-25 06:01:23,".@HinkyPinkyQs River giver, obviously!"
525874675818041345,2014-10-25 05:01:07,.@HinkyPinkyQs It's gotta be... tangle wrangle!
525859510980575234,2014-10-25 04:00:52,.@HinkyPinkyQs Easy -- hush rush!
525844346344456192,2014-10-25 03:00:36,".@HinkyPinkyQs Swamp pomp, obviously!"
525829181842526209,2014-10-25 02:00:21,.@HinkyPinkyQs It's definitely ion lion!
525814017185419265,2014-10-25 01:00:05,.@HinkyPinkyQs It's gotta be... diner miner!
525798852746436608,2014-10-24 23:59:50,".@HinkyPinkyQs Clunky monkey, obviously!"
525783688068349952,2014-10-24 22:59:34,.@HinkyPinkyQs Phony crony!
525768523528695808,2014-10-24 21:59:18,".@HinkyPinkyQs You thought you could stump me, but it's dredge wedge!"
525753358921908224,2014-10-24 20:59:03,.@HinkyPinkyQs Hmm... it's stern urn!
525738194428362753,2014-10-24 19:58:47,".@HinkyPinkyQs I know, it's cheeky squeaky!"
525723029972582400,2014-10-24 18:58:32,.@HinkyPinkyQs We all know that's brassy glassy!
525707865260961792,2014-10-24 17:58:16,.@HinkyPinkyQs Let me think... quick schtick!
525692700465430528,2014-10-24 16:58:01,.@HinkyPinkyQs Hmm... it's hoof roof!
525677535816740864,2014-10-24 15:57:45,.@HinkyPinkyQs It's gotta be... twitch ditch!
525662371180576768,2014-10-24 14:57:30,".@HinkyPinkyQs Ha, it's obviously digit widget!"
525647206489944065,2014-10-24 13:57:14,.@HinkyPinkyQs Hmm... punch hunch!
525632041694416896,2014-10-24 12:56:59,".@HinkyPinkyQs You thought you could stump me, but it's scribble dribble!"
525616877003759616,2014-10-24 11:56:43,.@HinkyPinkyQs Easy -- tear share!
525601712392777729,2014-10-24 10:56:28,.@HinkyPinkyQs No way it's not racy lacy!
525586547689525250,2014-10-24 09:56:12,.@HinkyPinkyQs It's gotta be... bob throb!
525571382906597376,2014-10-24 08:55:56,.@HinkyPinkyQs It's feral barrel!
525556218576646144,2014-10-24 07:55:41,.@HinkyPinkyQs I bet it's scarp tarp!
525541053986664449,2014-10-24 06:55:26,.@HinkyPinkyQs Nose prose!
525525889300193280,2014-10-24 05:55:10,.@HinkyPinkyQs It's definitely spook duke!
525510724886347776,2014-10-24 04:54:54,.@HinkyPinkyQs It's gotta be... gawky talkie!
525495560493477888,2014-10-24 03:54:39,.@HinkyPinkyQs It's storey quarry!
525480395752476672,2014-10-24 02:54:23,.@HinkyPinkyQs Easy -- young tongue!
525465231288315905,2014-10-24 01:54:08,.@HinkyPinkyQs Killer filler!
525450066748649473,2014-10-24 00:53:52,".@HinkyPinkyQs You thought you could stump me, but it's damper camper!"
525434902108712960,2014-10-23 23:53:37,".@HinkyPinkyQs Can't fool me, it's ink blink!"
525419735903916032,2014-10-23 22:53:21,.@HinkyPinkyQs No way it's not ox fox!
525404569615220736,2014-10-23 21:53:05,.@HinkyPinkyQs Let me think... crush hush!
525389404245065728,2014-10-23 20:52:49,.@HinkyPinkyQs This is a tough one... scape cape!
525374238132543488,2014-10-23 19:52:34,.@HinkyPinkyQs No way it's not trainer planar!
525359071827083264,2014-10-23 18:52:18,.@HinkyPinkyQs It's gotta be... blunder thunder!
525343905592532993,2014-10-23 17:52:02,.@HinkyPinkyQs It's definitely trot yacht!
525328740675371008,2014-10-23 16:51:46,.@HinkyPinkyQs Let me think... lighter fighter!
525313575833706496,2014-10-23 15:51:30,.@HinkyPinkyQs It's definitely regal seagull!
525298411214352384,2014-10-23 14:51:15,.@HinkyPinkyQs Hmm... soap rope!
525283245911330817,2014-10-23 13:50:59,.@HinkyPinkyQs It's gotta be... old mould!
525268081203884032,2014-10-23 12:50:44,.@HinkyPinkyQs Hmm... it's pleasant peasant!
525252916492238849,2014-10-23 11:50:28,.@HinkyPinkyQs It's gotta be... hammer glamour!
525237751541547011,2014-10-23 10:50:13,.@HinkyPinkyQs Cuff tough!
525222586758598657,2014-10-23 09:49:57,".@HinkyPinkyQs I know, it's snobby hobby!"
525207421686255616,2014-10-23 08:49:41,.@HinkyPinkyQs No way it's not proper copper!
525192255951233024,2014-10-23 07:49:26,.@HinkyPinkyQs This is a tough one... bog fog!
525177091604504576,2014-10-23 06:49:10,.@HinkyPinkyQs Hmm... saber labour!
525161926754443264,2014-10-23 05:48:55,.@HinkyPinkyQs No way it's not fuse ooze!
525146762189631488,2014-10-23 04:48:39,".@HinkyPinkyQs You thought you could stump me, but it's tacky khaki!"
525131597763207169,2014-10-23 03:48:24,".@HinkyPinkyQs Can't fool me, it's lotion notion!"
525116433059962881,2014-10-23 02:48:08,.@HinkyPinkyQs I bet it's punk bunk!
525101268428017664,2014-10-23 01:47:52,.@HinkyPinkyQs Hmm... it's pickle nickel!
525086104219684865,2014-10-23 00:47:37,".@HinkyPinkyQs Haze gaze, obviously!"
525070939478716416,2014-10-22 23:47:21,.@HinkyPinkyQs I bet it's funky clunky!
525055774918074369,2014-10-22 22:47:06,".@HinkyPinkyQs Can't fool me, it's nutter putter!"
525040610281930752,2014-10-22 21:46:50,".@HinkyPinkyQs You thought you could stump me, but it's spanner manner!"
525025445712904193,2014-10-22 20:46:35,.@HinkyPinkyQs Let me think... pellet zealot!
525010281164836864,2014-10-22 19:46:19,.@HinkyPinkyQs No way it's not bench stench!
524995116650340353,2014-10-22 18:46:04,".@HinkyPinkyQs Ha, it's obviously gentle fennel!"
524979951993229312,2014-10-22 17:45:48,.@HinkyPinkyQs I bet it's oil toil!
524964787365502976,2014-10-22 16:45:33,.@HinkyPinkyQs Hmm... math wrath!
524949622670643202,2014-10-22 15:45:17,.@HinkyPinkyQs Easy -- shrine wine!
