id,created_at,text
526569042044542976,2014-10-27 03:00:17,huge elephant bull http://t.co/2PLJQG2jLu http://t.co/Jy9Hy3sZhG
526553908349796352,2014-10-27 02:00:09,Giant Elephant Ear Leaf http://t.co/zzhU3XanRF http://t.co/uhOenw0PS1
526538809677471744,2014-10-27 01:00:09,Creative Illustration Of Hindu Lord Ganesha http://t.co/QCnpouG85g http://t.co/KVFQ65Rjpx
526523711130984448,2014-10-27 00:00:09,Vector image of the elephant http://t.co/FYvV3eGwIp http://t.co/xdefYXpiBn
526508620864061440,2014-10-26 23:00:11,Elephant Trunk http://t.co/U3g9ecVscP http://t.co/qFpZASy6Xn
526493505087373312,2014-10-26 22:00:08,Kilimanjaro With Elephant Herd http://t.co/Db8BGRzC66 http://t.co/Gx3oaDfBap
526478426644172800,2014-10-26 21:00:13,African elephant (Loxodonta africana) on a white background. http://t.co/ihpNl3osJ0 http://t.co/J6pfpiOjoy
526463303842037761,2014-10-26 20:00:07,Happy cartoon safari animal http://t.co/HIx8ZQIf8L http://t.co/VGJ5zSTY05
526448225549811713,2014-10-26 19:00:12,Drinking elephants http://t.co/TDpaHW73FH http://t.co/RrXKVOVS4V
526433136553779200,2014-10-26 18:00:15,Trio of elephants http://t.co/AP7LaHioK2 http://t.co/YKJVHio0wV
526417992859803649,2014-10-26 17:00:04,illustration of zoo and animals in a beautiful nature http://t.co/nvkUHIWyPS http://t.co/RwmoAmUsOp
526402914932514817,2014-10-26 16:00:09,Cute Safari Animals http://t.co/zF2gztA2RA http://t.co/UvcoHKrIuD
526387822916558848,2014-10-26 15:00:11,Masai Mara Elephants http://t.co/MMPhbBng4b http://t.co/w0V71Ithi2
526372716145020928,2014-10-26 14:00:09,Iron Trunk http://t.co/AkqIZ9Zn0w http://t.co/IqFj3L4lo3
526357632257622016,2014-10-26 13:00:13,Breeding Herd Of Elephant Walking Away Int The Trees http://t.co/cKCb5kCibM http://t.co/lhSaXFcpPt
526342531689488385,2014-10-26 12:00:13,Vector image of an elephant http://t.co/Qy1dRlm96g http://t.co/7GpbIo7Jpp
526327395822075904,2014-10-26 11:00:04,Side view of a group of tourists on safari watching elephant http://t.co/BFIimWpb0m http://t.co/kr3kXdJJu2
526312317517303808,2014-10-26 10:00:09,"Elephant, African - Wildlife Background from Africa - Nature's Health Clinic of Sand http://t.co/OMqMbC1ha6 http://t.co/JR2tlIyag0"
