id,created_at,text
526554495673581568,2014-10-27 02:02:29,RT .Favipotter_: your really thinking of me
526549464400404480,2014-10-27 01:42:29,.Jdlover1974Ware well you don't
526546943384633344,2014-10-27 01:32:28,your thinking of me
526540652754898945,2014-10-27 01:07:28,I can enlist for my other majors. Grades are still not yet out :(
526539393557741568,2014-10-27 01:02:28,.beaCONchillscon I get a free omega pass after I sign up
526538138416451585,2014-10-27 00:57:29,.SMARTCares I am nearing my 50 hours limit on my bro plan.
526536876341993472,2014-10-27 00:52:28,.FaZeDirty do you comment on the video if you saw it or you saw it.
526529326754189312,2014-10-27 00:22:28,"that reminds me i need to get pepsi
i might be hungry too idk I'M HUNGRY"
526528068949528576,2014-10-27 00:17:28,my nose is broken.
526526811258114048,2014-10-27 00:12:28,.veemyself_andI you never tell me
526525554619457536,2014-10-27 00:07:29,".justleon ""Hey coach, I'm enough""
'Cool Runnings"" http://t.co/LGgsEn9iDC"
526520520473202688,2014-10-26 23:47:29,.Logic301 .GooglePlay .TeamVisionary We do get a Poster sent out to Us.
526519259971588096,2014-10-26 23:42:28,.RSVPers i just ordered ATC for Slam dunk 6s. if you got the shoes in cart do i get notified? the shoes are in cart.
526511711319097344,2014-10-26 23:12:28,.iam_AyoSwag u don't tell me
526504161181843457,2014-10-26 22:42:28,you lying
526502904689983488,2014-10-26 22:37:29,she is the friend I have been asking for if I myself don't know if she is being true to the words she says.
526501644066754560,2014-10-26 22:32:28,RT .mindblowingg1: she feels the same.
526499129690558464,2014-10-26 22:22:29,my child is eating too much #salt. | Nutrition for the Health of It http://t.co/CNFsKDq2dc #RDtips #healthy #moms
526490319441784832,2014-10-26 21:47:28,my controller has been dispatched .SharQController
526484029587992576,2014-10-26 21:22:28,.SteffGeorgiou .hanmckenzie I didn't know you did yoga? you don't take pics and post them on social media every time.!
526467670917390336,2014-10-26 20:17:28,your thinking of me .
526466412588453888,2014-10-26 20:12:28,"I'll get the set I wanted the most. you are very tricky,ms Taylor A. Swift."
526453830464987136,2014-10-26 19:22:28,you're thinking of me... Falling in love is so bitter sweet. This love is strong why do I feel weak.
526443764328321024,2014-10-26 18:42:28,.courtney_janet 😳😳😳😳😳 my daughter is alive
526442506267803648,2014-10-26 18:37:28,.nyanks1979 what if I don't have a pen or papah to write down dusk whores? I won.
526439988322250752,2014-10-26 18:27:28,RT denialbot: RT afirelovelli: hes hot im not gay .
