id,created_at,text
526119185366011904,2014-10-25 21:12:43,"Life Chooses You Now, Not You"
526117273858088960,2014-10-25 21:05:07,Om Tryambakkam Yajamahe Sugandhim Pustivardhanam Urvarookameva Bandanaan Mrityormoksheeya Maamritaat
526111566861594624,2014-10-25 20:42:26,Ancient Rings of Light
526104073418702851,2014-10-25 20:12:40,"""you simply need to temporarily shift their conscious awareness away from the concerns of being human,in order to access the data of Akasha"""
526096453551149056,2014-10-25 19:42:23,You Do have Many Planets within Your Energy System
526093470629240832,2014-10-25 19:30:32,@Engellaland1  (*ゝω・)ﾉ♥♥♥ ･ﾟ:*:ﾟ
526088969004400640,2014-10-25 19:12:39,"Mind to Mind,  Magnetic to Magnetic"
526083402055688192,2014-10-25 18:50:31,@Engellaland1 Tao is Tao
526081366262157312,2014-10-25 18:42:26,Every Cell of Your Body Knows The Truth with Sensations
526078367901040640,2014-10-25 18:30:31,@daoudabeid ((((((*´Θ｀)
526075848068059136,2014-10-25 18:20:30,@syddwhat Everything is Supporting Hand To You
526073900833058817,2014-10-25 18:12:46,"Green Ray can Decipher Ancient Discs, which tell True History"
526066244928016384,2014-10-25 17:42:21,Spiritual Books mislead Readers
526058756212146176,2014-10-25 17:12:35,"""There is a small space within the sacred space of the heart that is extremely important. This place will change everything"" (Drunvalo)"
526051170578493440,2014-10-25 16:42:27,"""Our universe was created out of the Light Synthesis of the next universe, the Pleiades, the craddle/throne of our consciousness""(Enoch)"
526048168085950464,2014-10-25 16:30:31,@JoeClones  (^-^*)ノ
526045652539547649,2014-10-25 16:20:31,@JoeClones  ♪ヽ(^-^ ) (v^ｰﾟ)
526043668839288832,2014-10-25 16:12:38,"Body Consciousness is ""Ancestors"" by Blood"
526038097398472705,2014-10-25 15:50:30,@wizardgynoid  o(*^▽^*)o~♪
526036060849963008,2014-10-25 15:42:24,Akasha system is like Blog and Twitter....
526030558933946369,2014-10-25 15:20:33,@TheOracle13 (;＾◇＾;)ゝ
526028572134096897,2014-10-25 15:12:39,Let all the self-judgment go
526020998781358080,2014-10-25 14:42:33,How We Come to This Dimension As an Observer of Creation
526015355538268161,2014-10-25 14:20:08,Om Tryambakkam Yajamahe Sugandhim Pustivardhanam Urvarookameva Bandanaan Mrityormoksheeya Maamritaat
526013590000513026,2014-10-25 14:13:07,Do not Over-Expect Synchronicity nor Inspiration
526005876855808001,2014-10-25 13:42:28,"Heart creates through Dream/Image: These through Feelings, Emotions"
525998572932591616,2014-10-25 13:13:27,"That is , while alive, we recognize a distinction between things and self; inside is self, outside are things."
525997845501853696,2014-10-25 13:10:33,@eubiegirl Oh!?
525995330643324928,2014-10-25 13:00:34,@D_C_BOONE  ヽ(ﾟｰﾟ*ヽ)ヽ(*ﾟｰﾟ*)ﾉ(ﾉ*ﾟｰﾟ)ﾉ
525995329351475200,2014-10-25 13:00:33,@arorabrigitte  +*ﾟ.ヾ(*´∀`)ﾉ☆*+.
525990796990754816,2014-10-25 12:42:33,Do Without Doing
525985257795772417,2014-10-25 12:20:32,"@FireHouseInc (・。- )ﾉ~･ﾟ★,｡･:*:･ﾟ☆"
525983354475147265,2014-10-25 12:12:58,Twelve Known Universe
525975672410214400,2014-10-25 11:42:27,"""The language with no words can also be used as communication between all life forms - not just between humans"" (Drunvalo)"
525970157953220610,2014-10-25 11:20:32,@rengaiza (ﾟ･^*)
525970053615722496,2014-10-25 11:20:07,Om Tryambakkam Yajamahe Sugandhim Pustivardhanam Urvarookameva Bandanaan Mrityormoksheeya Maamritaat
525968326741086208,2014-10-25 11:13:15,"Weak Body?  Then,Live with thanking for being with Weak Body"
525960615949373440,2014-10-25 10:42:37,Enlarged Response shall change Destiny's Flow...
525953147408097280,2014-10-25 10:12:56,Death Urges can be Controlled Completely... Be Immortal!
525945488743219200,2014-10-25 09:42:30,"""Be childlike, with an open heart as you enter your inner space. Your experience will almost certainly be unique to only you"" (Drunvalo)"
525938094554357761,2014-10-25 09:13:07,All the worlds created by thoughts are existing and expressed inside of the individuals
525930396110700545,2014-10-25 08:42:32,Synergy between the consciousness and the sub-consciousness
525924862422814720,2014-10-25 08:20:33,@NdlovuPenny  (*´∀`*)
525922979973058560,2014-10-25 08:13:04,To control others asks you to terrify them.... this is what in history and what is going on now in the world
525922351146233857,2014-10-25 08:10:34,@wizardgynoid (´o｀；
525915300126924802,2014-10-25 07:42:33,Creator VS God Almighty
525907883783770113,2014-10-25 07:13:05,"When Your Body is not Open Enough, Kundalini Fires You"
525900211441651712,2014-10-25 06:42:35,"""Group energy-especially a group not yet carrying the new frequencies,alters or dilutes the specificity of the frequencies"" (Eric Pearl)"
525894661584347136,2014-10-25 06:20:32,@wizardgynoid  Bless You!
525894660032434176,2014-10-25 06:20:32,@StarLifePaso ✩* ི•̮͡ુ -ુ ྀෆ⃛* ૂི•̮͡• ૂ ྀ✩
525892759287132160,2014-10-25 06:12:59,Ascended Wolf-Consciousness
525885079386480640,2014-10-25 05:42:28,"Malnutrition of Body, Mind, Spirit Causes Malfunction of SOUL"
525877737949364225,2014-10-25 05:13:17,Most of the History has been inked down to impease the human notions of the right and wrong
525870007117283328,2014-10-25 04:42:34,Joke can trigger Instant Enlightenment before Laughing
525864359046574080,2014-10-25 04:20:07,Om Tryambakkam Yajamahe Sugandhim Pustivardhanam Urvarookameva Bandanaan Mrityormoksheeya Maamritaat
525862559874686977,2014-10-25 04:12:58,The Ascension of Dyad and Triad
525854904217137154,2014-10-25 03:42:33,"""From the multisensory point of view, insights, intuitions, hunches, inspirations are messages from soul, or from advanced intelligences"""
525847512460955649,2014-10-25 03:13:11,What you feel at Last Moment on Earth is Your First Step on Another
525839820652679168,2014-10-25 02:42:37,Accidents can be caused by Threshold Beings?
525824691156430849,2014-10-25 01:42:30,Other Divine Births
525817291229786112,2014-10-25 01:13:06,The Expansive Power of Joy as a Creative Force
525811616609099778,2014-10-25 00:50:33,@FireHouseInc (・∀・)
525809600042246144,2014-10-25 00:42:32,Laughter is a gate to secret emotions you would not face
525806580021727232,2014-10-25 00:30:32,@Ckilledmankind ✩* ི•̮͡ુ -ુ ྀෆ⃛* ૂི•̮͡• ૂ ྀ✩
525802155509153793,2014-10-25 00:12:57,The human is born with Full Knowledge
525796511846653953,2014-10-24 23:50:31,@FireHouseInc ✩* ི•̮͡ુ -ુ ྀෆ⃛* ૂི•̮͡• ૂ ྀ✩
525794488212389888,2014-10-24 23:42:29,"Hearing Inaudible Voice is fine, but, it happens at certain stages only"
525787124113494017,2014-10-24 23:13:13,Can you embrace Unity?
525786447404474368,2014-10-24 23:10:32,@Engellaland1  （（（≧∀≦**）））
