id,created_at,text
526555931438358528,2014-10-27 02:08:11,"Look, I'd like you to buy my bomb, too, but it's just too heavy for you to carry. Sorry."
526540809026297856,2014-10-27 01:08:06,Did some middle-aged woman put you to work?
526525725059211264,2014-10-27 00:08:09,"Somebody! Anybody!!! Goddess of Time, help us please! We need more time!"
526510648646062081,2014-10-26 23:08:15,Only Jim and us are supposed to know about that secret route...
526495467308212224,2014-10-26 22:07:55,Ruff! ...I'm here for my wife and child. There's no way I'll lose!
526480392866390016,2014-10-26 21:08:01,"With black roses etched into it, the Great Fairy's Sword is the most powerful of all blades."
526465277370703872,2014-10-26 20:07:58,"That's my life savings. If I can buy safety with it, then it's worth it."
526450172067196929,2014-10-26 19:07:56,"That's a Gekko. And it's pretty angry! It's pretty weak, too. It really shouldn't be making a fool of you."
526435072539234304,2014-10-26 18:07:56,That is a nice mask. It is a sentimental item that exudes a lot of maturity.
526419967739039744,2014-10-26 17:07:55,Those inssside... Our friendsss... Brrrriiiiinnnng them!
526404887630729217,2014-10-26 16:08:00,You got a Magic Jar! Your magic power is replenished!
526389802044649473,2014-10-26 15:08:03,"Ohh, how adorable! Let me tug on your long ears. If you study the way of the sword here, you'll get your bunny dirty, so put it away."
526374756090535936,2014-10-26 14:08:16,The prize is Gold Dust! This stuff is the highest quality available!
526359614053298176,2014-10-26 13:08:05,You put a Zora Egg in a bottle! It doesn't look very healthy. You'd better have someone examine it quick!
526344514529546240,2014-10-26 12:08:05,What's with that Deku Scrub? It's just sleeping here like a lazy fool! What a pain!
526329459742216193,2014-10-26 11:08:16,"You got Don Gero's Mask! It looks just like Don Gero, conductor of the frog choir!"
526314324122271744,2014-10-26 10:08:07,"This isn't ""members-only,"" so take that thing off. I kid you not!"
526299240943730688,2014-10-26 09:08:11,No using masks in the store because of past indiscretions!
526284146880962560,2014-10-26 08:08:13,"That's my life savings. If I can buy safety with it, then it's worth it."
526269058992189440,2014-10-26 07:08:15,"With black roses etched into it, the Great Fairy's Sword is the most powerful of all blades."
526253930213146624,2014-10-26 06:08:08,Your notes echoed far... but nothing happened.
526238850654281728,2014-10-26 05:08:13,"That's a Real Bombchu! It runs at you with its pack of explosives, so protect yourself or else!"
526223725310386177,2014-10-26 04:08:07,The horse seems to like this song.
526208754245582849,2014-10-26 03:08:38,Oh! A Goron! Do you live in the mountains? Why is Tatl with you? Why? Huh? Why?
526193604096585728,2014-10-26 02:08:26,"You're our bodyguard, Grasshopper, so all you have to do is practice hard!"
526178418539233281,2014-10-26 01:08:05,No way! No Scrubs!
526163391300108289,2014-10-26 00:08:22,This is a problem. You just can't come in and hang out in our room!
526148271639519232,2014-10-25 23:08:17,I'm sorry. We're totally booked with reservations. Please tell that to your mother.
526133081493606402,2014-10-25 22:07:56,"Certainly, he had far too many weaknesses to use my power."
526118006703677441,2014-10-25 21:08:02,"Suddenly, memories of Princess Zelda come rushing back to you..."
526102932886786048,2014-10-25 20:08:08,Will you buy one of Tingle's maps?
526087789830340609,2014-10-25 19:07:57,That ill-mannered troublemaker from the other day said he'd break my instruments...
526072692869328897,2014-10-25 18:07:58,"From now on, be more aware of birds when you're strolling down the road..."
526057589046390784,2014-10-25 17:07:57,"You've met with a terrible fate, haven't you?"
526042481201147906,2014-10-25 16:07:55,Buying two of the same thing won't do you any good.
526027389134860290,2014-10-25 15:07:57,"Oh, man! I didn't think you'd come over here."
526012352341102593,2014-10-25 14:08:12,You managed to figure out a code that only we know! Now that's something! I like you!
525997225390784514,2014-10-25 13:08:05,This is a problem. You just can't come in and hang out in our room!
525967067615223809,2014-10-25 11:08:15,"This melody, lingering on the edges of your mind, is a song of memories of Princess Zelda."
525936851635281920,2014-10-25 09:08:11,You'll know you're close to a fairy who's lost in a temple if the mask's hair begins to shimmer.
525921745136410624,2014-10-25 08:08:09,Thanks for helping last night. The cows are doing well thanks to you. And they're putting out a lot of milk!
525891530699972608,2014-10-25 06:08:06,Swamp. Mountain. Ocean. Canyon. Hurry... The four who are there... Bring them here...
525876467452751874,2014-10-25 05:08:14,You got the Fierce Deity's Mask! Could this mask's dark powers be as bad as Majora?
525861337339920384,2014-10-25 04:08:07,"You'll be fine. Surely, you should be able to recover Majora's Mask. I believe in you."
525846304295890945,2014-10-25 03:08:23,"Hey, you're kinda cool."
525831154381758464,2014-10-25 02:08:11,Ho! Ho! I hear it's gonna fall harder than the way my clumsy brother is always dropping our juggling balls!
525816026940719104,2014-10-25 01:08:04,"That melody's bogus, man!"
525800942130585602,2014-10-25 00:08:08,You too can master it! Seek out troubled individuals and lend an ear!
525785875293024257,2014-10-24 23:08:15,"I wanna be one when I grow up, too."
525770690222239745,2014-10-24 22:07:55,"You got the Bunny Hood! My, what long ears it has! Will the power of the wild spring forth?"
525755599443611649,2014-10-24 21:07:57,Will you stop staring and just open that door for me?!?
525740499458457600,2014-10-24 20:07:57,"Oh, man! I didn't think you'd come over here."
525725397170671617,2014-10-24 19:07:56,Oh no! The Great Fairy!
525710295906267136,2014-10-24 18:07:56,"You're not thinking I'm stealing your song, do you?"
525695197707898880,2014-10-24 17:07:56,Please enjoy the Carnival of Time.
525680101212438529,2014-10-24 16:07:57,"My name's Tatl. So, uh, it's nice to meet you or whatever."
525664997163032577,2014-10-24 15:07:56,"Do you already have bombs, the special product of the Gorons?"
