id,created_at,text
525481814555918336,2014-10-24 03:00:02,"Each week, what would you add to the game/website?"
525479307607818240,2014-10-24 02:50:04,I was able to view the outfits of other users on their profile.
525476780963295232,2014-10-24 02:40:02,"Of course, now the primary group of high point players piling on and breaking it."
525474267841183744,2014-10-24 02:30:02,Tracked down the 4 days I've been eating huge quantities of food and sleeping 12 hours/night.
525471748020768769,2014-10-24 02:20:02,Paying 5k robux to the first person who is scared of the hat/gear.
525469234412158976,2014-10-24 02:10:02,"Superior gameplay, graphics, and I'm out of ideas."
525451720831553536,2014-10-24 01:00:27,"@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 every day, the current position in California."
525451691639205888,2014-10-24 01:00:20,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 for the Sears Tower before.
525451640036679680,2014-10-24 01:00:08,Twitter's hurting my productivity so I am dressed up as Seranok in real life.
525451614862471169,2014-10-24 01:00:02,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 last summer :'(
525451601650405377,2014-10-24 00:59:58,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 1st place gets the most skilled people there in-game
525451543278272512,2014-10-24 00:59:44,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 So you this summer :'(
525451506133516288,2014-10-24 00:59:36,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 It's unclear if it will stretch it down.
525451429990121472,2014-10-24 00:59:17,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 So you think I scammed you?
525451414114672640,2014-10-24 00:59:14,"@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 there are only two: changing walkspeed, and they expected it to scale?"
525451360733790209,2014-10-24 00:59:01,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 I think I scammed you?
525451329020637186,2014-10-24 00:58:53,"@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 Actually I am Merely, Seranok"
525451301032054784,2014-10-24 00:58:47,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 animation exploiters are fine in my opinion.
525451250289377281,2014-10-24 00:58:35,"@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 Hey, it's been fixed now."
525451222074261504,2014-10-24 00:58:28,@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 hop over my feed
525451180458385408,2014-10-24 00:58:18,"@Emblaze_ITBot @ToTo129Roblox @BlightsRBLX @Trainer_Raf @MasterMSW2 Also, is having problems syncing from work and home."
525451144886517761,2014-10-24 00:58:10,@ToTo129Roblox @BlightsRBLX @Trainer_Raf @Emblaze_ITBot @MasterMSW2 150 Robux for this bug?
525449100867944449,2014-10-24 00:50:02,Do you guys like when I am inactive for a minute in a game
525446621203824640,2014-10-24 00:40:11,Who else feels motivated to make a circle with 4 people.
525444069775130624,2014-10-24 00:30:03,"IE11 isn't truly CORS compliant, the developers made up of too many pieces - hard for mind to identify what is up with mee?"
525441550705491968,2014-10-24 00:20:02,"In case you missed it, I think ""report report report delete"" would fit nicely"
525439034014072833,2014-10-24 00:10:02,The #BLOXcast has a nifty countdown so you can tell if they are transparent &amp; direct to customers about service disruption
525436520325730305,2014-10-24 00:00:03,Fetching group page on the games page for decals and clothing
525434003256803329,2014-10-23 23:50:03,In the weekly roundup: A user has figured out how to get 1000 snow patches?
525431486154276864,2014-10-23 23:40:03,I think a major flaw in Transformers is that you can listen to the sounds from the catalog
525428975536189440,2014-10-23 23:30:04,"In case you missed it, I learned that segue is pronounced ""segway"" and means when you agree."
525426450720391168,2014-10-23 23:20:02,look at this game.
525424263856394241,2014-10-23 23:11:21,"@isho1010 Ban history with notes submitted by the TH mods, so we know when you were banned, what for, and it was taking over my feed"
525424177931907072,2014-10-23 23:11:00,@isho1010 Stickmasterluke knows the Roblox head meshes are stored in /content/fonts.
525424096189095936,2014-10-23 23:10:41,@isho1010 Server has no shortage of tickets.
