id,created_at,text
525065717096259585,2014-10-22 23:26:36,Never Give Up!!
525065693763354624,2014-10-22 23:26:31,That is why you should...
525065671055380481,2014-10-22 23:26:25,You will surely accomplish your goal.
525065648322260992,2014-10-22 23:26:20,You have to just try!
525065625538797569,2014-10-22 23:26:15,Why haven't you left yet? leave!!!
525065602822438914,2014-10-22 23:26:09,You're almost there!
525065580139659264,2014-10-22 23:26:04,Think of all the people around you and the people cheering you on!
525065556135661568,2014-10-22 23:25:58,"No, no, no! Don't give up!"
525065533373161472,2014-10-22 23:25:53,Just try a little bit harder!
525065510648438784,2014-10-22 23:25:47,Why are you quitting there?
525065487789465600,2014-10-22 23:25:42,Don't you give up!
525065465027366912,2014-10-22 23:25:36,Don't give up!
525065271443091456,2014-10-22 23:24:50,Never Give Up!!
525065248739295233,2014-10-22 23:24:45,That is why you should...
525065226073280512,2014-10-22 23:24:39,You will surely accomplish your goal.
525065203394691072,2014-10-22 23:24:34,You have to just try!
525065180510949377,2014-10-22 23:24:28,Just go already!!!
525065157291302912,2014-10-22 23:24:23,You're almost there!
525065134499442688,2014-10-22 23:24:17,Think of all the people around you and the people cheering you on!
525065111841812480,2014-10-22 23:24:12,"No, no, no! Don't give up!"
525065088924135424,2014-10-22 23:24:07,Just try a little bit harder!
525065066236743680,2014-10-22 23:24:01,Why are you quitting there?
525065043486859264,2014-10-22 23:23:56,Don't you give up!
525065020799868928,2014-10-22 23:23:50,Don't give up!
519140944181219328,2014-10-06 15:03:40,Never Give Up!!
519140921414549505,2014-10-06 15:03:35,That is why you should...
519140898647855104,2014-10-06 15:03:30,You will surely accomplish your goal.
519140875931119616,2014-10-06 15:03:24,You have to just try!
519140853185409026,2014-10-06 15:03:19,I am standing in a middle of a beautiful tall grass field barefoot with a all white on....i wonder why?
519140827457527808,2014-10-06 15:03:13,You're almost there!
519140804724416512,2014-10-06 15:03:07,Think of all the people around you and the people cheering you on!
519140782058377216,2014-10-06 15:03:02,"No, no, no! Don't give up!"
519140759241379841,2014-10-06 15:02:56,Just try a little bit harder!
519140736491483137,2014-10-06 15:02:51,Why are you quitting there?
519140713838043136,2014-10-06 15:02:46,Don't you give up!
519140691138465792,2014-10-06 15:02:40,Don't give up!
517348788311044096,2014-10-01 16:22:17,Never Give Up!!
517348765573734401,2014-10-01 16:22:12,That is why you should...
517348742677004289,2014-10-01 16:22:06,You will surely accomplish your goal.
517348719818051586,2014-10-01 16:22:01,You have to just try!
517348696397066240,2014-10-01 16:21:55,Don't fav
517348673454219264,2014-10-01 16:21:50,You're almost there!
517348650737876992,2014-10-01 16:21:44,Think of all the people around you and the people cheering you on!
517348627971190784,2014-10-01 16:21:39,"No, no, no! Don't give up!"
517348605208694784,2014-10-01 16:21:34,Just try a little bit harder!
517348582383288321,2014-10-01 16:21:28,Why are you quitting there?
517348559658577922,2014-10-01 16:21:23,Don't you give up!
517348536887701504,2014-10-01 16:21:17,Don't give up!
515913776999452672,2014-09-27 17:20:04,Never Give Up!!
515913754425720832,2014-09-27 17:19:58,That is why you should...
515913731583127552,2014-09-27 17:19:53,You will surely accomplish your goal.
515913708837433344,2014-09-27 17:19:48,You have to just try!
515913686087512065,2014-09-27 17:19:42,"Eventually take out the recycling at least, k?"
515913663203405824,2014-09-27 17:19:37,You're almost there!
515913640395165698,2014-09-27 17:19:31,Think of all the people around you and the people cheering you on!
515913617670438912,2014-09-27 17:19:26,"No, no, no! Don't give up!"
515913593783873536,2014-09-27 17:19:20,Just try a little bit harder!
515913571029745666,2014-09-27 17:19:15,Why are you quitting there?
515913548493750272,2014-09-27 17:19:09,Don't you give up!
515913525693124608,2014-09-27 17:19:04,Don't give up!
515457741867855872,2014-09-26 11:07:57,Never Give Up!!
515457719164096512,2014-09-26 11:07:51,That is why you should...
515457696464523265,2014-09-26 11:07:46,You will surely accomplish your goal.
