id,created_at,text
518966390133243905,2014-10-06 03:30:04,1 Peercoin is now 0.795 USD.  Peercoin has increased by 0.003 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518958841677881345,2014-10-06 03:00:04,1 Peercoin is now 0.792 USD.  Peercoin has decreased by 0 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518951290483654656,2014-10-06 02:30:03,1 Peercoin is now 0.792 USD.  Peercoin has decreased by 0.006 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518943763226324992,2014-10-06 02:00:09,1 Peercoin is now 0.798 USD.  Peercoin has increased by 0.003 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518936192331427841,2014-10-06 01:30:04,1 Peercoin is now 0.795 USD.  Peercoin has decreased by 0.013 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518936189747724289,2014-10-06 01:30:03,"Follow our other account @DarkcoinPrice, for latest Darkcoin prices. Live Price: http://t.co/7DyND2Bsku"
518928642647154688,2014-10-06 01:00:04,1 Peercoin is now 0.808 USD.  Peercoin has increased by 0.009 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518921090928615424,2014-10-06 00:30:03,1 Peercoin is now 0.799 USD.  Peercoin has decreased by 0.004 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518913540925571073,2014-10-06 00:00:03,1 Peercoin is now 0.803 USD.  Peercoin has decreased by 0.001 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518905990809276416,2014-10-05 23:30:03,1 Peercoin is now 0.804 USD.  Peercoin has increased by 0.024 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518898440390979586,2014-10-05 23:00:03,1 Peercoin is now 0.78 USD.  Peercoin has increased by 0.006 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518890890333413377,2014-10-05 22:30:03,1 Peercoin is now 0.774 USD.  Peercoin has increased by 0.015 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518883363927494656,2014-10-05 22:00:09,1 Peercoin is now 0.759 USD.  Peercoin has increased by 0.011 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518875791757549568,2014-10-05 21:30:03,1 Peercoin is now 0.748 USD.  Peercoin has decreased by 0.033 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518868245424517120,2014-10-05 21:00:04,1 Peercoin is now 0.781 USD.  Peercoin has decreased by 0.01 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518860696386170880,2014-10-05 20:30:04,1 Peercoin is now 0.791 USD.  Peercoin has decreased by 0.004 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518853145124818944,2014-10-05 20:00:04,1 Peercoin is now 0.795 USD.  Peercoin has increased by 0.023 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518845595352457216,2014-10-05 19:30:04,1 Peercoin is now 0.772 USD.  Peercoin has decreased by 0.004 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518845592353525761,2014-10-05 19:30:03,"Follow our other account @TheNxtPrice, for latest NXT prices. Live Price: http://t.co/7DyND2Bsku"
518838047119376384,2014-10-05 19:00:04,1 Peercoin is now 0.776 USD.  Peercoin has increased by 0.021 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518830494239035393,2014-10-05 18:30:03,1 Peercoin is now 0.755 USD.  Peercoin has decreased by 0 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518822965257834496,2014-10-05 18:00:08,1 Peercoin is now 0.755 USD.  Peercoin has decreased by 0.002 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518815395692548096,2014-10-05 17:30:04,1 Peercoin is now 0.757 USD.  Peercoin has increased by 0.008 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518807846830366720,2014-10-05 17:00:04,1 Peercoin is now 0.749 USD.  Peercoin has decreased by 0.004 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518807844393467904,2014-10-05 17:00:03,"Follow our other account @DarkcoinPrice, for latest Darkcoin prices. Live Price: http://t.co/7DyND2Bsku"
518800296403693571,2014-10-05 16:30:04,1 Peercoin is now 0.753 USD.  Peercoin has increased by 0.021 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518792747122061312,2014-10-05 16:00:04,1 Peercoin is now 0.732 USD.  Peercoin has decreased by 0.031 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518785218015027200,2014-10-05 15:30:09,1 Peercoin is now 0.763 USD.  Peercoin has decreased by 0 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518777645840875520,2014-10-05 15:00:03,1 Peercoin is now 0.763 USD.  Peercoin has decreased by 0.003 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518770096324349953,2014-10-05 14:30:03,1 Peercoin is now 0.766 USD.  Peercoin has decreased by 0.032 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518762546782666752,2014-10-05 14:00:03,1 Peercoin is now 0.798 USD.  Peercoin has increased by 0.017 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
518754994728603648,2014-10-05 13:30:03,1 Peercoin is now 0.781 USD.  Peercoin has decreased by 0.008 USD in the last 30 mins. Live Price: http://t.co/7DyND2Bsku #peercoin #ppc
