id,created_at,text
468536115368951808,2014-05-19 23:38:09,I'm afraid I'll end up alone. I'm scared that I'm always going to be the 'friend' and not quite somebody's everything.
468396510749552640,2014-05-19 14:23:25,"Truth Is everybody is going to hurt you, you just gotta find the ones worth suffering for."
468258770091388928,2014-05-19 05:16:05,Never lose yourself while trying to hold on to someone who doesn’t care about losing you.
468154917022990338,2014-05-18 22:23:24,I just wanna see you. Hold you. Hug you. Touch you. Kiss you. Cuddle with you. Love you. Be there with you..
468014911180644352,2014-05-18 13:07:04,I’m so jealous of people who get to see you every day.
467876562700759040,2014-05-18 03:57:19,Every girl deserves a guy who looks at her everyday like its the first time he saw her.
467736373911244801,2014-05-17 18:40:16,Don’t trust too much. Don’t love too much. Don’t hope too much. Because that too much can hurt you so much.
467669644048744449,2014-05-17 14:15:06,"If you tickle me, I'm not responsible for your injuries."
467520267455959040,2014-05-17 04:21:32,"""Lets watch a scary movie!"" *3 hours later* ""Dude, walk me to the bathroom..."""
467370649229348864,2014-05-16 18:27:00,"Rihanna: ""What's my name?"" Eminem: ""Rudeboy?"" *Rihanna points gun at him* Eminem: ""I'm not afraid."" Rihanna: ""I love the way you lie."""
465864414441115649,2014-05-12 14:41:46,I would rather be with someone who's clingy then someone who doesn't even give a shit about me.
465719868558278656,2014-05-12 05:07:23,"Sometimes, the only reason why you won't let go of what's making you sad is because it was the only thing that made you happy."
465574330806448128,2014-05-11 19:29:05,"In life: you're going to be left out, talked about, lied to, and used, but you have to decide who's worth your tears and who's not."
465429764379926528,2014-05-11 09:54:37,Life would be so much easier if we only fell in love with people that would love us back.
465285086741405696,2014-05-11 00:19:43,I love deep. I fight hard. I trust too much. I forgive often. l learn a lot. I grow strong.
465166435585515520,2014-05-10 16:28:15,"Everyday I'm going to get up &amp; live. I'm going to breathe, laugh, &amp; even smile. And maybe, one day, I'll have a reason to do it."
464802776674217984,2014-05-09 16:23:12,"I trust you, but I don't trust her."
464689491874037760,2014-05-09 08:53:03,Don't hit on a girl if you know she's taken.
464672144794738688,2014-05-09 07:44:07,I wish I can go back in time and change a few things.
464638627080069120,2014-05-09 05:30:55,Your smile makes me smile ♥
464600995126063104,2014-05-09 03:01:23,7 Keys to a great relationship: -Friendship -Love -Freedom -Honesty -Trust -Understanding -Communication.
464567057104003072,2014-05-09 00:46:32,"I don't miss you. I miss the laughs, the smiles, the good times, and the way things were."
464471402897084417,2014-05-08 18:26:26,The sad moment when you find an old conversation between you and someone you don't talk to anymore
464453718436356096,2014-05-08 17:16:10,"Those text messages you never want to erase, because it's so special and makes you smile every time you re-read it."
464333411822211074,2014-05-08 09:18:06,"Boys will break your heart, Real men will pick up the pieces."
464290514502574080,2014-05-08 06:27:39,"When a guy looks at you for longer than a second, he's definitely thinking something about you"
464238349629136896,2014-05-08 03:00:22,"Once you're mine, you'll always be mine. I promise."
464184110454284288,2014-05-07 23:24:50,"I like conversations where I don't have to think about what to say, it just comes naturally."
464042184635731968,2014-05-07 14:00:52,"I cared, you didn't. I cried, you laughed. I was hurt, you smiled. I moved on, you realized what you had. Too late."
464017450351083520,2014-05-07 12:22:35,Nothing hurts more than being disappointed by the person you thought would never hurt you.
463996247292919809,2014-05-07 10:58:20,"Just because we haven't been talking, that doesn't mean I haven't been thinking about you all the time."
463919129196367872,2014-05-07 05:51:54,"Ask her about her day. If she had a bad one, cheer her up. If she had a good day, make it even better."
463879745290006528,2014-05-07 03:15:24,I fell asleep thinking of you.
463822962156503040,2014-05-06 23:29:46,"If fear didn't exist, I'd run up to you, kiss you and tell you that I love you."
463797403674365954,2014-05-06 21:48:12,I text you because I like you.
463779685768261632,2014-05-06 20:37:48,I just like spending time with you. It doesn't matter what we do.
463521721958424576,2014-05-06 03:32:44,"Texting 5 people &amp; telling 4 of them you’re going to bed, just so you can spend the rest of the night texting the one person that you like"
463385158935007232,2014-05-05 18:30:05,I hate to see my mom cry.
463216184817504256,2014-05-05 07:18:39,The reason why we hold on to something so tight is because we fear something so great won’t happen twice.
462584698275774464,2014-05-03 13:29:21,I'm gonna walk away and it's up to you to say how far.
462441872745439233,2014-05-03 04:01:48,"And there's nothing else I can say, I wish he'd never looked at me that way."
462297647009636352,2014-05-02 18:28:42,Sometimes it's not easy to forgive and forget.
462154286411939841,2014-05-02 08:59:02,"The love you can't have lasts the longest, feels the strongest and hurts the most."
462010602987462656,2014-05-01 23:28:06,"If you're looking for love, I'm standing right in front of you."
461992357034881024,2014-05-01 22:15:35,"Maybe the reason why you have to stop loving a person is because fate chose both of you to be friends, when forever is a lot mo"
461974210697375744,2014-05-01 21:03:29,You have to remember that life isn’t easy. Love isn’t easy. And relationships sure as hell aren’t easy.
461955970537910272,2014-05-01 19:51:00,"And if all those words you said to me actually meant something, maybe we wouldn't be standing where we are today."
461937427112681472,2014-05-01 18:37:19,"It's like, once you've been hurt, you're so scared to get attached again."
461919177112956928,2014-05-01 17:24:48,"No measure of time with you will be long enough, but we'll start with forever."
461900876245114881,2014-05-01 16:12:05,It is truly great to smile again for no apparent reason.
461882427296595969,2014-05-01 14:58:46,"You almost convinced me you’d stick around, but everyone knows almost doesn't count."
461864156837068804,2014-05-01 13:46:10,"There will come a time when you're infatuated, with a single soul."
461845569174896642,2014-05-01 12:32:19,"And its the way you got me head over heels for you, the way you get me like nothing or no one else ever has."
461827306114150400,2014-05-01 11:19:44,It's better to have your heart broken once by walking away then to stay and have it broken over and over again.
461809108119592960,2014-05-01 10:07:26,That feeling you get when you run into your Ex and you are looking your best.
461790878512590848,2014-05-01 08:54:59,"The worst thing you can do for love is deny it; so when you find that special someone, don't let anyone or anything to get in your way."
461772714470957056,2014-05-01 07:42:49,"If you hold back your feelings because you are afraid of getting hurt, you end up hurting anyway."
461754035649773568,2014-05-01 06:28:35,"Now that you can't have me, you suddenly want me."
461735588706525184,2014-05-01 05:15:17,"See there's this place in me where your fingerprints still rest, your kisses still linger, and your whispers softly echo."
461701342734479361,2014-05-01 02:59:12,"Dear God, I know I am not perfect but thank you for loving me anyway."
461683116474519552,2014-05-01 01:46:47,"I hate immature girls with a new boyfriend every week saying ""I love you."""
461664849400172544,2014-05-01 00:34:12,"I'm sorry I can't be that perfect girl you've always dreamed of. But I don't know why I'm apologizing. It's your loss, not mine."
461646938182397952,2014-04-30 23:23:01,"Don’t ever leave the one you love for the one you like, because the one you like will leave you for the one they love."
461627686150881281,2014-04-30 22:06:31,"""Sorry"" is not a glue, it doesn't always fix everything."
461609069225070592,2014-04-30 20:52:33,"When you are fighting, remember one thing. Real relationships aren’t perfect and perfect relationships aren’t real."
461590276625035264,2014-04-30 19:37:52,"When i text you, it's cause i miss you. when i don't text you, it's cause i'm waiting for you to miss me ..."
461571776120909824,2014-04-30 18:24:21,"If I actually spoke my mind, I'd be in deep trouble."
461553560833261568,2014-04-30 17:11:58,Sometimes you need a bad relationship so that you can appreciate a good one.
461535329036414977,2014-04-30 15:59:32,"I don't have a short temper, I just have a damn low tolerance for bullshit."
461517455412953089,2014-04-30 14:48:30,"Dear Boys, Until you start having periods, babies, and watching the one you love be with someone else, you aren't as strong as you think."
461499110835904512,2014-04-30 13:35:36,"If you stick by my side through my worst times, then you deserve to be with me through my good times."
