id,created_at,text
526264840696786944,2014-10-26 06:51:30,@DBZNappa You're as weak as saibamen
526262521963876352,2014-10-26 06:42:17,IT'S OVER NINE THOUSAND!
526254959902224384,2014-10-26 06:12:14,"You are a fool! I'm going to crush you, and throw you into the wind!"
526247357004804096,2014-10-26 05:42:01,"You shut your mouth! You disrespectful toy! I'll rip you all three to pieces, who's first? You boy? or You? you even you?"
526239856712630272,2014-10-26 05:12:13,you worthless low class warrior i am a Saiyan Elite Prince Vegeta and this is Nappa my bitch who does all the shit i don't wanna do
526232253974577152,2014-10-26 04:42:00,Oh look another filthy human follows the noble Prince of all Saiyan's
526224891570167809,2014-10-26 04:12:45,KAKAROIT!!!! HOW DARE YOU OFFER MY WIFE TO THIS OLD PERVERT!!! I'LL MURDER YOU -chokes Goku- YOU BASTARD!!!
526217251045650432,2014-10-26 03:42:23,So you're a Saiyan then? THEN SHOW ME YOUR POWER!!!!
526209816281112577,2014-10-26 03:12:51,I PRINCE VEGETA WILL MURDER YOU ALL AHAHAHAHAHAHAHAHA EVEN YOU NAPPA
526202139257749504,2014-10-26 02:42:21,@DBZNappa GODDAMN IT NAPPA
526194617381687296,2014-10-26 02:12:27,GODDAMN IT NAPPA @DBZNAPPA
526138387372052480,2014-10-25 22:29:01,IT'S OVER NINE THOUSAND!!!!!
526125884378316801,2014-10-25 21:39:20,IT'S OVER NINE THOUSAND!!!!
526113843081015296,2014-10-25 20:51:29,@DBZNappa FUCK YOU POWER LEVEL'S ARE BULLSHIT!!! GODDAMN IT NAPPA
526111445004468226,2014-10-25 20:41:57,IT'S OVER NINE THOUSAND!!!
526106291152748544,2014-10-25 20:21:29,@DBZNappa Begone human i have no time to play with you go play with Nappa
526103911954788352,2014-10-25 20:12:01,IT'S OVER NINE THOUSAND!!
526098740860297217,2014-10-25 19:51:28,@DBZNappa YES LET'S ALL BECOME SUPER SAIYAN'S YES YES THE LEGEND OF THE LEGENDARY SUPER SAIYAN IS A MERE PLAYTHING FOR CHILDREN NOW
526096339839373312,2014-10-25 19:41:56,IT'S OVER NINE THOUSAND!
526088809482428416,2014-10-25 19:12:01,"You are a fool! I'm going to crush you, and throw you into the wind!"
526081235466989569,2014-10-25 18:41:55,"You shut your mouth! You disrespectful toy! I'll rip you all three to pieces, who's first? You boy? or You? you even you?"
526073784499843072,2014-10-25 18:12:18,you worthless low class warrior i am a Saiyan Elite Prince Vegeta and this is Nappa my bitch who does all the shit i don't wanna do
526066127550431232,2014-10-25 17:41:53,Oh look another filthy human follows the noble Prince of all Saiyan's
526058618345381889,2014-10-25 17:12:02,KAKAROIT!!!! HOW DARE YOU OFFER MY WIFE TO THIS OLD PERVERT!!! I'LL MURDER YOU -chokes Goku- YOU BASTARD!!!
526051039103827968,2014-10-25 16:41:56,So you're a Saiyan then? THEN SHOW ME YOUR POWER!!!!
526043517869502464,2014-10-25 16:12:02,I PRINCE VEGETA WILL MURDER YOU ALL AHAHAHAHAHAHAHAHA EVEN YOU NAPPA
526035934941179904,2014-10-25 15:41:54,@DBZNappa GODDAMN IT NAPPA
526028429347418114,2014-10-25 15:12:05,GODDAMN IT NAPPA @DBZNAPPA
525985495788961792,2014-10-25 12:21:29,@DBZNappa Kio-what!?
525983152339038209,2014-10-25 12:12:10,IT'S OVER NINE THOUSAND!!!!!
525977945240633344,2014-10-25 11:51:29,@DBZNappa YES LET'S ALL BECOME SUPER SAIYAN'S YES YES THE LEGEND OF THE LEGENDARY SUPER SAIYAN IS A MERE PLAYTHING FOR CHILDREN NOW
525975550586679296,2014-10-25 11:41:58,IT'S OVER NINE THOUSAND!!!!
525968056598548480,2014-10-25 11:12:11,IT'S OVER NINE THOUSAND!!!
525962850854895616,2014-10-25 10:51:30,"@DBZNappa You're just a trickster, i am a warrior.. the Saiyan Prince.....VEGETA!!!!!"
525960462853083136,2014-10-25 10:42:00,IT'S OVER NINE THOUSAND!!
525955299723579393,2014-10-25 10:21:29,"@DBZNappa  Heh. Don't worry about it. We couldn't play. Not here. When we fight, we'll need a whole planet for an arena"
525952941585219584,2014-10-25 10:12:07,IT'S OVER NINE THOUSAND!
525945346707312641,2014-10-25 09:41:56,"You are a fool! I'm going to crush you, and throw you into the wind!"
525937870771478529,2014-10-25 09:12:14,"You shut your mouth! You disrespectful toy! I'll rip you all three to pieces, who's first? You boy? or You? you even you?"
525930259812589568,2014-10-25 08:41:59,you worthless low class warrior i am a Saiyan Elite Prince Vegeta and this is Nappa my bitch who does all the shit i don't wanna do
525922778650664961,2014-10-25 08:12:16,Oh look another filthy human follows the noble Prince of all Saiyan's
