id,created_at,text
526463289560420352,2014-10-26 20:00:04,RT @GirlLDN_: If you start a sentence with 'I'm not a feminist but..' I can't deal with you #feminist
526428053510316032,2014-10-26 17:40:03,"RT @skeIetoning: ""I'm not a feminist but--"" if you have to say these words before you talk about women's rights then good news! You're a fe…"
526423018428715009,2014-10-26 17:20:02,"RT @v_supreme93: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/RjrwqxT7r5"
526372720804892673,2014-10-26 14:00:10,"RT @AidanSheehan1: I like this blog post on why saying ""I'm not a feminist but i'm a humanist/egalitarian/equalist/whatever"" is wrong http:…"
526312293433634816,2014-10-26 10:00:03,"RT @bluesclou: ""i'm not a feminist but i support equality!"" PLEASE TELL ME YOU'RE JOKING"
526261956056190976,2014-10-26 06:40:02,RT @lor_to_the_uhh: I hate people that degrade females. I'm not a feminist. But I'm also not a rare steak. Thanks.
526171361371504640,2014-10-26 00:40:03,"RT @Nameless844: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/SNzdjmFBUA"
526121030675628032,2014-10-25 21:20:03,"RT @letsplaymurderr: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/G0M0msa9W0"
526080765852151810,2014-10-25 18:40:03,"RT @michael65814459: I'm not a feminist, but she still has no clothes on. So no women shouldn't get offended if I consider this as sexual. …"
526075732569915393,2014-10-25 18:20:03,"RT @r3ginafalange: ""I'm not a feminist but-"" no just stop talking for the sake my of mental health don't say a fucking word"
526070721148370944,2014-10-25 18:00:08,"RT @ShadowDhampirEl: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/1svYXk8s32"
526060632911937537,2014-10-25 17:20:03,"RT @kappolley: ""I’m not a feminist but I believe men and women are equal""

?????     ?      ????      ?
?       ????    ?

that’s what a fe…"
526055601017978880,2014-10-25 17:00:03,"RT @AnnoyingUnicorn: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/wsgbHtSRaE"
525849239608246277,2014-10-25 03:20:03,RT @____Petrichor: I'm not a feminist but the little girl in the pink is a fucking badass 😂😂😂
525844211229151233,2014-10-25 03:00:04,"RT @Shelbs2fab4u: ""I'm not a feminist but I believe women are equal"" ???????????????"
525803938051022848,2014-10-25 00:20:02,RT @samiwiches: Landau was like I'm not a feminist but... When everything she said about slutty costumes were against feminism.
525798908115841024,2014-10-25 00:00:03,"RT @Sarcasteph: ""i'm not a feminist but....."" BUT YOU ARE IT DOESN'T MEAN WOMEN ARE BETTER THAN MEN OMG"
525793872753225728,2014-10-24 23:40:02,RT @Imnotfeelingit: Some women disavow #feminism while benefiting from it! I'm not a feminist but .... #yesallwomen #womenagainstfeminism h…
525763674011869186,2014-10-24 21:40:02,"RT @abumustashriq: ""...don't get me wrong... I'm *not* a feminist... but..."" (young woman outside one of the best institutions of higher le…"
525758638561185793,2014-10-24 21:20:02,"RT @minaliu: When women start their sentences with ""I'm not a feminist, but..."" cc: @kayestee http://t.co/zvN2qrAf57"
525728442730688512,2014-10-24 19:20:02,"RT @RaqelCrz: I'm not a Muslim girl, i'm not a feminist. But when the women is abuse's object, start the faith for everyone. #MoreThanDuaa"
525683145392545792,2014-10-24 16:20:03,RT @SgtPooptickler: I'm not a feminist but my anaconda is. Sex is really weird.
525678112961740800,2014-10-24 16:00:03,"RT @Cornyao: Taylor Swift. J'avais lu un article y'a p-e un an sur les ""I'm not a feminist but"" dont elle faisait partie et là elle se décl…"
525673078077267968,2014-10-24 15:40:03,"RT @madi_thomlinson: It makes me really, really sad when girls find the need to begin a sentence with, ""I'm not a feminist, but..."""
525668042190360576,2014-10-24 15:20:02,"RT @mallorymcfarlan: ""I'm not a feminist but women should be paid, treated, and respected equal to men."" ??????????????? ok"
525491884245147648,2014-10-24 03:40:03,RT @KatelynJipson09: Everyone must watch this! Hahahah I'm not a feminist but this is hilarious 😂😂 http://t.co/zBmAdS1diu
525476782238363648,2014-10-24 02:40:02,RT @HotShotRollette: Yes please tell me about your male ideal of women's  morality. You just don't  get it. I'm  not a feminist  but I'm  n…
525451619635576834,2014-10-24 01:00:03,"RT @HeyyHoItsJo: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/jXy1ra0kM1"
525446584356847618,2014-10-24 00:40:02,"RT @dare2misbehave: A MUST READ! 

""Woman: I’m not a feminist but.…

Feminism: Oh hey! Hi. So sorry to interrupt, but I couldn’t help... ht…"
525441552416772096,2014-10-24 00:20:03,"RT @UniteWomenCO: A MUST READ! 

""Woman: I’m not a feminist but.…

Feminism: Oh hey! Hi. So sorry to interrupt, but I couldn’t help... http…"
525436520816451587,2014-10-24 00:00:03,RT @KaydeenMarie: I'm not a feminist but I decided to watch only one of @Femitheist videos regarding mainstream feminism...
525416385711988736,2014-10-23 22:40:02,"RT @niamhWonderland: ""I’m not a feminist but I believe men and women should be equal"". Excuse me? 
that’s what a feminist is?"
525411351792193537,2014-10-23 22:20:02,"RT @thur5day: #hilarious http://t.co/JiiIngxSeo | johnlockinthetardiswithdestiel:

""I’m not a feminist but I believe men and ... http://t.c…"
525371085962117120,2014-10-23 19:40:02,"RT @LadyHawkman: Side-eyeing a friend on facebook for sharing the little girl fckh8 video with the comment ""I'm not a feminist, but this is…"
525366054214967296,2014-10-23 19:20:02,RT @ddickyyyy: I'm NOT a feminist but I agree with everything that feminist video just said but IM NOT A FEMINIST
525361022534971395,2014-10-23 19:00:03,"RT @bauer_kayla: ""I'm not a feminist but..."" *shares feminist idea* IF YOU BELIEVE IN GENDER EQUALITY YOU CAN IDENTIFY AS A FEMINIST I PROM…"
525350955421032448,2014-10-23 18:20:03,"RT @lillianjames7: johnlockinthetardiswithdestiel: ""I’m not a feminist but I believe men and women are equal""... http://t.co/KSNo9yUIXG"
525340887329828865,2014-10-23 17:40:02,RT @_Ashtons_Llama_: I'm not a feminist. But I'm not the minority. I'm not small. I'm not weak. Just because I'm a girl doesn't mean you're…
525290557506330624,2014-10-23 14:20:03,RT @Imnotfeelingit: So you say I said I'm not a feminist but can't prove it! Typical! #yesallwomen @Dogsplained @sh00ter_d @AKGingaNinja
