id,created_at,text
526131097990881280,2014-10-25 22:00:03,Rancid cunthole
526127825527795713,2014-10-25 21:47:03,@BallsackWallace is a horny wank stain
526120277634449408,2014-10-25 21:17:03,@BallsackWallace is a pigfucking sperm
526115996411916288,2014-10-25 21:00:02,Felch dick
526112730873626624,2014-10-25 20:47:04,@BallsackWallace is a cheese cunty
526105176273596416,2014-10-25 20:17:03,@BallsackWallace is a cunty cuntrag
526100898716868608,2014-10-25 20:00:03,Anal guzzler
526097625997918208,2014-10-25 19:47:03,@BallsackWallace is a slutty cunthole
526090076296871936,2014-10-25 19:17:03,@BallsackWallace is a rampant smoker
526085796508741632,2014-10-25 19:00:02,Crusty cunt
526082276409769985,2014-10-25 18:46:03,@BallsackWallace is a arselicking farmer
526074724389224449,2014-10-25 18:16:02,@BallsackWallace is a fucking shitter
526070696884314112,2014-10-25 18:00:02,Rimming cuntface
526067176072306690,2014-10-25 17:46:03,@BallsackWallace is a anal person
526059392773656576,2014-10-25 17:15:07,@BallsackWallace is a flap spanker
526055608764862464,2014-10-25 17:00:05,Penis wankstain
526051827666911232,2014-10-25 16:45:03,@BallsackWallace is a arsing twonk
526044035644153856,2014-10-25 16:14:06,@BallsackWallace is a swollen spunkbubble
526040512839811072,2014-10-25 16:00:06,Total shagger
526036498974769153,2014-10-25 15:44:09,@BallsackWallace is a bent arsebiscuit
526028948032225280,2014-10-25 15:14:09,@BallsackWallace is a sausage foreskin
526025410157756416,2014-10-25 15:00:05,Septic bawbag
526021124111753216,2014-10-25 14:43:03,@BallsackWallace is a puss filled bollock
526013069705879552,2014-10-25 14:11:03,@BallsackWallace is a slippery turdburglar
526010300718649344,2014-10-25 14:00:03,Festering turd burglar
526005267570630656,2014-10-25 13:40:03,@BallsackWallace is a masturbating titwank
525997467478028288,2014-10-25 13:09:03,@BallsackWallace is a flacid banana
525995954378670081,2014-10-25 13:03:02,@RuckFuIes is a shitfaced wanker
525995202046328832,2014-10-25 13:00:03,Flappy sniffer
525980105927962626,2014-10-25 12:00:04,Cumsucking girl
525965004164845569,2014-10-25 11:00:03,Cumsucking smeg
525949899649871873,2014-10-25 10:00:02,Fucky twatter
525934801510203392,2014-10-25 09:00:02,Arsing arsebadger
525919701906374658,2014-10-25 08:00:02,Scrotal nuts
525904600873046017,2014-10-25 07:00:02,Wobbly cumbucket
525889504130113536,2014-10-25 06:00:03,Ginger horse
525874402270142464,2014-10-25 05:00:02,Furtive squirrel
525859305657208832,2014-10-25 04:00:03,Minge turdburglar
525844208884539392,2014-10-25 03:00:03,Rimming wanker
525829114934988803,2014-10-25 02:00:05,Damn bucket
525814006519717889,2014-10-25 01:00:02,Encrusted stool
525798907071455232,2014-10-25 00:00:02,Pissing ferret
525793371735203840,2014-10-24 23:38:03,@gazbeastmma is a cunting house
525785571516755969,2014-10-24 23:07:03,@gazbeastmma is a spunk spunkbubble
525783810051694592,2014-10-24 23:00:03,Titty hair
525768709114433538,2014-10-24 22:00:03,Spasticated plum
525753611666870272,2014-10-24 21:00:03,Fudgepacking foreskin
525738511727853568,2014-10-24 20:00:03,Oozing biscuit
525723409934995456,2014-10-24 19:00:03,Mingy house
525708311283654656,2014-10-24 18:00:03,Utter mouth
525693211881504769,2014-10-24 17:00:03,Stinky nobjockey
525678111783149568,2014-10-24 16:00:03,Weeping shit
525663012561362944,2014-10-24 15:00:03,Dicking guzzler
525658738607542272,2014-10-24 14:43:04,@Stearmanology is a felching maggot
525647911569588225,2014-10-24 14:00:02,Flange mother
525632817422946304,2014-10-24 13:00:04,Sodding snotgobbler
525620735147278336,2014-10-24 12:12:03,@iJJkickflip is a kiddy wart
525617713327378433,2014-10-24 12:00:03,Dripping bush
525602618031505408,2014-10-24 11:00:04,Giant knuckle
525587514644770816,2014-10-24 10:00:03,Sausage goat
525572413623648256,2014-10-24 09:00:02,Teabagging shiteater
525568390296260610,2014-10-24 08:44:03,@pont62 is a pustulating starfish
525557313323954178,2014-10-24 08:00:02,Weeping fucker
525543978293526528,2014-10-24 07:07:03,@lieutfaber is a shite bollock
525542215834411008,2014-10-24 07:00:03,Cum Guzzling nazi
525536178498719745,2014-10-24 06:36:03,@lieutfaber is a turd cumguzzler
525533657323565057,2014-10-24 06:26:02,@Aimz_ICR is a nasty twunt
525527116486815744,2014-10-24 06:00:03,Putrid freak
525519818070695936,2014-10-24 05:31:02,@Aimz_ICR is a dicking fuckpig
525512268109594624,2014-10-24 05:01:02,@Aimz_ICR is a frothing moron
525512016916918272,2014-10-24 05:00:03,Funking bandit
525496921201594368,2014-10-24 04:00:03,Windowlicking cuntlicker
525481814895640576,2014-10-24 03:00:02,Idiotic licker
525466718203019264,2014-10-24 02:00:02,French sandwich
525451622005346309,2014-10-24 01:00:03,Sausage scrote
525436517993680898,2014-10-24 00:00:02,Wanky knob jockey
