id,created_at,text
344560678620770305,2013-06-11 21:04:02,@snokaa Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/lfApnOicfI
344560672786489344,2013-06-11 21:04:00,@dtdavis Happy 5th TwBirthday! You've been around since 12 June 2008! http://t.co/uvMvuVc9qF
344560666780266497,2013-06-11 21:03:59,@Lagartija_Calva Happy 0th TwBirthday! You've been around since 11 June 2013! http://t.co/eqO5Xr8dbC
344560660958552064,2013-06-11 21:03:57,@Q8JAWs Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/n1grJKhZ4E
344560655203987456,2013-06-11 21:03:56,@InSickCure Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/z7P194KcMy
344560649164177409,2013-06-11 21:03:55,@interior_animus Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/WUvXk8hp32
344560643086635008,2013-06-11 21:03:53,@nmabcd Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/MQtslWFcdQ
344560639546621952,2013-06-11 21:03:52,@Qlb_Almas Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/bXovCHHcvb
344560631334182912,2013-06-11 21:03:50,@juventina_4ever Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/77qzg7lFb9
344560625663488000,2013-06-11 21:03:49,@whiteHeart Happy 5th TwBirthday! You've been around since 12 June 2008! http://t.co/qSXRk5g9hp
344560619548180482,2013-06-11 21:03:47,@_N0RI Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/E8HvYQxrWc
344560613323837440,2013-06-11 21:03:46,@ynsgln_ Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/1RfC4VIWG7
344560609465081858,2013-06-11 21:03:45,@osochki Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/9aTbpSVnOr
344560601881772034,2013-06-11 21:03:43,@rhooma15 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/VC9EoYGgch
344560596857004032,2013-06-11 21:03:42,@aboda3123 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/qLmiSpqTPe
344560590066442240,2013-06-11 21:03:40,@OmidJz Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/AotAeD9BFJ
344560584244727808,2013-06-11 21:03:39,@NAWAF_3 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/2D9dYaJjSr
344560577923919873,2013-06-11 21:03:38,@Sinlegend1376 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/dIJmibdc6Y
344560572471341056,2013-06-11 21:03:36,@bibuyukfest Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/Vu5d1G2qL1
344560566523813888,2013-06-11 21:03:35,@Moody990 Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/z9xfKJkXUm
344560561192849408,2013-06-11 21:03:34,@oleksavolyanik Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/GOUlAlOgK1
344560554658107392,2013-06-11 21:03:32,@_ihussain Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/VhAqs5utoV
344560548681244674,2013-06-11 21:03:31,@AbdullahAljalal Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/VQQ9SJaZ9I
344560542754684929,2013-06-11 21:03:29,@Dima_zt Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/eJX0zoxOQu
344560537348235264,2013-06-11 21:03:28,@angel_fofo10 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/fsjqC5SQ0F
344560531023204352,2013-06-11 21:03:26,@osama_alonzi Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/IP67Txm5r2
344560525167968258,2013-06-11 21:03:25,@SadheeqAli Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/xLTI7M5tXZ
344560519820234752,2013-06-11 21:03:24,@lalalavrik Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/X0dj0YbR8y
344560513352601603,2013-06-11 21:03:22,@renad_MJ Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/kjwAontEbo
344560508499808256,2013-06-11 21:03:21,@senorita1221 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/HuX9YU52oL
344560501268832256,2013-06-11 21:03:19,@MrAbdulaziz__ss Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/d6cC0O5p9A
344560495321313280,2013-06-11 21:03:18,@lamo__0 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/z0gwt1QooG
344560490040655873,2013-06-11 21:03:17,@abdullh_saod Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/jXLjeHmJG7
344560484093149185,2013-06-11 21:03:15,@coolthing76 Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/mFLHX4gSgj
344560477713596416,2013-06-11 21:03:14,@LAMIA205 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/V4jelDldCJ
344560472118411264,2013-06-11 21:03:12,@MahdiPonline Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/3Dx6j307Sn
344560466112172032,2013-06-11 21:03:11,@janahi Happy 5th TwBirthday! You've been around since 12 June 2008! http://t.co/WtYdc0rviZ
344560460575678464,2013-06-11 21:03:10,@Bisoo2222 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/Co8nWum5p8
344560454439432193,2013-06-11 21:03:08,@7mO99OoD Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/vBleIDx8jc
344560448911339521,2013-06-11 21:03:07,@mariammathomas5 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/GI9D41Thcm
344560442967990272,2013-06-11 21:03:05,@Hadii24 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/EjQMBSq0oJ
344560437133725696,2013-06-11 21:03:04,@apopelo Happy 5th TwBirthday! You've been around since 12 June 2008! http://t.co/dSroDnbzuX
344560432276713472,2013-06-11 21:03:03,@R_ENEZI Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/0OswuapHHl
344560425016381440,2013-06-11 21:03:01,@LOSHAH_H Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/X7okucjnK7
344560419702190080,2013-06-11 21:03:00,@Manall_5 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/iHeRptl31Y
344560413528178689,2013-06-11 21:02:58,@HAS00N_A Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/48gPTaxjCQ
344560406829862912,2013-06-11 21:02:57,@zunera Happy 6th TwBirthday! You've been around since 12 June 2007! http://t.co/hUm4EGrL0y
344560401515704320,2013-06-11 21:02:56,@MusaadAlmisfer Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/LjM4xalmgN
344560395266174976,2013-06-11 21:02:54,@heavenlynot Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/XPhIJ3QyK4
344560389373186048,2013-06-11 21:02:53,@em99ad Happy 5th TwBirthday! You've been around since 12 June 2008! http://t.co/gOLA8B4hMk
344560383857664002,2013-06-11 21:02:51,@Hi_bblnia Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/c1SjmiK4OY
344560377641725952,2013-06-11 21:02:50,@nj_am2 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/gljp9Ef0yi
344560371966808065,2013-06-11 21:02:48,@daroon01 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/AmdCNnZiXe
344560365671161857,2013-06-11 21:02:47,@Mohd_A_Z Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/e0ohUm8kuv
344560360113704962,2013-06-11 21:02:46,@Shawagh99 Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/uXN3NJ9DnJ
344560354354933760,2013-06-11 21:02:44,@D_AlManna3i Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/cjwj1xeJBk
344560348164157440,2013-06-11 21:02:43,@aroojay Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/rcnHxK8f9B
344560342619262976,2013-06-11 21:02:41,@FMT53x Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/5QdQHTnzVJ
344560336646590464,2013-06-11 21:02:40,@SaskoAlFayez Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/dThuzoXDVl
344560331621801985,2013-06-11 21:02:39,@MahaAlmutairi_ Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/9VpkiK8Z07
344560324239835138,2013-06-11 21:02:37,@ledolce1 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/gIVxdjOJu5
344560318879498241,2013-06-11 21:02:36,@LeoSalo7 Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/R5MClYnC85
344560312554500096,2013-06-11 21:02:34,@AIB300 Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/dEHu4zlC5i
344560306548252672,2013-06-11 21:02:33,@NajimGheida Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/X3ROij0ucQ
344560300172914688,2013-06-11 21:02:31,@KAnastaisa Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/yTCU85sVJa
344560294326050817,2013-06-11 21:02:30,@ashjan_ Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/Z480oGewMs
344560288198164480,2013-06-11 21:02:28,@DannyShahouri Happy 3rd TwBirthday! You've been around since 12 June 2010! http://t.co/jpaknXAscS
344560282644918272,2013-06-11 21:02:27,@dr_misk Happy 2nd TwBirthday! You've been around since 12 June 2011! http://t.co/A9wCdsZ9Bj
344560276718370818,2013-06-11 21:02:26,@TheShoosh Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/6I4kw89x8k
344560272041721856,2013-06-11 21:02:25,@anoud_n Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/byNUnuakh4
344560265121120256,2013-06-11 21:02:23,@Sci_Fi_Superfly Happy 4th TwBirthday! You've been around since 12 June 2009! http://t.co/BZiO8z5UdZ
344560258653507584,2013-06-11 21:02:21,@MonSquared Happy 1st TwBirthday! You've been around since 12 June 2012! http://t.co/JYSak13xNV
