id,created_at,text
468507565295271937,2014-05-19 21:44:42,When boys can make you smile easily.
468491349700796416,2014-05-19 20:40:16,Sorry I actually gave a damn about you. Won't happen again..
468441479682068480,2014-05-19 17:22:06,I will always have a thing for you.
468400079351476225,2014-05-19 14:37:36,"Real girlfriend will be on your ass, text you everyday, fight with you, cares about you, listens to you, and loves you like no girl has."
468370228703817728,2014-05-19 12:38:59,I wish I could read people's minds.
468354191375626240,2014-05-19 11:35:15,Sometimes you keep your feelings to yourself because it's hard for someone else to understand them.
468311972224573441,2014-05-19 08:47:29,My life. My choices. My mistakes. My lessons.
468284420869222400,2014-05-19 06:58:00,Please don't fall for someone else.
468266922862059520,2014-05-19 05:48:29,"If you find a girl that is willing to go through hell just to keep the relationship going, you really shouldn't take her love for granted."
468245937119170561,2014-05-19 04:25:05,Missing someone and not being able to see them is the worst feeling ever.
468229671876718593,2014-05-19 03:20:27,"When a guy can handle your flaws, love you on your moody days, and say you’re beautiful in your sweatpants and PJs, he’s worth loving. ❤"
468196910784712704,2014-05-19 01:10:16,"I wish I could explain to you how I felt, because every night before I go to bed, you're all I think about."
468180055881809921,2014-05-19 00:03:18,"If it still hurts, you still care."
468151340036669440,2014-05-18 22:09:11,I can't believe that I found you.
468135271163113473,2014-05-18 21:05:20,If she gives you a second chance she's a real keeper now be a man and show her why she should keep you.
468110635750813698,2014-05-18 19:27:27,"Finding someone worth waking up to, is better than finding someone to sleep with."
468094938018635777,2014-05-18 18:25:04,"When a girl says ""I'm done"", it usually means ""fight for me""."
468058899589775361,2014-05-18 16:01:52,You still mean everything to me.
468010161949274112,2014-05-18 12:48:12,"A girl can be your best friend, wife, worst enemy, or worst nightmare. It just depends on how you treat her."
467988430526238721,2014-05-18 11:21:51,That amazing feeling when they text you first.
467934297433714688,2014-05-18 07:46:44,"I'm sorry I can't just walk away like that, because unlike you, my feelings were real."
467876501518430208,2014-05-18 03:57:05,Don't say you miss me when you don't even show it.
467820684052135936,2014-05-18 00:15:17,"I love you, but I hate you. I miss you, but I'm better off without you. I want you out of my life, but I never want to let you go."
467804766836248576,2014-05-17 23:12:02,"Be a girl with a mind, a bitch with an attitude and a lady with class."
467788725670252544,2014-05-17 22:08:17,I don't need a perfect relationship. I just need someone who won't give up on me.
467714750801911808,2014-05-17 17:14:20,Late night conversations are usually the ones that mean the most.
467551533916123136,2014-05-17 06:25:47,"When I fight with you, I'm really fighting for us. If I didn't care, I wouldn't bother."
467535199228530688,2014-05-17 05:20:52,"Remember our old happy memories, I miss that."
467514552284766208,2014-05-17 03:58:49,I ignore other's text to read yours first..
467498320634462208,2014-05-17 02:54:20,Missing you isn't what hurts. It's knowing that I once had you that kills me.
467464913732923394,2014-05-17 00:41:35,"Someone who truly loves you, sees what a mess you can be, how moody you can get, and how hard you can be to handle, but still wants you."
465878075515756544,2014-05-12 15:36:03,"I see those couples, so in love. Makes me wonder if I'll ever be like that."
465775808984801280,2014-05-12 08:49:41,Smile. Because your beautiful. Laugh. Because your living life to the fullest. Stand strong. Because haters cant bring you down.
465640701141585920,2014-05-11 23:52:49,"When you stop chasing the wrong things, you give the right things a chance to catch you."
465506311900102657,2014-05-11 14:58:48,"GRANDPA: ""Go hide, your teacher is here because you skipped school today!"" ME: ""YOU go hide. I told her you were DEAD!"""
465371936982175745,2014-05-11 06:04:50,"I play the same song, over &amp; over cause it reminds me of you."
465264704865046529,2014-05-10 22:58:44,Don’t let a sweet text fool you.
465130322871349248,2014-05-10 14:04:45,"""No matter what happens in life, be good to people. Being good to people is a wonderful legacy to leave behind. ""- Taylor Swift"
464995998347980800,2014-05-10 05:10:59,Sorry. I couldn't hear you over all the f*ck I don't give.
464880172873687041,2014-05-09 21:30:44,"Be the girl his ex girlfriend will hate, his mom will love, and that he will never forget."
464863909665456128,2014-05-09 20:26:07,"Dear creepy noises, it's funny how you go away when my parents are back. Sincerely, home alone."
464842361302835201,2014-05-09 19:00:29,The annoying moment when the TV commercials are so long that you forget what you’re watching..
464826117816610817,2014-05-09 17:55:57,"I'm sick of bitches, bitching about other bitches being bitches."
464810276085596160,2014-05-09 16:53:00,"Stop believing the liars, trusting the backstabbers, and loving the heart breakers."
464736726175330304,2014-05-09 12:00:44,"Being addicted to texting someone... then they suddenly stop replying, &amp; you find yourself checking your phone constantly."
464689660610883584,2014-05-09 08:53:43,"It sucks when you know that you need to let go but you can’t, because you’re still waiting for the impossible to happen."
464673822008807427,2014-05-09 07:50:47,You can't just be friends with someone you're madly in love with.
464624843670175744,2014-05-09 04:36:09,The best love story is when you fall in love with the most unexpected person at the most unexpected time.
464571294554800128,2014-05-09 01:03:22,"Be the girl his ex girlfriend will hate, his mom will love, and that he will never forget."
464496801270095872,2014-05-08 20:07:22,I want a relationship where we tell each other anything and everything. No secrets and no lies.
464348589703970818,2014-05-08 10:18:25,"Dear Boys, be the type of guy you would want your daughter to be with."
464236768703700992,2014-05-08 02:54:05,"Dear whoever is reading this, you're beautiful and someone out there is crazy about you. So smile. Life is too short to be unhappy."
464112991151992832,2014-05-07 18:42:14,"If you don't call me all day I understand, when you don't text me all day I understand, when I stop loving you I hope you understand."
464087797276491777,2014-05-07 17:02:07,"Bro's before hoes, not bro's over your girlfriend..."
464046321624969216,2014-05-07 14:17:19,"It irritates me when someone is about to tell me something, and then says ""Nevermind."""
464020359285444609,2014-05-07 12:34:09,"She ignores all the other guys who want her, because she's too busy noticing the one she wants."
463986542868840449,2014-05-07 10:19:46,The best relationship is when you two can act like lovers and best friends altogether.
463962848851283968,2014-05-07 08:45:37,"It's really amazing how one song can change your mood, thoughts and emotions."
463915354553450496,2014-05-07 05:36:54,"I miss you, but I'm trying not to care. I love you, but I'm trying not to show. I want you, but what can I do when you are not even mine?"
463890988356739073,2014-05-07 04:00:05,Don't change so people will like you. Be yourself &amp; the right people will love the real you.
463875006011670528,2014-05-07 02:56:34,"Real boyfriend = calls you for NOTHING, texts you all the time, wants to see you, gets jealous, over protective &amp; LOVES YOU."
463842232575864833,2014-05-07 00:46:20,"A best friend knows you're sad, a best friend knows you're mad, a best friend knows you're crying, a best friend knows you're lying."
463825739314262018,2014-05-06 23:40:48,"I'm no perfect. I'll annoy you, say stupid things but you'll never find someone who loves you as much as I do."
463782613648297987,2014-05-06 20:49:26,"Be with someone who won’t stay mad at you, who can’t stand not talking to you, and who’s afraid of losing you."
463581050040352768,2014-05-06 07:28:29,The demands of the body out weigh the wants of the mind.
463564567491002368,2014-05-06 06:23:00,Relationships aren't for the weak or timid.
463547728337727488,2014-05-06 05:16:05,"Even if I had the wings to fly away, I'd never leave the ground you stand on."
463531440529895424,2014-05-06 04:11:22,There will be a time that i will let you go.
463507143891505152,2014-05-06 02:34:49,"Girl-""Can I hold your hand?"" Boy-""No"" Girl-""Why?"" Boy- ""'Cause It will hurt to much when you let go."""
