id,created_at,text
525436531218329600,2014-10-24 00:00:05,"379. Turn left onto 2nd St (0.1 mi, 2m) http://t.co/7CPsCH4l7r"
525255332655017984,2014-10-23 12:00:04,"378. Turn right onto Sandstone (0.4 mi, 8m) http://t.co/ia6j6XblqW"
525074140458680320,2014-10-23 00:00:05,"377. Turn left onto Hibernia Rd (0.5 mi, 9m) http://t.co/00REwwgQag"
524892947087917056,2014-10-22 12:00:05,"376. Turn left onto Bluff Rd/Wehmeyer Dr (0.6 mi, 12m) http://t.co/s52aQoN0F4"
524711753327054848,2014-10-22 00:00:05,"375. Turn right onto Bluff Rd (0.9 mi, 18m) http://t.co/j9PJcdSUtz"
524530580881674240,2014-10-21 12:00:10,"374. Turn left toward Bluff Rd (115 ft, 1 min) http://t.co/uoOdLCIBtj"
524349364438040576,2014-10-21 00:00:05,"373. Continue onto Katy Trail (4.4 mi, 1 hour 27m) http://t.co/94kXYwudZ6"
524168171650301952,2014-10-20 12:00:05,"372. Continue onto Market (12.3 mi, 3h 59m) http://t.co/Zl0mCy169t"
523986977973354496,2014-10-20 00:00:05,"371. Turn right onto Katy Trail (20.0 mi, 6h 33m) http://t.co/vkFOjci5OG"
523805785823141888,2014-10-19 12:00:05,"370. Turn right onto MO-94 W (0.5 mi, 10m) http://t.co/PJAwniV7hw"
523624589637984257,2014-10-19 00:00:05,"369. Turn right onto Katie Trail (7.7 mi, 2h 30m) http://t.co/2WhT9qlTmV"
523443395084427264,2014-10-18 12:00:05,"368. Turn right onto MO-94 W (1.2 mi, 22m) http://t.co/x9U28sFCPZ"
523081011752869888,2014-10-17 12:00:06,"366. Turn left onto Pendleton Cutoff Rd (0.8 mi, 15m) http://t.co/Z1rP8ReE9K"
522899813315395586,2014-10-17 00:00:05,"365. Turn right onto Old U.S. 40 W (10.7 mi, 3h 33m) http://t.co/iK99vg3jXB"
522718620372447232,2014-10-16 12:00:05,"364. Turn left onto Elm St (420 ft, 2m) http://t.co/jFyfk7VH6W"
522537427303682048,2014-10-16 00:00:05,"363. Continue onto N Service Rd (3.8 mi, 1 hour 15m) http://t.co/GD3kLfEjLv"
522356233844850688,2014-10-15 12:00:05,"362. Slight right onto W Pearce Blvd (4.4 mi, 1 hour 26m) http://t.co/ZDX1zVMv77"
522175036539801601,2014-10-15 00:00:04,"361. Slight left onto E Pearce Blvd (2.1 mi, 41m) http://t.co/fyssrBl0o5"
521993847241732096,2014-10-14 12:00:06,"360. Turn right onto Luetkenhaus Blvd (0.1 mi, 2m) http://t.co/4Int71IHH0"
521812649596977152,2014-10-14 00:00:05,"359. Continue onto E Pitman St (3.9 mi, 1 hour 18m) http://t.co/NWceYwFUHa"
521631458658897921,2014-10-13 12:00:05,"358. Slight left onto W Terra Ln (1.4 mi, 28m) http://t.co/WYkNS3G8gg"
521450262582800384,2014-10-13 00:00:05,"357. Slight right to stay on E Terra Ln (2.9 mi, 58m) http://t.co/MgjqmoFejO"
521269065718185985,2014-10-12 12:00:04,"356. Continue onto E Terra Ln (2.9 mi, 58m) http://t.co/m6feNr4bpp"
521087875178594305,2014-10-12 00:00:05,"355. Slight right to stay on N Service Rd (308 ft, 1 min) http://t.co/PcbQCAOmaG"
520906680834748416,2014-10-11 12:00:05,"354. Turn right onto N Service Rd (495 ft, 2m) http://t.co/zQ9f3PzJPV"
520725484276285441,2014-10-11 00:00:04,"353. Turn left to stay on Brown Rd (0.9 mi, 17m) http://t.co/vlKc2Uvewx"
520544290167349248,2014-10-10 12:00:04,"352. Turn left onto Brown Rd (0.2 mi, 4m) http://t.co/aDunz49h5h"
520363101334425601,2014-10-10 00:00:05,"351. Slight left onto Main St (0.7 mi, 15m) http://t.co/UxVYUp4abb"
520181904776380418,2014-10-09 12:00:05,"350. Slight left onto I-70 North Outer Rd/N Service Rd (2.5 mi, 47m) http://t.co/kZiJUUsi2n"
520000709685940225,2014-10-09 00:00:04,"349. Turn right onto I-70 North Outer Rd (0.3 mi, 5m) http://t.co/vZcPx9PO6y"
519819516612968448,2014-10-08 12:00:05,"348. Turn left onto Parkway Dr (0.2 mi, 4m) http://t.co/wqPRMq4cL6"
