id,created_at,text
523548281884770304,2014-10-18 18:56:52,"👨 It's your performance that determines your outcome
👩 We only had very few days to clean and get the trees out of our house"
523532182682632192,2014-10-18 17:52:53,"👩 Domestic abuse cannot be tolerated, explained away or swept under the rug
👨 I'll probably get on my wife's nerves"
523528482521763841,2014-10-18 17:38:11,"👩 I attempted to treat it with over-the-counter and homeopathic meds
👨 So it can visit its friends"
523501109630205952,2014-10-18 15:49:25,"👩 I miss his big, wide, toothy smile
👨 You're left to make up your own mind"
523304164982419460,2014-10-18 02:46:50,"👨 Artists aren't being fairly compensated
👩 I really could die happy if I was allowed just one more bite of caramel cake"
523287742319718400,2014-10-18 01:41:34,"👨 They don't have to
👩 In my defence, I don't think he felt it"
523280445887107073,2014-10-18 01:12:35,"👩 I really could die happy if I was allowed just one more bite of caramel cake
👨 I want her to have as much success as she possibly can"
523270668264022016,2014-10-18 00:33:43,"👨 But a ban might actually make things worse
👩 Many of the marriages that had dissolved were not marked by severe discord"
523259402791682048,2014-10-17 23:48:57,"👨 Now, my goal is to defeat and ultimately destroy ISIL
👩 He pointed out that everything"
523257796301553664,2014-10-17 23:42:34,"👩 When the dispatcher asks if she thinks her husband will harm the children
👨 There are still some salmon up on the shore"
523249804408016896,2014-10-17 23:10:49,"👨 They also provide shade to keep the water cooler and a more hospitable habitat where the fish can spawn
👩 Welcome to afternoon!"
523244160015273985,2014-10-17 22:48:23,"👨 Everyone was happy-go-lucky with it
👩 Welcome to afternoon!"
523225770374594560,2014-10-17 21:35:19,"👨 Now, my goal is to defeat and ultimately destroy ISIL
👩 I brought up the idea to see if she wanted to do a match and"
523201951618826240,2014-10-17 20:00:40,"👩 There's plenty of established companies that know how to find us
👨 Mong Kok is more the true voice of Hong Kong citizens"
523200181504720896,2014-10-17 19:53:38,"👩 Taylor supported Steyer in his latest political mission
👨 The more people who see women driving on streets, the more common it becomes"
523185106685394944,2014-10-17 18:53:44,"👩 Taylor supported Steyer in his latest political mission
👨 We're making up for 30 years of do-nothingism in mass transportation"
523180995646734336,2014-10-17 18:37:24,"👨 I want the Davis family to know I truly regret what happened
👩 Welcome to afternoon!"
523173657158238208,2014-10-17 18:08:14,"👩 I miss his big, wide, toothy smile
👨 People didn't know who he was"
523154414308040704,2014-10-17 16:51:46,"👩 The resort is fully booked right now
👨 I just don't worry about my life"
523152278769790977,2014-10-17 16:43:17,"👨 That's a pretty big wall of water
👩 I feel like I have something to offer"
523142262910640128,2014-10-17 16:03:29,"👨 I know you're in the checkout line, but. . . .
👩 There's a private empire and the Earth"
522962398337323008,2014-10-17 04:08:46,"👩 It's like bringing history back to life
👨 But in a question-and-answer session after the speech"
522953525748187136,2014-10-17 03:33:31,"👨 But in a question-and-answer session after the speech
👩 Many of the marriages that had dissolved were not marked by severe discord"
522946762185900033,2014-10-17 03:06:38,"👨 A lot of students mentioned in the survey that seniority is really important to them
👩 He pointed out that everything"
522936142920839168,2014-10-17 02:24:26,"👨 Every time an alien votes, it cancels out the vote of a United States citizen
👩 They've been voting their whole lives"
522919079892746240,2014-10-17 01:16:38,"👩 And I found out that I am kind of neurotic about some things
👨 Comey cited particular cases in which"
522910217307058176,2014-10-17 00:41:25,"👨 The past few days around Kobani have seen more ISIS targets
👩 We treat each other with a lot of care, and we're good to one another"
