id,created_at,text
525744206279888897,2014-10-24 20:22:41,[warswine drool attenuated] ☝2/10/06
525481934873296896,2014-10-24 03:00:30,"My dog likes me a lot. I try not
to kick it two much and my dog licks that about me. But I degrease…  back to my stoorie. ☝5/8/02"
525335889946615808,2014-10-23 17:20:11,Cats beaming important messages to the world?! Have you ever met a cat? Do you think they can be trusted? ☝9/15/99
524771136325042176,2014-10-22 03:56:03,"I have a really cool ""roachmobile"" illustration from the Weekly World News which I am currently worshipping. It looks SO lifelike. ☝2/18/93"
523152510874181632,2014-10-17 16:44:12,There is no liberation to compare with freeing oneself from the illusions and delusions of the age in which one lives. [T. McKenna] ☝5/21/99
523116531119435776,2014-10-17 14:21:14,"HEY !

You watch it, or I'll have you *de*-clawed !

You're a feisty kitty !

(I like that !) ☝3/5/98"
523102438056681472,2014-10-17 13:25:14,"She makes up all kinds of wild lies… She claims that she is ""the only civilian posting on Usenet”. ☝5/10/02"
522965219262623745,2014-10-17 04:19:59,"""Disgruntled, But Unarmed” ☝11/17/96"
522779789141098499,2014-10-16 16:03:09,Answers and explantations are obviously easier for those who live in a Mental Disneyland. ☝4/11/99
522779540817326081,2014-10-16 16:02:09,Not long ago two wacky eco-newagers explained to me quite clearly that mass starvation and suffering in Africa was “karmic”… ☝4/11/99
520202744452231169,2014-10-09 13:22:53,"The madness won't stop, no matter what skeptical people point out. It takes too much effort to convince those who believe to think. ☝6/4/96"
519936562272813057,2014-10-08 19:45:11,Prepare to be MAILBOMBED !!!!! ☝3/21/95
519916770610933760,2014-10-08 18:26:32,"Wonderful, a page chock-full of uncaptioned photos of fuzzy blobs. How could we possibly argue with such definitive evidence? ☝4/16/97"
519512762230140929,2014-10-07 15:41:09,"The greys, in many ways, are the ultimate communists. They are all identical, and they act upon us with great secrecy. ☝7/4/99"
519512398487883776,2014-10-07 15:39:42,"They have had their souls surgically removed, and now worship the dictionary. That is what grey mind-control does to a man. ☝7/4/99"
519462414782173186,2014-10-07 12:21:05,"I decided long ago to stay out of the people fixing business, hence I have no interest in hoping the walking wounded will change. ☝11/3/94"
519437779889975296,2014-10-07 10:43:12,"All cute dogs are but ONE cute dog that, through emanation, manifests each INDIVIDUAL cute dog into our consciousness… ☝2/28/99"
519396967403630593,2014-10-07 08:01:01,"This interlinked computer system of the world doesn’t need names, judgments, explanations, or justification—it just *is*. ☝8/9/98"
519396778722877440,2014-10-07 08:00:16,"It's not a cocktail party an argument or a home. It *is*, what it *is* ☝8/9/98"
519396479664812032,2014-10-07 07:59:05,"It's not a super-highway. It's not a fishnet. It's not a surfable ocean, a maze, a 3 dimensional space of lights, a city or a game. ☝8/9/98"
519373338213232640,2014-10-07 06:27:07,"It’s time to move into the multi-dimensional world that we, you, belong to. It's time to move out of 3D. ☝10/12/97"
519338888003727361,2014-10-07 04:10:14,Boy was Mom pissed at me last year. She yanked my PC access for a whole orbit of the planet you call Jupiter. Grounded! Bummer! ☝6/26/91
514905567622868992,2014-09-24 22:33:48,Ignorance is Strength ☝10/8/96
513704981820887040,2014-09-21 15:03:06,"It's like my main man Artaud warned me, ""Be careful or the pernicious voices can whisper self-destructive advice in your ear.” ☝10/21/98"
513444505174167552,2014-09-20 21:48:04,"He believes that G-d even loves the UFOs — nefarious cattle-mutilators though they may be - ""very much.” ""Everything has its place” ☝8/28/99"
513028861089443840,2014-09-19 18:16:26,"Attracted by the putrefying flesh, huge families of rats made our house their own heaven. I recall those long-gone days with agony… ☝9/9/02"
512994210015109121,2014-09-19 15:58:45,"They said our Gov. made a contract with the malevolent beings and that it's honored by the universal laws, so they can't help us. ☝11/17/96"
512310290101600257,2014-09-17 18:41:06,"Perhaps the oddest fact of all: Many abductees, for all their vividly-recollected agonies, claim to love their alien tormentors. ☝4/14/93"
511720176480305152,2014-09-16 03:36:12,Disinformation agents reign supreme. ☝4/9/95
510940236646731776,2014-09-13 23:56:59,"Last September the CIA confirmed the existence of a 20-year, $20 million research program in ""remote viewing,""… ☝1/4/96"
509415092761690112,2014-09-09 18:56:37,"…until this day I still see them on a very regular basis in many forms, but mostly in a very subtle manner. ☝8/22/03"
509350061407346689,2014-09-09 14:38:12,"Around 600,000 years ago this planet was discovered by an extra-terrestrial race of Dinosaurs. ☝4/17/96"
509043008344309760,2014-09-08 18:18:05,"Unfortunately, hallucinogens tend to reinforce the cooperative, maternal model of living. We just can't have that nowadays, can we? ☝7/21/95"
509042775803719681,2014-09-08 18:17:09,"[The] ""Super Kids"" project at Columbia (54-56) [was] financed by Sandia Corporation to create scientists with paranormal abilities… ☝2/21/01"
509042520844541952,2014-09-08 18:16:09,&lt;&gt;     THE TRUTH WILL ONLY HURT THE GUILTY     &lt;&gt; ☝1/5/94
509042280473194496,2014-09-08 18:15:11,Creating another moon opposite our present one would balance the jet stream &amp; enable us to have more predictible weather patterns. ☝5/12/96
509042040831635456,2014-09-08 18:14:14,"…heads were hairless, oversize domes … eyes were big and sunk back in their skulls … greenish skin covering their bodies … coarse… ☝1/7/96"
509041763076407296,2014-09-08 18:13:08,Conspiracy theories are like black holes… each one is a portal to another universe that paradoxically resides within our own. ☝2/28/97
507610402360807424,2014-09-04 19:25:25,I am inclined to believe the dinosaurs were killed in Noah’s flood. Land dinosaurs were too big to go aboard the ark; they drowned.☝11/23/99
507240983768346624,2014-09-03 18:57:29,::: A Lot of People are Tired of Playing the Human Game ::: ☝4/1/97
505795572444717056,2014-08-30 19:13:56,Doug thinks a bunch of backwoods hick ancient Egyptians made elaborate ramps from sand then pushed big stones up them and into place.☝2/3/99
505482357416411137,2014-08-29 22:29:20,"Tesla claimed he got some of his ideas telepathically from ""certain pidgeons”. ☝2/3/93"
504621386670047232,2014-08-27 13:28:08,"""…a single relation for an Affirmative, sufficently confirmed and attested, is worth a thousand tales of forgery and imposture…"" ☝3/18/99"
504247796699258880,2014-08-26 12:43:37,"I've always felt this planet was doomed. I've been preparing for a ""Mad Max"" type of existence most of my life. ☝9/20/03"
504004855946805249,2014-08-25 20:38:16,"And for a real dose of Perspective, pick up the URANTIA book, published by the URANTIA foundation. Don't ask. Just go get it. ☝4/8/93"
503904457978310658,2014-08-25 13:59:19,"…the air's full of flying rod things that are invisible when you try to look at them, James Carville is arguably a grey crossbreed… ☝4/6/99"
503322379863728128,2014-08-23 23:26:21,Your paranoia saddens me. ☝1/23/98
502572011164811264,2014-08-21 21:44:39,"""Satisfied for more than 27 years not being God."" ☝3/14/99"
502434502871105538,2014-08-21 12:38:14,PLEASE STOP CROSS POSTING THIS TO ALT.PLANNING.URBAN ☝12/12/95
502434245512802305,2014-08-21 12:37:13,Aliens don't like sinewy tough ratty human meat anymore than we like boney chicken. So DIET TODAY and you could be SPARED TOMMOROW. ☝12/7/95
502073212239630336,2014-08-20 12:42:36,The Women will be having a special prayer vigil for the MYSTERIOUS DISSAPPEARED MARS PROBE that it wasn't DESTROYED BY GODLESS UFOs…☝12/7/99
501782926703341568,2014-08-19 17:29:07,"TRUST NO ONE!!! NOT ME, NOT YOUR MOTHER, NOT YOURSELF. NOT NO ONE!!! NOT ME, NOT YOUR MOTHER, NOT YOURSELF. NOT NO ONE!!!  NOT ME… ☝2/21/91"
501705945714409472,2014-08-19 12:23:13,on 5/10/1951 clarita villaneuva age 18 of manila was repeatedly bitten by an invisible assailant only she could see. ☝5/24/99
501607779052699649,2014-08-19 05:53:08,[37 Ayn Rands on Shriners motorcycles drive by with a banner reading WHAT PART OF REALITY DON'T YOU UNDERSTAND?] ☝7/24/97
501540640371769345,2014-08-19 01:26:21,"…there is about a million alien abductions a day world wide (Pentagon), thousands of animal mutilations (NRO), and other contact[s]…☝1/31/99"
500721196934397955,2014-08-16 19:10:10,"When you believe in your own myth, it explodes. ☝4/26/97"
500442432694403074,2014-08-16 00:42:28,"If you've ever been there, you'd realise that a night spent in Marfa, Texas is not one of live's little pleasures! ☝6/12/96"
499227048930725888,2014-08-12 16:12:58,"Did we invite ""them"" to lead us out of the antiquated centuries that led up to 1900? Have they always been among us in human form…? ☝4/2/98"
498853360078843904,2014-08-11 15:28:03,"Well, if you believe Vladimir Terziski, the CIA is the USA’s version of the Knights Templar and is linked up with the Masons somehow.☝1/3/94"
498558708582862848,2014-08-10 19:57:13,"""The pattern of human population growth in the 20th century was more bacterial than primate."" - Edward O. Wilson ☝7/20/02"
498466813546463232,2014-08-10 13:52:04,"aliens are here dudes, i mean, wey-hey, freak out man, etc ☝11/22/98"
498249804821307392,2014-08-09 23:29:45,"Over the last two years lots of 'odd things' have happened in my life, and I have been drawn to things 'spiritual'. ☝4/2/98"
498249369788088320,2014-08-09 23:28:01,I have a vivid childhood image of a heron standing in front of me when I was playing in the garden. ☝4/2/98
498249090552315905,2014-08-09 23:26:54,I have 'scars' on both hips since childhood for no reason. I am phobic of dentistry. ☝4/2/98
497042344232116227,2014-08-06 15:31:44,He said… You have negative vibes and we need them in the room with us when we work. We need both negative and positive. ☝1/2/97
497041925346971649,2014-08-06 15:30:04,"My brother in law was walking down the street in FL, a fella stops him and asks him to come to work at NASA. Right out of the blue. ☝1/2/97"
496789583053746176,2014-08-05 22:47:21,"People are so obsessed with looking back from whence they *think* they’ve come, they end up walking backwards into their own future.☝1/13/92"
496330838788018176,2014-08-04 16:24:28,"&gt; A ""Space ship” the same length as the diameter of Venus… You could see it with binoculars.

But maybe it's *really* skinny… :):):) ☝4/2/96"
496327994408173568,2014-08-04 16:13:09,NASA's Voyager space probe took photographs of an estimated 7000-mile-long elliptical-shaped craft orbiting in Saturn's rings. ☝3/27/96
495561461914017792,2014-08-02 13:27:14,"+++++++++++++++++++++++
Just another roadkill on the Information Superhighway
+++++++++++++++++++++++
 ☝11/24/94"
495333957878046720,2014-08-01 22:23:13,"Ix-Chiich, embracing what we do not understand
Ix-Azal-Voh, finding the message behind what is seen
Ix-Piyacoc, the wisdom of the Sun☝3/7/99"
495227254507446276,2014-08-01 15:19:13,Patrouska… I'm not sure the spelling is right. Are you there darling! ☝6/7/97
494923757203779584,2014-07-31 19:13:13,"Ultra-chromatic chord frames, rising like walls from the black depths… immense stellar crystallizations, radiating tonal perfumes… ☝1/24/99"
494859889362345984,2014-07-31 14:59:26,"Austrian Viktor Schauberger was known as the 'Water Wizard'. Born in the late 19th cent., his teacher was the natural world itself. ☝8/18/97"
494191966838882305,2014-07-29 18:45:21,Being king over you kooks brings no pride. No more than lording over the ants in my yard would… ☝8/29/02
494176318289092608,2014-07-29 17:43:10,"alot [of] luney tunes mixing Hinduism, New Age religion, Star Trek fantasy with libertarian politics, claiming “revealed” knowledge…☝3/30/99"
492659566438805504,2014-07-25 13:16:08,"""I'M NOT REALLY NOT INTO THIS STUFF,"" CANFIELD SAYS. ""IT BOGGLES MY MIND REALLY HARD-CORE. IT’S DEFINITELY WEIRD. I DON’T LIKE IT.""☝ 5/1/94"
492658187733336064,2014-07-25 13:10:39,HE IS NO FAN OF HEAVY-METAL MUSIC AND HE’S NEVER PLAYED DUNGEONS &amp; DRAGONS. HE'S NEVER SEEN A UFO. HE REMAINS BAFFLED BY WHAT HE SAW.☝5/1/94
492312750685945856,2014-07-24 14:18:01,"WHY DO YOU CARE IF PEOPLE BELIEVE IN THINGS YOU DON'T???????????????? 
WHO CARES?! ☝9/19/96"
491329101190688768,2014-07-21 21:09:20,"These are hard, pain-guarded, 'autobahn'-like structures under my scalp. They seem they are going to be quite permanent. ☝10/16/97"
491328897150369792,2014-07-21 21:08:32,"I have named the main sites (3) and mapped the steel-fiber-like 'underground railways', which are forming on my skull… ☝10/16/97"
491057845253976064,2014-07-21 03:11:28,I'd say the Raelian Movement is the same as the garden variety “Bowel Movement” that provides us with a few minutes of reading time.☝3/23/97
490999875299856384,2014-07-20 23:21:07,marcel duchamp was also a woman named rrose because such things are possible. sun ra is a black man from saturn. ☝1/28/98
490999609343229956,2014-07-20 23:20:03,the painter max ernst had a familiar which whispered to him in the shape of a mantis. that creature had a name and it was loplop. ☝1/28/98
490495972192309248,2014-07-19 13:58:47,i am undulating with the desire to better myself. ☝7/5/93
489986458762379264,2014-07-18 04:14:09,"&gt;Get a life!
It's good that alot of people don't have lives. They act as a human buffer or softening medium between those that do. ☝1/24/97"
489823699403804672,2014-07-17 17:27:25,"Here's the title cut from Mewlin TurdLoaf's upcoming album entitled ""straight from the sewer""… ☝2/24/94"
489446840593813504,2014-07-16 16:29:54,"And just how many tax dollar$ are being spent producing these manmade ""northern lights""? Once proven, then what… weekly light shows?☝2/12/97"
489406093299564544,2014-07-16 13:48:00,Left arm got badly dehydrated one night. Woke up and it was very weak and looked wrinkled like it had been under water fro hours. ☝10/16/97
489035165658669056,2014-07-15 13:14:03,"The red balls told her when to laugh, the BLUE ones when she should be silent; the green when she should start multiplying by three. ☝5/1/03"
489034937127813121,2014-07-15 13:13:09,"The aliens, she said, had put a pinball machine inside her head when she was five years old. ☝5/1/03"
488093488287059968,2014-07-12 22:52:10,"""Free yourself from what every man before you has thought, felt and experienced—then only is it possible for you to be yourself."" ☝7/18/99"
488083156760027136,2014-07-12 22:11:07,"""What is necessary for man is to free himself from the entire past of mankind, not only his individual past…"" ☝7/18/99"
487972906887303168,2014-07-12 14:53:01,"""The human ‘weeds’ have taken over the garden and disturbed its usefulness beyond repair.” - HEAVEN’S GATE ☝3/29/97"
487972610282905600,2014-07-12 14:51:51,"""The Earth’s present ‘civilization’ is about to be recycled - ‘spaded under’ - in order that the planet might be refurbished…” ☝3/29/97"
487392277858631681,2014-07-11 00:25:49,"I'm looking for information on what specific types of conditions would be necessary to trigger a second ""big bang"" in the universe. ☝2/20/03"
487294621719216128,2014-07-10 17:57:45,Will the ETs be bearing an ET with Christ Consciousness? ☝11/8/96
487023479225458688,2014-07-10 00:00:20,"the constitution is already suspended
we have nothing left but declaration of independence
(thank god for that beautiful document) ☝5/25/94"
486991511830425600,2014-07-09 21:53:18,"""Plato was a bore."" ----Nietzsche
""Nietzsche was stupid and abnormal."" ----Tolstoy
""I am a jelly donut."" ----J.F.K. ☝9/24/96"
486941666327429120,2014-07-09 18:35:14,Aliens LLOOVVEE pizza ☝7/6/96
486928998543679488,2014-07-09 17:44:54,"80,000 men rounded up and shot cause they might be inconvenient to Stalin's plan is a fiction and the bones were planted by the CIA.☝8/28/96"
485946252061073410,2014-07-07 00:39:49,"It's comments like yours that led Strieber to label ufologists “the cruellest, nastiest and craziest people I have ever encountered.”☝8/7/91"
485842788249264128,2014-07-06 17:48:41,"Dolphins' flippers have hands inside them, human hands. ☝10/27/96"
485842577049280512,2014-07-06 17:47:51,The dolphins have been around for at least 35 million years. They came out and walked on land for a while and decided against it. ☝10/27/96
485408624744095744,2014-07-05 13:03:29,It was one of the best foliage seasons in years. Some trees looked like they were on fire… Think the secret is in the chemtrails? ☝11/11/04
485125697632215040,2014-07-04 18:19:14,"Can you say ""Uri Geller?”
Can you say ""Project Alpha?”
Can you say ""Fraud!” ☝11/25/94"
484766683102732289,2014-07-03 18:32:38,"I've just received a copy of ""The Phoenix Liberator"", a large rantzine advertized here. It is both hilarious and spine-chilling. ☝5/26/92"
482705593560358913,2014-06-28 02:02:36,"Susan asks Rusty, If all the sudden the aliens all went away , woudl you miss them.. he siad, In a weird way, yes. ☝4/21/94"
482542731080650752,2014-06-27 15:15:26,Seth woke up. It was another nice sunny day. He went for a morning jog through the wheat fields wearing an American flag as a cape. ☝7/11/93
482303807611613185,2014-06-26 23:26:03,"Over the last decade, Cheryl and I have channeled dozens of astral entities and been ""walk-ins."" ☝10/13/99"
482147270880526336,2014-06-26 13:04:01,"Says Weaver: ""Telling them there was no saucer at Roswell was like telling a kid there is no Santa Claus."" ☝6/21/97"
482058702094995457,2014-06-26 07:12:05,As a very young person I was bequeathed the occult library of William Harris and so introduced to Theosophist Mme. Helena Blavatsky…☝10/6/98
481952275292635137,2014-06-26 00:09:11,"THE INTERNATIONAL FORTEAN ORGANIZATION (INFO)
Presents
FORTNITE '97
Ambassador Ballroom, Ramada Inn of Bethesda, MD
April 12th, 1997☝3/11/97"
481901206009151490,2014-06-25 20:46:15,ohhhhhh a sneak kiss!!!!! Yummy~~!!!!!! Mwahhhh xoxoxoxox ☝12/7/98
481868561758322688,2014-06-25 18:36:32,Tantric Peyote DMT Death Mideast research ☝6/30/03
481496885635874817,2014-06-24 17:59:37,More flies just drop dead than ever get swatted. ☝3/30/98
481462532109254656,2014-06-24 15:43:07,"In order to advance professionally, young turks sometimes have to renounce the heresy of their heady youth. ☝9/4/97"
