id,created_at,text
524083719569567744,2014-10-20 06:24:30,"RT @biorhythmist: @antichrista have you considered ""Portland!"""
493702356043718656,2014-07-28 10:19:48,@cabel 😥
482729862856065025,2014-06-28 03:39:02,@antichrista One more tiny reason to love Portland!
481567989007806465,2014-06-24 22:42:10,@jimray 👎
478561157955854336,2014-06-16 15:34:05,@suchwinston Have you considered Portland?
473476483172683776,2014-06-02 14:49:25,@mcyrsf Have you considered Portland?
469917804091564032,2014-05-23 19:08:29,@gknauss @antichrista not funny
469154035912560640,2014-05-21 16:33:33,@ccsteff Have you considered Portland?
469126100476375040,2014-05-21 14:42:32,@rascouet Have you considered Portland?
466964138061602817,2014-05-15 15:31:40,@kluepfel This bot takes a while to boot up. Patience…
