id,created_at,text
486593307456585728,2014-07-08 19:30:59,Adding pudding to instant ramen
486521474824814592,2014-07-08 14:45:33,Park and train
486449974272860160,2014-07-08 10:01:26,People not knowing that the mic on your earbuds means you don't need to hold the bottom of your iPhone to your mouth
486193478800801793,2014-07-07 17:02:13,Gun porn
486121301112004608,2014-07-07 12:15:24,drinking on the weekdays
486083517282283520,2014-07-07 09:45:16,Bubble soccer
485864580644888576,2014-07-06 19:15:17,#FelonCrushFriday
485792969136812033,2014-07-06 14:30:44,Vending machine cologne
485755301929684992,2014-07-06 12:01:03,Talking through asthma attacks
485498721401327616,2014-07-05 19:01:29,Devilhorns
485464443703554048,2014-07-05 16:45:17,Antisemitism
485426720628293632,2014-07-05 14:15:23,Gaysian
485355017629884416,2014-07-05 09:30:28,Icing my sternum
485098470660136960,2014-07-04 16:31:02,me yelling at rihanna
485026565307510784,2014-07-04 11:45:19,Christmas in June
484988798246596608,2014-07-04 09:15:14,Facebook panhandling
484769919796801537,2014-07-03 18:45:30,Kids Bop 26
484698590376644608,2014-07-03 14:02:03,biting
484660495316946944,2014-07-03 11:30:41,Singing practice in local trains
484369822268932097,2014-07-02 16:15:39,Telegram
484332022958407680,2014-07-02 13:45:27,'Talent testing'
484260411261607936,2014-07-02 09:00:53,Alcrawfish jelly
484041446207389696,2014-07-01 18:30:48,crying bc jack and leigh
484003911880441858,2014-07-01 16:01:39,the patches inside your suit jacket
483931856937951232,2014-07-01 11:15:20,I'm happy Rock Simulator
483894068658057216,2014-07-01 08:45:10,In-dash karaoke
483675176358264832,2014-06-30 18:15:22,Sleep texting
483603520525176832,2014-06-30 13:30:38,'piss of literature'
483565849148928000,2014-06-30 11:00:57,OMG NOW YOU SEE ME 2
483456195131240448,2014-06-30 03:45:13,iPad menus
483346843313913856,2014-06-29 20:30:42,Youtube Music
483237281898049540,2014-06-29 13:15:20,Christian Dubstep
483127887290462208,2014-06-29 06:00:39,Spinning classes for the homeless on docked CitiBikes
483018324608319488,2014-06-28 22:45:17,People using Mother's Day solely for Instagram likes
482909069032697857,2014-06-28 15:31:08,The Animal Ark series
482799375240818689,2014-06-28 08:15:15,Cuba Anti-Censorship Flotilla
482690148170481666,2014-06-28 01:01:13,The Travelling Jagrs
482580506824151040,2014-06-27 17:45:33,atheism
482471093501177856,2014-06-27 10:30:47,The Inuit Circum-Polar Council
482361494051762177,2014-06-27 03:15:16,female Draco Malfoy
482252531457069056,2014-06-26 20:02:17,Vintage Sidney Crosby
482142653455536128,2014-06-26 12:45:41,"Covering up naked, immodest Barbies is"
482033122041933825,2014-06-26 05:30:26,#missyoumonday
481923661692407808,2014-06-25 22:15:29,Ferret-Down-Trousers' Competitions
481814744316530689,2014-06-25 15:02:41,Scarborough karaoke bar
481704678615691264,2014-06-25 07:45:19,Areospace Jewelry
481595324478529536,2014-06-25 00:30:47,Leggings with pockets
481485840514691073,2014-06-24 17:15:44,Talons!!
481376531814817793,2014-06-24 10:01:23,Making #marijuana infused wine
481266770284523520,2014-06-24 02:45:14,Bug sized lethal drones
481157533286289410,2014-06-23 19:31:10,Obamacare' heroin
481047940740698112,2014-06-23 12:15:41,icon search engine
480938467707207682,2014-06-23 05:00:40,Waterproof tablet computers
480828897253425154,2014-06-22 21:45:17,West Antarctica
480719577383731201,2014-06-22 14:30:53,Coke susu
480609929100029952,2014-06-22 07:15:11,Mailing dirty laundry to parents to clean
480500679363289088,2014-06-22 00:01:03,Human hair necklaces
480391060171268096,2014-06-21 16:45:28,Dogs &amp; Cats ready for the rapture
