id,created_at,text
523455962976239616,2014-10-18 12:50:01,Refactor the Mathematician
523440853839130624,2014-10-18 11:49:59,Wall of Glaciers
523425746287489024,2014-10-18 10:49:57,Circumnavigate the Instrument
523410638396071936,2014-10-18 09:49:55,Refactor the Funding
523395528667574272,2014-10-18 08:49:52,Helicopter of Planets
523380423905132544,2014-10-18 07:49:51,Undermine the Goldfish
523365317745967104,2014-10-18 06:49:50,Navigate the Routine
523350208189444096,2014-10-18 05:49:47,Shriek of Galaxies
523335101908647936,2014-10-18 04:49:46,Dragon of Tears
523319993782394880,2014-10-18 03:49:43,Insult of Dissonance
523304888172675072,2014-10-18 02:49:42,Penguin of Sorrow
523289784370745344,2014-10-18 01:49:41,Between the asynchronous system
523274677049774080,2014-10-18 00:49:39,Newspaper of Hatred
523259572262141952,2014-10-17 23:49:38,Between the Faucet
523244466027507712,2014-10-17 22:49:36,Culture of Maya
523229363169288192,2014-10-17 21:49:35,Rice of Misery
523214257454718976,2014-10-17 20:49:34,Jest of Google
523199153317220352,2014-10-17 19:49:33,Circumnavigate the exotic keyboard
523184046428266496,2014-10-17 18:49:31,Sarcasm of Giants
523168936880111616,2014-10-17 17:49:29,Recreate the Monkey
523153827021611008,2014-10-17 16:49:26,Recreate the Mainframe
523138713631485952,2014-10-17 15:49:23,Defect of Glaciers
523123601004695552,2014-10-17 14:49:20,Re-engineer the Salary
523108498549129217,2014-10-17 13:49:19,Daemon of Contempt
523093392775860224,2014-10-17 12:49:18,Circumnavigate the Consolation
523078262939856896,2014-10-17 11:49:10,Evaluation of Memories
523063153412681728,2014-10-17 10:49:08,Applause of Skies
523048049849798656,2014-10-17 09:49:07,Business of Discord
523032942910529536,2014-10-17 08:49:05,Undermine the Protocol
523017836986245121,2014-10-17 07:49:04,Glaciers of metric webmaster
523002723189288960,2014-10-17 06:49:00,Circumnavigate the Scenario
522987616577540096,2014-10-17 05:48:59,Discord of obscure system
522972510334115840,2014-10-17 04:48:57,Sector of Galaxies
522957408121794560,2014-10-17 03:48:56,Border of Sorrow
522942300427517954,2014-10-17 02:48:54,Undermine the Cupboard
522927196478791681,2014-10-17 01:48:53,Singing of Sadness
522912085114511360,2014-10-17 00:48:50,Omission of Twitter
522896981480337409,2014-10-16 23:48:50,Refactor the Path
522881876197781504,2014-10-16 22:48:48,Refactor the Widget
522866770344828929,2014-10-16 21:48:47,Debug the Pronoun
522851661513895938,2014-10-16 20:48:44,Limitation of Android
522836535587008512,2014-10-16 19:48:38,Maya of disgusting crossword
522821427536203776,2014-10-16 18:48:36,Navigate the Currency
522806325223247872,2014-10-16 17:48:35,Cow of Android
522791095889960960,2014-10-16 16:48:04,Consult the Overtone
522775972316069888,2014-10-16 15:47:59,Search the Accent
522760862298169344,2014-10-16 14:47:56,Quota of Glaciers
522745750069841921,2014-10-16 13:47:53,Redesign the Deadline
522730642761457666,2014-10-16 12:47:51,Redesign the Browser
522715528561844226,2014-10-16 11:47:48,Refactor the Ion
522700419412140033,2014-10-16 10:47:45,Palace of Skies
522685283796414466,2014-10-16 09:47:37,Conference of Dissonance
522670176618049536,2014-10-16 08:47:35,Hierarchy of Misery
522655070404370432,2014-10-16 07:47:33,Geekiness of Osiris
522639968888299522,2014-10-16 06:47:33,Hatred of innovative scientist
522624863672872960,2014-10-16 05:47:32,Museum of Eternity
522609757610188800,2014-10-16 04:47:30,Recreate the Border
522594650729627648,2014-10-16 03:47:28,Between the Paranoia
522579545124130817,2014-10-16 02:47:27,Search the Circuit
522564438658801665,2014-10-16 01:47:25,Between the ludicrous era
522549335469211648,2014-10-16 00:47:24,Python of Eternity
522534224729874433,2014-10-15 23:47:22,Debug the Enterprise
522519120839843842,2014-10-15 22:47:21,Institute of Google
522504015708303360,2014-10-15 21:47:19,Code the Choice
522488911340138497,2014-10-15 20:47:18,Footnote of Bots
522473805025787905,2014-10-15 19:47:16,Above the Megabyte
522458700259155970,2014-10-15 18:47:15,Navigate the Dependence
522443595593170944,2014-10-15 17:47:14,Above the Poem
