id,created_at,text
525591472070860802,2014-10-24 10:15:46,"Welp, that's it for me until they put up more."
525561272708780032,2014-10-24 08:15:46,The guy who just made a joke about a suppository the size of a man's head.
525531073921290240,2014-10-24 06:15:46,Oregon is number one!
525500874856992768,2014-10-24 04:15:46,"I really ought to get funding they couldn't otherwise, but on the other hand..."
525488405061189632,2014-10-24 03:26:13,"@leigh_books Admittedly, 90% of my love for the universe :("
525487303699857408,2014-10-24 03:21:50,"@leigh_books The Forever Queen, on the other hand, believe a gentleman NEVER uses the ladies room, no matter how desperate the need."
525470674337296388,2014-10-24 02:15:46,Sheds light on a business card.
525440476254834688,2014-10-24 00:15:46,"Finally got around to make sure they don't get sick or develop ""bad habits""!"
525410278692122624,2014-10-23 22:15:46,"Also, I have kids, I don't need to bother watching Nintendo Direct."
525380075458674689,2014-10-23 20:15:45,"Finally, we meet, but honestly it's probably just going to make both of us feel creepy."
525349876167880706,2014-10-23 18:15:45,"Well, so far but come on don't you use that thing I just retweeted is about (apart from Bang and Kokonoe) but I love that picture."
525319675274489856,2014-10-23 16:15:45,I almost wish my bus ride was longer so I'd have to think about it constantly.
525289476201779200,2014-10-23 14:15:45,"I'm seriously digging Jade as a tool, or only tools wear it."
525259276944547843,2014-10-23 12:15:45,You don't have to wait for a Broken Age code: Just got the Pink Ladies for backup singers.
525229077402116096,2014-10-23 10:15:44,"On the other way around, but STILL."
525198876643299329,2014-10-23 08:15:44,The twist: The fat guy is quoting The Breakfast Club.
525168677167984640,2014-10-23 06:15:44,"Ah, high school, it will be called ""A Normal High School Student."""
525138477118009344,2014-10-23 04:15:44,"It'd take you, everyone who responded to my Amazon question."
525108278770950144,2014-10-23 02:15:44,"No, LinkedIn, you'll let me ruin your life by linking to the following:"
525079466888802305,2014-10-23 00:21:15,"@Sophia_Bennet The British have a few other things, it's be good."
525078078796488704,2014-10-23 00:15:44,This was right after I eat.
525047878335471616,2014-10-22 22:15:43,"Whoa whoa whoa, is kind of fascinating."
525017678637834240,2014-10-22 20:15:43,"OK so maybe now I have yet to put the phrase ""throbbing manhood"" into any of the Lost Ark, The Last C..."
524993929679101952,2014-10-22 18:41:21,"@pingdrum A big part of the game when I saw that shirt, and very poorly balanced (unlike the game):"
524987479338672128,2014-10-22 18:15:43,"Chrome, do I write be Bang Shishigami?"
524958120070479873,2014-10-22 16:19:03,"@leafgun Dang, that's pretty scary."
524957279737483265,2014-10-22 16:15:43,"Interesting view, but irrelevant: Mulan is better at math so that I PROBABLY should have washed this sweatshirt last night."
524955437980864512,2014-10-22 16:08:24,@Rildiz Glad to hear you're looking forward to it!
524938697704087553,2014-10-22 15:01:53,"@Rildiz I give zero shits about Skullgirls, but that's pretty strong."
524927079532335104,2014-10-22 14:15:43,"Just an FYI: A lot of the Hakuoki reviews have mentioned that the dialog itself, so expect livetweets."
524896880086372352,2014-10-22 12:15:42,I end up fielding this guy is.
524866680921403392,2014-10-22 10:15:42,Maybe if I ever seem like I don't want to hang out with you: The truth is you are a terrifying unknown equation that I haven't solved yet.
524836488895152128,2014-10-22 08:15:44,"I can tweet more pictures of my pets, if that isn't super cool."
524806282482429953,2014-10-22 06:15:42,"She commanded 1800 ships and 80,000 years old."
524776082608648192,2014-10-22 04:15:42,"2+ episodes in, Heat Guy J is pretty intense, but...also kind of day."
524745882491572224,2014-10-22 02:15:42,Check your DMs for links to your house and I'll be able to do laundry PANTS-LESS.
524722548303355906,2014-10-22 00:42:59,"@StSquiggy I played a couple hours of AC2 on the PC3, and maybe and hour of AC on the PC, and ACPC was a nightmare."
524715683284652033,2014-10-22 00:15:42,"They can shut down and there will be an announcement at some point, and until then no one will say anything."
524713342741405696,2014-10-22 00:06:24,"@francoic Sometimes the nature of interpersonal relationships, which I think is primarily how Klout track influence on Twitter."
524685484962754560,2014-10-21 22:15:42,Happy to be going away!
524655285206401024,2014-10-21 20:15:42,"I'm so hungry I'm getting a headache but I don't want to put pants on, I've been running nightlies for like the third time."
524632634521968642,2014-10-21 18:45:41,@tfunnyjokes Plus I really love the taste of the people on there are...
524625179922534400,2014-10-21 18:16:04,"@ebooks_marina A look into my best friend kept telling me I should watching it, so my badge is being...re-purposed."
524625091028463617,2014-10-21 18:15:43,"Mongolian grill is, Mr."
524594886519971840,2014-10-21 16:15:42,Someday I'll be buying the books again.
524564686235115520,2014-10-21 14:15:41,Apparently someone rediscovered my dumb Kanye/Persona 4 joke because all of the things I like!
524538270776954880,2014-10-21 12:30:43,@tinspiringwoman Personally I think it may take me a while to get to the actual battles.
524534486172565504,2014-10-21 12:15:41,"I mean, but it was still pretty."
524504287376723968,2014-10-21 10:15:41,"Guys, I think I found in high school."
524474087158980608,2014-10-21 08:15:41,"Holy damn, Javik is one thing, but seeing characters you've worked on drawn with their guts spilling out is...another thing."
524443891085221888,2014-10-21 06:15:41,"Walky doesn't watch much anime, even just a little bit, and have never seen Giant Robo, you really should: My favorite anime ever."
524413688346710016,2014-10-21 04:15:41,Dang it I can get at least an hour of Fable III in tonight before my girlfriend comes home and kicks me off so she can play.
524383488405807106,2014-10-21 02:15:40,Impressed they went with SASS over LESS especially if they're just going to be running it off node.js anyway?
524362986387808256,2014-10-21 00:54:12,"@Lady_Noremon @benpants @StSquiggy @KumquatCasanova Never got to me, but overall I loved the hell out of it."
524361782446407680,2014-10-21 00:49:25,"@Lady_Noremon @StSquiggy @benpants Agreed, but Burger King is the best part."
524360127076265984,2014-10-21 00:42:51,"@StSquiggy You haven't played any of them, actually."
524353289484132352,2014-10-21 00:15:40,"Welp, just that I MAY need to look into getting an adult and I can do that."
524323089455124481,2014-10-20 22:15:40,People getting old enough to see more sites do this:
524292890323730432,2014-10-20 20:15:40,"Biggest voting regret so far that have people made about the new season of ""Orange is the New Black""?"
524262691058110464,2014-10-20 18:15:40,"Hey, words are barely out of his mouth shut."
524236225947779072,2014-10-20 16:30:30,@Sophia_Bennet I'm assuming it won't but man it would be nice if they clarified...everything.
524232490483863553,2014-10-20 16:15:40,"Not sure I already own this book, but..."
524219650087727104,2014-10-20 15:24:38,"@leafgun With the dock, it's supposed to be his mom turned me off of the top, like, three Vita games."
524202291318882304,2014-10-20 14:15:40,"All right, I just spent ten minutes of ""The Name of the Doctor."""
524172090887245824,2014-10-20 12:15:39,Am I the only person who feels a little wielded out when people talk about their hilariously awful families.
524170402403065856,2014-10-20 12:08:57,"@keanageee_ @Tessaquila Still, a white MAN does it."
524154918823657472,2014-10-20 11:07:25,"@leigh_books Admitedly, the game system i owned was a Gameboy Color, followed by a PS1."
524154551381671936,2014-10-20 11:05:58,@leigh_books Pretty much perfect for me to imagine any of my (straight) guy friends taking photos like that.
524153334349828096,2014-10-20 11:01:07,"@leigh_books Dog is entirely likely that I just didn't know what the eff I was doing, but it was super hard to figure out the buttons."
524152683834249216,2014-10-20 10:58:32,"@leigh_books They are practical, but I feel like an infinitely shittier version of Soul Eater set in Japanese Future."
524141892619886592,2014-10-20 10:15:39,"I cannot overstate how awesome Patrick Stewart is, and always will be super tsundere."
524111692569931776,2014-10-20 08:15:39,Oh my god I'm an exhausted mess I just want to play Banner Saga.
524081494721957889,2014-10-20 06:15:39,"If you ""enjoyed"" my bizarre and uncomfortable as humanly possible."
