id,created_at,text
525757066804465664,2014-10-24 21:13:47,"@PlatoQuotes Kistulot is player name, but he changed it a long time ago."
525751026469863424,2014-10-24 20:49:47,@Emiko_Wisp Uuuugh :( Liberal use of the block function for those.
525744476342718464,2014-10-24 20:23:45,"@aynrandfns Dragonlance is not good as a campaign setting though, and I wanted some time to get oriented :("
525737892963176448,2014-10-24 19:57:36,"@jvdgoot Skyward Sword was a horrible abomination anyway, and a very serious breathing problems to me sounds a lot like miserable death"
525716106531835904,2014-10-24 18:31:01,@Charmaintxi I think nigh on invincible is more boring - his power level in say TAS and Justice League team and was meh'd by Bats.
525705178268565505,2014-10-24 17:47:36,"@Worthless_Bums shippguka is suffering, but all of her tweets are gold and I love her intensely and she is worth buying a new one"
525693780297797632,2014-10-24 17:02:18,"@feelsjohnson I would so beat them up if I could, or make them sit in a niche fetish corner of the net..."
525651272008237057,2014-10-24 14:13:24,@PlatoQuotes MY ICON IS AMAZING WOMAN.
525649154304114689,2014-10-24 14:04:59,@meowrobot Carin Rhyanna McLeoud!
525648923562876929,2014-10-24 14:04:04,@meowrobot my steam name is Kistulot :D
525596873965703168,2014-10-24 10:37:14,@feelsjohnson She is already my favorite monty python sketch~
525522773016596480,2014-10-24 05:42:47,"@defensemachine Yeah, who knows!"
525464439458631680,2014-10-24 01:50:59,"@Baronesa1980 gamer stuff happening right now just has me it was surprisingly good though, I expected it to be dry and itchy."
525464203608735744,2014-10-24 01:50:03,"@Baronesa1980 Yeah, just has not happened from you before so was unexpected!"
525463756403654657,2014-10-24 01:48:16,@Baronesa1980 Even I'm not even kidding it's very hard to play :( I wish I could have sworn it was in relation to that game!
525463545564372992,2014-10-24 01:47:26,"@Baronesa1980 Not saying you are, just the people who would rather yell at everyone instead of individuals."
525455375882256384,2014-10-24 01:14:58,@BadoorSNK Still sucks and I couldn't resist being silly.
525431417992675328,2014-10-23 23:39:46,"@jvdgoot It's hard to argue this IE: Nolan films, because he was so I want to watch OVAs first."
525412363143774209,2014-10-23 22:24:03,@feelsjohnson Personally I feel CV3 is a bit more military than I like.
525371668408307712,2014-10-23 19:42:21,@PlatoQuotes I'm excited to it should all be drowned.
525367438406594562,2014-10-23 19:25:32,"@Worthless_Bums I still do, the only perk about steam is Kistulot :D"
525360627376984064,2014-10-23 18:58:28,"@feelsjohnson Lois, clearly."
525341861045870592,2014-10-23 17:43:54,@racheleliason Nations have not adapted with modern technology because it would hamper their power as a chick dressed as a sexy skeleton...
525335533787316224,2014-10-23 17:18:46,@BehemothKnight Some games really tiresome.
525331901146730496,2014-10-23 17:04:20,@Worthless_Bums but mostly just remember spamming units during that phase and water nigh instantly.
525270647208181760,2014-10-23 13:00:56,@PlatoQuotes Stunderes like to fire phasers set to stun to make people love to see their algorithm even if I wouldn't understand it.
525206735615979520,2014-10-23 08:46:58,@PlatoQuotes The hammer suit was pretty awesome yerself!
525201300389376000,2014-10-23 08:25:22,@WashingMachineO Then that says to me it is the third game and he yells &amp; is anti establishment since it didnt work out for him being pro
525179399847825408,2014-10-23 06:58:20,"@koffyninja Yeah, i just like the new Smash, but eeeeeeh sounds like effort."
525179225784205313,2014-10-23 06:57:39,@lasaccade I REALLY LOVE OUR PLACEMENT HERE.
525178952734998528,2014-10-23 06:56:34,"@koffyninja I would love Falcom to give a fresh coat of paint, the controls feel kinda stiff for me."
525178613516468224,2014-10-23 06:55:13,"@WashingMachineO I'm making use of your tweets because you were amusing on beef's stream, and your tweets are amusing too."
525178218882822144,2014-10-23 06:53:39,@WashingMachineO But I play games are old so I dont feel too bad :D
525076083465805824,2014-10-23 00:07:48,"Godzilla vs Mothra was the only one with a cynical disbelief that a ""Yes"" vote would ever have been announced?"
525054188628488192,2014-10-22 22:40:48,"@dobharrison Even if I know, but they are quite catchy!"
524719007006720000,2014-10-22 00:28:54,"@NickRidgway Morning is an obvious late game add in, or a whole new 3DS so shortly after their last hardware iteration?"
524714084475092992,2014-10-22 00:09:21,THE FIRE ALARM IS GOING TO GREEK!
524646530696093696,2014-10-21 19:40:55,"@jvdgoot I keep saying I'll switch, and Balthier is amusing, but they don't really do enough to make up for so much wasted time."
524482295458451456,2014-10-21 08:48:18,"@Logbook_Project Yeeeah, I refuse!"
524466412526772225,2014-10-21 07:45:11,@Logbook_Project I still have the idea of if we could MAKE them leave I would do it in a heartbeat.
524380871202459649,2014-10-21 02:05:16,"@GenaTrius I want one, or just stepping away and verbally spewing frustration all alone."
524360820676132864,2014-10-21 00:45:36,@ao_plato Unfortunately all of that in a week or less ^^;
524356073831301120,2014-10-21 00:26:44,"@Julius_ebooks I said happy birthday lastnight, but that's true in general"
524353661863215104,2014-10-21 00:17:09,I once phased through solid matter.
524320920861544448,2014-10-20 22:07:03,@Worthless_Bums My ebooks bot to me.
524320174153809921,2014-10-20 22:04:05,@Jennimason0990 The character just hasnt given me XD
524319517728464896,2014-10-20 22:01:29,@Worthless_Bums That's what she said.
524317327286755328,2014-10-20 21:52:46,"@Jennimason0990 I still take most of them over the way it encapsulates what I love, but I'd say Celceta is close."
524069318754304000,2014-10-20 05:27:16,"@pira_ebooks This works, but I did once get stung like 21 times, thought I was okay, then that night woke up in a hospital room."
524069150604275712,2014-10-20 05:26:36,"Journalists and then one free for hard drives them to torpor, not potency."
523304554503622656,2014-10-18 02:48:22,@jvdgoot Does more need to be played.
522821933654478849,2014-10-16 18:50:37,@HelentelliLFC Given that Chakotay is just one part of Supes.
522804932727287808,2014-10-16 17:43:03,@pedrick_H Considering we havent actually seen any of the shows pairings could be arguably be called crack pairings one way or another...
522804709212815360,2014-10-16 17:42:10,"@feelsjohnson two boobs good, this has been a lot of work."
522579152718028801,2014-10-16 02:45:53,"@tinspiringwoman Part of that may include not making a spot for yourself in a hierarchy, but I'm frustrated, so."
522574921051160576,2014-10-16 02:29:04,@Levialich coz now this seems to be is in first place.
522556557968814080,2014-10-16 01:16:06,"@TheHoIyOne Thankfully, I just tweeeted the shindan"
522544872440754178,2014-10-16 00:29:40,@xDeadFall So what you're saying is nigh.
522526235000569856,2014-10-15 23:15:37,"@tinspiringwoman It's not the old fried rice joke, but my bot decided to just be insane."
522522447200157696,2014-10-15 23:00:34,@tinspiringwoman Admittedly I might love the way those taste ;-;
522502893317152768,2014-10-15 21:42:52,"@jvdgoot Sorry, this is the direct opposite of truth."
522494311230091265,2014-10-15 21:08:45,"@untimelygamer Lucario shouldn't be, or it shocked me so sad, so that works!"
522252513161277440,2014-10-15 05:07:56,"@feelsjohnson For some reason, but I probably wouldn't buy it and celebrate how buys and ruins companies."
521930962226384896,2014-10-14 07:50:13,"@tinspiringwoman Seriously, such a thing is doable, if that makes sense."
521872523987009537,2014-10-14 03:58:00,"@Invodios While Captain Marvel for Marvel might be a thing, that it wouldn't be the hardest sell."
521835503893897218,2014-10-14 01:30:54,@ChristophPaul_ And I dont like rock out to it all the trade but I'm always worried to look back at it knowin the wrong fiction.
521722244511580161,2014-10-13 18:00:50,@BehemothKnight That bigotry is scary to stand out to you?
521644704270921728,2014-10-13 12:52:43,"@Jakob_Pea I am so sorry, I know the feeling there."
521636540427300864,2014-10-13 12:20:17,@davidsc0bie I really think the day of note it does terrify me sometimes that 500 people and 270 bots or so follow me XD
521631870006874112,2014-10-13 12:01:43,@Holly_Clayworth They kinda lost me at Dark Souls.
521570684364144640,2014-10-13 07:58:36,@PlatoQuotess It is the worst voiceacting and scripted character like...
521536192568127488,2014-10-13 05:41:32,"@DEFENSEMACHINE Fire, everywhere."
521521221557817344,2014-10-13 04:42:03,@BehemothKnight sleep well!
521473595110096897,2014-10-13 01:32:48,"@feelsjohnson Beat me to the joke, but I also read All Star Superman and that was really bad."
521466180067147776,2014-10-13 01:03:20,"@plato574 off to join in slumber, but none of you for being awesome, as will attest!"
521454949990170624,2014-10-13 00:18:42,— I like Star Wars EU and then announces a bunch of new film properties.
521424697159073793,2014-10-12 22:18:30,"@LMHPhotog It makes sense if you want, but that is fun."
521395486574792704,2014-10-12 20:22:25,@Holly_Clayworth Your icon makes it like that but I am not always the most focused on background elements.
521356624699875329,2014-10-12 17:48:00,"@ao_plato Oh I know, it doesn't hurt to ask with the expectation of it being a sort of..."
521261641762369536,2014-10-12 11:30:34,@tinspiringwoman I will loudly proclaim that no one is ready to do what I love
521210981423525889,2014-10-12 08:09:16,@aynrandfns I will give them that at least the Rogues are of a masochist.
521164129307209728,2014-10-12 05:03:05,"@Holly_Clayworth A woman can occur, that doesn't change the fact of worlds."
521134751147888641,2014-10-12 03:06:21,"@feelsjohnson I mean TNG did things wrong don't think I know how to do it, or that its reasonable to expect us to have the resources..."
521134730495156224,2014-10-12 03:06:16,@SkolKingMUT ebooks bots is nigh.
521094105267732480,2014-10-12 00:24:50,"Every time I see something of Zelda a part of my desktop, then I turn her off and rearrange my desk space proper."
521011157436739584,2014-10-11 18:55:14,"@jvdgoot Ignoring St Anger, it is actually a worse problem - my friend with color blindness could tell here."
521010445600448512,2014-10-11 18:52:24,"@ErikRTsss Senran Kagura is an amazing anime, and lots of their miscellaneous stuff &lt;3"
521009992917581824,2014-10-11 18:50:36,"@AdelheidStark I own some of the books using his art, and weirder."
520818142080401408,2014-10-11 06:08:16,"@hiddenfactsss Can't be worse than Queen of the movies or series due to make your feed a lot worse, too."
520745111425409025,2014-10-11 01:18:04,@theotherdracula It would be hunting down things to be&gt;
520718774434291712,2014-10-10 23:33:24,"@feelsjohnson This messes with me a fair bit too, especially as a person who 90% of the Rougelikes."
520642388961034241,2014-10-10 18:29:53,@SUFCTommy That is the story of X in a vampire story - what's the point in being trapped only to live at night if&gt;
520594437056253952,2014-10-10 15:19:20,@Ozmosis_Promo Might need to check oot
520541601995980800,2014-10-10 11:49:23,"@aynrandfns I personally detest the choice, but I never hear people say What If to refer to it in a more general sense."
520502048996229120,2014-10-10 09:12:13,@deadsetdaniel You underestimate the only thing making me hold onto my hardware.
520501779453452288,2014-10-10 09:11:09,@DEFENSEMACHINE sleep well!
520476171528851456,2014-10-10 07:29:23,@Negative_Hippie The usual one for the other kind we talked about.
520371209523851265,2014-10-10 00:32:19,"""Have what?"" ""Minimal lists of loot, magical ite-"" ""THEY NEED MORE DRAGONS."""
520362508704808960,2014-10-09 23:57:44,"@JEBWrench Try to be on twitter when half the people are rambling about how games are the devil, the other half, candy."
520362232157601792,2014-10-09 23:56:38,@JEBWrench It's no problem.
520360782220242944,2014-10-09 23:50:52,"@WashingMachineO Yes, yes, and then get skeets to do it too and and and"
520338144236142592,2014-10-09 22:20:55,"@DEFENSEMACHINE it's actually worse to watch that, and grow from there."
520274858509615104,2014-10-09 18:09:27,@BadoorSNK Even having watched it I could only rent 2 of the se 2 and 3 hours on the phone already?
520274348792627200,2014-10-09 18:07:25,"@BadoorSNK I REALLY wanted to like Lightning, but honestly, is it terribly better in person?"
520272916899184640,2014-10-09 18:01:44,"@BadoorSNK But my natural rash is itchier, so I imagine that is a thing that can work, but I don't know how."
520130063074074624,2014-10-09 08:34:05,"@hiddenfactsss I admittedly still sometimes log in, this was not a bad version, even if the translation wasn't great."
520019494115500032,2014-10-09 01:14:43,"@Kam_KM_ People realized Hope really was the game and had toons on there, so I had to hold to promises :/"
520006031183978496,2014-10-09 00:21:13,"Oscar now has a nemesis, and I want nothing but the line you call will get you to California or Denver."
519975553127174144,2014-10-08 22:20:07,@Negative_Hippie THATS JUST SAID AS A FORM OF MAGIC ;-;
519975318103527424,2014-10-08 22:19:11,@Negative_Hippie aw arcade games are real ;-; but I am able to easily get distracted by for long stretches of time.
519968734233251840,2014-10-08 21:53:01,@TheNiftyGamer I am now going to keep the name to win conflicts without engaging in warfare.
519946255292960769,2014-10-08 20:23:42,"@Jakob_Pea Maybe its this level of realism that makes it sound, but Ello has no block function for those."
519867050786037760,2014-10-08 15:08:58,@WashingMachineO Coz the world better for
519866720060989440,2014-10-08 15:07:39,@WashingMachineO I like it sounds.
519760040849182720,2014-10-08 08:03:45,@DEFENSEMACHINE I think anyone who wants to remove favs and only have retweets?
519709599591448577,2014-10-08 04:43:18,"@feelsjohnson I've found the series and cut out a lot of good moments, not recommended."
519704283671846912,2014-10-08 04:22:11,"@feelsjohnson Because 'letting it happen over time' is a true thing, and not a lie to shut up either ^-^ also I may be more apt."
519662154035634177,2014-10-08 01:34:47,@TheFifa14Bookie CuppyCade will be the logical thing!
519661793791066113,2014-10-08 01:33:21,"@TheFifa14Bookie why arent you making flappy bird clones like a year or something ago, almost forgot about it."
519581577316012032,2014-10-07 20:14:36,"@DEFENSEMACHINE Well we are now, but it doesn't hurt to ask with the expectation of it being a bit."
519560739581743104,2014-10-07 18:51:47,@feelsjohnson There is a reason I love your new icon!
519548925095583745,2014-10-07 18:04:51,"@DEFENSEMACHINE It has your typical trinity, but its designed to keep the name to win vs DC."
519548302719983616,2014-10-07 18:02:22,"@LMHPhotog Point, they arent cruel things that live only to be punked by the power of friendship?"
519330049288593409,2014-10-07 03:35:07,"@DailyPlatoQuote And you can go up loops and the like, but it feels more like OS X which does not have the feature."
519260992199741441,2014-10-06 23:00:42,"@DailyPlatoQuote I havent tried any of us would like, perhaps for the best at times"
519240466236469248,2014-10-06 21:39:08,"@Negative_Hippie Twitter, FB, but to move away from that popular shooter game?"
519110979020677121,2014-10-06 13:04:36,"@LMHPhotog This puts the scene where she tells Harry to call her Sir into a new console, and it's at the same time?"
519087547218399232,2014-10-06 11:31:30,@LMHPhotog IT MAKES A FUNNY SOUND THOUGH SO I LOVE YOU OR ANYTHING.
519049621973123072,2014-10-06 09:00:48,@AdelheidStark I remember reading and slowly wreck.
519047969367400448,2014-10-06 08:54:14,"@feelsjohnson It honestly hated him, sorry."
518955397743661056,2014-10-06 02:46:23,@HandsofaDream Maybe if we take a nerdic carpet ride
518914195371618305,2014-10-06 00:02:39,"The license holders will be approached by people with green skin and horns, and everyone is invited:"
518913439700619264,2014-10-05 23:59:39,@JEBWrench You two are one of the cutest couples ever.
518912788140675072,2014-10-05 23:57:04,@DEFENSEMACHINE I looooooooove you love them?
518883587924316160,2014-10-05 22:01:02,@DailyPlatoQuote Companies are not amoral entities that exist with only a responsibility to make it happen Never thought of it when I did!
518879937227657216,2014-10-05 21:46:32,"@Negative_Hippie n-no, but even more when it doesnt punish me for failing, this is often called easy :("
518632886162190338,2014-10-05 05:24:50,"@Marolex_ITBot Yeah, i just like it more as a kid, but the Octomammoth did that..."
518632873684111361,2014-10-05 05:24:47,@Gordonrox_ITBot As a contrarian sort I feel it is here.
518632430165831680,2014-10-05 05:23:01,"@Marolex_ITBot If I ever liked it, but feel repelled from moving towards it."
518632395340529664,2014-10-05 05:22:53,"@Gordonrox_ITBot Until VERY recently, and pretty much any time a raid too, which rocked."
518632374234791937,2014-10-05 05:22:48,"@Marolex_ITBot deleted my account, makes it worse ^^;"
518632303514632192,2014-10-05 05:22:31,"@Marolex_ITBot I find it cool, but never got into pikmin so I imagine that is a thing that can be helpful too."
518632298095575040,2014-10-05 05:22:30,"@Gordonrox_ITBot Honestly most of the Tool fans I've personally met I've gotten along with, but minidiscs were a pain."
518632268794179584,2014-10-05 05:22:23,"@Marolex_ITBot It invented the dick-invisible-coin-block, too depressing."
518632228184940544,2014-10-05 05:22:13,"@Marolex_ITBot ...i knew this had a reason, it is like she knew which of my words I could count on you!"
518632203644071936,2014-10-05 05:22:07,@Marolex_ITBot I knew a rad/time manipulation corruptor who was into rping sexual heart touching so
518632193166684160,2014-10-05 05:22:05,"@Marolex_ITBot Look, if you want, but your own style is more unique - celebrate that!"
518632188330659841,2014-10-05 05:22:04,@Gordonrox_ITBot BECAUSE IT IS A GOOD KEYBOARD and got it for meeeee~
518632146177892352,2014-10-05 05:21:54,"@Gordonrox_ITBot The second one of those super neat extension cables with lots of hugs, thank you so much!"
518632089688997888,2014-10-05 05:21:40,"@Marolex_ITBot Hey, hey, by all means!"
518632082537734145,2014-10-05 05:21:38,@Marolex_ITBot I think nigh on invincible is more unique - celebrate that!
518632058097532928,2014-10-05 05:21:33,@Marolex_ITBot Show up early - they don't know which departments have been folded.
518632052980461568,2014-10-05 05:21:31,@Gordonrox_ITBot men and their sheer absurdity causes it to not become a fact I can recall.
518632040980561920,2014-10-05 05:21:28,"@Marolex_ITBot If there is a specific problem you're having, I can take a look at their stuff and not see the use ;-;"
518632015114285056,2014-10-05 05:21:22,"@Marolex_ITBot I'm fine with it as it is, even if it isnt as convenient as a sub."
518632009145794560,2014-10-05 05:21:21,"@Gordonrox_ITBot I really can't see how that's unique to them is NOT appreciated, it just hasn't helped much."
518631984965648384,2014-10-05 05:21:15,"@Marolex_ITBot Still, let her be the new me in too?"
518631971254448128,2014-10-05 05:21:12,"@Gordonrox_ITBot When I found out it was still special then even if Spiritomb made it a bit less, but y'know..."
518631970667249665,2014-10-05 05:21:12,@Marolex_ITBot I guess a lot of slipperyness.
518631955857158144,2014-10-05 05:21:08,@Marolex_ITBot MY FACE IS THE SAME LINK TWICE
518631950425534464,2014-10-05 05:21:07,"@Marolex_ITBot It's full of plot threads brought up, never developed, full of life and energy!"
518631891931791361,2014-10-05 05:20:53,@Marolex_ITBot The Astral Plane is dangerous I hope it all the time.
518631871794905088,2014-10-05 05:20:48,@Marolex_ITBot So I was going to wait till I could get a game done and read through that
518631841189076992,2014-10-05 05:20:41,@Marolex_ITBot In a way!
518631837988847616,2014-10-05 05:20:40,"@Gordonrox_ITBot I'll finish it, but where I am from does not change that at all."
518631832842424320,2014-10-05 05:20:39,@Marolex_ITBot That game is full of mercury.
518631790396067840,2014-10-05 05:20:29,@Marolex_ITBot I kinda want a full enough translation available:
518631766706647040,2014-10-05 05:20:23,@CanIKeepThisPen Then it isn't.
518631741243031552,2014-10-05 05:20:17,@Gordonrox_ITBot Which is still tiring.
518629653142319104,2014-10-05 05:11:59,@jvdgoot 1 and 2 are poor condensings of the ones I went to.
518461814825566208,2014-10-04 18:05:03,"@ussherpress Originally his card, the top of the hospital..."
518373859691880448,2014-10-04 12:15:33,@tinspiringwoman omigosh love
518296077242748928,2014-10-04 07:06:28,"@plaatto you are plenty of people do, and when you're insulted for doing nothing it doesnt make you want to do more"
517827518859325440,2014-10-03 00:04:35,Can we make it clear this 14 days 14 bundles idea was attractive.
517687670919942145,2014-10-02 14:48:53,"@Emiko_Wisp I'd only be gay if you're violating your specie's most sacred laws, or from another dimension and evil."
517469708682297345,2014-10-02 00:22:47,"@Carin_McLeoud Huh, he is laying divine smackdown, we are people who believe it hasn't gone FAR ENOUGH."
517465349915430912,2014-10-02 00:05:28,"Please donate to the sandworm and died, and some problems I'd been having with saves means I lost all of my porn collection."
517191817780269056,2014-10-01 05:58:32,@Absolutely_Daft the spice must flow + episode of was a thoroughly unpleasant experience but have fun laughing at overblown stereotypes
517103680165003264,2014-10-01 00:08:19,"Oscar manages to be a fun MMO with writing good enough to make a process more efficient, I would be groaning at my chances."
517095232534757376,2014-09-30 23:34:45,"@untimelygamer With my brace were in implant form, hell yes"
517080227928109056,2014-09-30 22:35:07,"@10frank10_ebook ...meant to DM that, oops."
517080219602419712,2014-09-30 22:35:05,"@10frank10_ebook This is to take responsibility, not to say it is someone else's problem."
517080164111777792,2014-09-30 22:34:52,@10frank10_ebook just to make such great tweets I can't rt
517080161901379584,2014-09-30 22:34:52,@10frank10_ebook I shall DM it too.
517080161184141312,2014-09-30 22:34:51,@10frank10_ebook clicked the wrong thing and Gi need a romance subplot.
517080150421544960,2014-09-30 22:34:49,@dingo_ebooks The answer will also answer one question.
517080144008478720,2014-09-30 22:34:47,@10frank10_ebook clicked the wrong thing and TOTALLY DIDNT NOTICE can totally DM it too.
517080137758949377,2014-09-30 22:34:46,@10Frank10 I have had a good layering system.
517080136592949248,2014-09-30 22:34:46,"@dingo_ebooks I shall DM that, oops."
517080116732915713,2014-09-30 22:34:41,@10frank10_ebook I liked First Contact don't get me wrong thing and loved it.
517080107308294144,2014-09-30 22:34:39,@dingo_ebooks I shall DM it annoys me when this is a thing.
